# noise_analysis run from DCC-NOISE-001003 at Tue Jan  1 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/01/2013 00:05:00,   66.40,   71.15,   55.95,   69.62,   73.65,   60.22
01/01/2013 00:10:00,   60.14,   64.38,   52.90,   63.60,   68.17,   56.05
01/01/2013 00:15:00,   58.74,   61.92,   50.59,   61.31,   64.43,   53.04
01/01/2013 00:20:00,   58.62,   61.48,   52.15,   60.85,   63.67,   54.40
01/01/2013 00:25:00,   57.30,   61.00,   51.59,   59.64,   63.26,   54.03
01/01/2013 00:30:00,   56.21,   60.37,   50.17,   59.21,   63.23,   53.07
01/01/2013 00:35:00,   58.40,   61.89,   51.57,   61.89,   66.77,   54.56
01/01/2013 00:40:00,   57.09,   61.24,   51.39,   59.64,   64.24,   53.50
01/01/2013 00:45:00,   57.26,   61.76,   49.85,   59.22,   63.20,   52.79
01/01/2013 00:50:00,   57.43,   61.26,   50.91,   59.26,   62.20,   53.24
01/01/2013 00:55:00,   57.82,   61.39,   51.65,   59.99,   62.98,   54.68
01/01/2013 01:00:00,   56.15,   60.03,   49.79,   58.11,   61.78,   52.47
01/01/2013 01:05:00,   56.84,   61.07,   51.14,   58.82,   63.02,   53.57
01/01/2013 01:10:00,   57.50,   60.81,   50.69,   58.84,   61.83,   54.04
01/01/2013 01:15:00,   56.08,   60.09,   50.21,   58.82,   62.40,   52.86
01/01/2013 01:20:00,   56.59,   60.88,   50.19,   58.36,   61.90,   52.77
01/01/2013 01:25:00,   56.31,   61.82,   47.94,   58.25,   62.39,   50.56
01/01/2013 01:30:00,   56.28,   61.44,   48.54,   58.24,   62.68,   51.62
01/01/2013 01:35:00,   56.58,   60.43,   50.15,   58.36,   61.90,   52.63
01/01/2013 01:40:00,   57.04,   60.49,   50.79,   59.29,   62.47,   53.34
01/01/2013 01:45:00,   57.25,   61.53,   50.17,   59.42,   62.99,   52.85
01/01/2013 01:50:00,   56.33,   60.89,   49.98,   58.75,   62.39,   53.16
01/01/2013 01:55:00,   56.47,   60.28,   50.88,   58.79,   62.11,   53.79
01/01/2013 02:00:00,   56.81,   60.19,   49.65,   58.66,   61.97,   52.36
01/01/2013 02:05:00,   57.57,   60.96,   52.17,   59.51,   62.66,   54.23
01/01/2013 02:10:00,   57.52,   61.08,   51.94,   59.34,   62.19,   54.35
01/01/2013 02:15:00,   57.17,   61.55,   49.79,   59.20,   62.99,   52.26
01/01/2013 02:20:00,   56.13,   60.18,   49.35,   58.36,   61.74,   53.56
01/01/2013 02:25:00,   59.72,   62.61,   51.14,   60.68,   63.11,   53.48
01/01/2013 02:30:00,   56.39,   60.09,   48.75,   58.55,   61.93,   52.87
01/01/2013 02:35:00,   56.36,   60.61,   49.15,   59.12,   63.12,   51.98
01/01/2013 02:40:00,   56.26,   61.14,   48.86,   58.46,   62.92,   51.87
01/01/2013 02:45:00,   55.18,   59.55,   47.07,   57.26,   61.51,   49.98
01/01/2013 02:50:00,   56.24,   59.77,   49.79,   58.27,   61.42,   52.61
01/01/2013 02:55:00,   54.26,   59.20,   47.79,   56.31,   60.59,   50.56
01/01/2013 03:00:00,   54.28,   58.52,   48.27,   57.08,   60.83,   51.19
01/01/2013 03:05:00,   56.21,   60.30,   49.59,   57.78,   61.49,   52.09
01/01/2013 03:10:00,   55.15,   60.27,   47.31,   57.52,   61.91,   50.20
01/01/2013 03:15:00,   56.04,   59.94,   49.78,   58.18,   61.68,   51.99
01/01/2013 03:20:00,   56.58,   60.73,   50.38,   58.42,   62.03,   52.96
01/01/2013 03:25:00,   56.19,   60.02,   50.13,   58.92,   62.51,   53.13
01/01/2013 03:30:00,   55.79,   60.26,   48.80,   58.11,   62.08,   51.92
01/01/2013 03:35:00,   55.58,   59.55,   48.99,   57.46,   60.94,   51.73
01/01/2013 03:40:00,   56.87,   61.64,   49.77,   58.54,   62.81,   52.29
01/01/2013 03:45:00,   57.91,   62.13,   50.64,   59.54,   62.88,   52.97
01/01/2013 03:50:00,   56.16,   61.18,   48.35,   57.84,   62.15,   51.77
01/01/2013 03:55:00,   56.69,   60.13,   50.18,   58.23,   61.54,   52.85
01/01/2013 04:00:00,   56.68,   61.10,   49.47,   57.96,   61.86,   51.70
01/01/2013 04:05:00,   55.91,   60.57,   47.74,   57.78,   62.17,   51.62
01/01/2013 04:10:00,   55.91,   59.63,   48.84,   58.01,   61.30,   52.64
01/01/2013 04:15:00,   56.52,   60.92,   49.15,   58.63,   62.10,   52.42
01/01/2013 04:20:00,   56.29,   59.85,   48.63,   58.77,   62.08,   52.14
01/01/2013 04:25:00,   55.24,   60.18,   48.24,   57.59,   61.89,   51.23
01/01/2013 04:30:00,   53.94,   57.67,   47.11,   56.53,   59.60,   50.29
01/01/2013 04:35:00,   54.02,   59.36,   47.10,   56.32,   60.89,   50.04
01/01/2013 04:40:00,   54.01,   59.36,   46.28,   57.00,   62.02,   50.02
01/01/2013 04:45:00,   54.46,   59.41,   48.45,   56.36,   60.81,   50.90
01/01/2013 04:50:00,   55.73,   59.62,   49.48,   57.13,   60.46,   52.14
01/01/2013 04:55:00,   54.90,   59.85,   47.14,   56.49,   60.78,   50.28
01/01/2013 05:00:00,   53.84,   59.05,   46.09,   55.59,   60.05,   49.15
01/01/2013 05:05:00,   54.49,   59.66,   45.99,   56.51,   61.32,   49.24
01/01/2013 05:10:00,   52.19,   58.04,   44.89,   54.45,   59.20,   48.24
01/01/2013 05:15:00,   55.82,   60.25,   48.36,   58.09,   63.24,   50.79
01/01/2013 05:20:00,   53.37,   58.30,   44.74,   56.00,   60.41,   48.24
01/01/2013 05:25:00,   54.94,   60.51,   47.04,   57.34,   63.04,   49.55
01/01/2013 05:30:00,   52.55,   58.63,   44.77,   55.93,   61.45,   48.32
01/01/2013 05:35:00,   54.31,   58.60,   48.20,   58.30,   63.07,   51.82
01/01/2013 05:40:00,   54.69,   59.40,   45.98,   58.79,   63.39,   50.57
01/01/2013 05:45:00,   52.61,   58.65,   44.51,   56.40,   61.75,   48.91
01/01/2013 05:50:00,   53.99,   59.82,   46.25,   58.62,   63.63,   50.18
01/01/2013 05:55:00,   53.63,   58.19,   44.86,   58.22,   62.50,   48.41
01/01/2013 06:00:00,   53.95,   58.84,   44.62,   58.37,   64.00,   48.21
01/01/2013 06:05:00,   50.52,   55.52,   42.58,   53.72,   58.10,   47.73
01/01/2013 06:10:00,   53.37,   59.61,   44.93,   59.05,   65.23,   48.90
01/01/2013 06:15:00,   53.56,   58.86,   44.65,   57.80,   62.37,   48.83
01/01/2013 06:20:00,   53.84,   59.14,   46.35,   57.89,   62.49,   50.07
01/01/2013 06:25:00,   48.90,   53.97,   44.40,   53.25,   58.13,   47.79
01/01/2013 06:30:00,   54.65,   60.15,   47.36,   60.36,   65.92,   50.80
01/01/2013 06:35:00,   54.41,   60.83,   46.59,   60.82,   67.03,   49.56
01/01/2013 06:40:00,   54.16,   58.46,   46.62,   59.38,   64.61,   50.52
01/01/2013 06:45:00,   52.72,   57.14,   45.88,   56.95,   61.13,   49.56
01/01/2013 06:50:00,   54.12,   59.86,   45.89,   58.17,   62.80,   49.85
01/01/2013 06:55:00,   54.89,   59.83,   45.90,   58.85,   64.29,   50.50
01/01/2013 07:00:00,   53.13,   57.42,   46.28,   59.96,   65.60,   50.71
01/01/2013 07:05:00,   56.09,   61.26,   48.05,   61.78,   66.96,   51.97
01/01/2013 07:10:00,   53.53,   57.87,   47.56,   56.52,   60.22,   51.41
01/01/2013 07:15:00,   52.87,   57.36,   47.39,   56.96,   61.05,   50.56
01/01/2013 07:20:00,   53.84,   59.10,   46.44,   56.32,   60.89,   50.45
01/01/2013 07:25:00,   54.75,   59.83,   46.61,   59.65,   66.06,   49.90
01/01/2013 07:30:00,   54.01,   59.09,   46.64,   59.36,   65.15,   50.09
01/01/2013 07:35:00,   55.30,   60.59,   47.39,   60.46,   66.98,   51.51
01/01/2013 07:40:00,   52.89,   58.42,   47.00,   57.32,   62.12,   50.60
01/01/2013 07:45:00,   56.51,   61.23,   48.37,   62.14,   69.12,   52.74
01/01/2013 07:50:00,   52.84,   57.22,   47.49,   58.85,   62.79,   50.71
01/01/2013 07:55:00,   53.00,   58.76,   46.96,   58.60,   64.09,   50.83
01/01/2013 08:00:00,   54.62,   58.62,   47.45,   58.86,   64.66,   51.27
01/01/2013 08:05:00,   53.91,   59.46,   47.12,   59.78,   65.01,   50.57
01/01/2013 08:10:00,   53.33,   58.95,   46.78,   58.17,   63.45,   51.11
01/01/2013 08:15:00,   55.07,   60.72,   47.46,   61.58,   67.34,   51.50
01/01/2013 08:20:00,   54.89,   60.23,   47.83,   60.86,   67.05,   51.71
01/01/2013 08:25:00,   53.76,   59.11,   47.71,   57.94,   62.86,   50.96
01/01/2013 08:30:00,   54.28,   59.01,   48.06,   56.74,   61.01,   50.57
01/01/2013 08:35:00,   52.23,   57.10,   46.38,   57.04,   62.53,   50.06
01/01/2013 08:40:00,   52.98,   58.64,   47.12,   58.96,   65.02,   51.06
01/01/2013 08:45:00,   53.93,   58.22,   47.46,   59.26,   64.07,   50.89
01/01/2013 08:50:00,   53.11,   58.06,   47.42,   56.61,   60.69,   50.73
01/01/2013 08:55:00,   53.81,   58.44,   48.67,   58.43,   62.23,   53.43
01/01/2013 09:00:00,   53.80,   58.95,   46.59,   56.30,   61.16,   49.80
01/01/2013 09:05:00,   53.33,   57.14,   47.44,   58.21,   63.61,   50.83
01/01/2013 09:10:00,   52.36,   57.02,   46.80,   56.78,   61.25,   50.94
01/01/2013 09:15:00,   53.03,   57.41,   47.80,   56.31,   61.44,   50.62
01/01/2013 09:20:00,   54.43,   59.66,   48.55,   58.52,   61.93,   51.63
01/01/2013 09:25:00,   54.65,   60.51,   47.57,   59.18,   66.91,   50.51
01/01/2013 09:30:00,   53.82,   57.63,   48.15,   56.03,   59.48,   51.22
