# noise_analysis run from DCC-NOISE-001003 at Thu Jan  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/01/2013 00:05:00,   53.35,   58.78,   45.92,   55.47,   60.11,   49.56
03/01/2013 00:10:00,   54.85,   59.35,   47.49,   56.63,   60.51,   49.88
03/01/2013 00:15:00,   50.78,   55.51,   44.69,   53.80,   57.98,   48.66
03/01/2013 00:20:00,   51.32,   56.88,   44.40,   54.13,   58.20,   48.57
03/01/2013 00:25:00,   51.96,   57.64,   45.50,   54.94,   59.18,   48.99
03/01/2013 00:30:00,   50.96,   55.95,   44.92,   54.43,   58.53,   48.92
03/01/2013 00:35:00,   53.96,   58.86,   46.52,   56.57,   60.72,   50.29
03/01/2013 00:40:00,   52.74,   59.21,   45.73,   56.00,   60.92,   49.84
03/01/2013 00:45:00,   57.79,   62.65,   47.26,   61.70,   65.59,   51.84
03/01/2013 00:50:00,   53.24,   59.21,   43.24,   57.71,   62.31,   48.26
03/01/2013 00:55:00,   53.32,   58.64,   45.32,   59.85,   65.15,   50.85
03/01/2013 01:00:00,   52.08,   57.60,   44.53,   54.95,   59.82,   48.25
03/01/2013 01:05:00,   52.16,   57.35,   45.10,   56.13,   60.55,   49.48
03/01/2013 01:10:00,   51.56,   56.77,   43.66,   54.25,   59.47,   47.86
03/01/2013 01:15:00,   47.85,   53.20,   42.40,   51.64,   56.71,   47.13
03/01/2013 01:20:00,   51.04,   56.98,   44.35,   55.54,   59.61,   48.41
03/01/2013 01:25:00,   49.94,   56.10,   42.78,   55.41,   61.12,   47.24
03/01/2013 01:30:00,   50.46,   56.39,   43.66,   55.60,   60.33,   48.33
03/01/2013 01:35:00,   50.46,   56.15,   42.93,   53.99,   58.35,   47.45
03/01/2013 01:40:00,   48.40,   52.09,   41.59,   53.49,   58.50,   46.52
03/01/2013 01:45:00,   47.80,   53.18,   41.05,   52.66,   58.43,   46.16
03/01/2013 01:50:00,   52.44,   58.02,   43.21,   55.54,   60.43,   46.95
03/01/2013 01:55:00,   49.22,   56.06,   41.08,   52.60,   59.02,   45.39
03/01/2013 02:00:00,   46.25,   50.56,   40.83,   51.10,   55.02,   45.58
03/01/2013 02:05:00,   47.93,   54.90,   40.63,   50.56,   55.75,   45.26
03/01/2013 02:10:00,   44.58,   48.54,   39.99,   50.03,   56.29,   45.32
03/01/2013 02:15:00,   49.44,   55.60,   40.93,   51.74,   56.55,   45.83
03/01/2013 02:20:00,   50.16,   56.36,   41.43,   54.10,   60.02,   46.74
03/01/2013 02:25:00,   49.82,   57.17,   41.16,   53.73,   59.63,   46.84
03/01/2013 02:30:00,   45.58,   48.68,   41.57,   53.10,   58.37,   46.52
03/01/2013 02:35:00,   47.32,   51.63,   39.90,   51.14,   54.89,   45.57
03/01/2013 02:40:00,   46.40,   51.09,   40.05,   49.97,   54.85,   44.61
03/01/2013 02:45:00,   48.75,   55.93,   41.15,   51.57,   57.17,   45.97
03/01/2013 02:50:00,   42.86,   44.83,   37.99,   47.86,   50.98,   43.53
03/01/2013 02:55:00,   45.69,   50.15,   39.81,   49.55,   54.47,   44.74
03/01/2013 03:00:00,   42.59,   45.21,   38.74,   49.54,   53.51,   43.88
03/01/2013 03:05:00,   48.77,   57.33,   38.96,   51.76,   58.87,   44.58
03/01/2013 03:10:00,   45.73,   51.57,   39.03,   49.90,   54.04,   44.51
03/01/2013 03:15:00,   45.63,   51.69,   39.26,   49.36,   54.40,   44.15
03/01/2013 03:20:00,   49.36,   56.73,   40.33,   51.74,   57.43,   44.72
03/01/2013 03:25:00,   45.42,   49.39,   39.75,   48.06,   50.73,   44.17
03/01/2013 03:30:00,   50.94,   58.87,   40.76,   53.55,   60.61,   44.61
03/01/2013 03:35:00,   45.40,   48.28,   40.35,   51.69,   56.64,   45.01
03/01/2013 03:40:00,   43.69,   45.70,   39.48,   48.38,   52.20,   44.17
03/01/2013 03:45:00,   46.87,   52.76,   40.44,   50.38,   55.24,   44.76
03/01/2013 03:50:00,   46.62,   50.81,   41.01,   50.90,   54.99,   45.80
03/01/2013 03:55:00,   48.16,   54.31,   42.02,   53.77,   59.30,   46.54
03/01/2013 04:00:00,   46.46,   52.64,   40.28,   50.80,   55.51,   45.25
03/01/2013 04:05:00,   46.35,   51.63,   40.66,   51.07,   55.59,   46.06
03/01/2013 04:10:00,   45.64,   49.18,   41.26,   49.46,   53.13,   45.89
03/01/2013 04:15:00,   45.52,   48.63,   39.69,   48.85,   50.86,   44.72
03/01/2013 04:20:00,   45.78,   48.44,   41.41,   50.55,   55.11,   46.09
03/01/2013 04:25:00,   46.55,   51.85,   41.35,   50.92,   55.66,   45.96
03/01/2013 04:30:00,   49.04,   55.43,   43.07,   52.82,   57.94,   47.35
03/01/2013 04:35:00,   47.93,   54.22,   41.57,   53.38,   58.30,   45.95
03/01/2013 04:40:00,   45.37,   47.21,   41.29,   49.71,   53.99,   46.02
03/01/2013 04:45:00,   46.13,   49.94,   42.70,   50.32,   53.85,   46.91
03/01/2013 04:50:00,   46.68,   51.04,   42.53,   50.84,   55.80,   46.54
03/01/2013 04:55:00,   46.95,   52.36,   42.31,   50.83,   55.71,   46.79
03/01/2013 05:00:00,   45.56,   48.58,   42.10,   51.00,   55.38,   46.73
03/01/2013 05:05:00,   47.31,   52.98,   42.87,   52.36,   57.93,   47.12
03/01/2013 05:10:00,   48.52,   54.01,   43.11,   51.72,   56.15,   47.08
03/01/2013 05:15:00,   46.88,   50.40,   44.06,   50.75,   54.19,   48.38
03/01/2013 05:20:00,   51.83,   57.73,   44.81,   54.92,   59.65,   48.71
03/01/2013 05:25:00,   49.53,   55.02,   43.79,   52.86,   57.10,   48.04
03/01/2013 05:30:00,   48.54,   53.40,   44.53,   51.35,   55.01,   48.58
03/01/2013 05:35:00,   53.16,   58.56,   46.19,   55.93,   60.44,   50.15
03/01/2013 05:40:00,   49.95,   54.62,   45.27,   52.98,   56.16,   49.56
03/01/2013 05:45:00,   53.26,   58.26,   47.16,   56.22,   60.66,   51.18
03/01/2013 05:50:00,   53.52,   58.02,   47.45,   57.11,   60.83,   51.61
03/01/2013 05:55:00,   52.61,   58.48,   46.51,   54.99,   59.56,   50.25
03/01/2013 06:00:00,   49.88,   54.14,   45.80,   53.19,   57.39,   49.43
03/01/2013 06:05:00,   52.02,   56.35,   46.70,   55.52,   60.05,   50.72
03/01/2013 06:10:00,   51.26,   54.99,   45.47,   54.56,   58.28,   49.32
03/01/2013 06:15:00,   52.74,   57.96,   47.21,   55.43,   59.94,   50.94
03/01/2013 06:20:00,   53.40,   58.77,   47.17,   56.41,   61.00,   51.48
03/01/2013 06:25:00,   53.94,   59.16,   48.27,   56.69,   60.81,   52.46
03/01/2013 06:30:00,   54.02,   59.40,   48.16,   56.89,   60.99,   52.15
03/01/2013 06:35:00,   53.11,   57.73,   48.25,   56.37,   60.58,   52.06
03/01/2013 06:40:00,   55.27,   59.99,   50.22,   58.43,   62.68,   53.74
03/01/2013 06:45:00,   55.47,   59.28,   49.58,   59.01,   62.71,   53.57
03/01/2013 06:50:00,   56.53,   61.18,   50.66,   60.66,   65.93,   54.74
03/01/2013 06:55:00,   56.08,   59.08,   51.20,   60.50,   64.47,   55.70
03/01/2013 07:00:00,   56.78,   61.17,   50.69,   60.20,   64.17,   54.94
03/01/2013 07:05:00,   55.52,   59.48,   49.11,   58.77,   62.98,   53.14
03/01/2013 07:10:00,   57.07,   60.79,   51.78,   60.66,   63.37,   55.61
03/01/2013 07:15:00,   58.83,   62.81,   51.32,   64.22,   68.53,   56.90
03/01/2013 07:20:00,   56.84,   60.33,   52.73,   60.27,   63.19,   55.80
03/01/2013 07:25:00,   57.08,   60.13,   51.80,   60.97,   64.01,   56.20
03/01/2013 07:30:00,   57.35,   61.76,   52.36,   60.93,   65.51,   56.02
03/01/2013 07:35:00,   58.33,   62.03,   53.91,   61.72,   64.78,   57.41
03/01/2013 07:40:00,   58.22,   60.81,   54.00,   61.82,   64.45,   57.49
03/01/2013 07:45:00,   57.76,   61.16,   53.27,   60.76,   63.71,   57.07
03/01/2013 07:50:00,   59.65,   63.07,   55.33,   63.25,   67.14,   58.79
03/01/2013 07:55:00,   59.44,   62.28,   54.36,   63.48,   68.22,   58.37
03/01/2013 08:00:00,   58.47,   61.40,   53.52,   61.69,   65.64,   56.72
03/01/2013 08:05:00,   57.58,   60.48,   52.66,   61.08,   63.79,   56.37
03/01/2013 08:10:00,   58.81,   61.52,   54.52,   62.34,   64.92,   58.17
03/01/2013 08:15:00,   59.16,   62.97,   53.79,   64.40,   69.42,   58.05
03/01/2013 08:20:00,   57.87,   60.81,   54.18,   61.37,   64.00,   57.82
03/01/2013 08:25:00,   59.55,   62.33,   55.14,   64.28,   68.65,   58.95
03/01/2013 08:30:00,   58.39,   61.64,   53.74,   61.30,   64.13,   56.85
03/01/2013 08:35:00,   58.34,   61.60,   52.72,   60.93,   63.65,   56.10
03/01/2013 08:40:00,   57.55,   60.35,   53.63,   60.35,   62.75,   57.07
03/01/2013 08:45:00,   58.68,   61.72,   54.30,   61.31,   63.74,   57.76
03/01/2013 08:50:00,   60.44,   62.29,   54.05,   63.58,   67.40,   57.63
03/01/2013 08:55:00,   59.25,   61.50,   56.35,   62.05,   64.34,   59.30
03/01/2013 09:00:00,   58.66,   61.31,   55.06,   61.46,   64.02,   58.13
03/01/2013 09:05:00,   58.33,   61.89,   53.68,   60.59,   63.41,   56.81
03/01/2013 09:10:00,   58.66,   61.66,   54.54,   61.53,   64.28,   58.04
03/01/2013 09:15:00,   59.37,   61.85,   53.89,   61.97,   64.28,   57.67
03/01/2013 09:20:00,   58.19,   61.03,   53.50,   61.02,   63.39,   57.48
03/01/2013 09:25:00,   58.56,   62.25,   53.42,   61.53,   64.21,   57.07
03/01/2013 09:30:00,   57.77,   60.93,   52.87,   61.00,   63.85,   56.51
03/01/2013 09:35:00,   56.77,   60.04,   51.48,   59.76,   62.52,   55.01
03/01/2013 09:40:00,   56.89,   60.21,   52.78,   60.73,   63.92,   56.78
03/01/2013 09:45:00,   58.83,   63.25,   53.54,   62.57,   66.81,   56.98
03/01/2013 09:50:00,   58.77,   61.48,   54.45,   61.32,   63.95,   57.89
03/01/2013 09:55:00,   58.03,   60.94,   53.60,   60.97,   63.78,   56.74
03/01/2013 10:00:00,   58.15,   61.51,   53.47,   61.97,   65.51,   56.65
