# noise_analysis run from DCC-NOISE-001003 at Fri Jan  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/01/2013 00:05:00,   53.71,   58.75,   44.88,   56.19,   61.25,   48.79
04/01/2013 00:10:00,   52.64,   58.23,   44.82,   55.96,   60.52,   49.78
04/01/2013 00:15:00,   50.73,   55.08,   45.84,   53.92,   57.40,   49.74
04/01/2013 00:20:00,   53.57,   58.25,   45.04,   55.48,   59.33,   49.07
04/01/2013 00:25:00,   51.57,   56.78,   44.45,   53.86,   58.23,   47.73
04/01/2013 00:30:00,   53.38,   58.17,   44.20,   55.28,   59.72,   47.45
04/01/2013 00:35:00,   53.19,   58.48,   45.52,   54.98,   59.45,   48.80
04/01/2013 00:40:00,   52.51,   58.03,   44.64,   55.67,   60.44,   47.83
04/01/2013 00:45:00,   52.94,   57.86,   45.27,   54.94,   59.41,   48.24
04/01/2013 00:50:00,   52.10,   57.71,   45.18,   54.03,   59.15,   48.45
04/01/2013 00:55:00,   51.74,   57.15,   43.88,   53.86,   58.70,   46.97
04/01/2013 01:00:00,   53.25,   58.04,   45.19,   55.51,   59.35,   48.50
04/01/2013 01:05:00,   53.14,   58.38,   44.93,   55.19,   59.70,   48.46
04/01/2013 01:10:00,   51.51,   56.52,   43.77,   54.04,   59.03,   47.50
04/01/2013 01:15:00,   51.17,   58.07,   42.82,   53.61,   59.90,   46.82
04/01/2013 01:20:00,   51.60,   57.57,   43.48,   53.81,   58.37,   47.10
04/01/2013 01:25:00,   48.26,   53.12,   41.84,   50.47,   55.09,   45.57
04/01/2013 01:30:00,   51.94,   56.80,   42.49,   53.39,   58.01,   45.60
04/01/2013 01:35:00,   49.79,   54.68,   42.20,   52.02,   55.99,   46.22
04/01/2013 01:40:00,   49.52,   56.65,   41.37,   51.70,   57.81,   44.76
04/01/2013 01:45:00,   48.67,   55.00,   41.09,   50.75,   56.24,   44.73
04/01/2013 01:50:00,   43.84,   47.22,   38.96,   47.23,   49.68,   43.36
04/01/2013 01:55:00,   49.48,   56.00,   39.96,   51.20,   56.84,   44.31
04/01/2013 02:00:00,   49.70,   56.75,   39.33,   51.79,   58.87,   43.46
04/01/2013 02:05:00,   48.63,   55.69,   40.91,   50.38,   56.82,   44.52
04/01/2013 02:10:00,   48.60,   55.56,   39.97,   50.92,   57.33,   43.84
04/01/2013 02:15:00,   47.84,   53.55,   40.01,   51.28,   57.46,   43.63
04/01/2013 02:20:00,   46.28,   52.31,   40.47,   48.87,   54.22,   44.05
04/01/2013 02:25:00,   48.23,   55.03,   39.33,   50.24,   56.08,   43.21
04/01/2013 02:30:00,   48.47,   54.84,   38.79,   50.80,   57.79,   42.85
04/01/2013 02:35:00,   43.24,   46.83,   38.33,   46.24,   49.13,   42.61
04/01/2013 02:40:00,   47.21,   54.06,   39.16,   49.42,   55.70,   43.44
04/01/2013 02:45:00,   46.19,   52.00,   39.64,   49.10,   53.88,   43.78
04/01/2013 02:50:00,   46.48,   53.56,   39.23,   49.71,   55.39,   43.37
04/01/2013 02:55:00,   47.69,   55.78,   39.44,   50.61,   57.11,   44.12
04/01/2013 03:00:00,   47.09,   52.51,   39.43,   51.94,   58.11,   44.10
04/01/2013 03:05:00,   46.58,   53.33,   39.32,   49.43,   54.51,   44.11
04/01/2013 03:10:00,   46.14,   53.34,   39.54,   50.95,   55.72,   44.51
04/01/2013 03:15:00,   47.41,   52.67,   39.63,   52.18,   57.92,   44.74
04/01/2013 03:20:00,   44.05,   49.39,   38.18,   48.54,   54.50,   42.70
04/01/2013 03:25:00,   45.92,   51.56,   39.85,   50.79,   55.55,   44.35
04/01/2013 03:30:00,   41.27,   43.79,   38.45,   46.60,   50.69,   42.48
04/01/2013 03:35:00,   48.43,   55.41,   38.95,   52.86,   58.81,   43.55
04/01/2013 03:40:00,   45.84,   50.61,   38.32,   50.24,   56.49,   43.23
04/01/2013 03:45:00,   47.60,   54.70,   38.34,   50.91,   57.13,   43.41
04/01/2013 03:50:00,   47.14,   51.09,   39.38,   49.73,   53.36,   43.51
04/01/2013 03:55:00,   47.91,   53.84,   40.13,   52.19,   57.06,   44.87
04/01/2013 04:00:00,   44.79,   48.94,   38.94,   48.63,   53.04,   43.55
04/01/2013 04:05:00,   47.15,   53.71,   39.01,   50.73,   56.36,   44.02
04/01/2013 04:10:00,   46.32,   51.85,   39.58,   50.86,   57.87,   44.26
04/01/2013 04:15:00,   47.75,   53.87,   40.67,   52.18,   57.79,   45.14
04/01/2013 04:20:00,   45.12,   49.84,   40.49,   50.54,   56.36,   44.69
04/01/2013 04:25:00,   47.08,   51.99,   40.23,   50.76,   55.58,   44.54
04/01/2013 04:30:00,   46.72,   52.36,   41.87,   50.71,   55.52,   46.03
04/01/2013 04:35:00,   47.55,   53.53,   41.93,   50.90,   56.13,   46.24
04/01/2013 04:40:00,   49.49,   55.84,   42.10,   52.11,   57.43,   46.72
04/01/2013 04:45:00,   48.44,   55.33,   42.16,   51.87,   57.99,   46.41
04/01/2013 04:50:00,   47.44,   52.90,   42.28,   51.49,   56.42,   46.73
04/01/2013 04:55:00,   47.91,   52.63,   42.68,   51.77,   56.19,   46.67
04/01/2013 05:00:00,   47.39,   53.90,   41.94,   50.00,   55.14,   46.01
04/01/2013 05:05:00,   46.52,   50.94,   42.31,   50.23,   53.61,   46.81
04/01/2013 05:10:00,   46.80,   51.37,   42.39,   49.82,   53.76,   46.44
04/01/2013 05:15:00,   47.25,   53.57,   42.12,   49.95,   54.93,   46.30
04/01/2013 05:20:00,   48.94,   55.18,   43.34,   51.45,   57.08,   47.34
04/01/2013 05:25:00,   49.31,   55.27,   44.15,   51.69,   56.37,   48.10
04/01/2013 05:30:00,   50.16,   56.76,   44.87,   52.75,   58.00,   48.73
04/01/2013 05:35:00,   51.07,   56.12,   45.84,   54.46,   58.97,   50.11
04/01/2013 05:40:00,   51.86,   57.36,   46.39,   54.47,   58.36,   50.34
04/01/2013 05:45:00,   53.61,   59.13,   46.81,   55.41,   60.12,   50.37
04/01/2013 05:50:00,   52.42,   58.30,   46.01,   56.77,   61.69,   49.96
04/01/2013 05:55:00,   52.43,   58.28,   45.11,   54.63,   59.38,   49.33
04/01/2013 06:00:00,   52.79,   58.49,   46.72,   55.07,   59.52,   50.31
04/01/2013 06:05:00,   52.94,   57.19,   46.92,   56.07,   60.58,   50.56
04/01/2013 06:10:00,   53.19,   57.06,   46.96,   55.63,   59.26,   50.79
04/01/2013 06:15:00,   52.61,   57.75,   47.56,   55.50,   59.88,   51.67
04/01/2013 06:20:00,   53.24,   58.72,   47.53,   55.57,   59.98,   51.58
04/01/2013 06:25:00,   55.13,   59.57,   48.36,   58.18,   62.04,   52.14
04/01/2013 06:30:00,   54.90,   59.12,   49.33,   58.84,   63.09,   53.13
04/01/2013 06:35:00,   56.02,   60.41,   49.94,   61.02,   66.78,   53.55
04/01/2013 06:40:00,   55.40,   59.91,   48.47,   59.24,   64.77,   53.03
04/01/2013 06:45:00,   55.81,   60.43,   49.64,   59.63,   64.09,   53.41
04/01/2013 06:50:00,   55.71,   60.12,   49.90,   59.18,   63.72,   53.85
04/01/2013 06:55:00,   53.43,   57.17,   48.44,   57.21,   60.93,   52.35
04/01/2013 07:00:00,   55.42,   59.50,   49.88,   58.70,   62.64,   53.74
04/01/2013 07:05:00,   57.56,   61.54,   52.78,   61.79,   65.62,   55.63
04/01/2013 07:10:00,   56.09,   59.10,   51.02,   60.09,   63.15,   55.36
04/01/2013 07:15:00,   55.95,   59.88,   50.68,   58.69,   62.34,   53.84
04/01/2013 07:20:00,   57.13,   60.90,   51.26,   61.41,   65.13,   55.89
04/01/2013 07:25:00,   56.06,   60.23,   50.70,   60.16,   63.42,   54.71
04/01/2013 07:30:00,   55.81,   59.34,   50.74,   59.32,   62.38,   54.80
04/01/2013 07:35:00,   58.06,   61.84,   52.45,   62.30,   66.35,   55.40
04/01/2013 07:40:00,   57.81,   60.69,   51.99,   61.10,   64.26,   55.34
04/01/2013 07:45:00,   58.25,   61.55,   53.13,   61.47,   64.76,   56.51
04/01/2013 07:50:00,   56.36,   59.81,   51.85,   59.58,   63.27,   55.32
04/01/2013 07:55:00,   58.99,   61.60,   52.52,   61.93,   64.57,   57.09
04/01/2013 08:00:00,   58.05,   61.24,   53.00,   61.62,   64.44,   56.80
04/01/2013 08:05:00,   56.42,   59.42,   52.57,   60.19,   63.20,   56.46
04/01/2013 08:10:00,   57.68,   61.01,   52.92,   60.67,   63.56,   56.45
04/01/2013 08:15:00,   57.13,   60.09,   53.25,   60.43,   63.15,   56.48
04/01/2013 08:20:00,   57.64,   60.49,   53.48,   61.41,   64.34,   56.91
04/01/2013 08:25:00,   57.82,   60.30,   53.29,   61.58,   64.71,   56.93
04/01/2013 08:30:00,   58.03,   61.75,   53.22,   62.41,   65.66,   57.15
04/01/2013 08:35:00,   58.26,   61.54,   52.48,   62.18,   65.36,   56.20
04/01/2013 08:40:00,   58.01,   61.05,   53.39,   61.17,   63.56,   57.37
04/01/2013 08:45:00,   57.02,   60.11,   52.58,   60.26,   63.26,   56.23
04/01/2013 08:50:00,   56.93,   60.36,   53.00,   59.89,   62.82,   55.96
04/01/2013 08:55:00,   57.47,   60.70,   53.06,   60.75,   63.55,   56.74
04/01/2013 09:00:00,   58.29,   61.77,   52.65,   62.02,   65.68,   56.86
04/01/2013 09:05:00,   57.63,   61.04,   53.07,   60.66,   63.26,   56.62
04/01/2013 09:10:00,   57.18,   60.75,   52.45,   60.97,   64.63,   56.22
04/01/2013 09:15:00,   57.46,   60.86,   51.88,   61.40,   64.23,   56.89
04/01/2013 09:20:00,   57.31,   60.79,   51.63,   60.52,   63.90,   55.15
04/01/2013 09:25:00,   56.84,   61.07,   50.54,   60.21,   63.84,   54.37
04/01/2013 09:30:00,   57.69,   61.00,   52.23,   61.10,   64.93,   55.60
04/01/2013 09:35:00,   56.63,   60.89,   51.15,   59.85,   64.03,   54.79
04/01/2013 09:40:00,   57.39,   61.38,   50.70,   60.32,   63.65,   53.81
04/01/2013 09:45:00,   56.73,   59.98,   50.96,   59.92,   63.10,   55.03
04/01/2013 09:50:00,   58.22,   61.41,   52.23,   62.51,   64.19,   56.58
04/01/2013 09:55:00,   56.59,   59.89,   50.44,   59.51,   62.08,   55.67
04/01/2013 10:00:00,   58.51,   60.67,   50.48,   61.91,   64.51,   54.34
04/01/2013 10:05:00,   55.37,   58.74,   49.57,   59.05,   61.83,   53.37
