# noise_analysis run from DCC-NOISE-001003 at Sat Jan  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/01/2013 00:05:00,   54.07,   59.25,   45.20,   56.17,   61.13,   49.24
05/01/2013 00:10:00,   52.56,   58.55,   44.10,   54.50,   60.24,   47.76
05/01/2013 00:15:00,   52.06,   57.25,   44.26,   53.73,   58.28,   47.20
05/01/2013 00:20:00,   53.56,   58.95,   45.45,   55.26,   59.86,   48.37
05/01/2013 00:25:00,   54.60,   60.33,   43.41,   55.92,   60.69,   47.63
05/01/2013 00:30:00,   53.68,   58.49,   45.22,   55.52,   59.54,   48.74
05/01/2013 00:35:00,   53.43,   58.93,   44.32,   55.54,   60.74,   48.51
05/01/2013 00:40:00,   53.84,   58.80,   45.65,   55.58,   59.68,   49.34
05/01/2013 00:45:00,   56.97,   64.06,   45.26,   60.57,   68.82,   49.15
05/01/2013 00:50:00,   54.87,   60.13,   44.87,   56.87,   61.31,   49.80
05/01/2013 00:55:00,   51.51,   56.43,   44.19,   53.41,   57.82,   47.86
05/01/2013 01:00:00,   52.84,   58.42,   45.79,   54.77,   59.51,   49.17
05/01/2013 01:05:00,   53.24,   58.70,   42.85,   56.62,   61.24,   47.34
05/01/2013 01:10:00,   53.30,   59.20,   44.33,   55.01,   60.38,   47.99
05/01/2013 01:15:00,   54.04,   58.59,   47.05,   56.07,   60.26,   50.07
05/01/2013 01:20:00,   54.33,   59.35,   46.10,   56.07,   60.42,   49.27
05/01/2013 01:25:00,   52.68,   59.26,   43.68,   54.59,   60.49,   47.41
05/01/2013 01:30:00,   53.40,   57.91,   46.47,   55.32,   58.86,   50.26
05/01/2013 01:35:00,   50.58,   57.47,   43.54,   52.70,   58.42,   47.49
05/01/2013 01:40:00,   52.81,   57.91,   44.30,   54.56,   59.04,   47.90
05/01/2013 01:45:00,   54.39,   59.40,   45.62,   56.15,   60.69,   48.30
05/01/2013 01:50:00,   51.07,   55.26,   42.83,   53.83,   57.83,   47.00
05/01/2013 01:55:00,   52.38,   57.63,   43.92,   54.34,   58.89,   47.79
05/01/2013 02:00:00,   53.04,   58.11,   45.77,   54.47,   58.95,   48.65
05/01/2013 02:05:00,   54.39,   58.63,   47.37,   56.04,   60.07,   50.11
05/01/2013 02:10:00,   53.41,   59.27,   44.52,   54.85,   59.87,   48.26
05/01/2013 02:15:00,   53.49,   59.52,   46.20,   55.20,   60.01,   49.57
05/01/2013 02:20:00,   53.41,   58.25,   42.85,   54.74,   59.42,   46.52
05/01/2013 02:25:00,   51.21,   57.35,   42.23,   53.24,   58.51,   46.10
05/01/2013 02:30:00,   48.66,   54.83,   40.24,   51.04,   56.95,   44.12
05/01/2013 02:35:00,   51.13,   56.20,   42.74,   53.83,   58.57,   45.78
05/01/2013 02:40:00,   52.46,   57.82,   41.20,   54.35,   59.12,   44.93
05/01/2013 02:45:00,   49.09,   56.62,   40.40,   50.90,   57.25,   44.49
05/01/2013 02:50:00,   52.66,   58.34,   41.31,   54.36,   59.24,   44.97
05/01/2013 02:55:00,   50.95,   58.28,   40.39,   52.42,   59.33,   44.73
05/01/2013 03:00:00,   52.51,   57.86,   44.14,   54.03,   59.69,   46.80
05/01/2013 03:05:00,   51.28,   57.18,   42.77,   53.06,   58.49,   45.74
05/01/2013 03:10:00,   50.85,   57.38,   42.76,   52.83,   58.07,   46.11
