# noise_analysis run from DCC-NOISE-001003 at Sun Jan  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/01/2013 00:05:00,   54.80,   58.40,   47.24,   56.73,   60.40,   49.28
06/01/2013 00:10:00,   54.15,   60.14,   46.46,   56.27,   61.60,   49.09
06/01/2013 00:15:00,   55.32,   59.13,   47.72,   58.76,   62.38,   49.81
06/01/2013 00:20:00,   52.39,   57.73,   43.44,   54.57,   58.76,   46.10
06/01/2013 00:25:00,   51.98,   58.89,   42.85,   54.67,   61.72,   45.26
06/01/2013 00:30:00,   53.41,   59.72,   44.01,   54.63,   60.47,   46.63
06/01/2013 00:35:00,   56.63,   60.29,   47.35,   58.14,   61.45,   49.69
06/01/2013 00:40:00,   56.61,   61.21,   49.27,   59.25,   62.74,   51.50
06/01/2013 00:45:00,   56.40,   60.84,   49.29,   57.77,   61.50,   51.13
06/01/2013 00:50:00,   53.44,   58.37,   46.31,   56.10,   60.66,   49.18
06/01/2013 00:55:00,   53.05,   59.05,   44.97,   54.75,   59.97,   47.83
06/01/2013 01:00:00,   54.87,   59.49,   46.88,   57.86,   61.58,   49.00
06/01/2013 01:05:00,   55.06,   59.72,   48.66,   56.75,   61.02,   51.21
06/01/2013 01:10:00,   55.81,   60.23,   49.64,   57.16,   60.96,   52.08
06/01/2013 01:15:00,   54.88,   59.83,   45.91,   56.13,   60.67,   48.51
06/01/2013 01:20:00,   55.08,   59.79,   47.46,   56.76,   61.14,   49.76
06/01/2013 01:25:00,   54.33,   59.20,   46.29,   55.71,   60.61,   48.82
06/01/2013 01:30:00,   55.79,   59.68,   49.32,   57.36,   61.26,   51.55
06/01/2013 01:35:00,   55.10,   60.13,   46.63,   56.68,   61.20,   49.08
06/01/2013 01:40:00,   54.24,   58.48,   48.33,   55.92,   59.73,   50.49
06/01/2013 01:45:00,   54.69,   61.10,   46.03,   56.64,   62.51,   49.19
06/01/2013 01:50:00,   54.53,   60.36,   47.63,   56.16,   61.09,   49.86
06/01/2013 01:55:00,   55.07,   59.84,   46.99,   56.78,   61.52,   49.56
06/01/2013 02:00:00,   53.15,   58.57,   45.41,   55.61,   60.42,   48.12
06/01/2013 02:05:00,   54.28,   59.16,   47.99,   55.85,   59.96,   50.33
06/01/2013 02:10:00,   55.34,   59.72,   47.93,   57.41,   61.09,   50.52
06/01/2013 02:15:00,   54.18,   58.85,   48.40,   56.01,   60.17,   50.51
06/01/2013 02:20:00,   55.85,   60.96,   47.99,   57.51,   62.62,   50.34
06/01/2013 02:25:00,   52.95,   58.31,   43.30,   54.60,   59.74,   46.08
06/01/2013 02:30:00,   52.67,   58.46,   45.47,   54.90,   59.89,   48.01
06/01/2013 02:35:00,   53.70,   59.47,   43.93,   54.62,   60.44,   45.78
06/01/2013 02:40:00,   53.52,   58.38,   44.63,   55.10,   59.74,   47.01
06/01/2013 02:45:00,   54.41,   60.16,   44.82,   56.27,   60.83,   46.98
06/01/2013 02:50:00,   54.56,   60.23,   45.07,   55.89,   61.51,   47.16
06/01/2013 02:55:00,   52.02,   57.60,   43.01,   53.46,   58.52,   45.46
06/01/2013 03:00:00,   54.04,   59.29,   44.19,   55.49,   60.50,   46.56
06/01/2013 03:05:00,   52.26,   58.09,   44.27,   53.39,   58.53,   46.64
06/01/2013 03:10:00,   55.32,   60.53,   47.23,   56.45,   61.47,   48.80
06/01/2013 03:15:00,   55.44,   60.78,   47.68,   56.61,   61.42,   49.29
06/01/2013 03:20:00,   51.66,   57.60,   43.80,   54.17,   58.80,   46.71
06/01/2013 03:25:00,   52.65,   58.25,   45.76,   54.38,   59.35,   48.71
