# noise_analysis run from DCC-NOISE-001003 at Mon Jan  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/01/2013 00:05:00,   52.27,   57.92,   42.26,   55.82,   61.04,   46.38
07/01/2013 00:10:00,   53.01,   58.71,   43.53,   54.54,   59.41,   46.86
07/01/2013 00:15:00,   52.33,   58.06,   42.74,   54.08,   59.78,   45.39
07/01/2013 00:20:00,   54.28,   59.67,   44.28,   55.77,   60.80,   47.38
07/01/2013 00:25:00,   52.70,   57.87,   43.16,   54.08,   59.11,   46.29
07/01/2013 00:30:00,   53.99,   59.03,   42.99,   55.85,   60.80,   45.32
07/01/2013 00:35:00,   54.78,   59.06,   45.38,   56.89,   60.93,   47.68
07/01/2013 00:40:00,   53.40,   59.06,   43.80,   55.45,   60.05,   47.84
07/01/2013 00:45:00,   54.22,   59.23,   45.71,   57.23,   61.71,   48.90
07/01/2013 00:50:00,   52.32,   57.58,   43.27,   55.33,   60.21,   46.59
07/01/2013 00:55:00,   51.84,   56.94,   43.42,   54.55,   59.49,   46.49
07/01/2013 01:00:00,   52.88,   58.54,   44.45,   55.31,   60.40,   47.16
07/01/2013 01:05:00,   52.25,   57.45,   43.59,   53.70,   58.24,   46.70
07/01/2013 01:10:00,   50.24,   55.67,   39.13,   51.99,   56.93,   42.22
07/01/2013 01:15:00,   51.98,   58.15,   42.31,   53.69,   59.10,   44.57
07/01/2013 01:20:00,   52.59,   59.42,   43.55,   53.74,   60.02,   45.29
07/01/2013 01:25:00,   52.95,   58.49,   41.99,   54.20,   59.34,   45.51
07/01/2013 01:30:00,   50.35,   58.15,   40.15,   51.39,   58.71,   42.50
07/01/2013 01:35:00,   50.33,   56.46,   40.62,   51.70,   57.62,   42.85
07/01/2013 01:40:00,   47.61,   54.78,   38.85,   49.14,   55.81,   41.14
07/01/2013 01:45:00,   50.97,   57.48,   41.08,   52.49,   58.71,   43.50
07/01/2013 01:50:00,   50.10,   57.64,   38.37,   51.60,   58.29,   41.93
07/01/2013 01:55:00,   48.66,   56.31,   38.12,   49.77,   57.41,   40.90
07/01/2013 02:00:00,   47.76,   53.46,   39.53,   48.39,   54.55,   40.66
07/01/2013 02:05:00,   47.54,   55.09,   37.04,   48.67,   55.85,   39.33
07/01/2013 02:10:00,   46.28,   53.84,   37.19,   47.63,   55.35,   39.47
07/01/2013 02:15:00,   47.86,   55.94,   40.14,   48.49,   56.78,   40.41
07/01/2013 02:20:00,   48.43,   55.24,   40.26,   49.87,   57.27,   41.03
07/01/2013 02:25:00,   47.96,   55.14,   38.29,   49.22,   56.04,   39.38
07/01/2013 02:30:00,   44.99,   52.73,   36.58,   47.63,   54.21,   39.57
07/01/2013 02:35:00,   46.37,   52.94,   38.36,   47.29,   54.06,   39.68
07/01/2013 02:40:00,   42.63,   45.38,   38.18,   43.99,   46.87,   39.11
07/01/2013 02:45:00,   47.65,   55.53,   38.34,   48.70,   56.60,   39.93
07/01/2013 02:50:00,   44.57,   50.46,   36.46,   45.75,   51.24,   38.74
07/01/2013 02:55:00,   49.97,   58.41,   36.36,   50.98,   58.78,   39.39
07/01/2013 03:00:00,   48.08,   56.35,   37.33,   48.88,   56.69,   40.14
07/01/2013 03:05:00,   41.30,   45.16,   35.79,   44.52,   47.47,   41.31
07/01/2013 03:10:00,   43.67,   51.12,   35.10,   45.80,   51.85,   39.93
07/01/2013 03:15:00,   43.70,   49.63,   35.17,   45.29,   50.44,   38.99
07/01/2013 03:20:00,   40.14,   39.81,   35.16,   43.48,   43.43,   39.47
07/01/2013 03:25:00,   41.97,   46.69,   36.46,   44.89,   50.09,   40.56
07/01/2013 03:30:00,   44.97,   51.68,   36.34,   47.46,   55.02,   40.24
