# noise_analysis run from DCC-NOISE-001003 at Wed Jan  9 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/01/2013 00:05:00,   53.78,   59.02,   46.89,   56.46,   60.35,   52.20
09/01/2013 00:10:00,   55.31,   60.78,   48.16,   57.31,   61.71,   52.23
09/01/2013 00:15:00,   54.93,   59.28,   47.78,   56.88,   60.22,   52.30
09/01/2013 00:20:00,   53.29,   57.89,   47.80,   56.41,   59.60,   53.29
09/01/2013 00:25:00,   52.77,   58.05,   45.48,   57.71,   60.97,   52.46
09/01/2013 00:30:00,   52.20,   57.27,   45.17,   55.33,   59.10,   51.70
09/01/2013 00:35:00,   54.80,   60.01,   48.18,   56.79,   60.81,   52.10
09/01/2013 00:40:00,   54.36,   58.75,   47.35,   56.70,   60.46,   51.93
09/01/2013 00:45:00,   51.28,   57.13,   45.01,   54.25,   58.25,   50.31
09/01/2013 00:50:00,   53.35,   58.24,   46.25,   56.31,   59.95,   52.22
09/01/2013 00:55:00,   53.86,   60.33,   44.89,   56.75,   61.76,   50.87
09/01/2013 01:00:00,   52.66,   58.32,   45.60,   55.47,   59.17,   51.68
09/01/2013 01:05:00,   51.28,   56.41,   45.36,   55.39,   58.13,   52.32
09/01/2013 01:10:00,   51.49,   56.69,   46.14,   55.76,   59.11,   52.86
09/01/2013 01:15:00,   54.37,   59.32,   48.00,   57.45,   60.96,   52.76
09/01/2013 01:20:00,   51.20,   56.68,   44.85,   53.88,   58.26,   49.48
09/01/2013 01:25:00,   53.16,   57.65,   45.67,   55.17,   59.39,   49.56
09/01/2013 01:30:00,   50.14,   55.98,   43.98,   52.49,   57.04,   48.70
09/01/2013 01:35:00,   51.00,   57.04,   44.50,   54.23,   58.89,   50.31
09/01/2013 01:40:00,   50.85,   57.53,   44.03,   53.47,   58.88,   48.42
09/01/2013 01:45:00,   47.31,   52.18,   42.87,   52.60,   56.81,   49.35
09/01/2013 01:50:00,   48.79,   55.36,   42.03,   52.20,   56.55,   47.96
09/01/2013 01:55:00,   51.35,   57.05,   43.42,   54.01,   58.29,   49.75
09/01/2013 02:00:00,   49.67,   56.78,   43.57,   53.32,   57.96,   49.49
09/01/2013 02:05:00,   49.57,   54.46,   44.85,   54.26,   57.02,   51.94
09/01/2013 02:10:00,   47.73,   51.91,   43.05,   51.73,   53.84,   48.31
09/01/2013 02:15:00,   48.33,   52.33,   43.97,   53.33,   55.91,   50.55
09/01/2013 02:20:00,   46.95,   51.34,   42.80,   52.38,   54.19,   50.03
09/01/2013 02:25:00,   49.88,   56.09,   43.45,   53.79,   58.13,   49.49
09/01/2013 02:30:00,   46.00,   49.33,   41.98,   49.57,   52.07,   46.75
09/01/2013 02:35:00,   49.64,   56.20,   42.61,   52.47,   57.75,   47.62
09/01/2013 02:40:00,   48.52,   54.40,   42.02,   51.32,   55.53,   47.22
09/01/2013 02:45:00,   47.28,   52.26,   41.64,   50.63,   53.92,   46.98
09/01/2013 02:50:00,   47.72,   52.87,   42.30,   51.36,   55.37,   47.16
09/01/2013 02:55:00,   45.36,   46.15,   41.38,   48.92,   49.55,   46.52
09/01/2013 03:00:00,   49.30,   56.01,   41.94,   52.45,   57.11,   47.96
09/01/2013 03:05:00,   49.49,   56.77,   42.51,   53.28,   58.23,   48.26
09/01/2013 03:10:00,   47.21,   51.59,   42.53,   50.47,   53.27,   47.51
09/01/2013 03:15:00,   48.90,   53.88,   43.78,   52.08,   55.92,   48.49
09/01/2013 03:20:00,   46.62,   49.46,   43.94,   52.23,   53.40,   49.97
09/01/2013 03:25:00,   45.12,   46.17,   42.61,   51.06,   52.87,   48.65
09/01/2013 03:30:00,   49.00,   52.72,   43.98,   52.60,   54.80,   49.62
09/01/2013 03:35:00,   47.14,   48.77,   43.44,   52.44,   53.72,   49.49
09/01/2013 03:40:00,   47.58,   51.95,   43.05,   52.83,   55.58,   49.41
09/01/2013 03:45:00,   50.59,   57.08,   43.04,   53.88,   59.10,   49.35
09/01/2013 03:50:00,   48.12,   52.79,   42.33,   52.56,   55.91,   48.60
09/01/2013 03:55:00,   50.36,   54.96,   44.69,   55.03,   57.84,   51.26
09/01/2013 04:00:00,   51.08,   57.98,   43.55,   55.29,   60.20,   50.30
09/01/2013 04:05:00,   47.86,   51.53,   42.69,   53.63,   55.74,   50.14
09/01/2013 04:10:00,   49.79,   55.98,   43.29,   53.75,   58.04,   49.40
09/01/2013 04:15:00,   49.64,   55.57,   44.32,   54.84,   58.60,   51.47
09/01/2013 04:20:00,   46.58,   49.04,   43.97,   53.61,   54.99,   51.25
09/01/2013 04:25:00,   49.21,   54.18,   44.35,   55.59,   58.11,   52.30
09/01/2013 04:30:00,   50.91,   57.11,   45.25,   58.19,   61.65,   53.70
09/01/2013 04:35:00,   50.79,   54.82,   45.15,   58.47,   62.96,   52.15
09/01/2013 04:40:00,   50.11,   56.55,   45.43,   55.98,   61.26,   52.17
09/01/2013 04:45:00,   48.63,   52.19,   45.34,   53.55,   56.90,   50.14
09/01/2013 04:50:00,   46.53,   47.76,   45.05,   51.23,   52.81,   49.46
09/01/2013 04:55:00,   48.80,   53.52,   45.10,   52.36,   55.63,   49.53
09/01/2013 05:00:00,   46.54,   47.48,   44.39,   51.35,   52.46,   48.92
09/01/2013 05:05:00,   48.92,   53.00,   45.03,   53.42,   56.15,   49.77
09/01/2013 05:10:00,   49.23,   51.52,   46.51,   54.25,   55.91,   52.46
09/01/2013 05:15:00,   50.21,   54.44,   46.24,   54.10,   56.18,   51.23
09/01/2013 05:20:00,   52.94,   57.71,   46.10,   55.57,   59.63,   50.53
09/01/2013 05:25:00,   50.40,   54.46,   46.59,   54.12,   57.28,   50.94
09/01/2013 05:30:00,   50.51,   54.99,   46.61,   53.68,   56.77,   51.18
09/01/2013 05:35:00,   51.58,   56.90,   47.03,   55.86,   60.54,   51.22
09/01/2013 05:40:00,   51.44,   55.11,   48.37,   55.74,   57.72,   53.63
09/01/2013 05:45:00,   53.62,   58.49,   48.46,   56.59,   59.87,   53.75
09/01/2013 05:50:00,   53.08,   57.40,   49.10,   57.59,   60.05,   54.15
09/01/2013 05:55:00,   53.62,   57.43,   49.19,   56.79,   59.43,   54.02
09/01/2013 06:00:00,   54.40,   59.17,   48.65,   58.43,   61.93,   53.78
09/01/2013 06:05:00,   52.89,   57.02,   48.80,   56.63,   59.31,   53.50
09/01/2013 06:10:00,   53.14,   57.06,   48.66,   56.03,   59.12,   52.87
09/01/2013 06:15:00,   54.24,   58.55,   49.95,   57.52,   61.27,   54.02
09/01/2013 06:20:00,   55.58,   60.13,   50.42,   58.11,   62.19,   54.23
09/01/2013 06:25:00,   55.30,   58.37,   51.41,   58.62,   61.40,   55.42
09/01/2013 06:30:00,   57.09,   61.01,   52.84,   60.87,   64.33,   56.74
09/01/2013 06:35:00,   55.38,   58.81,   52.05,   58.97,   61.92,   56.00
09/01/2013 06:40:00,   56.27,   59.94,   52.56,   59.32,   62.18,   56.52
09/01/2013 06:45:00,   56.99,   59.90,   52.87,   60.91,   65.00,   56.89
09/01/2013 06:50:00,   57.80,   60.57,   53.84,   60.70,   63.09,   57.05
09/01/2013 06:55:00,   57.02,   60.33,   53.61,   59.81,   62.46,   56.91
09/01/2013 07:00:00,   57.63,   60.00,   54.79,   61.30,   63.87,   58.59
09/01/2013 07:05:00,   57.79,   60.62,   54.69,   61.18,   64.24,   57.98
09/01/2013 07:10:00,   58.16,   60.77,   54.92,   62.07,   64.46,   59.61
09/01/2013 07:15:00,   58.43,   61.90,   54.73,   61.76,   64.26,   59.14
09/01/2013 07:20:00,   57.56,   60.62,   53.85,   61.33,   63.60,   58.52
09/01/2013 07:25:00,   59.25,   62.11,   55.81,   62.84,   65.66,   59.63
09/01/2013 07:30:00,   59.39,   62.04,   56.16,   62.93,   65.52,   59.68
09/01/2013 07:35:00,   59.64,   61.60,   56.74,   62.79,   64.43,   60.20
09/01/2013 07:40:00,   60.12,   62.45,   56.76,   64.27,   66.73,   60.48
09/01/2013 07:45:00,   59.49,   62.26,   55.83,   63.46,   65.79,   59.84
09/01/2013 07:50:00,   60.44,   62.85,   57.15,   63.33,   64.98,   60.73
09/01/2013 07:55:00,   59.93,   62.29,   56.49,   62.87,   65.00,   59.92
09/01/2013 08:00:00,   61.17,   63.66,   56.38,   64.22,   67.00,   59.37
09/01/2013 08:05:00,   59.51,   62.14,   56.57,   62.32,   64.75,   59.80
09/01/2013 08:10:00,   59.77,   62.55,   56.18,   62.96,   65.79,   59.90
09/01/2013 08:15:00,   59.70,   62.26,   57.01,   63.73,   65.66,   61.76
09/01/2013 08:20:00,   59.54,   61.73,   56.84,   62.90,   65.03,   60.49
09/01/2013 08:25:00,   59.28,   61.15,   56.76,   62.36,   64.12,   60.53
09/01/2013 08:30:00,   58.90,   61.98,   55.83,   63.00,   66.11,   60.00
09/01/2013 08:35:00,   59.27,   61.32,   56.80,   62.56,   64.29,   60.57
09/01/2013 08:40:00,   59.42,   61.83,   57.03,   63.02,   64.71,   60.75
