# noise_analysis run from DCC-NOISE-001003 at Sun Jan 13 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/01/2013 00:05:00,   55.03,   59.80,   45.56,   56.94,   61.40,   48.29
13/01/2013 00:10:00,   53.01,   58.58,   43.79,   54.44,   59.72,   46.82
13/01/2013 00:15:00,   54.75,   59.92,   44.95,   56.62,   61.21,   46.85
13/01/2013 00:20:00,   54.73,   59.71,   45.75,   57.69,   62.97,   48.03
13/01/2013 00:25:00,   54.48,   60.16,   44.19,   55.64,   60.85,   47.10
13/01/2013 00:30:00,   53.92,   59.17,   44.62,   57.04,   61.86,   47.68
13/01/2013 00:35:00,   53.88,   59.70,   45.15,   55.12,   60.56,   47.19
13/01/2013 00:40:00,   54.51,   59.45,   44.46,   55.93,   60.61,   46.87
13/01/2013 00:45:00,   53.24,   57.85,   45.38,   55.92,   60.26,   47.65
13/01/2013 00:50:00,   53.83,   59.19,   42.00,   55.46,   60.48,   44.91
13/01/2013 00:55:00,   51.21,   56.62,   41.12,   52.71,   57.79,   43.73
13/01/2013 01:00:00,   53.22,   59.41,   41.85,   55.02,   60.65,   44.21
13/01/2013 01:05:00,   53.74,   58.30,   45.15,   55.56,   59.91,   47.49
13/01/2013 01:10:00,   54.31,   59.27,   43.51,   56.46,   61.77,   46.89
13/01/2013 01:15:00,   54.85,   60.11,   43.53,   56.28,   61.83,   45.71
13/01/2013 01:20:00,   53.21,   58.66,   42.38,   54.84,   60.48,   45.47
13/01/2013 01:25:00,   52.60,   58.35,   43.27,   54.69,   60.44,   45.82
13/01/2013 01:30:00,   52.54,   58.67,   44.02,   54.23,   59.48,   47.08
13/01/2013 01:35:00,   53.91,   57.97,   44.26,   55.85,   59.94,   46.38
13/01/2013 01:40:00,   53.26,   58.70,   42.61,   54.64,   59.52,   45.84
13/01/2013 01:45:00,   54.10,   59.20,   44.23,   55.42,   60.02,   46.49
13/01/2013 01:50:00,   55.02,   58.82,   44.52,   56.29,   60.01,   46.30
13/01/2013 01:55:00,   54.10,   59.16,   47.10,   55.53,   60.37,   49.11
13/01/2013 02:00:00,   55.39,   60.46,   46.47,   56.78,   61.62,   48.44
13/01/2013 02:05:00,   56.28,   60.40,   48.62,   57.58,   61.07,   50.58
13/01/2013 02:10:00,   54.97,   60.04,   46.77,   56.39,   61.08,   49.36
13/01/2013 02:15:00,   53.43,   58.00,   46.70,   55.00,   59.04,   49.06
13/01/2013 02:20:00,   56.42,   60.42,   49.55,   57.82,   61.60,   51.63
13/01/2013 02:25:00,   54.51,   59.98,   45.64,   55.91,   61.03,   47.59
13/01/2013 02:30:00,   57.08,   62.67,   46.15,   60.22,   66.99,   48.54
13/01/2013 02:35:00,   56.26,   60.95,   46.15,   59.07,   64.18,   48.31
13/01/2013 02:40:00,   52.63,   59.62,   42.23,   54.00,   60.05,   44.99
13/01/2013 02:45:00,   56.00,   60.52,   47.01,   57.94,   62.33,   48.67
13/01/2013 02:50:00,   55.19,   60.85,   48.08,   56.34,   61.74,   49.59
13/01/2013 02:55:00,   53.60,   58.78,   46.08,   54.90,   59.46,   48.36
13/01/2013 03:00:00,   54.14,   59.31,   47.62,   55.84,   61.05,   49.45
13/01/2013 03:05:00,   54.46,   60.09,   47.17,   55.83,   61.09,   49.13
13/01/2013 03:10:00,   54.33,   60.24,   45.71,   55.63,   61.03,   47.62
13/01/2013 03:15:00,   53.54,   59.74,   45.35,   55.25,   60.96,   47.80
13/01/2013 03:20:00,   54.91,   60.46,   46.45,   56.14,   61.30,   48.64
13/01/2013 03:25:00,   55.05,   59.56,   46.51,   56.59,   60.63,   48.66
13/01/2013 03:30:00,   55.67,   59.54,   47.18,   57.31,   61.20,   49.35
13/01/2013 03:35:00,   54.28,   59.88,   46.08,   55.52,   60.69,   47.83
13/01/2013 03:40:00,   53.68,   59.46,   45.44,   54.92,   59.91,   47.68
13/01/2013 03:45:00,   53.22,   59.30,   44.25,   54.51,   60.30,   46.26
13/01/2013 03:50:00,   52.60,   58.51,   44.25,   54.57,   59.96,   47.00
13/01/2013 03:55:00,   52.88,   58.68,   43.09,   54.32,   59.80,   45.53
13/01/2013 04:00:00,   53.21,   58.50,   45.07,   54.31,   59.16,   47.00
13/01/2013 04:05:00,   53.39,   58.32,   44.06,   55.30,   59.59,   47.65
13/01/2013 04:10:00,   53.50,   59.19,   44.41,   54.86,   59.97,   47.28
13/01/2013 04:15:00,   52.25,   59.40,   41.12,   53.90,   60.56,   43.96
13/01/2013 04:20:00,   52.63,   58.42,   42.20,   54.32,   59.37,   45.16
13/01/2013 04:25:00,   52.91,   59.27,   43.55,   54.20,   60.06,   45.94
13/01/2013 04:30:00,   51.99,   58.71,   41.29,   53.29,   59.33,   44.25
13/01/2013 04:35:00,   50.13,   56.50,   40.71,   51.48,   57.57,   43.91
13/01/2013 04:40:00,   51.41,   59.15,   40.80,   54.46,   60.61,   44.00
13/01/2013 04:45:00,   54.62,   60.09,   44.20,   57.45,   62.30,   47.28
13/01/2013 04:50:00,   48.74,   53.98,   40.55,   53.47,   59.54,   44.06
13/01/2013 04:55:00,   52.00,   57.51,   42.76,   54.44,   58.93,   46.82
13/01/2013 05:00:00,   50.63,   57.07,   41.93,   52.26,   58.19,   45.47
