# noise_analysis run from DCC-NOISE-001003 at Tue Jan 15 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/01/2013 00:05:00,   55.84,   61.03,   48.76,   58.35,   62.79,   53.46
15/01/2013 00:10:00,   56.31,   60.56,   49.50,   58.42,   61.86,   52.90
15/01/2013 00:15:00,   53.75,   57.71,   48.65,   56.42,   59.59,   52.94
15/01/2013 00:20:00,   52.46,   58.02,   47.67,   55.41,   59.60,   51.97
15/01/2013 00:25:00,   52.93,   56.27,   48.76,   56.02,   58.67,   53.07
15/01/2013 00:30:00,   55.88,   61.18,   49.96,   59.08,   63.86,   53.61
15/01/2013 00:36:00,   52.77,   58.99,   47.44,   55.87,   61.04,   51.22
15/01/2013 00:41:00,   52.37,   56.04,   47.64,   55.68,   59.18,   51.84
15/01/2013 00:46:00,   53.31,   58.93,   47.87,   56.31,   60.43,   52.15
15/01/2013 00:51:00,   50.75,   54.99,   47.37,   54.58,   57.08,   51.78
15/01/2013 00:56:00,   55.11,   60.91,   47.91,   57.79,   62.39,   51.58
15/01/2013 01:01:00,   51.53,   57.12,   45.81,   55.08,   59.48,   50.65
15/01/2013 01:06:00,   54.33,   59.75,   48.49,   57.55,   62.40,   52.87
15/01/2013 01:11:00,   55.28,   60.84,   47.57,   58.25,   62.78,   52.56
15/01/2013 01:16:00,   53.37,   58.31,   46.65,   56.21,   59.95,   51.03
15/01/2013 01:21:00,   52.99,   58.21,   45.44,   56.06,   59.85,   50.88
15/01/2013 01:26:00,   52.01,   57.88,   44.42,   56.40,   60.78,   49.62
15/01/2013 01:31:00,   51.05,   56.94,   45.22,   55.46,   59.53,   50.20
15/01/2013 01:36:00,   52.20,   58.25,   46.40,   56.53,   60.85,   51.06
15/01/2013 01:41:00,   52.11,   57.24,   45.15,   55.65,   59.35,   49.48
15/01/2013 01:46:00,   49.05,   55.45,   42.99,   53.98,   58.13,   48.35
15/01/2013 01:51:00,   52.87,   59.42,   44.81,   55.79,   60.88,   49.84
15/01/2013 01:56:00,   48.99,   51.66,   45.66,   52.93,   54.91,   49.90
15/01/2013 02:01:00,   51.20,   56.19,   45.92,   55.00,   59.35,   50.02
15/01/2013 02:06:00,   50.00,   55.65,   44.02,   53.21,   56.55,   49.49
15/01/2013 02:11:00,   48.46,   52.04,   43.66,   53.64,   56.35,   49.12
15/01/2013 02:16:00,   50.81,   55.02,   45.24,   55.12,   58.63,   50.33
15/01/2013 02:21:00,   49.12,   52.89,   42.91,   54.39,   58.84,   47.64
15/01/2013 02:26:00,   49.00,   55.27,   43.84,   52.73,   56.94,   48.59
15/01/2013 02:31:00,   46.72,   48.12,   43.10,   52.40,   54.58,   49.07
15/01/2013 02:36:00,   47.70,   51.64,   42.60,   53.03,   56.46,   48.09
15/01/2013 02:41:00,   50.24,   55.28,   44.92,   54.68,   57.60,   50.10
15/01/2013 02:46:00,   51.01,   56.18,   45.31,   55.13,   59.01,   50.26
15/01/2013 02:51:00,   51.48,   58.20,   44.89,   55.20,   59.38,   49.74
15/01/2013 02:56:00,   49.67,   54.88,   44.08,   53.82,   57.34,   49.90
15/01/2013 03:01:00,   45.75,   47.93,   42.85,   52.13,   54.48,   48.76
15/01/2013 03:06:00,   50.50,   55.84,   44.95,   54.68,   58.91,   50.15
15/01/2013 03:11:00,   50.03,   54.15,   45.93,   55.33,   58.47,   51.48
15/01/2013 03:16:00,   49.70,   55.42,   44.84,   56.09,   60.39,   50.63
15/01/2013 03:21:00,   50.17,   54.94,   45.48,   55.96,   59.37,   51.41
15/01/2013 03:26:00,   50.26,   55.44,   44.00,   55.31,   59.08,   50.10
15/01/2013 03:31:00,   48.61,   52.43,   44.10,   54.36,   58.07,   50.11
15/01/2013 03:36:00,   48.03,   49.88,   44.45,   53.39,   56.19,   49.90
15/01/2013 03:41:00,   47.18,   48.63,   44.68,   53.42,   55.96,   49.99
15/01/2013 03:46:00,   48.34,   50.38,   44.48,   52.88,   55.43,   49.59
15/01/2013 03:51:00,   48.80,   51.80,   44.25,   54.11,   57.11,   49.89
15/01/2013 03:56:00,   48.43,   51.04,   44.31,   53.67,   57.26,   49.82
15/01/2013 04:01:00,   49.20,   53.09,   45.02,   53.46,   56.03,   49.87
15/01/2013 04:06:00,   51.41,   57.29,   45.67,   56.91,   61.08,   51.58
15/01/2013 04:11:00,   50.81,   54.53,   45.34,   57.85,   62.72,   51.25
15/01/2013 04:16:00,   50.39,   54.80,   45.39,   55.56,   59.08,   51.57
15/01/2013 04:21:00,   49.72,   52.63,   46.49,   54.31,   56.89,   51.14
15/01/2013 04:26:00,   49.18,   50.52,   46.74,   54.03,   56.58,   50.86
15/01/2013 04:31:00,   49.64,   51.58,   45.93,   54.72,   57.25,   50.75
15/01/2013 04:36:00,   49.40,   52.61,   45.85,   53.45,   56.27,   50.45
15/01/2013 04:41:00,   50.89,   53.76,   47.09,   54.95,   57.17,   51.55
15/01/2013 04:46:00,   50.56,   54.96,   46.56,   55.22,   58.11,   51.96
15/01/2013 04:51:00,   51.11,   55.55,   47.06,   54.67,   57.55,   51.45
15/01/2013 04:56:00,   48.15,   49.42,   46.64,   53.35,   54.83,   51.25
15/01/2013 05:01:00,   50.02,   52.42,   47.31,   53.94,   55.73,   51.64
15/01/2013 05:06:00,   52.30,   56.72,   48.18,   55.86,   58.77,   52.57
15/01/2013 05:11:00,   49.81,   52.48,   46.77,   54.85,   57.67,   51.53
15/01/2013 05:16:00,   51.70,   55.94,   46.99,   55.48,   58.47,   51.19
15/01/2013 05:21:00,   51.39,   53.28,   48.20,   56.04,   58.95,   52.75
15/01/2013 05:26:00,   51.80,   55.04,   48.87,   56.07,   58.71,   53.09
15/01/2013 05:31:00,   54.02,   58.90,   49.38,   57.80,   61.25,   53.90
15/01/2013 05:36:00,   53.98,   57.07,   50.56,   57.34,   60.30,   54.74
15/01/2013 05:41:00,   54.71,   58.37,   50.29,   58.40,   61.28,   54.66
15/01/2013 05:46:00,   55.55,   60.07,   50.82,   58.94,   62.21,   54.84
15/01/2013 05:51:00,   56.34,   61.28,   51.97,   60.55,   64.74,   56.13
15/01/2013 05:56:00,   55.43,   58.77,   50.76,   58.44,   61.31,   54.70
15/01/2013 06:01:00,   55.40,   60.19,   50.69,   58.48,   61.63,   54.93
15/01/2013 06:06:00,   55.02,   58.24,   51.40,   58.67,   61.50,   54.99
15/01/2013 06:11:00,   55.24,   57.75,   52.24,   58.50,   60.62,   55.80
15/01/2013 06:16:00,   56.21,   59.42,   51.58,   58.94,   61.89,   55.37
15/01/2013 06:21:00,   55.97,   59.43,   52.21,   58.78,   61.22,   55.99
15/01/2013 06:26:00,   58.02,   62.27,   53.06,   61.25,   64.56,   56.54
15/01/2013 06:31:00,   58.30,   61.14,   53.44,   60.81,   63.37,   57.41
15/01/2013 06:36:00,   58.67,   61.59,   54.71,   61.54,   63.60,   58.71
15/01/2013 06:41:00,   58.81,   62.02,   53.87,   62.41,   65.42,   57.76
15/01/2013 06:46:00,   58.22,   60.72,   54.44,   61.92,   65.02,   58.44
15/01/2013 06:51:00,   59.71,   63.00,   55.46,   63.44,   66.94,   59.16
15/01/2013 06:56:00,   58.51,   61.53,   55.09,   62.55,   66.45,   59.15
15/01/2013 07:01:00,   59.25,   61.46,   56.06,   62.56,   65.30,   59.59
15/01/2013 07:06:00,   58.90,   61.25,   55.87,   61.61,   63.21,   59.35
15/01/2013 07:11:00,   60.04,   62.64,   56.01,   63.20,   65.43,   59.64
15/01/2013 07:16:00,   60.65,   64.21,   55.92,   63.92,   67.77,   59.66
15/01/2013 07:21:00,   60.07,   63.11,   55.94,   63.76,   67.25,   59.54
15/01/2013 07:26:00,   58.94,   61.71,   55.39,   62.47,   65.40,   59.43
15/01/2013 07:31:00,   60.26,   63.45,   56.42,   63.83,   67.56,   60.25
15/01/2013 07:36:00,   60.00,   62.71,   57.19,   63.05,   65.45,   60.37
15/01/2013 07:41:00,   59.98,   62.30,   57.02,   62.94,   64.76,   60.48
15/01/2013 07:46:00,   60.54,   63.14,   57.75,   64.69,   67.44,   61.86
15/01/2013 07:51:00,   61.06,   63.73,   58.04,   64.45,   67.08,   61.33
15/01/2013 07:56:00,   60.26,   62.92,   56.51,   63.65,   65.43,   60.86
15/01/2013 08:01:00,   60.90,   63.21,   58.07,   64.63,   67.09,   61.95
15/01/2013 08:06:00,   59.38,   62.13,   56.76,   63.16,   65.58,   60.83
15/01/2013 08:11:00,   60.22,   62.38,   57.42,   63.74,   65.32,   61.52
15/01/2013 08:16:00,   60.13,   62.27,   57.09,   63.55,   65.53,   61.10
15/01/2013 08:21:00,   60.01,   62.99,   57.39,   63.25,   65.78,   60.92
15/01/2013 08:26:00,   60.00,   61.86,   57.21,   63.47,   65.04,   61.26
15/01/2013 08:31:00,   59.95,   62.35,   57.30,   63.61,   65.34,   61.50
15/01/2013 08:36:00,   59.01,   61.32,   56.75,   62.88,   64.36,   61.33
15/01/2013 08:41:00,   60.37,   62.92,   57.14,   64.55,   66.57,   61.83
15/01/2013 08:46:00,   59.90,   62.95,   56.41,   63.98,   66.31,   61.33
15/01/2013 08:51:00,   59.70,   61.95,   56.66,   63.63,   65.63,   61.04
15/01/2013 08:56:00,   59.53,   61.76,   57.03,   63.33,   64.87,   61.63
15/01/2013 09:01:00,   60.68,   62.51,   58.23,   65.51,   67.14,   63.02
15/01/2013 09:06:00,   60.54,   62.79,   57.85,   64.35,   66.59,   61.82
15/01/2013 09:11:00,   60.57,   62.35,   57.73,   64.00,   65.55,   61.48
15/01/2013 09:16:00,   60.24,   62.59,   57.52,   64.13,   65.88,   61.76
15/01/2013 09:21:00,   60.99,   63.31,   57.78,   64.57,   66.86,   61.58
15/01/2013 09:26:00,   60.22,   63.06,   56.44,   63.82,   66.03,   60.64
15/01/2013 09:31:00,   59.83,   62.19,   56.83,   63.36,   65.35,   61.06
15/01/2013 09:36:00,   60.71,   63.71,   56.90,   63.89,   66.10,   60.72
15/01/2013 09:41:00,   59.88,   62.01,   56.88,   63.51,   65.30,   60.99
15/01/2013 09:46:00,   59.92,   62.21,   56.04,   64.25,   66.09,   60.32
15/01/2013 09:51:00,   60.31,   63.02,   55.41,   63.38,   65.56,   59.63
15/01/2013 09:56:00,   60.65,   63.37,   56.96,   63.87,   66.21,   60.75
15/01/2013 10:01:00,   60.71,   63.28,   57.19,   64.00,   66.56,   61.13
15/01/2013 10:06:00,   60.36,   63.26,   56.71,   63.48,   65.99,   60.49
15/01/2013 10:11:00,   60.12,   62.92,   55.88,   64.17,   66.73,   59.71
15/01/2013 10:16:00,   60.45,   62.31,   56.97,   64.25,   66.47,   60.94
15/01/2013 10:21:00,   60.64,   63.21,   56.90,   63.90,   65.93,   60.95
15/01/2013 10:26:00,   59.45,   61.71,   56.54,   62.10,   63.78,   60.02
15/01/2013 10:31:00,   59.84,   62.76,   56.00,   62.17,   64.52,   59.35
15/01/2013 10:36:00,   59.07,   62.25,   54.87,   63.02,   66.43,   59.24
15/01/2013 10:41:00,   58.53,   61.51,   54.87,   61.99,   64.27,   59.18
15/01/2013 10:46:00,   60.75,   63.34,   54.37,   63.38,   65.25,   58.47
15/01/2013 10:51:00,   58.88,   62.26,   53.37,   61.97,   64.91,   57.07
15/01/2013 10:56:00,   60.87,   63.38,   54.21,   64.14,   67.17,   58.32
15/01/2013 11:01:00,   58.46,   61.78,   54.47,   62.42,   64.40,   58.77
15/01/2013 11:06:00,   58.69,   61.53,   54.85,   61.86,   63.99,   58.73
15/01/2013 11:11:00,   58.06,   60.71,   53.84,   62.11,   65.44,   58.49
15/01/2013 11:16:00,   58.20,   61.39,   54.21,   62.42,   65.15,   59.32
15/01/2013 11:21:00,   57.98,   61.14,   53.78,   62.58,   66.37,   58.74
