# noise_analysis run from DCC-NOISE-001003 at Wed Jan 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/01/2013 00:05:00,   53.27,   57.87,   42.63,   56.12,   61.07,   46.48
16/01/2013 00:10:00,   53.77,   59.49,   42.68,   55.23,   60.68,   45.88
16/01/2013 00:15:00,   50.28,   56.76,   41.25,   52.31,   58.33,   44.52
16/01/2013 00:20:00,   51.73,   58.27,   41.70,   53.06,   58.74,   44.84
16/01/2013 00:25:00,   49.87,   58.21,   40.99,   52.08,   58.43,   44.72
16/01/2013 00:30:00,   49.67,   55.79,   41.40,   51.79,   56.97,   45.15
16/01/2013 00:35:00,   48.73,   56.04,   39.76,   51.57,   58.06,   43.94
16/01/2013 00:40:00,   51.74,   57.53,   42.24,   53.35,   58.60,   45.18
16/01/2013 00:45:00,   51.95,   58.88,   41.15,   53.39,   59.60,   44.50
16/01/2013 00:50:00,   48.64,   56.10,   40.48,   50.37,   56.94,   43.50
16/01/2013 00:55:00,   50.40,   57.51,   40.60,   52.10,   58.17,   43.88
16/01/2013 01:00:00,   51.64,   59.37,   40.21,   53.14,   59.97,   44.17
16/01/2013 01:05:00,   49.98,   55.90,   40.08,   52.28,   57.47,   44.36
16/01/2013 01:10:00,   49.29,   57.77,   39.09,   51.49,   58.68,   43.62
16/01/2013 01:15:00,   50.74,   58.97,   40.51,   52.95,   59.42,   44.62
16/01/2013 01:20:00,   45.68,   51.09,   38.35,   48.15,   53.11,   42.31
16/01/2013 01:25:00,   48.88,   57.47,   38.69,   50.71,   58.13,   42.07
16/01/2013 01:30:00,   49.75,   56.41,   40.03,   52.04,   57.74,   43.22
16/01/2013 01:35:00,   41.88,   44.99,   38.13,   44.78,   47.63,   41.87
16/01/2013 01:40:00,   40.83,   44.16,   37.09,   46.70,   52.45,   41.26
16/01/2013 01:45:00,   48.23,   55.76,   37.99,   50.37,   56.58,   41.93
16/01/2013 01:50:00,   46.03,   53.93,   37.28,   48.20,   54.60,   41.67
16/01/2013 01:55:00,   43.15,   51.00,   36.76,   45.73,   52.35,   40.54
