# noise_analysis run from DCC-NOISE-001003 at Fri Jan 18 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
18/01/2013 00:05:00,   59.14,   64.30,   47.76,   64.69,   71.52,   52.05
18/01/2013 00:10:00,   61.99,   70.26,   47.50,   67.13,   75.73,   51.36
18/01/2013 00:15:00,   65.54,   73.76,   48.50,   71.30,   79.33,   54.17
18/01/2013 00:20:00,   60.99,   65.45,   47.35,   66.10,   73.26,   50.90
18/01/2013 00:25:00,   59.35,   65.48,   48.36,   64.26,   71.49,   51.09
18/01/2013 00:30:00,   54.54,   59.50,   46.73,   57.79,   62.66,   49.61
18/01/2013 00:36:00,   53.92,   59.56,   46.15,   57.51,   61.55,   49.64
18/01/2013 00:41:00,   55.69,   62.26,   46.58,   60.04,   66.61,   49.71
18/01/2013 00:46:00,   55.71,   61.49,   47.03,   59.63,   65.99,   50.42
18/01/2013 00:51:00,   54.87,   61.12,   44.87,   56.38,   61.87,   47.64
18/01/2013 00:56:00,   58.74,   63.73,   48.06,   62.66,   68.05,   51.41
18/01/2013 01:01:00,   54.96,   60.26,   46.40,   58.58,   63.12,   50.23
18/01/2013 01:06:00,   57.98,   63.90,   46.66,   62.68,   69.81,   50.74
18/01/2013 01:11:00,   54.54,   62.25,   43.94,   58.26,   63.90,   48.52
18/01/2013 01:16:00,   60.75,   66.91,   46.82,   65.32,   72.65,   51.16
18/01/2013 01:21:00,   62.30,   70.97,   44.46,   67.38,   76.55,   48.69
18/01/2013 01:26:00,   58.63,   65.56,   45.17,   64.97,   72.86,   50.34
18/01/2013 01:31:00,   59.86,   66.37,   45.58,   63.70,   71.32,   48.66
18/01/2013 01:36:00,   56.18,   60.71,   44.81,   61.07,   65.37,   49.76
18/01/2013 01:41:00,   57.80,   65.17,   45.40,   63.85,   71.18,   51.65
