# noise_analysis run from DCC-NOISE-001003 at Sat Jan 19 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.869366
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/01/2013 00:05:00,   55.78,   60.98,   43.82,   58.73,   62.60,   47.13
19/01/2013 00:10:00,   53.04,   58.91,   44.89,   55.30,   61.07,   47.82
19/01/2013 00:15:00,   54.76,   60.29,   44.89,   57.03,   61.82,   47.67
19/01/2013 00:20:00,   53.83,   60.19,   44.82,   55.46,   60.73,   47.73
19/01/2013 00:25:00,   53.60,   59.15,   44.48,   55.45,   60.43,   47.74
19/01/2013 00:30:00,   51.87,   59.06,   43.97,   53.58,   59.98,   46.73
19/01/2013 00:35:00,   54.60,   59.49,   45.43,   56.84,   61.73,   48.12
19/01/2013 00:40:00,   53.56,   59.46,   43.37,   55.39,   60.60,   46.66
19/01/2013 00:45:00,   52.44,   58.58,   45.00,   54.59,   59.70,   47.83
19/01/2013 00:50:00,   54.60,   60.82,   44.43,   56.92,   61.83,   48.38
19/01/2013 00:55:00,   52.76,   59.20,   43.42,   54.30,   59.70,   46.78
19/01/2013 01:00:00,   51.12,   58.12,   42.52,   52.66,   59.12,   45.98
19/01/2013 01:05:00,   52.85,   59.02,   44.00,   54.64,   60.11,   47.20
19/01/2013 01:10:00,   53.49,   60.81,   43.38,   55.10,   61.55,   46.47
19/01/2013 01:15:00,   55.01,   61.62,   43.64,   56.66,   63.30,   47.10
19/01/2013 01:20:00,   53.63,   60.43,   44.39,   55.18,   61.00,   47.25
19/01/2013 01:25:00,   52.83,   58.64,   43.13,   55.13,   59.78,   47.33
19/01/2013 01:30:00,   55.34,   61.25,   44.09,   56.72,   61.83,   47.77
19/01/2013 01:35:00,   52.47,   60.17,   41.86,   54.33,   60.76,   45.61
19/01/2013 01:40:00,   54.19,   60.18,   44.64,   55.82,   60.97,   48.16
19/01/2013 01:45:00,   52.70,   60.18,   42.32,   54.72,   61.25,   45.72
19/01/2013 01:50:00,   52.39,   57.89,   43.93,   54.85,   59.78,   46.79
19/01/2013 01:55:00,   54.24,   60.30,   43.30,   56.20,   60.90,   46.38
19/01/2013 02:00:00,   53.25,   59.09,   43.39,   55.67,   60.34,   48.24
19/01/2013 02:05:00,   54.28,   61.06,   42.39,   56.57,   61.80,   46.39
19/01/2013 02:10:00,   52.78,   59.09,   42.26,   54.67,   59.99,   46.28
19/01/2013 02:15:00,   54.02,   60.62,   42.04,   55.38,   61.32,   45.28
19/01/2013 02:20:00,   52.64,   58.03,   43.42,   56.53,   61.02,   45.93
19/01/2013 02:25:00,   52.93,   59.81,   43.12,   55.21,   61.13,   46.31
19/01/2013 02:30:00,   53.91,   60.76,   42.80,   56.57,   62.60,   47.10
19/01/2013 02:35:00,   53.51,   59.22,   42.55,   55.61,   60.82,   45.60
19/01/2013 02:40:00,   51.91,   58.24,   42.58,   54.13,   59.83,   45.21
19/01/2013 02:45:00,   51.96,   59.40,   42.06,   53.93,   60.68,   45.26
19/01/2013 02:50:00,   52.68,   58.69,   41.39,   53.93,   59.44,   44.52
19/01/2013 02:55:00,   50.35,   57.40,   40.90,   51.95,   58.48,   44.23
19/01/2013 03:00:00,   48.26,   55.23,   39.82,   49.86,   56.53,   43.00
19/01/2013 03:05:00,   49.25,   57.37,   39.54,   50.59,   58.08,   43.19
19/01/2013 03:10:00,   52.70,   59.32,   42.37,   54.13,   59.94,   45.61
19/01/2013 03:15:00,   51.98,   59.88,   40.72,   53.80,   60.28,   43.72
19/01/2013 03:20:00,   51.24,   57.78,   39.82,   53.44,   59.45,   42.86
19/01/2013 03:25:00,   51.16,   59.66,   40.05,   53.09,   60.89,   43.12
19/01/2013 03:30:00,   49.04,   55.58,   39.90,   51.29,   58.15,   43.15
19/01/2013 03:36:00,   51.86,   57.41,   42.17,   54.80,   59.99,   44.68
19/01/2013 03:41:00,   45.33,   51.91,   38.99,   47.99,   53.61,   42.45
19/01/2013 03:46:00,   53.45,   59.14,   41.79,   55.29,   61.08,   45.26
19/01/2013 03:51:00,   49.56,   57.10,   40.12,   50.84,   57.78,   42.81
19/01/2013 03:56:00,   49.34,   55.46,   40.30,   50.70,   56.24,   42.79
19/01/2013 04:01:00,   52.36,   59.98,   40.58,   53.27,   60.10,   42.69
19/01/2013 04:06:00,   50.36,   58.31,   38.94,   53.72,   60.39,   42.80
19/01/2013 04:11:00,   46.96,   51.04,   38.70,   49.09,   53.95,   42.50
19/01/2013 04:16:00,   52.74,   59.88,   40.80,   55.53,   62.02,   44.93
19/01/2013 04:21:00,   51.36,   58.42,   40.93,   53.71,   59.32,   44.66
19/01/2013 04:26:00,   51.19,   59.13,   40.27,   54.19,   61.23,   44.05
19/01/2013 04:31:00,   49.89,   56.86,   39.96,   53.78,   59.44,   44.40
19/01/2013 04:36:00,   50.13,   57.20,   39.79,   54.33,   60.48,   43.00
19/01/2013 04:41:00,   50.18,   57.75,   40.02,   51.79,   58.35,   43.13
19/01/2013 04:46:00,   50.50,   58.34,   41.02,   53.38,   60.31,   44.96
19/01/2013 04:51:00,   49.67,   58.45,   39.01,   51.86,   59.44,   43.25
19/01/2013 04:56:00,   48.53,   54.94,   39.17,   51.36,   57.19,   42.46
19/01/2013 05:01:00,   51.51,   58.24,   40.47,   55.88,   61.26,   44.06
19/01/2013 05:06:00,   44.17,   48.27,   38.64,   49.65,   54.07,   42.76
19/01/2013 05:11:00,   50.52,   58.96,   38.72,   55.58,   61.69,   42.90
19/01/2013 05:16:00,   50.54,   56.85,   40.59,   54.78,   61.25,   44.85
19/01/2013 05:21:00,   47.63,   54.99,   40.19,   50.85,   58.12,   43.90
19/01/2013 05:26:00,   49.65,   58.02,   39.25,   53.03,   59.91,   42.92
19/01/2013 05:31:00,   48.68,   56.30,   38.71,   52.07,   58.28,   43.87
19/01/2013 05:36:00,   52.44,   60.09,   40.82,   54.44,   61.68,   43.98
19/01/2013 05:41:00,   51.36,   59.84,   41.00,   56.18,   63.02,   46.30
19/01/2013 05:46:00,   49.70,   57.81,   41.20,   52.86,   60.26,   44.98
19/01/2013 05:51:00,   54.48,   61.19,   42.66,   58.61,   65.35,   46.94
19/01/2013 05:56:00,   48.62,   54.98,   39.95,   52.45,   58.65,   43.67
19/01/2013 06:01:00,   49.27,   54.27,   40.65,   52.05,   57.21,   43.98
19/01/2013 06:06:00,   46.75,   53.16,   41.60,   49.49,   54.36,   45.08
19/01/2013 06:11:00,   50.23,   57.57,   41.14,   52.80,   59.34,   45.30
19/01/2013 06:16:00,   51.35,   57.40,   41.89,   53.71,   59.54,   44.94
19/01/2013 06:21:00,   52.35,   59.81,   43.18,   55.89,   62.61,   46.69
19/01/2013 06:26:00,   49.74,   56.26,   41.24,   53.51,   58.96,   45.33
19/01/2013 06:31:00,   47.66,   54.38,   40.85,   50.22,   55.97,   43.81
19/01/2013 06:36:00,   49.63,   57.31,   40.98,   52.21,   58.91,   44.36
19/01/2013 06:41:00,   47.79,   53.23,   42.00,   50.79,   55.37,   45.25
19/01/2013 06:46:00,   51.16,   56.92,   43.13,   54.34,   58.93,   45.32
19/01/2013 06:51:00,   52.77,   58.51,   43.01,   54.98,   60.55,   46.57
19/01/2013 06:56:00,   51.83,   58.29,   42.48,   53.76,   60.06,   45.60
19/01/2013 07:01:00,   50.09,   55.81,   42.61,   54.78,   59.17,   46.32
19/01/2013 07:06:00,   52.80,   59.30,   43.87,   55.40,   61.03,   47.42
19/01/2013 07:11:00,   52.17,   59.07,   43.76,   54.18,   59.96,   47.54
19/01/2013 07:16:00,   51.96,   57.38,   44.93,   54.11,   58.91,   48.24
19/01/2013 07:21:00,   54.25,   59.76,   45.09,   56.15,   60.89,   48.23
19/01/2013 07:26:00,   52.35,   57.77,   44.71,   54.51,   59.70,   47.46
19/01/2013 07:31:00,   53.36,   59.49,   45.51,   55.57,   60.67,   48.70
