# noise_analysis run from DCC-NOISE-001003 at Mon Feb 18 11:40:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
18/02/2013 11:45:00,   75.70,   80.66,   51.82,   78.98,   81.37,   57.26
18/02/2013 11:50:00,   57.70,   60.62,   53.72,   62.57,   65.62,   58.57
18/02/2013 11:55:00,   57.30,   60.39,   52.01,   61.75,   64.28,   57.66
18/02/2013 12:00:00,   57.60,   61.06,   51.77,   62.85,   65.91,   57.27
18/02/2013 12:05:00,   56.95,   60.20,   51.62,   62.21,   65.67,   57.42
18/02/2013 12:10:00,   57.73,   60.60,   51.90,   61.24,   63.66,   56.25
18/02/2013 12:15:00,   59.29,   62.62,   52.84,   64.58,   70.03,   57.61
18/02/2013 12:20:00,   57.72,   61.01,   52.91,   61.89,   65.73,   57.10
18/02/2013 12:25:00,   57.51,   60.39,   50.91,   61.56,   64.04,   55.81
18/02/2013 12:30:00,   57.18,   60.24,   52.27,   63.17,   66.80,   58.35
18/02/2013 12:35:00,   57.26,   60.61,   51.71,   61.84,   65.16,   57.22
18/02/2013 12:40:00,   57.13,   60.53,   51.97,   61.19,   64.59,   56.13
18/02/2013 12:45:00,   58.00,   60.97,   52.76,   62.13,   65.31,   57.08
18/02/2013 12:50:00,   58.34,   61.23,   52.82,   61.00,   64.35,   56.68
18/02/2013 12:55:00,   58.94,   62.00,   52.41,   62.92,   66.22,   55.47
18/02/2013 13:00:00,   57.70,   60.45,   53.08,   61.20,   63.95,   56.66
18/02/2013 13:05:00,   58.18,   61.33,   53.74,   60.70,   63.40,   56.32
18/02/2013 13:10:00,   57.71,   60.57,   53.13,   61.59,   64.38,   57.40
18/02/2013 13:15:00,   56.97,   60.03,   52.10,   61.28,   63.71,   56.47
18/02/2013 13:20:00,   56.94,   59.69,   52.80,   61.53,   64.74,   56.68
18/02/2013 13:25:00,   57.55,   60.33,   52.65,   62.22,   65.52,   56.27
18/02/2013 13:30:00,   58.39,   61.09,   53.35,   63.06,   66.89,   56.84
18/02/2013 13:35:00,   56.12,   59.90,   50.57,   60.73,   63.71,   55.69
18/02/2013 13:40:00,   57.04,   60.37,   51.45,   60.73,   63.83,   55.62
18/02/2013 13:45:00,   58.44,   60.78,   54.13,   62.28,   64.56,   58.43
18/02/2013 13:50:00,   58.08,   60.63,   53.86,   61.17,   63.46,   57.78
18/02/2013 13:55:00,   58.32,   60.52,   54.03,   62.00,   64.01,   58.17
18/02/2013 14:00:00,   57.26,   60.27,   52.25,   60.71,   63.73,   56.12
18/02/2013 14:05:00,   58.19,   60.46,   54.67,   61.71,   64.37,   57.61
18/02/2013 14:10:00,   58.17,   60.65,   53.10,   61.58,   64.53,   56.98
18/02/2013 14:15:00,   58.71,   61.33,   54.15,   61.52,   64.48,   57.28
18/02/2013 14:20:00,   58.96,   61.09,   55.66,   61.50,   63.94,   57.91
18/02/2013 14:25:00,   59.07,   61.15,   55.78,   62.21,   64.70,   58.40
18/02/2013 14:30:00,   57.64,   60.64,   52.87,   60.85,   63.57,   56.39
18/02/2013 14:35:00,   58.93,   61.18,   54.85,   61.93,   64.11,   57.11
18/02/2013 14:40:00,   58.22,   60.96,   54.15,   61.46,   64.15,   57.38
18/02/2013 14:45:00,   58.58,   60.71,   55.07,   62.67,   64.90,   58.80
18/02/2013 14:50:00,   58.85,   61.59,   54.26,   62.69,   65.24,   58.89
18/02/2013 14:55:00,   59.11,   61.43,   54.69,   63.44,   66.64,   59.30
18/02/2013 15:00:00,   58.92,   61.22,   53.44,   62.38,   64.88,   57.48
18/02/2013 15:05:00,   58.54,   61.79,   51.38,   61.88,   65.02,   54.85
18/02/2013 15:10:00,   57.45,   60.27,   52.46,   61.15,   64.04,   55.74
18/02/2013 15:15:00,   58.02,   60.23,   54.40,   61.97,   64.67,   57.31
18/02/2013 15:20:00,   59.23,   61.63,   55.46,   63.14,   65.35,   59.09
18/02/2013 15:25:00,   58.94,   60.82,   55.29,   62.67,   65.26,   58.03
18/02/2013 15:30:00,   59.03,   61.80,   54.85,   62.46,   65.27,   57.84
18/02/2013 15:35:00,   59.32,   62.43,   54.86,   62.61,   65.52,   58.26
18/02/2013 15:40:00,   58.85,   61.73,   54.69,   61.79,   64.19,   58.03
18/02/2013 15:45:00,   59.51,   61.82,   55.44,   62.81,   65.33,   59.75
18/02/2013 15:50:00,   60.55,   61.61,   54.13,   63.87,   65.39,   57.58
18/02/2013 15:55:00,   61.19,   69.91,   52.80,   65.08,   73.43,   57.56
18/02/2013 16:00:00,   58.65,   61.24,   52.55,   61.81,   63.96,   56.76
18/02/2013 16:05:00,   58.01,   60.63,   53.32,   61.18,   63.38,   57.43
18/02/2013 16:10:00,   57.31,   60.60,   51.95,   61.25,   64.14,   56.45
18/02/2013 16:15:00,   58.26,   60.93,   52.45,   62.27,   64.90,   56.97
18/02/2013 16:20:00,   60.98,   62.00,   49.80,   63.91,   66.75,   55.46
18/02/2013 16:25:00,   58.03,   62.37,   51.47,   63.65,   67.80,   57.45
18/02/2013 16:30:00,   57.15,   59.92,   51.45,   62.07,   64.97,   57.05
18/02/2013 16:35:00,   57.97,   61.33,   52.76,   62.66,   65.57,   58.23
18/02/2013 16:40:00,   57.92,   61.04,   51.63,   62.68,   65.16,   56.82
18/02/2013 16:45:00,   57.58,   61.07,   50.49,   62.37,   65.85,   56.73
18/02/2013 16:50:00,   57.64,   60.98,   52.29,   61.71,   64.46,   56.97
18/02/2013 16:55:00,   57.47,   60.65,   51.97,   63.55,   66.18,   57.69
