# noise_analysis run from DCC-NOISE-001003 at Tue Feb 19 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/02/2013 00:05:00,   54.60,   59.46,   43.49,   56.32,   60.92,   47.83
19/02/2013 00:10:00,   53.16,   58.83,   45.51,   55.20,   59.78,   48.57
19/02/2013 00:15:00,   52.65,   58.23,   43.95,   54.28,   59.36,   46.80
19/02/2013 00:20:00,   52.78,   57.77,   44.76,   54.48,   58.73,   47.78
19/02/2013 00:25:00,   52.73,   57.72,   44.22,   54.65,   59.23,   47.28
19/02/2013 00:30:00,   50.31,   55.73,   41.32,   55.61,   62.35,   46.05
19/02/2013 00:35:00,   51.13,   57.67,   42.22,   53.07,   58.75,   45.90
19/02/2013 00:40:00,   51.60,   58.67,   42.79,   53.38,   60.23,   46.34
19/02/2013 00:45:00,   53.61,   59.23,   44.44,   55.40,   60.64,   47.40
19/02/2013 00:50:00,   53.50,   58.11,   44.62,   55.65,   59.97,   47.47
19/02/2013 00:55:00,   52.09,   58.78,   40.28,   53.70,   59.93,   43.71
19/02/2013 01:00:00,   52.88,   58.20,   42.95,   54.49,   59.55,   45.70
19/02/2013 01:05:00,   52.14,   57.53,   42.71,   54.46,   58.85,   45.74
19/02/2013 01:10:00,   51.78,   57.98,   42.05,   53.79,   59.46,   45.26
19/02/2013 01:15:00,   53.21,   60.14,   44.27,   55.22,   61.33,   47.54
19/02/2013 01:20:00,   51.33,   58.45,   41.46,   53.03,   59.65,   45.52
19/02/2013 01:25:00,   49.29,   56.77,   40.87,   51.54,   58.38,   44.60
19/02/2013 01:30:00,   47.43,   54.72,   39.74,   49.13,   55.43,   43.07
19/02/2013 01:35:00,   48.29,   56.17,   38.36,   49.81,   56.69,   41.93
19/02/2013 01:40:00,   51.27,   57.32,   42.66,   52.93,   58.31,   46.00
19/02/2013 01:45:00,   49.58,   57.24,   40.70,   51.07,   58.18,   43.99
19/02/2013 01:50:00,   46.62,   51.36,   39.19,   48.72,   53.12,   43.69
19/02/2013 01:55:00,   47.60,   53.41,   40.25,   49.66,   54.75,   43.71
19/02/2013 02:00:00,   49.54,   56.67,   39.76,   52.22,   58.61,   44.33
19/02/2013 02:05:00,   50.65,   58.18,   42.70,   53.28,   59.95,   46.37
19/02/2013 02:10:00,   50.94,   57.20,   42.63,   52.62,   58.29,   46.59
19/02/2013 02:15:00,   50.12,   54.76,   44.03,   52.53,   56.58,   47.82
19/02/2013 02:20:00,   46.94,   51.35,   41.55,   49.77,   53.02,   45.31
19/02/2013 02:25:00,   47.12,   51.56,   40.51,   49.78,   53.80,   45.15
19/02/2013 02:30:00,   48.08,   54.81,   40.97,   50.19,   55.70,   44.99
19/02/2013 02:35:00,   46.91,   52.58,   41.18,   49.48,   53.66,   45.50
19/02/2013 02:40:00,   45.13,   48.41,   41.42,   48.19,   51.09,   45.49
19/02/2013 02:45:00,   48.35,   54.84,   41.41,   50.93,   55.35,   45.72
19/02/2013 02:50:00,   48.50,   54.64,   42.58,   51.48,   56.77,   46.67
19/02/2013 02:55:00,   46.88,   53.43,   41.00,   49.64,   55.04,   45.20
19/02/2013 03:00:00,   48.82,   55.57,   40.70,   51.22,   57.40,   45.56
19/02/2013 03:05:00,   48.14,   52.78,   41.84,   50.40,   54.34,   46.22
19/02/2013 03:10:00,   48.67,   53.38,   42.75,   51.14,   55.68,   47.12
19/02/2013 03:15:00,   46.21,   48.24,   39.15,   49.13,   50.78,   43.70
19/02/2013 03:20:00,   47.11,   50.68,   41.10,   49.91,   54.25,   45.41
19/02/2013 03:25:00,   47.27,   52.13,   40.65,   49.81,   53.94,   45.04
19/02/2013 03:30:00,   47.43,   51.46,   41.51,   50.02,   52.62,   45.77
19/02/2013 03:35:00,   46.79,   51.07,   40.46,   49.85,   52.86,   45.67
19/02/2013 03:40:00,   48.59,   52.89,   41.78,   50.99,   54.71,   45.52
19/02/2013 03:45:00,   48.55,   54.41,   41.43,   51.19,   56.61,   45.88
19/02/2013 03:50:00,   48.26,   54.73,   41.85,   50.91,   56.84,   45.57
19/02/2013 03:55:00,   48.35,   53.98,   41.39,   51.28,   56.31,   46.14
19/02/2013 04:00:00,   47.09,   52.91,   40.86,   50.47,   54.91,   46.14
19/02/2013 04:05:00,   42.76,   44.56,   40.83,   47.21,   48.36,   45.54
19/02/2013 04:10:00,   47.89,   53.75,   40.98,   50.44,   55.68,   45.98
19/02/2013 04:15:00,   51.18,   58.16,   42.60,   58.99,   66.60,   48.60
19/02/2013 04:20:00,   47.11,   50.15,   42.64,   53.28,   59.09,   47.91
19/02/2013 04:25:00,   50.08,   55.94,   43.45,   54.62,   61.32,   48.41
19/02/2013 04:30:00,   47.53,   50.60,   42.33,   50.69,   52.90,   47.96
19/02/2013 04:35:00,   46.39,   49.81,   41.90,   49.90,   52.24,   47.14
19/02/2013 04:40:00,   46.88,   49.80,   41.66,   50.55,   52.93,   47.26
19/02/2013 04:45:00,   45.32,   50.88,   40.75,   49.13,   52.65,   46.42
19/02/2013 04:50:00,   49.92,   55.80,   41.73,   52.31,   57.03,   47.20
19/02/2013 04:55:00,   49.89,   56.81,   42.89,   52.02,   57.04,   47.30
19/02/2013 05:00:00,   46.30,   49.78,   41.84,   49.72,   52.26,   46.49
19/02/2013 05:05:00,   47.69,   51.50,   43.57,   50.82,   53.49,   47.98
19/02/2013 05:10:00,   50.93,   56.83,   44.45,   53.33,   58.55,   48.58
19/02/2013 05:15:00,   51.29,   57.04,   44.60,   54.00,   58.42,   48.99
19/02/2013 05:20:00,   50.33,   55.05,   45.40,   53.51,   57.15,   49.37
19/02/2013 05:25:00,   51.83,   56.17,   46.95,   54.85,   58.10,   51.65
19/02/2013 05:30:00,   53.12,   57.99,   48.27,   56.52,   60.01,   52.37
19/02/2013 05:35:00,   53.37,   57.89,   47.65,   56.18,   59.44,   51.89
19/02/2013 05:40:00,   53.80,   58.48,   48.93,   56.88,   59.98,   53.32
19/02/2013 05:45:00,   54.29,   58.40,   49.17,   57.22,   60.65,   53.81
19/02/2013 05:50:00,   55.38,   60.16,   49.88,   58.39,   63.25,   53.98
19/02/2013 05:55:00,   53.82,   58.99,   49.87,   56.74,   60.30,   53.88
19/02/2013 06:00:00,   53.73,   57.30,   49.71,   57.92,   60.87,   54.69
19/02/2013 06:05:00,   54.10,   58.44,   48.93,   57.48,   60.64,   53.69
19/02/2013 06:10:00,   55.67,   59.39,   50.47,   58.89,   62.46,   55.01
19/02/2013 06:15:00,   54.41,   58.13,   50.79,   57.28,   59.98,   54.82
19/02/2013 06:20:00,   53.93,   57.12,   49.67,   56.84,   59.35,   54.15
19/02/2013 06:25:00,   55.46,   59.35,   51.30,   59.04,   62.34,   55.51
19/02/2013 06:30:00,   55.58,   58.28,   51.86,   58.50,   60.72,   55.98
19/02/2013 06:35:00,   55.99,   58.90,   53.33,   59.07,   61.62,   56.93
19/02/2013 06:40:00,   57.49,   60.65,   54.11,   61.02,   64.23,   57.35
19/02/2013 06:45:00,   56.88,   60.51,   53.15,   60.58,   64.07,   56.76
19/02/2013 06:50:00,   57.57,   61.80,   53.73,   60.99,   64.12,   56.80
19/02/2013 06:55:00,   57.53,   60.63,   53.54,   61.20,   64.44,   56.67
19/02/2013 07:00:00,   57.95,   61.03,   54.43,   61.05,   63.48,   58.00
19/02/2013 07:05:00,   58.35,   61.50,   54.21,   60.96,   63.87,   57.62
19/02/2013 07:10:00,   58.73,   60.73,   55.27,   61.15,   62.60,   58.49
19/02/2013 07:15:00,   58.92,   61.60,   55.71,   61.57,   64.00,   58.80
19/02/2013 07:20:00,   59.73,   62.75,   56.20,   63.22,   65.51,   59.74
19/02/2013 07:25:00,   60.00,   62.44,   56.53,   62.67,   64.90,   59.59
19/02/2013 07:30:00,   59.48,   62.14,   55.43,   62.73,   65.66,   58.69
19/02/2013 07:35:00,   60.29,   62.85,   56.18,   63.51,   65.88,   59.64
19/02/2013 07:40:00,   59.62,   62.26,   55.70,   63.07,   65.75,   59.19
19/02/2013 07:45:00,   58.97,   62.41,   55.19,   62.14,   64.61,   58.76
19/02/2013 07:50:00,   63.32,   71.74,   56.49,   67.02,   75.70,   59.63
19/02/2013 07:55:00,   61.25,   63.56,   57.50,   64.46,   67.11,   60.56
19/02/2013 08:00:00,   59.65,   62.01,   56.51,   62.42,   64.32,   60.26
19/02/2013 08:05:00,   60.98,   63.40,   56.87,   64.54,   67.14,   60.77
19/02/2013 08:10:00,   59.08,   61.70,   55.59,   62.22,   64.71,   59.41
19/02/2013 08:15:00,   58.99,   62.62,   54.65,   63.43,   66.73,   58.60
19/02/2013 08:20:00,   59.72,   62.34,   55.32,   63.84,   66.35,   60.65
19/02/2013 08:25:00,   61.27,   66.05,   54.83,   65.70,   72.53,   59.47
19/02/2013 08:30:00,   62.81,   70.41,   55.99,   66.23,   74.04,   59.30
19/02/2013 08:35:00,   61.54,   68.15,   55.33,   65.45,   72.32,   58.68
19/02/2013 08:40:00,   60.01,   62.53,   55.34,   63.65,   66.33,   59.54
19/02/2013 08:45:00,   60.43,   63.07,   55.34,   64.59,   67.65,   59.30
19/02/2013 08:50:00,   60.40,   62.92,   56.03,   64.14,   66.55,   59.91
19/02/2013 08:55:00,   63.48,   71.50,   55.32,   67.37,   75.46,   59.97
19/02/2013 09:00:00,   61.78,   65.68,   57.15,   65.71,   68.40,   61.37
19/02/2013 09:05:00,   60.58,   63.23,   55.83,   64.30,   66.57,   59.97
19/02/2013 09:10:00,   59.90,   62.44,   54.88,   63.15,   65.55,   60.10
19/02/2013 09:15:00,   60.01,   63.05,   55.14,   63.70,   67.29,   59.07
19/02/2013 09:20:00,   59.49,   62.67,   52.82,   61.96,   64.95,   56.80
19/02/2013 09:25:00,   60.17,   62.60,   54.78,   63.60,   66.25,   58.93
19/02/2013 09:30:00,   59.56,   62.15,   54.79,   63.03,   65.31,   58.73
19/02/2013 09:35:00,   58.60,   61.12,   53.35,   61.98,   64.91,   57.60
19/02/2013 09:40:00,   58.43,   61.50,   53.26,   62.68,   65.74,   57.59
19/02/2013 09:45:00,   58.72,   61.95,   53.67,   62.46,   65.30,   57.76
19/02/2013 09:50:00,   58.59,   61.75,   53.23,   62.28,   65.21,   57.21
19/02/2013 09:55:00,   58.60,   61.93,   53.63,   61.57,   64.21,   57.15
19/02/2013 10:00:00,   59.09,   62.65,   50.27,   62.14,   65.87,   53.98
19/02/2013 10:05:00,   59.49,   61.73,   51.54,   62.98,   65.18,   55.23
19/02/2013 10:10:00,   59.13,   62.89,   51.41,   62.26,   65.81,   55.35
19/02/2013 10:15:00,   57.58,   61.86,   49.67,   60.84,   64.55,   54.46
19/02/2013 10:20:00,   58.80,   61.73,   53.84,   61.40,   64.29,   56.42
19/02/2013 10:25:00,   58.33,   61.33,   54.13,   61.33,   64.05,   56.82
19/02/2013 10:30:00,   57.36,   60.71,   51.50,   61.32,   64.37,   56.16
19/02/2013 10:35:00,   59.59,   61.84,   55.94,   61.99,   64.86,   57.57
19/02/2013 10:40:00,   56.84,   60.41,   50.70,   60.52,   63.78,   54.94
19/02/2013 10:45:00,   59.33,   63.88,   51.80,   62.21,   65.06,   56.37
19/02/2013 10:50:00,   58.74,   62.57,   50.80,   62.19,   65.36,   55.27
19/02/2013 10:55:00,   57.24,   60.51,   50.06,   60.23,   63.01,   54.15
19/02/2013 11:00:00,   56.36,   60.19,   49.69,   60.45,   63.53,   55.38
19/02/2013 11:05:00,   56.83,   59.91,   51.63,   61.39,   64.19,   55.98
19/02/2013 11:10:00,   57.87,   61.26,   51.47,   63.10,   65.71,   56.92
19/02/2013 11:15:00,   62.72,   68.46,   52.38,   66.52,   72.12,   57.99
19/02/2013 11:20:00,   56.96,   59.59,   52.63,   61.88,   64.51,   57.92
19/02/2013 11:25:00,   57.49,   60.66,   50.22,   62.35,   65.54,   55.05
19/02/2013 11:30:00,   56.93,   60.19,   52.39,   60.51,   62.66,   57.28
