# noise_analysis run from DCC-NOISE-001003 at Wed Feb 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/02/2013 00:05:00,   52.17,   58.07,   43.83,   54.38,   59.48,   47.42
20/02/2013 00:10:00,   53.05,   58.89,   42.55,   54.47,   59.63,   46.21
20/02/2013 00:15:00,   50.38,   56.55,   40.84,   53.03,   58.57,   44.89
20/02/2013 00:20:00,   52.17,   57.75,   42.98,   54.30,   59.48,   46.69
20/02/2013 00:25:00,   51.91,   58.31,   41.94,   53.56,   59.49,   46.21
20/02/2013 00:30:00,   49.67,   56.97,   40.66,   51.75,   58.28,   44.78
20/02/2013 00:35:00,   49.70,   56.42,   41.66,   51.88,   57.53,   45.49
20/02/2013 00:40:00,   53.21,   58.11,   44.00,   54.97,   59.49,   47.18
20/02/2013 00:45:00,   52.08,   57.96,   41.57,   53.95,   59.33,   45.34
20/02/2013 00:50:00,   50.84,   56.24,   40.51,   53.10,   58.13,   44.58
20/02/2013 00:55:00,   50.60,   58.05,   40.23,   52.49,   59.23,   44.82
20/02/2013 01:00:00,   51.76,   59.38,   42.25,   53.23,   59.99,   46.21
20/02/2013 01:05:00,   50.07,   56.16,   40.67,   52.18,   57.31,   45.61
20/02/2013 01:10:00,   50.35,   57.34,   40.95,   52.41,   58.46,   45.28
20/02/2013 01:15:00,   48.53,   55.01,   40.81,   50.99,   56.31,   45.20
20/02/2013 01:20:00,   50.40,   57.13,   42.15,   52.85,   58.65,   46.09
20/02/2013 01:25:00,   50.06,   57.60,   40.44,   51.82,   58.19,   45.28
20/02/2013 01:30:00,   48.32,   54.40,   42.20,   51.06,   56.09,   46.18
20/02/2013 01:35:00,   50.41,   56.49,   42.14,   53.18,   59.04,   46.05
20/02/2013 01:40:00,   47.99,   55.07,   40.97,   50.34,   56.22,   45.30
20/02/2013 01:45:00,   49.05,   56.16,   40.59,   51.23,   57.32,   44.66
20/02/2013 01:50:00,   50.67,   57.19,   42.28,   53.25,   58.79,   45.88
20/02/2013 01:55:00,   48.59,   55.67,   41.65,   50.87,   56.71,   45.96
20/02/2013 02:00:00,   48.12,   54.06,   42.87,   50.67,   55.40,   46.81
20/02/2013 02:05:00,   48.80,   55.83,   41.83,   51.20,   57.43,   46.28
20/02/2013 02:10:00,   46.42,   49.29,   42.19,   49.70,   51.78,   46.41
20/02/2013 02:15:00,   46.81,   51.23,   42.26,   50.30,   53.86,   46.26
20/02/2013 02:20:00,   47.96,   53.39,   41.71,   50.86,   55.02,   45.74
20/02/2013 02:25:00,   46.66,   53.44,   40.85,   49.61,   55.13,   45.13
20/02/2013 02:30:00,   44.15,   48.21,   39.80,   47.33,   49.91,   44.20
20/02/2013 02:35:00,   45.53,   49.41,   39.27,   48.28,   51.94,   43.85
20/02/2013 02:40:00,   45.27,   51.60,   40.15,   48.74,   53.04,   45.07
20/02/2013 02:45:00,   45.96,   51.23,   39.81,   48.84,   53.28,   44.35
20/02/2013 02:50:00,   46.02,   50.13,   39.93,   48.74,   52.35,   44.56
20/02/2013 02:55:00,   44.85,   47.92,   39.47,   48.22,   51.44,   44.50
20/02/2013 03:00:00,   49.31,   57.04,   39.67,   51.44,   57.97,   44.79
20/02/2013 03:05:00,   47.24,   54.29,   39.81,   50.29,   55.75,   45.43
20/02/2013 03:10:00,   42.68,   44.36,   39.30,   47.41,   48.84,   45.04
20/02/2013 03:15:00,   46.49,   52.90,   40.54,   50.22,   55.79,   45.71
