# noise_analysis run from DCC-NOISE-001003 at Sun Feb 24 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/02/2013 00:05:00,   56.47,   60.82,   46.87,   57.85,   61.83,   49.71
24/02/2013 00:10:00,   55.51,   59.99,   46.27,   56.90,   61.28,   48.66
24/02/2013 00:15:00,   56.87,   62.04,   47.38,   57.71,   62.67,   50.19
24/02/2013 00:20:00,   55.61,   60.37,   46.08,   56.75,   61.42,   48.54
24/02/2013 00:25:00,   55.70,   60.98,   45.72,   56.92,   61.25,   48.41
24/02/2013 00:30:00,   54.54,   59.03,   46.53,   56.35,   60.76,   49.40
24/02/2013 00:35:00,   54.17,   58.36,   46.89,   55.88,   59.86,   49.16
24/02/2013 00:40:00,   54.34,   59.12,   46.40,   58.48,   63.05,   50.25
24/02/2013 00:45:00,   54.51,   59.17,   46.71,   59.26,   63.46,   49.88
24/02/2013 00:50:00,   51.93,   57.15,   43.91,   55.26,   61.38,   46.90
24/02/2013 00:55:00,   54.05,   59.25,   44.18,   57.15,   62.71,   47.00
24/02/2013 01:00:00,   49.37,   54.78,   42.97,   52.39,   57.19,   46.22
24/02/2013 01:05:00,   50.26,   56.75,   43.19,   52.34,   58.45,   46.04
24/02/2013 01:10:00,   54.52,   59.10,   46.16,   56.88,   60.41,   49.70
24/02/2013 01:15:00,   55.18,   60.93,   45.95,   56.85,   62.58,   48.81
24/02/2013 01:20:00,   54.74,   60.14,   45.52,   56.66,   61.82,   48.07
24/02/2013 01:25:00,   55.64,   59.59,   49.01,   57.21,   61.05,   51.07
24/02/2013 01:30:00,   56.23,   61.54,   46.55,   57.26,   62.18,   48.36
24/02/2013 01:35:00,   55.24,   60.06,   46.38,   56.77,   61.00,   48.55
24/02/2013 01:40:00,   57.39,   61.89,   51.10,   58.52,   62.54,   52.59
24/02/2013 01:45:00,   56.06,   61.18,   46.89,   57.28,   61.71,   50.10
