# noise_analysis run from DCC-NOISE-001003 at Fri Mar  1 11:05:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/03/2013 11:10:00,   57.28,   60.26,   51.81,   61.95,   65.18,   57.22
01/03/2013 11:15:00,   58.93,   61.68,   51.67,   63.18,   65.88,   55.80
01/03/2013 11:20:00,   58.32,   61.51,   51.61,   62.96,   66.36,   56.06
01/03/2013 11:25:00,   57.70,   61.06,   52.84,   61.73,   64.94,   57.27
01/03/2013 11:30:00,   58.02,   61.12,   51.86,   61.48,   64.35,   55.04
01/03/2013 11:35:00,   56.87,   60.31,   51.03,   61.38,   65.17,   56.23
01/03/2013 11:40:00,   60.04,   63.28,   54.11,   62.60,   65.91,   57.68
01/03/2013 11:45:00,   59.16,   62.64,   53.75,   61.98,   64.68,   57.43
01/03/2013 11:50:00,   59.41,   62.56,   53.02,   62.02,   64.63,   56.68
01/03/2013 11:55:00,   58.67,   61.68,   53.09,   62.57,   65.81,   57.82
01/03/2013 12:00:00,   57.80,   60.96,   53.26,   60.79,   63.71,   56.81
01/03/2013 12:05:00,   58.15,   60.65,   52.63,   61.99,   64.78,   56.23
01/03/2013 12:10:00,   57.59,   59.75,   52.41,   61.66,   63.85,   57.64
01/03/2013 12:15:00,   58.38,   60.99,   52.31,   62.58,   65.22,   56.65
01/03/2013 12:20:00,   58.52,   62.17,   51.80,   63.35,   67.85,   57.15
01/03/2013 12:25:00,   57.74,   61.10,   52.19,   61.95,   64.80,   57.05
01/03/2013 12:30:00,   59.03,   62.31,   53.22,   62.42,   65.13,   57.59
01/03/2013 12:35:00,   57.33,   60.79,   51.82,   60.48,   63.76,   56.39
01/03/2013 12:40:00,   58.99,   61.59,   53.70,   62.22,   64.82,   57.07
01/03/2013 12:45:00,   59.55,   62.84,   54.08,   62.44,   65.64,   56.47
01/03/2013 12:50:00,   58.09,   61.24,   52.47,   61.80,   64.42,   56.33
01/03/2013 12:55:00,   58.77,   60.85,   53.25,   61.24,   62.86,   56.68
01/03/2013 13:00:00,   63.49,   66.09,   53.96,   65.19,   67.76,   57.09
01/03/2013 13:05:00,   59.88,   63.43,   53.41,   63.48,   66.31,   57.95
01/03/2013 13:10:00,   60.17,   64.50,   52.96,   63.68,   68.29,   57.47
01/03/2013 13:15:00,   58.21,   61.63,   52.13,   61.73,   64.96,   55.98
01/03/2013 13:20:00,   58.09,   60.83,   51.52,   61.17,   64.20,   55.97
01/03/2013 13:25:00,   59.54,   62.38,   52.69,   63.23,   65.51,   57.22
01/03/2013 13:30:00,   60.13,   61.92,   58.04,   64.21,   65.85,   62.31
01/03/2013 13:35:00,   60.54,   62.57,   58.05,   64.54,   66.43,   62.49
01/03/2013 13:40:00,   60.11,   61.74,   57.62,   65.48,   67.33,   62.21
01/03/2013 13:45:00,   59.31,   62.61,   53.19,   62.23,   64.93,   57.10
01/03/2013 13:50:00,   58.31,   60.90,   52.43,   62.05,   64.54,   57.85
01/03/2013 13:55:00,   57.31,   60.54,   51.27,   61.09,   63.81,   56.31
01/03/2013 14:00:00,   57.82,   61.05,   51.75,   60.79,   63.35,   56.25
01/03/2013 14:05:00,   56.38,   59.67,   50.32,   60.28,   63.40,   54.71
01/03/2013 14:10:00,   56.51,   59.87,   50.05,   61.26,   63.69,   54.83
01/03/2013 14:15:00,   56.71,   60.01,   51.59,   61.64,   64.82,   54.39
01/03/2013 14:20:00,   57.29,   60.45,   51.94,   60.95,   64.04,   56.80
01/03/2013 14:25:00,   57.93,   60.80,   51.39,   61.81,   64.82,   56.59
01/03/2013 14:30:00,   57.49,   60.35,   52.58,   60.84,   63.84,   55.56
01/03/2013 14:35:00,   58.37,   60.82,   54.15,   62.48,   65.09,   58.15
01/03/2013 14:40:00,   59.45,   61.61,   55.68,   63.91,   67.33,   59.28
01/03/2013 14:45:00,   58.92,   62.12,   54.43,   61.80,   64.38,   57.53
01/03/2013 14:50:00,   58.00,   61.07,   52.81,   61.40,   64.14,   56.85
01/03/2013 14:55:00,   58.55,   60.85,   54.39,   61.50,   63.84,   56.51
01/03/2013 15:00:00,   57.94,   60.97,   52.36,   62.16,   65.64,   56.57
01/03/2013 15:05:00,   57.69,   60.60,   52.05,   60.76,   63.93,   55.77
01/03/2013 15:10:00,   59.35,   62.05,   54.25,   63.03,   65.05,   57.70
01/03/2013 15:15:00,   58.29,   60.82,   53.42,   61.38,   63.88,   57.75
01/03/2013 15:20:00,   60.26,   62.55,   55.89,   62.55,   65.18,   58.56
01/03/2013 15:25:00,   59.06,   62.24,   53.12,   63.67,   67.28,   57.32
01/03/2013 15:30:00,   59.65,   61.99,   54.24,   62.87,   65.17,   58.06
01/03/2013 15:35:00,   60.10,   63.27,   54.28,   64.05,   66.71,   59.07
