# noise_analysis run from DCC-NOISE-001003 at Sun Mar  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/03/2013 00:05:00,   53.96,   58.48,   46.45,   57.74,   62.18,   49.73
03/03/2013 00:10:00,   55.07,   58.84,   49.13,   57.48,   61.36,   51.87
03/03/2013 00:15:00,   55.65,   59.89,   48.27,   57.61,   61.32,   51.28
03/03/2013 00:20:00,   54.39,   59.30,   46.61,   56.84,   60.90,   50.13
03/03/2013 00:25:00,   54.74,   59.47,   47.01,   56.46,   60.64,   50.11
03/03/2013 00:30:00,   53.39,   58.00,   44.81,   55.58,   59.68,   48.47
03/03/2013 00:35:00,   53.16,   58.40,   44.90,   55.41,   60.02,   48.99
03/03/2013 00:40:00,   54.03,   59.76,   44.07,   56.23,   61.10,   48.31
03/03/2013 00:45:00,   55.71,   60.95,   45.56,   57.47,   61.98,   49.05
03/03/2013 00:50:00,   53.12,   59.23,   43.90,   55.92,   61.53,   48.03
03/03/2013 00:55:00,   53.24,   58.40,   44.76,   55.35,   59.90,   48.56
03/03/2013 01:00:00,   55.07,   59.01,   45.45,   56.86,   60.39,   48.51
03/03/2013 01:05:00,   54.32,   59.71,   45.65,   56.53,   61.83,   49.43
03/03/2013 01:10:00,   54.28,   59.86,   44.91,   56.31,   61.12,   48.69
03/03/2013 01:15:00,   54.01,   59.52,   44.69,   56.28,   61.21,   49.03
03/03/2013 01:20:00,   54.61,   59.04,   47.54,   57.12,   61.46,   50.87
03/03/2013 01:25:00,   53.58,   58.45,   43.44,   55.31,   59.33,   48.24
03/03/2013 01:30:00,   54.90,   60.45,   45.52,   56.38,   61.07,   49.02
03/03/2013 01:35:00,   53.05,   57.89,   44.20,   55.15,   59.61,   48.11
03/03/2013 01:40:00,   53.64,   58.49,   45.19,   56.14,   60.64,   49.05
03/03/2013 01:45:00,   55.25,   59.94,   46.67,   57.41,   61.76,   49.91
03/03/2013 01:50:00,   53.47,   58.95,   44.20,   55.77,   60.92,   48.08
03/03/2013 01:55:00,   53.84,   59.31,   42.86,   56.17,   60.52,   47.24
03/03/2013 02:00:00,   53.23,   57.72,   45.57,   55.95,   60.41,   49.42
03/03/2013 02:05:00,   53.69,   58.59,   44.92,   56.19,   60.72,   48.97
03/03/2013 02:10:00,   54.81,   59.22,   46.53,   56.75,   60.93,   50.41
03/03/2013 02:15:00,   53.78,   58.54,   45.25,   55.82,   60.24,   48.72
03/03/2013 02:20:00,   55.78,   60.65,   45.41,   58.57,   62.85,   48.52
03/03/2013 02:25:00,   50.45,   56.39,   43.61,   53.45,   58.55,   47.49
03/03/2013 02:30:00,   52.01,   57.62,   42.99,   54.07,   58.59,   47.42
03/03/2013 02:35:00,   53.62,   58.00,   46.47,   55.55,   59.83,   49.32
03/03/2013 02:40:00,   52.86,   59.12,   43.92,   54.92,   60.60,   47.59
03/03/2013 02:45:00,   51.75,   58.79,   41.76,   54.18,   60.67,   46.39
03/03/2013 02:50:00,   53.75,   59.55,   43.27,   55.68,   61.04,   47.29
03/03/2013 02:55:00,   53.50,   59.04,   43.96,   55.48,   60.57,   47.63
03/03/2013 03:00:00,   52.45,   59.31,   42.70,   54.46,   60.67,   46.83
03/03/2013 03:05:00,   53.51,   59.53,   42.89,   55.47,   60.50,   46.82
03/03/2013 03:10:00,   52.88,   58.61,   41.99,   55.15,   60.11,   46.62
03/03/2013 03:15:00,   53.46,   58.61,   43.26,   56.00,   60.70,   47.35
03/03/2013 03:20:00,   53.49,   59.42,   43.45,   56.68,   62.09,   47.52
03/03/2013 03:25:00,   53.52,   59.01,   43.30,   56.63,   62.08,   47.49
03/03/2013 03:30:00,   52.87,   57.82,   43.35,   54.71,   59.15,   47.27
03/03/2013 03:35:00,   54.61,   59.15,   44.58,   56.79,   60.84,   48.78
03/03/2013 03:40:00,   51.98,   57.51,   43.12,   54.27,   60.17,   47.03
03/03/2013 03:45:00,   53.12,   58.33,   41.28,   55.62,   60.60,   45.92
03/03/2013 03:50:00,   54.30,   59.77,   43.30,   56.35,   61.75,   47.10
03/03/2013 03:55:00,   51.90,   57.74,   43.55,   54.58,   60.18,   47.14
03/03/2013 04:00:00,   53.02,   58.17,   42.78,   54.94,   59.68,   46.72
03/03/2013 04:05:00,   52.85,   58.33,   44.15,   54.72,   59.87,   47.87
03/03/2013 04:10:00,   53.31,   59.24,   44.48,   55.51,   60.80,   47.90
03/03/2013 04:15:00,   51.89,   57.94,   42.67,   54.91,   60.29,   46.92
03/03/2013 04:20:00,   54.33,   60.15,   44.69,   56.23,   62.00,   47.87
03/03/2013 04:25:00,   49.66,   57.44,   41.91,   51.84,   58.40,   46.33
03/03/2013 04:30:00,   52.46,   58.54,   42.58,   54.03,   59.74,   46.56
03/03/2013 04:35:00,   48.59,   54.60,   40.98,   50.93,   55.99,   45.73
03/03/2013 04:40:00,   52.26,   58.29,   41.34,   54.04,   59.64,   45.72
03/03/2013 04:45:00,   50.13,   56.66,   41.69,   52.21,   58.17,   46.13
03/03/2013 04:50:00,   51.29,   57.15,   42.22,   53.93,   59.76,   46.37
