# noise_analysis run from DCC-NOISE-001003 at Mon Mar  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/03/2013 00:05:00,   53.47,   58.96,   43.99,   55.13,   59.99,   47.84
04/03/2013 00:10:00,   52.23,   58.46,   41.97,   54.34,   59.73,   46.75
04/03/2013 00:15:00,   51.89,   58.27,   41.39,   53.85,   59.76,   46.15
04/03/2013 00:20:00,   52.16,   58.31,   42.33,   53.98,   59.74,   46.70
04/03/2013 00:25:00,   52.85,   58.63,   43.76,   54.77,   59.77,   47.82
04/03/2013 00:30:00,   51.91,   57.58,   42.21,   53.88,   58.52,   46.35
04/03/2013 00:35:00,   51.23,   57.26,   42.52,   53.19,   58.33,   46.77
04/03/2013 00:40:00,   53.47,   60.26,   42.33,   55.26,   61.06,   46.73
04/03/2013 00:45:00,   53.90,   58.83,   42.18,   55.59,   59.85,   46.83
04/03/2013 00:50:00,   54.67,   59.59,   45.54,   56.37,   60.88,   49.20
04/03/2013 00:55:00,   54.04,   59.63,   41.98,   56.25,   61.02,   46.73
04/03/2013 01:00:00,   54.31,   59.75,   44.70,   56.08,   60.86,   48.20
04/03/2013 01:05:00,   52.08,   58.96,   42.68,   54.28,   60.17,   47.57
04/03/2013 01:10:00,   50.62,   57.83,   41.47,   52.95,   59.13,   46.32
04/03/2013 01:15:00,   50.69,   57.09,   41.42,   52.98,   58.90,   46.22
04/03/2013 01:20:00,   52.00,   57.51,   41.88,   54.08,   59.11,   46.77
04/03/2013 01:25:00,   49.44,   57.26,   40.86,   51.78,   58.67,   45.67
04/03/2013 01:30:00,   51.88,   58.45,   41.58,   53.66,   59.38,   46.26
04/03/2013 01:35:00,   53.85,   59.28,   43.84,   56.04,   60.71,   48.05
04/03/2013 01:40:00,   51.37,   57.42,   40.75,   53.64,   59.19,   46.19
04/03/2013 01:45:00,   50.46,   57.10,   40.14,   53.36,   60.24,   45.55
04/03/2013 01:50:00,   48.93,   56.55,   40.37,   51.25,   57.25,   45.45
04/03/2013 01:55:00,   49.26,   56.59,   40.19,   52.31,   58.50,   45.47
04/03/2013 02:00:00,   49.91,   56.19,   40.48,   51.93,   57.55,   45.49
04/03/2013 02:05:00,   48.45,   55.38,   39.34,   51.00,   57.17,   44.95
04/03/2013 02:10:00,   48.61,   57.14,   39.44,   51.17,   57.64,   44.92
04/03/2013 02:15:00,   47.80,   56.55,   39.60,   50.34,   57.32,   44.98
04/03/2013 02:20:00,   44.28,   48.94,   39.34,   48.05,   51.76,   44.80
04/03/2013 02:25:00,   43.86,   48.90,   38.80,   48.38,   53.07,   44.41
04/03/2013 02:30:00,   47.99,   56.10,   39.06,   50.37,   56.85,   44.63
04/03/2013 02:35:00,   44.82,   51.67,   39.48,   48.38,   53.51,   44.83
04/03/2013 02:40:00,   47.52,   54.32,   39.76,   50.71,   55.86,   45.13
04/03/2013 02:45:00,   47.83,   54.38,   39.22,   50.97,   56.68,   44.78
04/03/2013 02:50:00,   47.47,   54.81,   40.63,   50.33,   56.16,   45.83
04/03/2013 02:55:00,   48.03,   54.86,   39.65,   50.96,   57.07,   45.07
04/03/2013 03:00:00,   46.08,   53.29,   39.46,   49.62,   55.94,   44.98
04/03/2013 03:05:00,   46.23,   52.04,   40.10,   49.63,   53.99,   45.90
04/03/2013 03:10:00,   47.48,   53.20,   39.86,   50.42,   54.52,   45.98
04/03/2013 03:15:00,   45.86,   51.43,   39.34,   49.38,   54.22,   45.19
04/03/2013 03:20:00,   47.36,   54.82,   39.66,   50.46,   56.49,   45.34
04/03/2013 03:25:00,   47.86,   55.90,   40.03,   50.90,   57.45,   45.57
04/03/2013 03:30:00,   46.86,   53.86,   39.76,   50.18,   55.53,   45.33
04/03/2013 03:35:00,   45.22,   52.40,   38.96,   49.76,   56.01,   44.68
04/03/2013 03:40:00,   47.13,   53.99,   39.62,   50.95,   56.70,   45.23
04/03/2013 03:45:00,   43.55,   47.83,   39.29,   49.15,   54.04,   45.12
04/03/2013 03:50:00,   42.55,   42.65,   39.14,   47.20,   48.67,   44.67
04/03/2013 03:55:00,   46.93,   53.91,   39.82,   49.77,   55.59,   45.23
04/03/2013 04:00:00,   44.63,   48.59,   39.50,   48.55,   51.77,   45.05
04/03/2013 04:05:00,   43.73,   48.24,   39.30,   47.99,   51.35,   44.79
04/03/2013 04:10:00,   44.87,   50.65,   39.01,   48.24,   52.89,   44.61
04/03/2013 04:15:00,   46.23,   53.61,   39.51,   49.78,   54.99,   45.07
04/03/2013 04:20:00,   43.03,   47.51,   39.11,   47.16,   50.37,   44.52
04/03/2013 04:25:00,   47.60,   54.96,   39.86,   50.44,   56.55,   45.27
04/03/2013 04:30:00,   42.16,   43.28,   39.13,   46.62,   47.16,   44.76
04/03/2013 04:35:00,   47.59,   54.74,   39.73,   50.15,   55.74,   45.21
04/03/2013 04:40:00,   45.93,   52.73,   39.80,   50.29,   55.99,   45.12
04/03/2013 04:45:00,   46.65,   53.38,   39.77,   49.88,   55.57,   45.07
04/03/2013 04:50:00,   47.61,   54.61,   39.93,   51.23,   56.92,   45.27
04/03/2013 04:55:00,   49.14,   55.59,   41.18,   52.41,   57.62,   46.04
04/03/2013 05:00:00,   46.51,   54.25,   39.95,   49.32,   55.25,   45.25
04/03/2013 05:05:00,   49.43,   56.77,   40.33,   51.69,   57.76,   45.48
04/03/2013 05:10:00,   43.98,   47.03,   40.13,   47.40,   48.69,   45.56
04/03/2013 05:15:00,   49.26,   54.50,   41.48,   51.68,   56.02,   46.20
04/03/2013 05:20:00,   49.37,   56.19,   41.10,   53.04,   59.15,   46.18
04/03/2013 05:25:00,   46.32,   53.75,   40.50,   49.71,   55.91,   45.73
04/03/2013 05:30:00,   47.67,   55.14,   40.73,   50.77,   57.26,   45.81
04/03/2013 05:35:00,   47.87,   53.35,   41.03,   50.93,   56.56,   46.09
04/03/2013 05:40:00,   51.26,   57.09,   42.16,   53.89,   59.33,   46.78
04/03/2013 05:45:00,   51.58,   57.16,   42.85,   53.64,   58.47,   47.44
04/03/2013 05:50:00,   50.58,   55.73,   43.42,   52.89,   57.51,   47.48
04/03/2013 05:55:00,   51.32,   57.92,   42.77,   53.63,   59.47,   46.88
04/03/2013 06:00:00,   51.89,   58.05,   42.38,   54.88,   61.26,   47.04
04/03/2013 06:05:00,   52.66,   57.78,   45.07,   55.77,   60.78,   48.71
