# noise_analysis run from DCC-NOISE-001003 at Tue Mar  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/03/2013 00:05:00,   53.22,   59.44,   43.85,   54.86,   60.46,   47.15
05/03/2013 00:10:00,   52.99,   58.61,   42.73,   54.66,   59.81,   46.15
05/03/2013 00:15:00,   53.23,   57.87,   45.43,   54.69,   59.57,   48.22
05/03/2013 00:20:00,   51.73,   57.57,   43.24,   53.84,   59.28,   46.96
05/03/2013 00:25:00,   51.93,   58.77,   41.41,   53.57,   59.83,   44.81
05/03/2013 00:30:00,   50.85,   56.50,   42.01,   52.49,   57.68,   45.39
05/03/2013 00:35:00,   52.20,   57.47,   44.25,   54.10,   58.69,   47.35
05/03/2013 00:40:00,   53.89,   60.25,   44.95,   55.22,   61.28,   47.62
05/03/2013 00:45:00,   54.36,   59.00,   47.40,   56.13,   60.09,   49.63
05/03/2013 00:50:00,   51.17,   56.40,   43.07,   52.88,   57.74,   46.56
05/03/2013 00:55:00,   52.61,   57.73,   44.95,   54.66,   59.65,   47.74
05/03/2013 01:00:00,   52.02,   57.27,   45.02,   53.61,   58.30,   47.59
05/03/2013 01:05:00,   52.27,   57.49,   45.90,   54.35,   59.30,   49.31
05/03/2013 01:10:00,   52.30,   58.87,   44.02,   53.80,   59.35,   47.38
05/03/2013 01:15:00,   55.31,   60.74,   45.86,   57.77,   63.29,   48.68
05/03/2013 01:20:00,   53.39,   58.41,   46.43,   56.62,   60.75,   49.28
05/03/2013 01:25:00,   51.42,   58.34,   41.79,   53.40,   59.51,   46.29
05/03/2013 01:30:00,   51.32,   57.77,   43.93,   53.48,   58.79,   48.01
05/03/2013 01:35:00,   49.76,   55.72,   43.10,   52.76,   57.30,   48.59
05/03/2013 01:40:00,   47.67,   52.29,   41.74,   51.05,   54.39,   47.28
05/03/2013 01:45:00,   48.50,   55.00,   40.58,   50.62,   56.03,   44.58
05/03/2013 01:50:00,   46.83,   50.32,   40.92,   49.30,   52.05,   45.45
05/03/2013 01:55:00,   50.28,   58.14,   41.81,   54.55,   59.70,   46.77
05/03/2013 02:00:00,   50.26,   56.40,   42.56,   52.26,   57.48,   47.19
05/03/2013 02:05:00,   47.89,   54.33,   40.82,   50.81,   55.32,   45.46
05/03/2013 02:10:00,   45.03,   48.20,   40.69,   48.31,   50.19,   44.71
05/03/2013 02:15:00,   49.53,   56.68,   42.06,   52.52,   58.31,   46.84
05/03/2013 02:20:00,   44.88,   49.32,   40.34,   47.93,   50.49,   44.80
05/03/2013 02:25:00,   43.98,   46.42,   40.49,   47.24,   49.42,   44.74
05/03/2013 02:30:00,   46.14,   51.61,   40.79,   48.84,   52.82,   45.76
05/03/2013 02:35:00,   48.68,   54.44,   43.02,   50.77,   55.61,   46.64
