# noise_analysis run from DCC-NOISE-001003 at Wed Mar  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/03/2013 00:05:00,   51.92,   58.62,   41.54,   53.66,   59.44,   45.42
06/03/2013 00:10:00,   54.10,   60.08,   42.87,   55.77,   61.40,   46.39
06/03/2013 00:15:00,   50.79,   58.28,   39.96,   52.76,   59.96,   43.77
06/03/2013 00:20:00,   53.26,   58.67,   41.21,   55.25,   60.62,   44.74
06/03/2013 00:25:00,   52.69,   59.61,   40.42,   53.87,   60.20,   43.97
06/03/2013 00:30:00,   51.29,   58.44,   39.74,   53.05,   59.81,   43.16
06/03/2013 00:35:00,   47.24,   54.28,   38.41,   49.50,   55.88,   42.80
06/03/2013 00:40:00,   51.11,   58.33,   39.01,   52.72,   59.29,   42.49
06/03/2013 00:45:00,   51.73,   57.92,   38.80,   53.33,   59.40,   42.91
06/03/2013 00:50:00,   54.22,   60.05,   42.35,   56.46,   61.57,   45.83
06/03/2013 00:55:00,   52.36,   58.62,   41.19,   54.64,   60.28,   45.09
06/03/2013 01:00:00,   47.98,   56.19,   36.74,   50.08,   57.03,   41.54
06/03/2013 01:05:00,   50.12,   58.19,   36.57,   51.99,   59.26,   41.45
06/03/2013 01:10:00,   50.85,   58.39,   38.63,   52.93,   59.61,   42.82
06/03/2013 01:15:00,   51.82,   57.94,   40.59,   53.70,   59.75,   43.94
06/03/2013 01:20:00,   52.53,   57.92,   42.25,   53.86,   58.98,   44.78
06/03/2013 01:25:00,   50.88,   57.32,   39.65,   52.56,   58.90,   42.75
06/03/2013 01:30:00,   48.09,   55.59,   38.61,   50.20,   56.30,   42.61
06/03/2013 01:35:00,   47.36,   55.35,   38.03,   50.48,   57.53,   42.73
06/03/2013 01:40:00,   47.87,   56.00,   35.85,   49.88,   57.12,   41.51
06/03/2013 01:45:00,   48.35,   56.68,   36.43,   50.59,   57.84,   41.82
06/03/2013 01:50:00,   51.28,   58.61,   38.91,   52.67,   59.59,   42.82
06/03/2013 01:55:00,   44.96,   50.78,   37.50,   47.24,   52.23,   41.81
06/03/2013 02:00:00,   46.75,   54.05,   37.18,   48.96,   55.75,   41.66
06/03/2013 02:05:00,   48.53,   55.85,   38.06,   51.01,   57.94,   42.38
06/03/2013 02:10:00,   46.06,   52.46,   36.56,   48.57,   55.16,   41.17
06/03/2013 02:15:00,   46.69,   54.87,   37.50,   48.78,   55.89,   41.96
06/03/2013 02:20:00,   45.35,   53.67,   36.14,   47.70,   55.44,   41.47
06/03/2013 02:25:00,   41.61,   45.02,   35.89,   44.55,   46.79,   40.64
06/03/2013 02:30:00,   44.76,   51.19,   35.91,   46.61,   51.36,   40.36
