# noise_analysis run from DCC-NOISE-001003 at Thu Mar  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/03/2013 00:05:00,   55.62,   61.43,   45.07,   57.20,   62.94,   47.24
07/03/2013 00:10:00,   55.28,   61.97,   45.13,   56.58,   63.10,   46.99
07/03/2013 00:15:00,   53.00,   58.77,   40.88,   54.48,   59.62,   43.88
07/03/2013 00:20:00,   53.71,   60.09,   43.22,   54.81,   60.54,   45.31
07/03/2013 00:25:00,   54.21,   60.52,   43.41,   55.09,   60.69,   45.81
07/03/2013 00:30:00,   52.71,   59.73,   42.07,   56.71,   61.94,   44.91
07/03/2013 00:35:00,   50.09,   55.77,   41.13,   51.61,   56.84,   43.91
07/03/2013 00:40:00,   52.69,   59.58,   42.75,   54.18,   60.19,   45.24
07/03/2013 00:45:00,   51.95,   59.37,   41.73,   52.95,   59.60,   44.42
07/03/2013 00:50:00,   51.91,   58.56,   43.35,   53.11,   59.14,   45.79
07/03/2013 00:55:00,   52.10,   59.34,   40.94,   53.23,   59.89,   43.79
07/03/2013 01:00:00,   52.72,   58.78,   39.91,   53.75,   59.85,   43.39
07/03/2013 01:05:00,   51.56,   59.02,   40.49,   52.86,   59.88,   43.19
07/03/2013 01:10:00,   51.01,   58.27,   37.47,   52.16,   58.64,   41.74
07/03/2013 01:15:00,   48.21,   55.93,   39.02,   49.70,   56.47,   42.83
07/03/2013 01:20:00,   52.09,   60.11,   40.59,   52.91,   60.26,   43.58
07/03/2013 01:25:00,   48.84,   57.45,   37.85,   50.21,   58.26,   41.53
07/03/2013 01:30:00,   48.00,   55.57,   38.02,   49.69,   56.76,   41.26
07/03/2013 01:35:00,   48.56,   55.54,   39.02,   50.19,   56.45,   42.44
07/03/2013 01:40:00,   47.17,   52.23,   38.55,   48.58,   53.92,   41.31
07/03/2013 01:45:00,   49.85,   58.22,   39.09,   51.00,   58.92,   41.92
07/03/2013 01:50:00,   49.87,   57.68,   39.98,   50.72,   58.09,   42.01
