# noise_analysis run from DCC-NOISE-001003 at Sat Mar  9 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/03/2013 00:05:00,   53.63,   58.94,   42.84,   56.50,   61.41,   47.64
09/03/2013 00:10:00,   52.77,   57.80,   44.61,   55.62,   59.90,   46.86
09/03/2013 00:15:00,   52.71,   58.02,   43.89,   55.68,   60.33,   47.49
09/03/2013 00:20:00,   53.70,   59.23,   43.34,   56.58,   61.31,   45.84
09/03/2013 00:25:00,   53.20,   58.95,   43.31,   54.65,   60.06,   45.53
09/03/2013 00:30:00,   54.36,   59.24,   45.40,   57.12,   61.11,   48.73
09/03/2013 00:35:00,   52.51,   58.22,   42.67,   54.96,   60.19,   44.77
09/03/2013 00:40:00,   51.86,   57.34,   42.42,   53.88,   58.92,   45.20
09/03/2013 00:45:00,   52.54,   58.62,   43.18,   55.06,   60.64,   46.41
09/03/2013 00:50:00,   53.02,   59.69,   41.12,   54.81,   60.52,   43.84
09/03/2013 00:55:00,   53.92,   58.97,   42.84,   55.50,   59.85,   46.31
09/03/2013 01:00:00,   54.34,   59.99,   42.55,   56.75,   61.61,   44.68
09/03/2013 01:05:00,   52.30,   57.02,   42.27,   54.42,   58.21,   44.69
09/03/2013 01:10:00,   52.16,   57.64,   45.62,   55.00,   59.43,   48.54
09/03/2013 01:15:00,   53.43,   59.54,   44.97,   55.56,   60.64,   47.61
09/03/2013 01:20:00,   53.93,   59.72,   42.99,   56.28,   61.64,   45.47
09/03/2013 01:25:00,   52.67,   58.34,   41.50,   54.72,   60.35,   44.36
09/03/2013 01:30:00,   53.84,   59.03,   42.78,   56.08,   60.89,   46.03
09/03/2013 01:35:00,   54.70,   60.75,   43.97,   56.62,   62.18,   47.26
09/03/2013 01:40:00,   52.80,   58.37,   42.93,   55.36,   61.04,   46.38
09/03/2013 01:45:00,   54.34,   59.65,   43.69,   56.43,   61.14,   46.71
09/03/2013 01:50:00,   53.12,   58.66,   42.98,   55.27,   60.54,   46.19
09/03/2013 01:55:00,   52.71,   58.57,   42.92,   54.98,   60.46,   45.45
09/03/2013 02:00:00,   52.06,   58.22,   42.66,   54.58,   59.89,   45.86
09/03/2013 02:05:00,   53.28,   59.27,   44.03,   55.60,   60.82,   48.17
09/03/2013 02:10:00,   52.37,   57.78,   44.45,   54.74,   59.38,   48.25
09/03/2013 02:15:00,   51.94,   57.45,   44.00,   54.40,   59.40,   47.21
09/03/2013 02:20:00,   53.64,   59.52,   43.78,   55.81,   60.70,   47.10
09/03/2013 02:25:00,   51.07,   57.32,   42.44,   53.76,   59.05,   45.99
09/03/2013 02:30:00,   47.80,   54.31,   41.15,   50.66,   56.87,   44.30
09/03/2013 02:35:00,   50.95,   57.92,   41.22,   52.88,   59.07,   44.51
09/03/2013 02:40:00,   52.43,   59.34,   41.24,   54.56,   60.72,   44.49
09/03/2013 02:45:00,   50.96,   57.91,   40.78,   52.63,   59.12,   44.42
09/03/2013 02:50:00,   52.80,   59.85,   41.31,   55.01,   61.46,   44.57
09/03/2013 02:55:00,   51.68,   57.66,   41.70,   53.28,   57.95,   44.55
09/03/2013 03:00:00,   51.09,   57.05,   42.33,   53.11,   58.87,   44.94
09/03/2013 03:05:00,   50.08,   56.45,   42.05,   52.74,   58.05,   45.12
09/03/2013 03:10:00,   52.82,   59.32,   44.13,   54.35,   59.70,   46.86
09/03/2013 03:15:00,   54.55,   60.62,   44.83,   56.15,   61.72,   47.24
09/03/2013 03:20:00,   50.86,   57.95,   41.53,   52.31,   59.67,   44.13
09/03/2013 03:25:00,   49.63,   56.35,   42.18,   51.55,   57.87,   44.89
09/03/2013 03:30:00,   54.41,   60.90,   44.67,   56.26,   61.93,   47.32
09/03/2013 03:35:00,   52.36,   59.05,   41.28,   53.75,   59.86,   44.18
09/03/2013 03:40:00,   50.27,   57.33,   41.57,   51.63,   57.71,   44.43
09/03/2013 03:45:00,   51.62,   59.80,   42.30,   52.84,   60.36,   45.21
09/03/2013 03:50:00,   54.40,   62.18,   42.58,   55.27,   62.37,   45.28
09/03/2013 03:55:00,   54.11,   60.32,   44.85,   55.06,   60.95,   47.40
09/03/2013 04:00:00,   50.05,   56.26,   43.08,   52.05,   57.62,   46.43
09/03/2013 04:05:00,   52.23,   58.69,   43.40,   53.82,   60.85,   46.04
09/03/2013 04:10:00,   50.42,   55.41,   43.51,   51.73,   56.57,   45.85
09/03/2013 04:15:00,   52.53,   59.33,   42.66,   53.07,   59.43,   45.27
09/03/2013 04:20:00,   53.22,   58.88,   43.72,   54.27,   60.07,   45.95
09/03/2013 04:25:00,   52.03,   58.32,   42.74,   52.85,   58.69,   44.99
09/03/2013 04:30:00,   53.39,   60.24,   42.33,   54.12,   60.99,   44.51
09/03/2013 04:35:00,   51.31,   58.17,   42.04,   52.43,   59.54,   44.24
09/03/2013 04:40:00,   53.22,   60.68,   42.75,   53.72,   60.99,   44.67
09/03/2013 04:45:00,   50.69,   56.52,   41.85,   51.12,   56.63,   43.83
09/03/2013 04:50:00,   51.34,   57.41,   42.60,   52.26,   58.23,   44.78
09/03/2013 04:55:00,   50.98,   57.25,   41.16,   51.72,   57.73,   43.52
09/03/2013 05:00:00,   51.34,   57.93,   42.05,   52.28,   58.39,   44.60
09/03/2013 05:05:00,   51.26,   56.74,   42.09,   52.59,   57.78,   43.68
09/03/2013 05:10:00,   52.29,   58.24,   42.63,   53.04,   58.75,   44.77
09/03/2013 05:15:00,   53.04,   59.33,   43.44,   53.92,   59.82,   44.98
09/03/2013 05:20:00,   53.80,   60.04,   43.71,   54.50,   60.26,   45.80
09/03/2013 05:25:00,   53.04,   59.68,   43.19,   54.19,   61.32,   45.01
09/03/2013 05:30:00,   50.43,   55.25,   43.44,   51.51,   57.31,   45.22
09/03/2013 05:35:00,   49.96,   54.64,   41.69,   50.80,   56.06,   43.43
09/03/2013 05:40:00,   54.07,   59.74,   43.93,   55.22,   61.07,   46.08
09/03/2013 05:45:00,   49.19,   54.25,   42.64,   50.47,   55.14,   44.95
09/03/2013 05:50:00,   51.95,   58.29,   43.15,   53.47,   60.11,   45.45
09/03/2013 05:55:00,   48.57,   53.03,   42.52,   50.13,   54.98,   44.95
09/03/2013 06:00:00,   48.85,   53.22,   42.11,   50.50,   55.24,   44.52
09/03/2013 06:05:00,   51.08,   56.88,   41.61,   53.27,   59.55,   43.91
09/03/2013 06:10:00,   51.96,   59.25,   41.44,   54.12,   60.89,   44.45
09/03/2013 06:15:00,   52.23,   56.52,   44.23,   53.68,   58.49,   46.74
09/03/2013 06:20:00,   51.23,   56.44,   43.14,   52.23,   57.76,   44.93
09/03/2013 06:25:00,   52.48,   57.53,   43.94,   54.36,   59.14,   46.18
09/03/2013 06:30:00,   51.79,   57.99,   43.45,   52.95,   58.40,   45.18
09/03/2013 06:35:00,   53.05,   59.02,   43.59,   53.68,   60.16,   45.37
09/03/2013 06:40:00,   53.44,   59.80,   44.24,   54.13,   59.61,   46.81
09/03/2013 06:45:00,   51.62,   56.92,   43.84,   53.08,   58.36,   46.29
09/03/2013 06:50:00,   52.78,   59.02,   43.25,   54.07,   60.67,   45.14
09/03/2013 06:55:00,   54.03,   58.76,   45.07,   55.43,   59.80,   47.82
09/03/2013 07:00:00,   52.67,   59.09,   43.79,   54.07,   60.37,   45.57
09/03/2013 07:05:00,   55.32,   61.12,   46.35,   57.40,   62.92,   47.62
09/03/2013 07:10:00,   53.98,   59.61,   44.84,   55.68,   61.54,   47.24
09/03/2013 07:15:00,   53.10,   58.57,   44.66,   54.22,   59.42,   46.73
09/03/2013 07:20:00,   56.55,   61.96,   46.37,   58.23,   62.94,   47.97
09/03/2013 07:25:00,   54.86,   60.39,   46.27,   56.15,   61.05,   48.06
09/03/2013 07:30:00,   56.10,   62.22,   46.83,   59.18,   64.55,   49.82
09/03/2013 07:35:00,   55.02,   60.61,   48.19,   56.93,   62.03,   50.46
09/03/2013 07:40:00,   56.72,   62.08,   47.33,   58.97,   64.24,   50.55
09/03/2013 07:45:00,   54.20,   59.40,   47.95,   55.73,   60.93,   49.47
09/03/2013 07:50:00,   56.82,   61.92,   48.31,   61.27,   65.56,   50.49
09/03/2013 07:55:00,   57.11,   61.20,   49.39,   58.46,   62.49,   51.03
09/03/2013 08:00:00,   58.53,   63.11,   51.02,   59.85,   64.58,   52.34
09/03/2013 08:05:00,   57.90,   61.81,   50.26,   58.54,   61.97,   52.63
09/03/2013 08:10:00,   57.01,   62.06,   47.38,   58.12,   62.92,   49.26
09/03/2013 08:15:00,   54.92,   59.62,   47.13,   56.43,   60.80,   49.12
09/03/2013 08:20:00,   56.42,   61.55,   47.52,   58.26,   63.35,   49.79
09/03/2013 08:25:00,   56.87,   61.99,   47.06,   58.47,   63.52,   49.04
09/03/2013 08:30:00,   57.53,   61.05,   51.75,   58.08,   62.04,   53.07
09/03/2013 08:35:00,   56.43,   60.35,   48.36,   58.47,   62.93,   50.78
09/03/2013 08:40:00,   55.70,   59.94,   48.16,   57.63,   61.49,   50.80
09/03/2013 08:45:00,   57.40,   60.76,   49.89,   59.92,   63.65,   52.87
09/03/2013 08:50:00,   58.56,   62.04,   52.61,   60.51,   63.89,   55.13
09/03/2013 08:55:00,   56.33,   60.70,   47.09,   58.73,   62.91,   49.08
09/03/2013 09:00:00,   58.03,   62.13,   51.68,   60.88,   64.41,   54.21
09/03/2013 09:05:00,   57.15,   62.34,   48.78,   59.17,   63.47,   51.98
09/03/2013 09:10:00,   57.08,   61.28,   49.32,   59.33,   63.43,   51.63
09/03/2013 09:15:00,   57.00,   61.77,   49.67,   59.91,   64.05,   52.86
09/03/2013 09:20:00,   58.81,   62.68,   50.33,   62.13,   66.44,   53.68
09/03/2013 09:25:00,   58.20,   61.87,   50.01,   60.43,   63.77,   52.56
09/03/2013 09:30:00,   58.88,   62.95,   50.74,   61.56,   65.14,   54.47
09/03/2013 09:35:00,   59.77,   63.93,   51.69,   62.14,   65.67,   55.84
09/03/2013 09:40:00,   58.99,   62.45,   52.02,   61.17,   64.33,   55.31
09/03/2013 09:45:00,   58.38,   61.99,   51.55,   61.69,   65.19,   54.45
09/03/2013 09:50:00,   58.67,   62.30,   50.66,   60.86,   64.18,   54.63
09/03/2013 09:55:00,   57.95,   62.02,   50.99,   60.49,   63.77,   55.00
09/03/2013 10:00:00,   58.09,   61.64,   52.59,   60.21,   63.09,   54.91
09/03/2013 10:05:00,   58.64,   62.02,   52.65,   61.14,   63.83,   55.76
09/03/2013 10:10:00,   58.69,   62.29,   53.24,   61.56,   65.47,   55.77
09/03/2013 10:15:00,   58.49,   62.16,   53.62,   61.12,   64.07,   56.27
09/03/2013 10:20:00,   58.53,   62.12,   52.85,   60.84,   64.17,   55.54
09/03/2013 10:25:00,   58.72,   62.45,   52.07,   61.66,   65.37,   53.71
09/03/2013 10:30:00,   58.49,   61.91,   52.09,   60.76,   63.84,   55.23
09/03/2013 10:35:00,   57.91,   61.38,   52.78,   61.17,   64.56,   55.44
09/03/2013 10:40:00,   58.96,   62.46,   52.74,   61.58,   64.33,   56.53
09/03/2013 10:45:00,   58.64,   61.99,   51.80,   61.17,   63.87,   55.49
09/03/2013 10:50:00,   58.71,   62.22,   51.94,   60.92,   64.27,   55.21
09/03/2013 10:55:00,   58.09,   61.45,   50.76,   59.93,   63.19,   52.69
09/03/2013 11:00:00,   58.13,   61.99,   51.32,   61.30,   64.76,   55.32
09/03/2013 11:05:00,   59.16,   62.26,   52.70,   61.67,   64.48,   56.05
09/03/2013 11:10:00,   59.52,   63.20,   53.00,   61.74,   64.44,   55.27
09/03/2013 11:15:00,   58.04,   61.81,   51.99,   61.75,   65.33,   56.80
09/03/2013 11:20:00,   59.47,   62.04,   53.02,   62.43,   64.98,   55.33
09/03/2013 11:25:00,   58.52,   61.83,   53.47,   62.04,   65.77,   56.65
09/03/2013 11:30:00,   58.95,   62.19,   53.16,   61.46,   63.95,   56.38
09/03/2013 11:35:00,   58.30,   62.17,   52.42,   60.98,   64.41,   55.88
09/03/2013 11:40:00,   58.96,   62.25,   53.02,   62.81,   65.38,   56.78
09/03/2013 11:45:00,   59.98,   62.29,   55.45,   61.39,   64.19,   57.37
09/03/2013 11:50:00,   59.32,   61.98,   55.03,   61.38,   63.45,   57.69
09/03/2013 11:55:00,   59.21,   62.26,   52.88,   60.98,   63.60,   55.65
09/03/2013 12:00:00,   59.46,   62.08,   54.56,   62.22,   64.47,   57.41
09/03/2013 12:05:00,   59.60,   62.67,   54.76,   62.96,   65.70,   58.64
09/03/2013 12:10:00,   58.46,   61.44,   53.38,   62.73,   67.12,   56.84
09/03/2013 12:15:00,   59.61,   62.36,   53.79,   62.23,   64.88,   56.96
09/03/2013 12:20:00,   58.57,   61.34,   53.10,   61.63,   64.05,   56.82
09/03/2013 12:25:00,   58.53,   61.67,   52.10,   60.90,   63.51,   55.88
09/03/2013 12:30:00,   58.33,   61.89,   52.59,   61.23,   64.46,   55.19
09/03/2013 12:35:00,   59.77,   62.45,   55.81,   62.11,   64.73,   57.61
09/03/2013 12:40:00,   61.00,   64.28,   56.77,   62.58,   65.89,   58.45
09/03/2013 12:45:00,   60.27,   62.64,   54.58,   62.08,   64.74,   57.24
09/03/2013 12:50:00,   59.76,   62.05,   54.83,   62.51,   64.71,   57.82
09/03/2013 12:55:00,   60.76,   62.81,   56.64,   62.50,   64.62,   58.30
09/03/2013 13:00:00,   61.08,   63.33,   55.61,   62.69,   64.74,   57.92
09/03/2013 13:05:00,   61.11,   63.17,   57.22,   63.63,   65.79,   59.14
09/03/2013 13:10:00,   59.50,   62.21,   54.34,   61.83,   64.58,   57.08
09/03/2013 13:15:00,   61.32,   63.63,   57.56,   62.69,   64.81,   58.27
09/03/2013 13:20:00,   61.53,   63.64,   56.69,   62.74,   64.72,   58.81
09/03/2013 13:25:00,   61.72,   63.81,   58.61,   62.87,   65.74,   58.97
09/03/2013 13:30:00,   60.54,   62.64,   55.36,   62.24,   64.17,   57.58
09/03/2013 13:35:00,   59.07,   61.87,   53.05,   62.78,   64.93,   56.83
09/03/2013 13:40:00,   59.16,   61.60,   53.31,   61.66,   64.30,   56.04
09/03/2013 13:45:00,   60.39,   62.49,   56.12,   62.74,   64.78,   58.88
09/03/2013 13:50:00,   59.55,   62.38,   54.79,   61.73,   64.24,   57.35
09/03/2013 13:55:00,   58.78,   62.11,   52.50,   62.03,   65.57,   56.80
09/03/2013 14:00:00,   59.91,   62.11,   55.12,   62.54,   65.43,   57.93
09/03/2013 14:05:00,   62.23,   64.79,   57.36,   63.17,   65.34,   59.55
09/03/2013 14:10:00,   63.55,   65.32,   60.94,   63.99,   65.97,   61.27
09/03/2013 14:15:00,   61.57,   63.92,   57.04,   63.36,   65.78,   60.04
09/03/2013 14:20:00,   60.88,   63.06,   56.17,   62.34,   64.48,   57.94
09/03/2013 14:25:00,   60.35,   62.70,   55.36,   61.88,   64.39,   57.16
09/03/2013 14:30:00,   61.89,   63.92,   57.55,   63.10,   65.32,   58.73
09/03/2013 14:35:00,   63.00,   64.62,   59.41,   63.57,   65.27,   60.49
09/03/2013 14:40:00,   63.33,   64.96,   60.36,   63.85,   65.73,   60.29
09/03/2013 14:45:00,   62.52,   65.01,   56.95,   64.41,   67.81,   58.90
09/03/2013 14:50:00,   59.74,   62.76,   55.33,   61.78,   64.17,   57.42
09/03/2013 14:55:00,   60.77,   63.96,   53.59,   63.12,   65.81,   56.27
09/03/2013 15:00:00,   60.80,   63.34,   55.11,   62.89,   65.11,   57.77
09/03/2013 15:05:00,   60.81,   63.51,   57.11,   62.74,   65.45,   58.59
09/03/2013 15:10:00,   60.53,   63.76,   55.30,   63.13,   66.70,   58.52
09/03/2013 15:15:00,   61.23,   63.93,   56.41,   62.80,   64.97,   58.76
09/03/2013 15:20:00,   62.09,   63.56,   58.77,   63.51,   65.27,   59.62
09/03/2013 15:25:00,   62.52,   64.40,   59.10,   63.19,   65.25,   59.60
09/03/2013 15:30:00,   61.59,   63.67,   57.75,   63.13,   65.58,   58.57
09/03/2013 15:35:00,   61.27,   63.53,   57.08,   62.10,   64.54,   57.44
09/03/2013 15:40:00,   63.23,   65.78,   59.58,   64.35,   66.61,   60.46
