# noise_analysis run from DCC-NOISE-001003 at Mon Mar 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/03/2013 00:05:00,   62.21,   67.41,   52.77,   69.70,   75.46,   58.13
11/03/2013 00:10:00,   58.35,   63.08,   51.91,   64.56,   70.62,   56.27
11/03/2013 00:15:00,   56.86,   61.39,   48.50,   62.35,   66.99,   53.66
11/03/2013 00:20:00,   58.38,   63.09,   49.58,   64.49,   70.07,   55.09
11/03/2013 00:25:00,   58.92,   63.99,   48.00,   65.36,   71.68,   53.24
11/03/2013 00:30:00,   56.36,   61.00,   48.19,   61.83,   66.33,   53.28
11/03/2013 00:35:00,   57.13,   60.85,   48.31,   62.71,   67.90,   54.31
11/03/2013 00:40:00,   60.29,   65.22,   50.74,   66.88,   73.23,   55.99
11/03/2013 00:45:00,   59.55,   64.87,   51.14,   66.62,   73.64,   56.13
11/03/2013 00:50:00,   60.05,   65.96,   49.78,   66.72,   73.74,   54.17
11/03/2013 00:55:00,   62.97,   68.23,   52.44,   70.42,   76.52,   58.49
11/03/2013 01:00:00,   58.85,   64.10,   51.11,   65.01,   71.17,   55.98
11/03/2013 01:05:00,   60.01,   65.50,   48.35,   67.26,   74.03,   54.80
11/03/2013 01:10:00,   54.69,   59.51,   46.17,   58.74,   62.60,   50.32
11/03/2013 01:15:00,   56.91,   62.23,   47.57,   62.50,   67.87,   52.77
11/03/2013 01:20:00,   58.91,   65.30,   45.44,   65.98,   73.16,   50.69
11/03/2013 01:25:00,   58.31,   64.20,   47.17,   65.57,   72.18,   52.57
11/03/2013 01:30:00,   56.61,   61.44,   46.67,   62.81,   68.64,   51.73
11/03/2013 01:35:00,   54.92,   59.97,   46.24,   61.09,   66.28,   51.82
11/03/2013 01:40:00,   56.29,   61.77,   47.00,   62.81,   68.88,   51.62
11/03/2013 01:45:00,   53.97,   59.00,   45.51,   59.78,   64.26,   50.03
11/03/2013 01:50:00,   53.82,   59.28,   44.90,   60.73,   67.01,   50.18
11/03/2013 01:55:00,   57.20,   62.30,   47.69,   64.20,   70.12,   52.82
11/03/2013 02:00:00,   58.65,   65.67,   49.66,   65.88,   73.37,   54.05
11/03/2013 02:05:00,   55.17,   60.88,   42.88,   62.14,   68.73,   48.78
11/03/2013 02:10:00,   56.20,   61.60,   46.30,   63.16,   69.96,   53.28
11/03/2013 02:15:00,   52.39,   59.28,   44.19,   58.13,   64.63,   49.64
11/03/2013 02:20:00,   54.07,   60.04,   43.09,   60.76,   66.73,   48.96
11/03/2013 02:25:00,   58.39,   64.97,   44.27,   65.30,   72.70,   48.90
11/03/2013 02:30:00,   59.86,   66.41,   48.28,   67.35,   73.98,   55.32
11/03/2013 02:35:00,   55.08,   60.12,   45.33,   62.21,   68.35,   49.89
11/03/2013 02:40:00,   53.47,   58.32,   45.49,   60.26,   65.72,   50.74
11/03/2013 02:45:00,   55.75,   61.27,   44.17,   62.83,   68.63,   51.16
11/03/2013 02:50:00,   54.59,   59.94,   46.34,   62.00,   67.98,   51.83
11/03/2013 02:55:00,   57.80,   63.67,   47.02,   65.52,   71.44,   53.89
11/03/2013 03:00:00,   54.51,   60.21,   42.59,   61.54,   66.74,   47.82
11/03/2013 03:05:00,   56.79,   63.67,   44.69,   64.91,   72.42,   51.24
11/03/2013 03:10:00,   51.70,   56.68,   44.03,   59.64,   65.42,   50.07
11/03/2013 03:15:00,   56.68,   62.82,   45.31,   63.79,   71.23,   51.46
11/03/2013 03:20:00,   54.59,   60.32,   44.50,   62.39,   68.10,   49.77
11/03/2013 03:25:00,   57.39,   63.33,   45.70,   64.89,   71.17,   51.86
11/03/2013 03:30:00,   57.65,   63.18,   47.01,   65.40,   72.38,   53.80
11/03/2013 03:35:00,   52.61,   58.87,   43.78,   59.51,   65.37,   50.04
11/03/2013 03:40:00,   51.16,   56.49,   44.50,   57.88,   63.25,   49.32
11/03/2013 03:45:00,   53.99,   60.63,   43.57,   61.41,   68.08,   48.72
11/03/2013 03:50:00,   50.27,   55.67,   43.25,   56.36,   61.36,   48.31
11/03/2013 03:55:00,   54.58,   59.88,   46.32,   61.43,   67.20,   51.55
11/03/2013 04:00:00,   54.06,   59.53,   44.88,   61.18,   67.23,   50.42
11/03/2013 04:05:00,   57.80,   65.49,   45.29,   65.74,   73.45,   50.96
11/03/2013 04:10:00,   60.07,   67.31,   47.15,   67.74,   75.37,   52.96
11/03/2013 04:15:00,   56.51,   62.73,   46.85,   64.23,   71.18,   52.79
11/03/2013 04:20:00,   56.53,   63.05,   47.66,   64.48,   71.60,   52.71
11/03/2013 04:25:00,   57.77,   63.07,   47.21,   65.38,   72.25,   52.28
11/03/2013 04:30:00,   55.74,   61.45,   46.25,   62.93,   69.53,   51.98
11/03/2013 04:35:00,   58.43,   64.48,   48.37,   66.36,   72.71,   54.19
11/03/2013 04:40:00,   51.22,   55.97,   43.52,   57.99,   64.00,   48.54
11/03/2013 04:45:00,   56.26,   62.63,   46.32,   64.12,   70.71,   51.54
11/03/2013 04:50:00,   57.01,   63.68,   46.98,   65.13,   71.97,   52.62
11/03/2013 04:55:00,   55.22,   61.98,   43.82,   62.61,   69.71,   48.77
11/03/2013 05:00:00,   56.51,   61.88,   46.91,   64.03,   70.20,   51.42
11/03/2013 05:05:00,   56.11,   62.06,   46.93,   62.93,   70.03,   51.48
11/03/2013 05:10:00,   52.18,   56.47,   45.21,   59.59,   64.97,   50.25
11/03/2013 05:15:00,   56.73,   62.56,   46.39,   64.30,   70.72,   52.89
11/03/2013 05:20:00,   56.85,   61.92,   46.28,   64.34,   70.64,   51.17
11/03/2013 05:25:00,   56.32,   62.34,   45.84,   64.13,   71.16,   51.04
