# noise_analysis run from DCC-NOISE-001003 at Tue Mar 12 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/03/2013 00:05:00,   52.46,   57.89,   40.47,   56.98,   61.75,   44.65
12/03/2013 00:10:00,   50.97,   56.91,   41.60,   54.76,   59.93,   46.09
12/03/2013 00:15:00,   51.89,   57.05,   41.99,   54.82,   59.63,   45.48
12/03/2013 00:20:00,   48.00,   54.81,   39.67,   51.79,   57.46,   44.31
12/03/2013 00:25:00,   52.51,   58.56,   41.26,   56.60,   62.05,   45.10
12/03/2013 00:30:00,   51.13,   56.61,   43.00,   54.51,   59.55,   47.08
12/03/2013 00:35:00,   51.15,   58.89,   40.36,   54.19,   60.38,   44.86
12/03/2013 00:40:00,   50.22,   56.25,   41.78,   53.75,   58.74,   45.86
12/03/2013 00:45:00,   47.95,   53.38,   41.41,   51.61,   56.06,   45.66
12/03/2013 00:50:00,   49.73,   56.55,   41.39,   54.12,   60.00,   45.82
12/03/2013 00:55:00,   50.37,   56.48,   41.89,   53.51,   58.94,   45.90
12/03/2013 01:00:00,   50.34,   57.08,   40.87,   54.04,   59.82,   45.21
12/03/2013 01:05:00,   47.53,   53.91,   38.75,   51.47,   56.94,   42.66
12/03/2013 01:10:00,   50.23,   57.04,   38.24,   55.26,   61.74,   42.56
12/03/2013 01:15:00,   49.28,   56.71,   38.87,   53.37,   59.73,   43.44
12/03/2013 01:20:00,   49.22,   55.55,   40.87,   53.16,   58.41,   45.45
12/03/2013 01:25:00,   49.60,   56.40,   40.77,   53.99,   59.82,   45.12
12/03/2013 01:30:00,   50.55,   57.13,   40.56,   54.77,   61.32,   45.03
12/03/2013 01:35:00,   50.18,   56.29,   39.20,   56.09,   62.24,   44.13
12/03/2013 01:40:00,   44.74,   51.06,   37.32,   50.36,   55.98,   41.92
12/03/2013 01:45:00,   43.98,   49.75,   37.77,   49.50,   55.11,   42.30
12/03/2013 01:50:00,   45.69,   51.58,   36.80,   49.51,   56.14,   41.31
12/03/2013 01:55:00,   43.34,   46.60,   37.41,   47.42,   52.43,   41.98
12/03/2013 02:00:00,   47.86,   54.05,   39.63,   52.52,   58.59,   43.45
12/03/2013 02:05:00,   48.60,   54.60,   39.44,   53.77,   59.37,   43.34
12/03/2013 02:10:00,   44.66,   49.36,   37.42,   48.88,   54.41,   42.34
12/03/2013 02:15:00,   45.43,   51.43,   36.81,   49.63,   56.72,   41.47
12/03/2013 02:20:00,   50.38,   56.54,   40.63,   55.66,   61.01,   45.35
12/03/2013 02:25:00,   43.37,   47.43,   37.05,   48.72,   53.81,   42.05
12/03/2013 02:30:00,   43.26,   47.26,   35.27,   47.21,   51.99,   40.36
12/03/2013 02:35:00,   46.87,   52.56,   39.27,   53.12,   59.48,   43.57
12/03/2013 02:40:00,   46.10,   50.54,   36.12,   52.65,   57.52,   40.81
12/03/2013 02:45:00,   46.17,   52.20,   36.95,   52.16,   57.23,   42.78
