# noise_analysis run from DCC-NOISE-001003 at Thu Mar 14 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/03/2013 00:05:00,   55.10,   58.36,   49.85,   57.63,   60.63,   52.97
14/03/2013 00:10:00,   54.30,   58.90,   47.46,   56.94,   60.79,   52.13
14/03/2013 00:15:00,   54.48,   59.42,   47.74,   56.95,   61.19,   52.28
14/03/2013 00:20:00,   53.69,   57.76,   48.22,   55.86,   59.40,   51.85
14/03/2013 00:25:00,   52.87,   57.54,   46.16,   55.15,   58.85,   50.52
14/03/2013 00:30:00,   52.38,   56.98,   47.04,   54.61,   58.13,   50.44
14/03/2013 00:35:00,   53.75,   58.56,   47.54,   55.74,   59.91,   50.88
14/03/2013 00:40:00,   54.19,   58.75,   47.88,   55.80,   59.44,   51.03
14/03/2013 00:45:00,   52.24,   55.90,   47.72,   54.64,   57.81,   51.13
14/03/2013 00:50:00,   52.64,   58.90,   46.82,   55.58,   60.88,   50.89
14/03/2013 00:55:00,   53.16,   58.61,   46.90,   55.04,   59.85,   50.95
14/03/2013 01:00:00,   52.58,   56.96,   46.40,   54.88,   58.73,   50.46
14/03/2013 01:05:00,   51.92,   57.63,   46.22,   54.40,   58.44,   50.47
14/03/2013 01:10:00,   51.24,   55.63,   46.64,   53.98,   57.48,   50.59
14/03/2013 01:15:00,   52.04,   57.58,   45.75,   54.98,   59.76,   50.86
14/03/2013 01:20:00,   52.51,   57.47,   46.99,   55.15,   58.85,   51.48
14/03/2013 01:25:00,   52.12,   57.69,   46.23,   55.40,   59.23,   51.12
14/03/2013 01:30:00,   52.68,   57.62,   46.35,   55.25,   59.14,   51.22
14/03/2013 01:35:00,   48.97,   51.52,   44.77,   53.92,   56.51,   50.41
14/03/2013 01:40:00,   51.24,   57.50,   45.66,   54.66,   58.93,   51.07
14/03/2013 01:45:00,   50.09,   55.61,   45.47,   54.00,   57.14,   50.55
14/03/2013 01:50:00,   52.70,   57.87,   47.04,   55.21,   59.39,   50.68
14/03/2013 01:55:00,   51.88,   56.47,   45.43,   54.34,   58.05,   49.69
14/03/2013 02:00:00,   47.93,   53.58,   43.21,   51.78,   56.22,   48.33
14/03/2013 02:05:00,   49.41,   53.45,   44.66,   52.88,   55.33,   49.56
14/03/2013 02:10:00,   50.84,   56.51,   45.08,   53.18,   57.25,   49.23
14/03/2013 02:15:00,   49.57,   55.54,   44.18,   52.61,   56.79,   49.00
14/03/2013 02:20:00,   49.72,   55.79,   44.52,   52.94,   57.35,   48.66
14/03/2013 02:25:00,   46.59,   47.64,   42.97,   50.72,   52.08,   48.22
14/03/2013 02:30:00,   44.47,   45.98,   42.17,   48.92,   50.28,   46.78
14/03/2013 02:35:00,   47.97,   52.54,   42.82,   51.31,   54.75,   47.58
14/03/2013 02:40:00,   51.99,   57.44,   43.63,   54.02,   58.50,   47.82
14/03/2013 02:45:00,   50.29,   55.78,   43.86,   53.63,   58.77,   48.17
14/03/2013 02:50:00,   45.27,   46.90,   42.73,   50.00,   51.70,   47.79
14/03/2013 02:55:00,   49.49,   53.52,   42.94,   52.82,   55.92,   48.43
14/03/2013 03:00:00,   49.33,   53.32,   43.28,   52.40,   56.14,   47.93
14/03/2013 03:05:00,   53.18,   56.78,   44.28,   53.77,   56.08,   48.74
14/03/2013 03:10:00,   49.09,   51.63,   45.03,   52.40,   54.13,   49.49
14/03/2013 03:15:00,   49.61,   53.39,   44.41,   52.74,   55.73,   48.84
14/03/2013 03:20:00,   49.07,   53.85,   44.20,   52.48,   56.44,   48.89
14/03/2013 03:25:00,   50.89,   56.27,   45.07,   53.68,   58.42,   49.56
14/03/2013 03:30:00,   51.05,   57.40,   43.90,   53.71,   58.74,   48.89
14/03/2013 03:35:00,   50.98,   57.06,   44.48,   53.74,   58.36,   48.97
14/03/2013 03:40:00,   51.45,   54.94,   46.51,   54.85,   57.24,   51.64
14/03/2013 03:45:00,   48.31,   51.30,   45.61,   51.79,   53.63,   49.92
14/03/2013 03:50:00,   49.21,   52.01,   45.54,   52.87,   55.01,   49.66
14/03/2013 03:55:00,   50.29,   55.21,   44.01,   53.08,   56.91,   48.46
14/03/2013 04:00:00,   51.01,   56.14,   45.81,   53.75,   57.54,   50.04
14/03/2013 04:05:00,   49.54,   52.16,   44.93,   53.47,   55.16,   50.01
14/03/2013 04:10:00,   51.45,   57.09,   45.28,   54.27,   58.03,   50.26
14/03/2013 04:15:00,   50.05,   51.65,   44.37,   53.62,   54.89,   49.81
14/03/2013 04:20:00,   49.62,   52.56,   44.72,   52.85,   54.96,   49.75
14/03/2013 04:25:00,   49.21,   51.23,   45.54,   52.97,   54.83,   49.85
14/03/2013 04:30:00,   51.30,   55.97,   46.25,   53.95,   57.68,   50.62
14/03/2013 04:35:00,   53.53,   58.11,   47.56,   56.21,   60.02,   51.75
14/03/2013 04:40:00,   51.26,   53.74,   47.83,   54.71,   56.37,   52.11
14/03/2013 04:45:00,   51.91,   56.08,   47.51,   55.59,   58.79,   51.75
14/03/2013 04:50:00,   52.77,   57.37,   48.62,   55.92,   59.23,   52.92
14/03/2013 04:55:00,   50.95,   53.15,   48.11,   54.42,   56.03,   52.10
14/03/2013 05:00:00,   54.84,   59.80,   48.73,   57.01,   61.06,   52.43
14/03/2013 05:05:00,   52.42,   55.73,   49.51,   55.46,   57.68,   53.22
14/03/2013 05:10:00,   53.59,   56.72,   50.50,   57.06,   59.31,   54.32
14/03/2013 05:15:00,   54.12,   58.42,   49.50,   57.37,   60.43,   52.75
14/03/2013 05:20:00,   55.55,   60.09,   51.05,   58.08,   61.78,   54.52
14/03/2013 05:25:00,   52.17,   55.70,   48.73,   55.41,   58.21,   52.54
14/03/2013 05:30:00,   53.30,   56.79,   50.10,   56.75,   59.79,   53.86
14/03/2013 05:35:00,   53.87,   57.08,   50.43,   56.87,   59.28,   54.11
14/03/2013 05:40:00,   55.09,   58.15,   51.43,   57.55,   60.18,   54.90
14/03/2013 05:45:00,   55.84,   60.07,   51.11,   58.28,   61.75,   54.84
14/03/2013 05:50:00,   55.58,   59.00,   51.99,   58.58,   61.23,   55.87
14/03/2013 05:55:00,   57.16,   61.82,   51.96,   59.61,   63.39,   55.32
14/03/2013 06:00:00,   55.65,   58.52,   52.53,   58.72,   61.01,   56.17
14/03/2013 06:05:00,   55.49,   58.41,   52.51,   58.58,   61.35,   55.98
14/03/2013 06:10:00,   57.09,   61.48,   53.00,   59.85,   64.03,   56.15
14/03/2013 06:15:00,   57.44,   60.27,   54.06,   60.65,   63.34,   57.65
14/03/2013 06:20:00,   57.87,   61.65,   54.46,   61.71,   66.12,   58.20
