# noise_analysis run from DCC-NOISE-001003 at Sun Mar 17 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/03/2013 00:05:00,   56.64,   61.35,   50.92,   58.54,   62.84,   53.71
17/03/2013 00:10:00,   55.71,   59.77,   50.88,   58.33,   61.91,   53.93
17/03/2013 00:15:00,   54.97,   59.08,   50.56,   57.32,   60.71,   53.64
17/03/2013 00:20:00,   55.72,   59.14,   50.10,   58.42,   61.96,   53.28
17/03/2013 00:25:00,   55.79,   59.95,   50.68,   58.06,   61.93,   53.78
17/03/2013 00:30:00,   54.59,   59.91,   48.99,   57.30,   62.22,   51.73
17/03/2013 00:35:00,   56.45,   60.48,   51.17,   58.97,   62.35,   54.85
17/03/2013 00:40:00,   53.93,   58.28,   49.04,   56.65,   60.40,   52.21
17/03/2013 00:45:00,   54.54,   58.52,   50.12,   56.68,   59.99,   53.09
17/03/2013 00:50:00,   55.43,   59.92,   49.52,   57.27,   61.40,   52.40
17/03/2013 00:55:00,   56.76,   61.21,   49.60,   58.32,   61.58,   52.43
17/03/2013 01:00:00,   56.58,   60.83,   50.49,   58.36,   61.77,   53.32
17/03/2013 01:05:00,   54.55,   58.86,   48.03,   57.40,   61.17,   51.77
17/03/2013 01:10:00,   55.96,   60.29,   50.37,   57.90,   61.33,   53.43
17/03/2013 01:15:00,   55.86,   60.55,   49.27,   58.39,   62.22,   52.64
17/03/2013 01:20:00,   57.00,   61.61,   50.75,   59.19,   63.01,   53.77
17/03/2013 01:25:00,   54.95,   59.14,   48.09,   57.69,   61.25,   51.71
17/03/2013 01:30:00,   56.04,   60.22,   48.86,   58.09,   61.76,   51.69
17/03/2013 01:35:00,   54.71,   58.88,   48.46,   56.95,   60.38,   51.78
17/03/2013 01:40:00,   56.44,   60.70,   47.17,   58.29,   62.05,   50.59
17/03/2013 01:45:00,   56.42,   60.28,   50.62,   58.11,   61.60,   53.33
17/03/2013 01:50:00,   55.52,   60.55,   48.42,   58.38,   63.20,   51.49
17/03/2013 01:55:00,   55.63,   60.09,   48.50,   57.62,   61.36,   51.15
17/03/2013 02:00:00,   55.46,   59.91,   49.00,   57.51,   61.42,   52.33
17/03/2013 02:05:00,   56.72,   60.42,   50.42,   59.42,   62.78,   53.33
17/03/2013 02:10:00,   56.39,   60.71,   49.41,   58.39,   62.17,   53.08
17/03/2013 02:15:00,   54.79,   59.83,   48.70,   57.01,   61.07,   51.71
17/03/2013 02:20:00,   55.22,   59.91,   48.49,   57.22,   61.29,   51.78
17/03/2013 02:25:00,   53.38,   57.72,   48.10,   56.27,   59.82,   51.33
17/03/2013 02:30:00,   54.53,   59.77,   48.04,   56.95,   61.06,   51.73
17/03/2013 02:35:00,   54.32,   59.26,   46.64,   57.15,   61.40,   50.17
17/03/2013 02:40:00,   55.94,   60.68,   49.07,   58.30,   62.30,   51.89
17/03/2013 02:45:00,   52.37,   58.39,   45.25,   55.75,   60.47,   49.82
17/03/2013 02:50:00,   52.31,   57.66,   45.99,   55.69,   60.98,   49.56
17/03/2013 02:55:00,   54.02,   59.25,   46.44,   56.83,   61.07,   49.80
17/03/2013 03:00:00,   56.05,   61.41,   46.29,   58.38,   63.20,   49.90
17/03/2013 03:05:00,   55.21,   59.30,   48.58,   57.75,   61.77,   52.45
17/03/2013 03:10:00,   55.26,   59.88,   48.05,   57.57,   61.59,   51.16
17/03/2013 03:15:00,   54.85,   59.71,   48.86,   59.22,   62.93,   52.73
17/03/2013 03:20:00,   54.69,   60.22,   47.78,   58.02,   62.96,   51.27
17/03/2013 03:25:00,   55.73,   60.28,   48.15,   58.27,   62.78,   51.44
17/03/2013 03:30:00,   52.67,   57.26,   46.90,   55.60,   59.32,   50.32
17/03/2013 03:35:00,   53.84,   58.63,   47.46,   56.43,   60.90,   50.81
17/03/2013 03:40:00,   51.76,   57.06,   45.51,   54.69,   59.50,   49.15
17/03/2013 03:45:00,   54.25,   58.82,   48.78,   56.48,   60.47,   51.54
17/03/2013 03:50:00,   53.97,   59.12,   47.43,   56.68,   61.05,   50.59
17/03/2013 03:55:00,   51.21,   55.76,   46.55,   55.80,   60.43,   49.86
17/03/2013 04:00:00,   53.29,   58.84,   47.45,   57.58,   62.67,   51.21
17/03/2013 04:05:00,   52.22,   57.50,   45.67,   54.74,   59.33,   49.37
17/03/2013 04:10:00,   50.90,   56.20,   45.95,   53.96,   58.43,   49.34
17/03/2013 04:15:00,   50.71,   56.17,   44.48,   55.06,   59.99,   48.15
17/03/2013 04:20:00,   51.96,   57.22,   46.67,   54.28,   58.47,   50.11
17/03/2013 04:25:00,   51.91,   56.45,   46.57,   54.88,   59.25,   49.57
17/03/2013 04:30:00,   52.62,   56.68,   46.23,   55.83,   60.26,   49.33
17/03/2013 04:35:00,   51.59,   56.34,   46.99,   54.34,   58.34,   50.14
17/03/2013 04:40:00,   50.98,   55.03,   45.56,   54.42,   58.77,   48.88
17/03/2013 04:45:00,   53.49,   58.73,   46.19,   56.10,   60.90,   50.23
17/03/2013 04:50:00,   53.93,   59.63,   46.10,   57.90,   62.78,   49.59
17/03/2013 04:55:00,   51.57,   58.54,   44.93,   56.75,   61.65,   48.78
17/03/2013 05:00:00,   50.54,   57.43,   44.34,   53.97,   59.63,   47.75
17/03/2013 05:05:00,   52.00,   57.75,   45.45,   54.97,   59.58,   49.38
17/03/2013 05:10:00,   49.28,   53.65,   45.19,   52.50,   56.94,   48.38
17/03/2013 05:15:00,   52.43,   58.01,   45.29,   54.41,   59.43,   47.96
17/03/2013 05:20:00,   52.14,   57.35,   46.15,   54.37,   59.54,   48.94
17/03/2013 05:25:00,   49.18,   53.26,   44.66,   53.68,   58.20,   48.10
17/03/2013 05:30:00,   53.73,   58.57,   46.31,   55.75,   60.01,   49.51
17/03/2013 05:35:00,   50.87,   56.23,   45.39,   54.25,   59.47,   48.73
17/03/2013 05:40:00,   50.80,   54.73,   46.19,   54.70,   57.70,   50.39
17/03/2013 05:45:00,   51.94,   56.42,   46.46,   53.70,   58.57,   48.73
17/03/2013 05:50:00,   50.91,   54.68,   46.19,   53.21,   57.42,   48.84
17/03/2013 05:55:00,   51.48,   56.23,   47.03,   53.79,   57.80,   49.83
17/03/2013 06:00:00,   53.97,   57.94,   47.71,   57.83,   61.44,   51.73
17/03/2013 06:05:00,   52.88,   57.87,   46.45,   55.25,   59.99,   49.18
17/03/2013 06:10:00,   52.44,   56.49,   47.40,   54.43,   58.34,   49.92
17/03/2013 06:15:00,   53.58,   57.85,   46.68,   57.42,   61.58,   50.67
17/03/2013 06:20:00,   53.82,   59.74,   45.86,   57.11,   62.39,   49.11
17/03/2013 06:25:00,   52.22,   56.24,   47.04,   56.34,   61.06,   50.86
17/03/2013 06:30:00,   53.04,   58.16,   47.74,   57.18,   61.95,   51.29
17/03/2013 06:35:00,   53.16,   58.06,   47.36,   55.92,   59.86,   50.86
17/03/2013 06:40:00,   50.83,   54.63,   47.35,   55.07,   59.60,   50.75
17/03/2013 06:45:00,   55.22,   60.91,   48.47,   61.16,   68.36,   52.66
17/03/2013 06:50:00,   55.95,   60.42,   48.60,   59.49,   63.56,   51.99
17/03/2013 06:55:00,   56.44,   61.00,   48.70,   59.70,   64.25,   53.01
17/03/2013 07:00:00,   55.32,   60.57,   48.70,   56.95,   61.95,   50.88
17/03/2013 07:05:00,   56.56,   60.70,   49.19,   57.63,   61.75,   51.97
17/03/2013 07:10:00,   52.85,   56.83,   47.98,   55.82,   59.88,   51.38
17/03/2013 07:15:00,   56.58,   61.54,   49.92,   59.42,   64.95,   52.91
17/03/2013 07:20:00,   56.55,   60.19,   50.51,   59.66,   65.77,   53.54
17/03/2013 07:25:00,   53.63,   57.83,   47.90,   57.56,   61.28,   52.09
17/03/2013 07:30:00,   57.48,   61.20,   49.58,   61.78,   67.45,   53.45
17/03/2013 07:35:00,   55.57,   60.26,   50.19,   57.91,   62.26,   52.60
17/03/2013 07:40:00,   54.94,   59.11,   50.42,   57.21,   61.32,   52.78
17/03/2013 07:45:00,   57.63,   62.78,   50.02,   60.34,   66.38,   52.33
17/03/2013 07:50:00,   57.36,   61.54,   51.69,   59.21,   63.09,   54.06
17/03/2013 07:55:00,   56.13,   60.39,   49.92,   59.16,   63.36,   53.19
17/03/2013 08:00:00,   55.53,   59.99,   49.52,   58.28,   62.02,   52.38
17/03/2013 08:05:00,   56.20,   59.96,   50.02,   58.73,   61.93,   53.34
17/03/2013 08:10:00,   56.24,   60.47,   49.87,   58.16,   61.93,   52.23
17/03/2013 08:15:00,   53.74,   58.34,   48.87,   55.68,   59.48,   51.26
17/03/2013 08:20:00,   51.91,   56.18,   47.47,   54.36,   57.51,   50.72
17/03/2013 08:25:00,   54.47,   58.31,   49.41,   57.45,   61.29,   52.26
17/03/2013 08:30:00,   54.24,   59.24,   48.40,   55.47,   59.71,   50.63
17/03/2013 08:35:00,   54.83,   60.82,   47.90,   57.36,   62.74,   50.90
17/03/2013 08:40:00,   57.39,   62.31,   49.50,   58.88,   63.11,   52.66
17/03/2013 08:45:00,   55.86,   60.91,   48.98,   58.54,   63.10,   51.78
17/03/2013 08:50:00,   56.07,   60.57,   50.50,   58.23,   61.86,   53.74
17/03/2013 08:55:00,   56.67,   60.51,   50.78,   59.03,   62.25,   53.09
17/03/2013 09:00:00,   56.92,   60.66,   51.20,   58.58,   61.76,   52.84
17/03/2013 09:05:00,   58.50,   63.33,   50.39,   61.80,   66.93,   53.92
17/03/2013 09:10:00,   57.72,   62.80,   49.74,   60.13,   64.92,   51.70
17/03/2013 09:15:00,   56.85,   61.72,   49.61,   58.79,   62.64,   53.27
17/03/2013 09:20:00,   56.74,   61.93,   50.86,   58.49,   63.51,   53.25
17/03/2013 09:25:00,   58.83,   63.85,   52.20,   61.36,   66.62,   54.98
17/03/2013 09:30:00,   60.74,   64.15,   52.98,   61.34,   64.29,   55.30
17/03/2013 09:35:00,   62.49,   65.85,   56.70,   63.04,   65.91,   57.99
17/03/2013 09:40:00,   60.68,   64.46,   54.30,   62.11,   65.40,   55.72
17/03/2013 09:45:00,   60.09,   63.64,   53.48,   62.72,   65.61,   56.71
17/03/2013 09:50:00,   60.73,   63.95,   55.68,   61.52,   64.46,   57.47
17/03/2013 09:55:00,   60.46,   63.61,   56.04,   61.69,   65.04,   57.49
