# noise_analysis run from DCC-NOISE-001003 at Wed Mar 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/03/2013 00:05:00,   52.63,   59.42,   44.60,   54.53,   60.64,   47.39
20/03/2013 00:10:00,   50.65,   56.14,   44.91,   52.61,   57.08,   47.75
20/03/2013 00:15:00,   53.09,   58.53,   46.47,   54.65,   58.96,   49.41
20/03/2013 00:20:00,   52.83,   58.71,   46.29,   54.53,   59.84,   49.28
20/03/2013 00:25:00,   53.54,   59.07,   45.02,   55.16,   59.96,   48.28
20/03/2013 00:30:00,   55.03,   62.01,   45.74,   56.48,   62.36,   48.62
20/03/2013 00:35:00,   53.12,   57.88,   45.84,   55.32,   59.94,   48.67
20/03/2013 00:40:00,   51.97,   57.33,   46.20,   53.82,   58.66,   49.35
20/03/2013 00:45:00,   50.39,   55.71,   43.73,   53.33,   57.61,   47.61
20/03/2013 00:50:00,   51.77,   58.78,   42.99,   53.37,   59.51,   47.17
20/03/2013 00:55:00,   49.27,   53.62,   42.31,   51.05,   55.02,   46.01
20/03/2013 01:00:00,   53.68,   59.36,   46.27,   54.88,   59.82,   48.74
20/03/2013 01:05:00,   51.21,   57.47,   44.11,   53.03,   58.14,   48.00
20/03/2013 01:10:00,   51.90,   57.70,   41.78,   53.40,   58.30,   45.47
20/03/2013 01:15:00,   53.80,   60.59,   42.07,   55.07,   61.37,   46.34
20/03/2013 01:20:00,   52.17,   57.75,   45.10,   54.33,   58.66,   49.43
20/03/2013 01:25:00,   52.24,   57.61,   45.38,   53.64,   58.43,   48.11
20/03/2013 01:30:00,   51.16,   57.97,   43.11,   53.24,   59.10,   47.64
20/03/2013 01:35:00,   48.36,   53.19,   42.61,   51.26,   54.84,   46.86
20/03/2013 01:40:00,   49.57,   54.58,   43.32,   51.78,   56.15,   46.99
20/03/2013 01:45:00,   49.32,   55.24,   42.31,   53.25,   58.24,   46.79
20/03/2013 01:50:00,   50.03,   56.20,   41.31,   52.05,   57.15,   45.97
20/03/2013 01:55:00,   47.60,   49.98,   42.14,   50.07,   51.43,   46.09
20/03/2013 02:00:00,   50.29,   57.13,   41.54,   51.99,   57.96,   45.30
20/03/2013 02:05:00,   47.31,   52.60,   42.18,   49.67,   53.52,   45.89
20/03/2013 02:10:00,   48.59,   55.03,   43.09,   50.86,   56.11,   47.13
20/03/2013 02:15:00,   47.24,   49.88,   42.20,   49.99,   51.96,   46.09
20/03/2013 02:20:00,   45.68,   48.04,   41.34,   48.65,   50.83,   45.43
20/03/2013 02:25:00,   47.76,   53.17,   41.11,   50.24,   54.62,   45.30
20/03/2013 02:30:00,   46.71,   50.44,   40.98,   49.22,   51.74,   45.24
20/03/2013 02:35:00,   45.61,   47.14,   39.46,   48.37,   49.80,   43.96
20/03/2013 02:40:00,   45.73,   48.33,   39.01,   48.31,   51.19,   43.16
20/03/2013 02:45:00,   46.94,   53.61,   39.66,   49.67,   54.85,   44.40
20/03/2013 02:50:00,   45.09,   48.89,   39.28,   48.84,   52.60,   43.68
20/03/2013 02:55:00,   43.59,   44.63,   39.20,   46.75,   47.98,   43.61
20/03/2013 03:00:00,   46.55,   53.28,   37.53,   49.20,   54.96,   42.95
20/03/2013 03:05:00,   45.47,   48.93,   38.03,   48.43,   50.99,   43.56
20/03/2013 03:10:00,   42.29,   43.44,   39.06,   47.21,   49.92,   44.30
20/03/2013 03:15:00,   45.00,   51.29,   39.07,   49.16,   54.14,   44.38
20/03/2013 03:20:00,   43.37,   45.64,   38.68,   46.92,   48.51,   43.18
20/03/2013 03:25:00,   47.43,   54.74,   39.16,   49.68,   56.70,   43.60
20/03/2013 03:30:00,   43.97,   48.99,   38.75,   47.60,   51.06,   43.37
20/03/2013 03:35:00,   47.89,   54.47,   39.97,   49.76,   55.20,   44.13
20/03/2013 03:40:00,   46.97,   54.79,   38.80,   49.09,   55.33,   43.63
20/03/2013 03:45:00,   41.84,   43.72,   37.69,   46.08,   48.68,   42.66
20/03/2013 03:50:00,   47.54,   55.86,   37.53,   50.48,   57.27,   42.39
20/03/2013 03:55:00,   46.56,   52.95,   38.15,   48.98,   54.65,   42.18
20/03/2013 04:00:00,   47.46,   55.17,   37.10,   50.23,   57.46,   41.78
20/03/2013 04:05:00,   48.98,   57.22,   39.28,   50.88,   58.42,   42.76
20/03/2013 04:10:00,   49.44,   57.58,   37.52,   50.82,   58.11,   41.67
20/03/2013 04:15:00,   42.38,   44.85,   38.39,   45.84,   47.82,   43.01
20/03/2013 04:20:00,   44.35,   46.91,   39.48,   46.95,   50.11,   43.19
20/03/2013 04:25:00,   47.50,   54.96,   39.49,   49.30,   55.83,   43.50
20/03/2013 04:30:00,   49.68,   56.25,   40.78,   54.23,   60.77,   44.30
20/03/2013 04:35:00,   51.58,   58.62,   43.14,   57.79,   64.78,   46.31
20/03/2013 04:40:00,   49.89,   55.81,   41.23,   52.50,   58.91,   44.53
20/03/2013 04:45:00,   46.11,   51.30,   40.10,   47.66,   52.28,   43.16
20/03/2013 04:50:00,   49.46,   54.81,   42.75,   50.57,   55.72,   45.44
20/03/2013 04:55:00,   48.49,   53.49,   42.78,   50.39,   55.49,   45.56
20/03/2013 05:00:00,   50.26,   56.26,   43.36,   50.93,   56.47,   45.87
20/03/2013 05:05:00,   49.73,   54.19,   40.95,   50.15,   54.41,   44.17
20/03/2013 05:10:00,   47.11,   51.11,   41.42,   49.56,   53.70,   45.00
20/03/2013 05:15:00,   48.98,   52.26,   41.78,   49.53,   51.94,   45.39
20/03/2013 05:20:00,   54.19,   59.44,   45.79,   55.20,   60.62,   47.73
20/03/2013 05:25:00,   51.13,   55.51,   43.38,   52.63,   57.12,   46.00
20/03/2013 05:30:00,   50.82,   54.19,   43.16,   51.10,   54.48,   45.85
20/03/2013 05:35:00,   54.16,   59.32,   45.28,   56.35,   61.63,   46.43
20/03/2013 05:40:00,   54.33,   59.97,   45.65,   56.39,   61.98,   47.95
20/03/2013 05:45:00,   54.71,   60.80,   45.29,   56.31,   62.09,   48.12
20/03/2013 05:50:00,   55.15,   60.37,   46.74,   56.81,   62.53,   49.50
20/03/2013 05:55:00,   54.83,   59.11,   48.29,   56.25,   60.18,   50.64
20/03/2013 06:00:00,   54.81,   59.63,   47.57,   56.57,   61.01,   49.50
20/03/2013 06:05:00,   55.56,   60.42,   48.38,   58.08,   63.40,   50.75
20/03/2013 06:10:00,   54.76,   60.33,   47.37,   56.26,   61.58,   49.79
20/03/2013 06:15:00,   56.93,   61.69,   49.87,   58.62,   63.11,   52.52
20/03/2013 06:20:00,   58.57,   64.95,   48.82,   58.61,   63.80,   51.30
20/03/2013 06:25:00,   57.78,   62.46,   49.31,   59.18,   63.37,   52.55
20/03/2013 06:30:00,   56.14,   60.93,   49.59,   57.44,   62.19,   51.41
20/03/2013 06:35:00,   55.96,   60.68,   48.97,   58.19,   62.97,   51.58
20/03/2013 06:40:00,   57.73,   62.48,   50.25,   59.35,   63.33,   53.25
20/03/2013 06:45:00,   57.28,   61.63,   49.59,   59.29,   63.26,   52.31
20/03/2013 06:50:00,   57.84,   61.99,   51.20,   60.23,   65.42,   52.54
20/03/2013 06:55:00,   58.64,   62.34,   51.45,   60.11,   63.69,   53.15
20/03/2013 07:00:00,   57.92,   61.84,   51.51,   60.80,   66.21,   54.77
20/03/2013 07:05:00,   58.45,   62.05,   52.02,   60.98,   64.45,   53.89
20/03/2013 07:10:00,   57.99,   61.92,   50.64,   60.84,   65.78,   53.68
20/03/2013 07:15:00,   59.16,   62.72,   53.03,   62.13,   65.97,   55.42
20/03/2013 07:20:00,   58.91,   62.55,   51.92,   61.96,   67.08,   54.11
20/03/2013 07:25:00,   59.28,   63.35,   52.35,   61.32,   65.19,   56.11
20/03/2013 07:30:00,   59.83,   63.18,   52.71,   63.41,   67.76,   57.16
20/03/2013 07:35:00,   59.19,   62.84,   54.07,   61.96,   65.11,   57.93
20/03/2013 07:40:00,   59.93,   62.62,   56.35,   63.10,   65.58,   58.95
20/03/2013 07:45:00,   60.56,   63.78,   56.27,   63.56,   66.60,   58.51
20/03/2013 07:50:00,   59.99,   63.39,   54.64,   63.30,   66.58,   57.57
20/03/2013 07:55:00,   60.05,   63.42,   54.30,   62.96,   66.25,   58.08
