# noise_analysis run from DCC-NOISE-001003 at Fri Mar 29 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/03/2013 00:05:00,   53.29,   58.44,   45.46,   56.02,   60.44,   48.86
29/03/2013 00:10:00,   54.58,   58.82,   46.19,   57.71,   61.10,   51.42
29/03/2013 00:15:00,   52.78,   58.10,   44.20,   55.96,   60.27,   48.13
29/03/2013 00:20:00,   53.95,   59.36,   44.51,   56.48,   61.20,   47.53
29/03/2013 00:25:00,   53.84,   58.95,   44.61,   56.49,   60.88,   48.76
29/03/2013 00:30:00,   53.15,   59.11,   44.11,   56.09,   61.06,   48.86
29/03/2013 00:35:00,   52.24,   56.82,   45.12,   55.93,   59.68,   48.72
29/03/2013 00:40:00,   54.34,   59.44,   45.48,   57.21,   61.55,   49.69
29/03/2013 00:45:00,   52.52,   57.97,   43.71,   55.34,   59.76,   48.26
29/03/2013 00:50:00,   52.73,   59.53,   42.00,   55.48,   61.82,   46.49
29/03/2013 00:55:00,   54.01,   59.83,   44.35,   56.72,   61.94,   48.62
29/03/2013 01:00:00,   52.81,   58.73,   44.82,   55.79,   60.51,   48.57
29/03/2013 01:05:00,   52.86,   58.33,   43.79,   55.52,   60.26,   48.33
29/03/2013 01:10:00,   52.61,   57.99,   43.57,   55.56,   60.18,   47.86
29/03/2013 01:15:00,   51.11,   57.48,   42.38,   53.66,   59.41,   46.15
29/03/2013 01:20:00,   51.51,   56.12,   44.49,   54.68,   58.86,   47.52
29/03/2013 01:25:00,   51.66,   57.17,   42.77,   54.33,   59.32,   46.55
29/03/2013 01:30:00,   50.87,   58.05,   41.47,   54.01,   59.80,   45.32
29/03/2013 01:35:00,   51.17,   57.68,   41.76,   53.48,   59.40,   46.49
29/03/2013 01:40:00,   51.24,   57.86,   42.94,   53.88,   59.64,   46.31
29/03/2013 01:45:00,   52.63,   58.29,   43.33,   55.75,   61.56,   46.96
29/03/2013 01:50:00,   50.03,   55.87,   40.80,   52.72,   57.74,   44.70
29/03/2013 01:55:00,   50.51,   56.61,   39.85,   52.50,   58.13,   43.94
29/03/2013 02:00:00,   50.99,   57.71,   39.86,   53.24,   58.93,   43.51
29/03/2013 02:05:00,   51.77,   58.05,   41.37,   53.69,   59.17,   44.84
29/03/2013 02:10:00,   51.48,   58.98,   39.94,   53.44,   60.13,   43.11
29/03/2013 02:15:00,   51.61,   60.01,   38.79,   53.43,   61.43,   42.45
29/03/2013 02:20:00,   49.50,   56.21,   37.41,   52.57,   59.00,   42.07
29/03/2013 02:25:00,   48.65,   55.31,   37.09,   51.21,   57.08,   41.04
29/03/2013 02:30:00,   50.23,   57.78,   39.71,   53.07,   58.96,   43.64
29/03/2013 02:35:00,   44.10,   49.91,   37.02,   47.05,   52.26,   41.14
29/03/2013 02:40:00,   48.86,   56.46,   38.77,   51.78,   58.02,   43.35
29/03/2013 02:45:00,   42.85,   45.77,   37.66,   47.41,   50.56,   42.41
29/03/2013 02:50:00,   50.45,   57.23,   40.17,   52.48,   59.04,   44.27
29/03/2013 02:55:00,   49.36,   57.24,   37.76,   52.03,   59.42,   42.96
29/03/2013 03:00:00,   44.39,   49.62,   38.31,   49.09,   52.56,   44.07
29/03/2013 03:05:00,   46.36,   52.00,   38.01,   50.55,   55.86,   44.58
29/03/2013 03:10:00,   46.77,   53.98,   38.34,   50.45,   55.86,   44.36
29/03/2013 03:15:00,   42.07,   45.11,   37.21,   47.43,   50.20,   43.58
29/03/2013 03:20:00,   45.47,   52.44,   38.06,   48.61,   53.96,   43.30
29/03/2013 03:25:00,   46.34,   53.45,   37.13,   49.72,   56.41,   41.52
29/03/2013 03:30:00,   45.97,   52.95,   37.53,   49.49,   56.15,   42.20
29/03/2013 03:35:00,   43.76,   48.21,   35.73,   47.07,   51.98,   40.77
29/03/2013 03:40:00,   51.11,   58.69,   36.53,   52.90,   59.70,   41.42
29/03/2013 03:45:00,   48.66,   55.45,   37.95,   51.39,   57.35,   42.37
29/03/2013 03:50:00,   48.01,   55.03,   37.17,   50.51,   56.91,   41.91
29/03/2013 03:55:00,   47.62,   54.46,   37.19,   51.68,   58.56,   42.23
29/03/2013 04:00:00,   47.60,   55.33,   38.34,   51.31,   57.95,   42.66
29/03/2013 04:05:00,   44.14,   49.74,   36.90,   48.97,   54.95,   42.00
29/03/2013 04:10:00,   48.44,   57.14,   38.09,   51.25,   59.47,   41.98
29/03/2013 04:15:00,   44.95,   52.55,   36.82,   47.89,   54.92,   41.83
29/03/2013 04:20:00,   48.06,   55.79,   38.60,   50.88,   57.65,   42.57
29/03/2013 04:25:00,   45.54,   52.10,   37.64,   49.00,   55.25,   42.27
29/03/2013 04:30:00,   44.25,   49.13,   37.67,   49.49,   55.78,   42.57
29/03/2013 04:35:00,   43.12,   47.69,   37.06,   46.85,   50.29,   41.73
29/03/2013 04:40:00,   45.65,   52.74,   37.44,   49.07,   55.53,   42.03
29/03/2013 04:45:00,   48.35,   54.44,   39.28,   50.23,   55.90,   43.26
29/03/2013 04:50:00,   47.65,   54.27,   39.92,   50.18,   56.40,   44.12
29/03/2013 04:55:00,   45.31,   49.68,   37.50,   47.66,   51.78,   41.37
29/03/2013 05:00:00,   41.71,   43.21,   37.42,   45.85,   49.54,   41.60
29/03/2013 05:05:00,   47.79,   55.71,   38.38,   50.13,   56.94,   42.16
29/03/2013 05:10:00,   45.50,   49.50,   38.60,   48.11,   51.42,   43.05
29/03/2013 05:15:00,   43.72,   47.78,   39.64,   47.42,   51.30,   43.67
29/03/2013 05:20:00,   47.54,   53.98,   40.18,   50.45,   56.33,   44.07
29/03/2013 05:25:00,   49.92,   56.13,   41.68,   53.34,   59.00,   44.55
29/03/2013 05:30:00,   48.07,   53.53,   42.03,   51.90,   56.67,   46.15
29/03/2013 05:35:00,   49.29,   54.56,   40.92,   53.02,   57.93,   45.39
29/03/2013 05:40:00,   51.20,   56.00,   42.89,   53.91,   58.97,   46.41
29/03/2013 05:45:00,   50.53,   57.23,   41.55,   52.52,   59.08,   45.71
29/03/2013 05:50:00,   51.67,   58.09,   42.21,   54.22,   60.46,   45.94
29/03/2013 05:55:00,   50.58,   56.52,   42.78,   52.96,   58.10,   46.54
29/03/2013 06:00:00,   49.28,   54.96,   40.99,   53.01,   58.68,   45.46
29/03/2013 06:05:00,   51.20,   57.37,   42.24,   53.39,   59.01,   46.93
29/03/2013 06:10:00,   51.15,   57.88,   43.31,   53.88,   59.70,   46.84
29/03/2013 06:15:00,   53.44,   58.84,   42.82,   56.84,   62.18,   46.80
29/03/2013 06:20:00,   53.65,   58.74,   44.95,   57.23,   61.19,   49.62
29/03/2013 06:25:00,   54.02,   59.24,   44.95,   57.20,   62.20,   48.46
29/03/2013 06:30:00,   51.97,   57.95,   43.22,   55.12,   60.77,   47.67
29/03/2013 06:35:00,   54.77,   59.79,   46.67,   58.63,   64.25,   50.81
29/03/2013 06:40:00,   52.34,   56.69,   45.51,   54.57,   59.26,   48.25
29/03/2013 06:45:00,   55.24,   59.04,   47.62,   57.60,   61.91,   50.51
29/03/2013 06:50:00,   54.40,   59.45,   47.00,   56.29,   60.85,   49.33
29/03/2013 06:55:00,   52.14,   56.38,   44.49,   56.13,   59.87,   48.34
29/03/2013 07:00:00,   56.06,   61.35,   47.25,   59.68,   64.51,   51.29
29/03/2013 07:05:00,   54.36,   59.00,   47.47,   57.38,   62.26,   50.55
29/03/2013 07:10:00,   60.29,   63.49,   50.65,   62.60,   67.76,   52.38
29/03/2013 07:15:00,   57.67,   61.28,   49.66,   60.37,   64.11,   51.78
29/03/2013 07:20:00,   54.43,   59.52,   47.66,   56.64,   61.01,   50.18
29/03/2013 07:25:00,   56.60,   60.87,   50.14,   60.02,   64.62,   52.29
29/03/2013 07:30:00,   55.10,   59.96,   48.78,   58.28,   62.51,   53.03
29/03/2013 07:35:00,   56.34,   59.96,   50.03,   59.82,   63.80,   52.44
29/03/2013 07:40:00,   55.50,   59.21,   48.33,   58.47,   61.48,   52.02
29/03/2013 07:45:00,   55.39,   59.68,   47.83,   59.50,   63.71,   52.80
29/03/2013 07:50:00,   57.05,   61.36,   48.67,   61.82,   66.87,   52.39
29/03/2013 07:55:00,   57.85,   61.83,   51.21,   61.16,   65.47,   54.77
29/03/2013 08:00:00,   55.11,   58.77,   49.76,   58.71,   61.70,   53.14
29/03/2013 08:05:00,   56.73,   60.15,   51.59,   60.01,   63.85,   54.26
29/03/2013 08:10:00,   56.12,   59.93,   48.37,   59.06,   63.31,   51.45
29/03/2013 08:15:00,   55.86,   60.33,   49.09,   58.47,   62.50,   52.48
29/03/2013 08:20:00,   56.67,   61.15,   48.33,   59.23,   63.24,   52.75
29/03/2013 08:25:00,   57.33,   60.97,   50.82,   60.20,   64.14,   54.50
29/03/2013 08:30:00,   56.47,   60.47,   48.81,   60.26,   63.77,   53.54
29/03/2013 08:35:00,   57.30,   60.74,   49.83,   60.12,   63.39,   53.26
29/03/2013 08:40:00,   56.90,   60.54,   50.64,   59.80,   63.13,   54.39
29/03/2013 08:45:00,   57.51,   61.82,   48.20,   60.46,   64.96,   51.57
29/03/2013 08:50:00,   58.23,   64.06,   49.21,   61.06,   66.05,   53.82
29/03/2013 08:55:00,   57.23,   61.06,   49.47,   60.10,   63.35,   53.29
29/03/2013 09:00:00,   56.73,   60.38,   50.03,   59.87,   63.30,   54.17
29/03/2013 09:05:00,   56.77,   60.28,   49.81,   59.21,   62.75,   53.93
29/03/2013 09:10:00,   56.74,   60.30,   51.58,   59.46,   62.59,   55.14
29/03/2013 09:15:00,   55.86,   59.97,   48.21,   59.96,   63.44,   52.40
29/03/2013 09:20:00,   56.86,   60.34,   51.17,   60.53,   63.68,   55.53
29/03/2013 09:25:00,   56.99,   60.64,   51.89,   59.64,   62.76,   54.48
29/03/2013 09:30:00,   55.76,   60.01,   48.93,   58.54,   62.75,   52.18
29/03/2013 09:35:00,   60.21,   64.36,   53.37,   62.07,   65.43,   55.65
29/03/2013 09:40:00,   61.94,   64.82,   53.41,   63.70,   66.65,   55.97
29/03/2013 09:45:00,   59.10,   62.07,   54.24,   60.99,   64.23,   55.41
29/03/2013 09:50:00,   58.69,   61.43,   53.69,   60.34,   63.20,   55.78
29/03/2013 09:55:00,   61.14,   64.98,   50.01,   63.58,   66.60,   56.12
29/03/2013 10:00:00,   62.06,   68.32,   52.86,   63.73,   67.97,   57.27
29/03/2013 10:05:00,   62.98,   69.58,   52.81,   63.31,   68.66,   55.06
29/03/2013 10:10:00,   64.81,   68.22,   56.01,   64.53,   67.32,   59.27
29/03/2013 10:15:00,   60.17,   64.42,   53.76,   62.46,   65.44,   58.44
29/03/2013 10:20:00,   57.00,   60.76,   50.45,   59.95,   63.54,   53.06
29/03/2013 10:25:00,   57.27,   60.48,   51.70,   60.50,   63.30,   56.21
29/03/2013 10:30:00,   65.40,   70.72,   53.16,   65.36,   69.58,   58.33
29/03/2013 10:35:00,   63.68,   67.81,   55.06,   63.89,   67.51,   56.32
29/03/2013 10:40:00,   60.71,   64.75,   51.43,   63.08,   66.49,   56.08
29/03/2013 10:45:00,   57.84,   60.83,   52.60,   61.16,   64.04,   56.17
29/03/2013 10:50:00,   59.26,   61.94,   52.48,   62.22,   65.75,   56.17
29/03/2013 10:55:00,   57.99,   61.50,   52.31,   61.35,   64.66,   55.97
29/03/2013 11:00:00,   58.92,   61.60,   53.90,   61.18,   63.94,   56.59
