# noise_analysis run from DCC-NOISE-001003 at Sat Mar 30 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/03/2013 00:05:00,   51.25,   56.53,   42.20,   53.57,   58.42,   46.23
30/03/2013 00:10:00,   49.05,   55.32,   40.01,   51.82,   57.10,   44.23
30/03/2013 00:15:00,   51.50,   57.45,   38.92,   53.25,   58.65,   43.09
30/03/2013 00:20:00,   50.64,   57.76,   40.04,   53.38,   59.64,   43.77
30/03/2013 00:25:00,   49.85,   56.37,   39.90,   52.90,   58.54,   43.94
30/03/2013 00:30:00,   52.10,   57.56,   42.88,   55.38,   59.29,   47.37
30/03/2013 00:35:00,   51.17,   56.41,   40.55,   54.04,   58.95,   43.46
30/03/2013 00:40:00,   49.85,   56.56,   38.89,   52.27,   58.48,   41.97
30/03/2013 00:45:00,   47.47,   53.17,   38.09,   50.57,   55.34,   42.74
30/03/2013 00:50:00,   51.99,   58.69,   39.61,   54.03,   60.23,   43.56
30/03/2013 00:55:00,   50.53,   56.99,   39.25,   52.71,   58.70,   43.07
30/03/2013 01:00:00,   49.57,   57.84,   35.85,   51.37,   58.99,   40.07
30/03/2013 01:05:00,   46.95,   54.14,   36.94,   50.03,   56.02,   41.15
30/03/2013 01:10:00,   48.94,   57.35,   35.75,   50.56,   58.42,   40.03
30/03/2013 01:15:00,   47.65,   54.08,   37.58,   51.40,   58.10,   41.96
30/03/2013 01:20:00,   52.09,   59.58,   40.15,   53.90,   60.63,   43.50
30/03/2013 01:25:00,   50.39,   56.86,   36.39,   52.50,   58.23,   41.03
30/03/2013 01:30:00,   46.05,   53.68,   35.42,   49.20,   55.29,   40.07
30/03/2013 01:35:00,   49.59,   56.38,   37.23,   52.43,   57.99,   41.60
30/03/2013 01:40:00,   50.54,   56.62,   38.65,   55.62,   61.39,   43.92
30/03/2013 01:45:00,   49.30,   57.14,   37.91,   52.35,   59.40,   42.15
30/03/2013 01:50:00,   47.49,   54.16,   37.02,   50.61,   55.97,   42.24
30/03/2013 01:55:00,   50.02,   56.53,   38.41,   52.37,   58.07,   43.10
30/03/2013 02:00:00,   50.32,   56.39,   40.74,   52.99,   58.05,   45.56
30/03/2013 02:05:00,   46.60,   54.17,   35.84,   49.92,   55.92,   42.17
30/03/2013 02:10:00,   47.59,   55.80,   35.75,   50.65,   58.00,   42.18
30/03/2013 02:15:00,   50.35,   58.68,   37.38,   53.55,   60.85,   40.58
30/03/2013 02:20:00,   50.79,   57.44,   37.93,   53.18,   59.03,   42.02
30/03/2013 02:25:00,   47.46,   54.26,   36.46,   49.85,   56.18,   40.39
30/03/2013 02:30:00,   46.62,   52.48,   36.45,   49.11,   54.42,   40.86
30/03/2013 02:35:00,   41.98,   45.45,   35.62,   45.35,   48.48,   40.18
30/03/2013 02:40:00,   48.30,   56.84,   35.61,   51.18,   57.80,   40.50
30/03/2013 02:45:00,   46.31,   54.61,   35.75,   49.25,   57.22,   39.84
30/03/2013 02:50:00,   44.83,   53.13,   35.30,   46.94,   54.96,   39.51
30/03/2013 02:55:00,   44.98,   52.38,   35.84,   47.60,   54.54,   39.89
30/03/2013 03:00:00,   49.06,   56.30,   35.42,   52.26,   59.29,   40.03
30/03/2013 03:05:00,   48.56,   54.71,   36.68,   51.87,   58.11,   40.65
30/03/2013 03:10:00,   46.05,   52.27,   36.50,   50.57,   56.54,   41.45
30/03/2013 03:15:00,   43.88,   52.22,   35.14,   47.80,   54.91,   39.75
30/03/2013 03:20:00,   46.19,   55.15,   35.14,   48.62,   56.53,   39.75
30/03/2013 03:25:00,   43.42,   51.64,   34.93,   47.25,   54.23,   38.65
30/03/2013 03:30:00,   43.47,   50.11,   34.65,   46.61,   53.27,   39.13
30/03/2013 03:35:00,   50.33,   57.67,   36.66,   52.57,   59.60,   40.96
30/03/2013 03:40:00,   48.08,   56.36,   34.64,   50.17,   57.91,   39.47
30/03/2013 03:45:00,   46.72,   55.96,   34.33,   48.98,   57.47,   38.54
30/03/2013 03:50:00,   43.91,   51.74,   33.59,   47.16,   55.39,   38.07
30/03/2013 03:55:00,   46.79,   55.60,   34.19,   49.41,   57.56,   38.73
30/03/2013 04:00:00,   47.28,   56.15,   35.05,   49.77,   57.56,   38.94
30/03/2013 04:05:00,   45.97,   53.41,   34.49,   49.58,   55.35,   38.22
30/03/2013 04:10:00,   46.72,   55.81,   33.72,   49.14,   57.13,   38.15
30/03/2013 04:15:00,   44.57,   51.28,   33.11,   47.14,   53.93,   37.53
30/03/2013 04:20:00,   40.63,   46.78,   33.54,   44.01,   49.89,   37.86
30/03/2013 04:25:00,   45.26,   53.49,   34.42,   48.29,   57.32,   38.73
30/03/2013 04:30:00,   40.94,   44.26,   34.55,   45.33,   49.75,   38.48
30/03/2013 04:35:00,   42.30,   45.97,   35.37,   44.87,   48.32,   39.31
30/03/2013 04:40:00,   43.29,   48.77,   36.73,   48.56,   54.74,   41.91
30/03/2013 04:45:00,   47.75,   56.20,   36.45,   50.79,   58.25,   41.09
30/03/2013 04:50:00,   43.73,   51.07,   36.16,   48.67,   54.96,   41.56
30/03/2013 04:55:00,   47.08,   54.62,   35.43,   51.34,   57.35,   39.33
30/03/2013 05:00:00,   43.18,   48.87,   35.23,   46.61,   52.69,   39.64
30/03/2013 05:05:00,   43.02,   49.30,   35.01,   47.68,   55.41,   39.80
30/03/2013 05:10:00,   48.32,   55.97,   37.24,   53.15,   59.94,   42.62
30/03/2013 05:15:00,   44.63,   48.00,   37.04,   48.35,   52.49,   42.56
30/03/2013 05:20:00,   46.86,   53.97,   36.09,   50.76,   56.85,   39.81
30/03/2013 05:25:00,   47.54,   55.42,   36.69,   49.40,   56.89,   40.26
30/03/2013 05:30:00,   47.04,   54.84,   38.57,   49.71,   56.73,   41.79
30/03/2013 05:35:00,   50.34,   57.33,   39.83,   51.16,   58.03,   42.62
30/03/2013 05:40:00,   50.82,   57.17,   40.25,   52.26,   59.27,   43.44
30/03/2013 05:45:00,   50.40,   55.57,   40.39,   52.25,   57.84,   43.13
30/03/2013 05:50:00,   50.78,   56.65,   41.56,   52.23,   57.88,   43.84
30/03/2013 05:55:00,   49.97,   58.18,   37.85,   51.76,   58.79,   41.72
30/03/2013 06:00:00,   49.67,   56.16,   35.99,   52.33,   58.82,   40.63
30/03/2013 06:05:00,   48.38,   53.43,   37.45,   50.04,   55.52,   41.09
30/03/2013 06:10:00,   48.57,   54.59,   39.09,   50.14,   56.01,   41.98
30/03/2013 06:15:00,   49.73,   56.15,   39.06,   51.91,   58.05,   42.11
30/03/2013 06:20:00,   53.12,   58.92,   42.10,   53.87,   59.47,   43.97
30/03/2013 06:25:00,   53.61,   59.23,   42.03,   54.10,   60.12,   44.74
30/03/2013 06:30:00,   53.39,   57.96,   44.36,   54.52,   58.92,   45.80
30/03/2013 06:35:00,   51.75,   56.82,   42.54,   52.72,   57.61,   45.60
30/03/2013 06:40:00,   52.09,   57.14,   43.70,   53.11,   58.03,   45.84
30/03/2013 06:45:00,   52.57,   56.63,   46.33,   52.95,   57.17,   47.51
30/03/2013 06:50:00,   54.86,   59.89,   46.12,   55.86,   60.89,   47.54
30/03/2013 06:55:00,   52.40,   56.92,   45.16,   53.79,   58.67,   47.54
30/03/2013 07:00:00,   51.43,   56.49,   44.13,   53.58,   58.65,   45.86
30/03/2013 07:05:00,   53.14,   57.38,   44.82,   55.48,   60.70,   48.06
30/03/2013 07:10:00,   52.19,   57.62,   43.10,   54.42,   60.31,   46.20
30/03/2013 07:15:00,   54.41,   58.57,   43.61,   55.12,   59.46,   45.88
30/03/2013 07:20:00,   54.85,   58.97,   47.46,   57.02,   61.15,   50.74
30/03/2013 07:25:00,   54.79,   59.85,   46.66,   56.37,   61.37,   48.27
30/03/2013 07:30:00,   54.67,   59.69,   46.39,   58.47,   63.97,   49.61
30/03/2013 07:35:00,   54.76,   59.24,   45.99,   56.77,   61.65,   49.06
30/03/2013 07:40:00,   53.82,   57.57,   45.98,   55.42,   59.66,   48.90
30/03/2013 07:45:00,   52.75,   58.12,   45.67,   56.22,   61.58,   48.08
30/03/2013 07:50:00,   53.50,   57.64,   46.00,   56.19,   61.21,   48.52
30/03/2013 07:55:00,   53.18,   58.80,   44.77,   55.67,   60.66,   47.54
30/03/2013 08:00:00,   52.62,   57.67,   44.90,   55.93,   61.05,   48.71
30/03/2013 08:05:00,   53.71,   59.35,   45.99,   57.73,   63.07,   50.57
30/03/2013 08:10:00,   54.88,   60.11,   46.05,   56.50,   61.31,   49.52
30/03/2013 08:15:00,   53.16,   58.15,   44.75,   55.50,   60.61,   47.80
30/03/2013 08:20:00,   52.59,   57.90,   44.88,   55.52,   60.68,   48.22
30/03/2013 08:25:00,   55.85,   60.13,   47.58,   57.89,   61.88,   51.21
30/03/2013 08:30:00,   54.06,   59.89,   45.86,   56.97,   62.80,   49.45
30/03/2013 08:35:00,   54.70,   59.29,   46.51,   57.50,   61.83,   49.87
30/03/2013 08:40:00,   53.88,   58.30,   46.58,   56.46,   60.63,   49.65
30/03/2013 08:45:00,   53.48,   57.62,   46.99,   55.77,   58.98,   49.85
30/03/2013 08:50:00,   60.36,   62.01,   49.00,   63.04,   65.41,   52.18
30/03/2013 08:55:00,   55.78,   60.44,   49.56,   58.42,   62.24,   53.10
30/03/2013 09:00:00,   55.65,   59.87,   47.99,   57.95,   61.61,   51.66
30/03/2013 09:05:00,   56.18,   59.60,   46.38,   61.43,   65.61,   49.72
30/03/2013 09:10:00,   59.13,   61.81,   48.75,   60.97,   63.14,   52.49
30/03/2013 09:15:00,   55.31,   59.03,   48.11,   58.44,   61.52,   52.24
30/03/2013 09:20:00,   57.47,   61.38,   50.19,   59.91,   63.25,   53.25
30/03/2013 09:25:00,   56.16,   59.90,   49.13,   57.60,   60.89,   50.35
30/03/2013 09:30:00,   56.46,   60.04,   51.57,   60.43,   64.21,   54.64
30/03/2013 09:35:00,   55.73,   60.14,   49.65,   59.42,   63.63,   53.85
30/03/2013 09:40:00,   59.72,   63.11,   51.51,   62.37,   64.35,   55.43
30/03/2013 09:45:00,   56.65,   60.54,   50.92,   60.10,   63.50,   53.96
30/03/2013 09:50:00,   57.49,   61.81,   50.34,   59.30,   62.95,   53.06
30/03/2013 09:55:00,   55.19,   59.77,   47.29,   58.57,   62.78,   51.14
30/03/2013 10:00:00,   56.09,   60.03,   49.05,   59.50,   62.73,   54.18
30/03/2013 10:05:00,   56.74,   60.33,   50.95,   61.13,   64.81,   54.74
30/03/2013 10:10:00,   57.36,   60.96,   49.53,   59.26,   62.68,   52.95
30/03/2013 10:15:00,   56.34,   60.11,   50.70,   58.65,   62.30,   53.89
30/03/2013 10:20:00,   56.45,   59.75,   49.77,   59.71,   62.87,   53.13
30/03/2013 10:25:00,   57.85,   61.08,   49.57,   60.47,   63.91,   52.52
30/03/2013 10:30:00,   60.71,   63.32,   55.67,   62.85,   65.56,   57.88
30/03/2013 10:35:00,   60.19,   62.97,   55.53,   61.57,   64.15,   57.14
30/03/2013 10:40:00,   59.72,   62.94,   54.11,   62.43,   65.51,   56.61
30/03/2013 10:45:00,   61.05,   65.69,   55.24,   63.19,   67.46,   57.33
30/03/2013 10:50:00,   57.53,   61.04,   49.87,   60.40,   64.08,   53.28
30/03/2013 10:55:00,   57.60,   61.00,   51.22,   61.29,   64.09,   56.02
30/03/2013 11:00:00,   57.75,   61.55,   51.20,   60.53,   63.69,   55.02
30/03/2013 11:05:00,   57.50,   60.90,   50.86,   61.01,   64.46,   54.99
30/03/2013 11:10:00,   58.32,   61.17,   51.76,   61.38,   64.84,   55.47
30/03/2013 11:15:00,   58.25,   61.35,   52.28,   61.95,   64.68,   55.63
30/03/2013 11:20:00,   57.00,   59.79,   51.55,   60.91,   63.19,   56.08
30/03/2013 11:25:00,   57.72,   60.68,   52.61,   61.69,   64.60,   57.57
30/03/2013 11:30:00,   57.50,   60.51,   50.92,   60.99,   63.78,   55.60
30/03/2013 11:35:00,   59.77,   62.21,   55.64,   61.46,   63.61,   57.39
30/03/2013 11:40:00,   58.06,   61.60,   50.73,   61.19,   64.50,   55.69
30/03/2013 11:45:00,   56.08,   59.57,   50.10,   60.48,   63.39,   53.65
30/03/2013 11:50:00,   56.71,   59.75,   50.21,   60.94,   63.69,   55.63
30/03/2013 11:55:00,   57.80,   60.43,   53.10,   61.01,   63.57,   57.05
30/03/2013 12:00:00,   57.95,   60.62,   52.52,   61.42,   64.13,   56.56
30/03/2013 12:05:00,   56.50,   60.16,   49.66,   59.49,   63.24,   53.35
30/03/2013 12:10:00,   58.24,   61.19,   52.77,   62.38,   65.46,   57.53
30/03/2013 12:15:00,   60.37,   61.11,   53.82,   62.80,   65.13,   56.67
30/03/2013 12:20:00,   58.28,   60.88,   52.84,   62.01,   64.18,   56.33
30/03/2013 12:25:00,   57.47,   60.62,   50.05,   60.56,   62.94,   55.63
30/03/2013 12:30:00,   56.33,   59.49,   49.84,   60.13,   63.13,   55.16
30/03/2013 12:35:00,   56.56,   59.96,   50.88,   61.00,   64.11,   56.12
30/03/2013 12:40:00,   55.61,   59.20,   49.89,   60.47,   63.05,   56.42
30/03/2013 12:45:00,   59.32,   61.93,   53.50,   61.42,   64.19,   57.21
30/03/2013 12:50:00,   58.15,   60.52,   54.09,   60.48,   63.16,   55.97
30/03/2013 12:55:00,   59.03,   61.38,   53.93,   60.91,   62.89,   56.46
