# noise_analysis run from DCC-NOISE-001003 at Wed May  1 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/05/2013 00:05:00,   52.43,   56.66,   44.17,   54.53,   59.15,   47.09
01/05/2013 00:10:00,   52.22,   57.22,   42.73,   56.42,   60.68,   47.19
01/05/2013 00:15:00,   52.53,   57.46,   45.15,   55.18,   59.06,   48.70
01/05/2013 00:20:00,   51.09,   56.37,   43.87,   53.54,   57.96,   46.93
01/05/2013 00:25:00,   52.36,   57.24,   45.12,   55.20,   59.46,   48.56
01/05/2013 00:30:00,   49.89,   56.24,   41.32,   52.64,   58.05,   45.04
01/05/2013 00:35:00,   51.15,   56.50,   42.26,   53.29,   57.75,   46.43
01/05/2013 00:40:00,   50.00,   55.19,   43.59,   53.12,   57.47,   46.95
01/05/2013 00:45:00,   50.85,   55.88,   41.83,   53.58,   58.28,   46.62
01/05/2013 00:50:00,   49.60,   56.14,   42.11,   52.38,   57.90,   46.64
01/05/2013 00:55:00,   49.42,   54.38,   42.02,   55.30,   60.16,   45.97
01/05/2013 01:00:00,   50.17,   55.99,   41.70,   52.39,   57.56,   46.25
01/05/2013 01:05:00,   50.64,   55.47,   43.03,   53.36,   57.91,   46.69
01/05/2013 01:10:00,   48.66,   55.00,   40.96,   51.61,   56.68,   45.36
01/05/2013 01:15:00,   50.31,   57.23,   40.50,   52.90,   59.21,   44.31
01/05/2013 01:20:00,   49.70,   56.09,   40.75,   51.93,   57.47,   45.06
01/05/2013 01:25:00,   51.79,   57.26,   43.95,   55.13,   60.48,   47.37
01/05/2013 01:30:00,   48.88,   55.20,   42.96,   51.95,   57.28,   46.68
01/05/2013 01:35:00,   48.65,   54.25,   41.70,   51.71,   56.23,   47.01
01/05/2013 01:40:00,   46.29,   52.32,   40.62,   49.42,   54.88,   44.64
01/05/2013 01:45:00,   45.83,   52.73,   39.56,   49.62,   55.84,   43.89
01/05/2013 01:50:00,   47.74,   53.71,   40.86,   50.67,   56.05,   45.26
01/05/2013 01:55:00,   48.78,   54.57,   40.62,   51.34,   56.55,   44.69
01/05/2013 02:00:00,   47.01,   54.48,   40.06,   49.54,   56.06,   43.96
01/05/2013 02:05:00,   47.12,   52.21,   42.42,   50.46,   55.04,   47.14
01/05/2013 02:10:00,   48.72,   55.10,   41.16,   51.04,   56.60,   45.36
01/05/2013 02:15:00,   48.10,   54.18,   39.80,   50.72,   57.02,   44.22
01/05/2013 02:20:00,   48.46,   53.80,   40.82,   51.22,   55.61,   44.91
01/05/2013 02:25:00,   45.79,   49.45,   41.40,   49.16,   52.46,   45.58
01/05/2013 02:30:00,   45.89,   52.49,   39.38,   49.17,   54.78,   44.29
01/05/2013 02:35:00,   47.24,   51.47,   42.41,   50.73,   53.07,   46.94
01/05/2013 02:40:00,   45.86,   51.26,   40.01,   49.18,   53.14,   45.06
01/05/2013 02:45:00,   44.31,   49.13,   39.84,   48.53,   52.68,   44.76
01/05/2013 02:50:00,   43.87,   49.03,   38.57,   47.17,   50.62,   43.70
01/05/2013 02:55:00,   46.50,   49.22,   39.11,   50.10,   51.62,   43.75
01/05/2013 03:00:00,   46.14,   49.06,   40.34,   49.12,   50.96,   44.82
01/05/2013 03:05:00,   47.48,   54.98,   40.21,   50.97,   57.42,   45.57
