# noise_analysis run from DCC-NOISE-001003 at Fri May  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/05/2013 00:05:00,   52.65,   57.80,   46.36,   55.57,   59.54,   50.05
03/05/2013 00:10:00,   53.72,   58.13,   47.11,   58.92,   63.51,   50.75
03/05/2013 00:15:00,   50.97,   56.24,   44.91,   53.98,   58.98,   48.78
03/05/2013 00:20:00,   52.63,   56.61,   46.66,   55.15,   58.69,   50.23
03/05/2013 00:25:00,   52.14,   56.61,   45.05,   54.60,   58.97,   48.28
03/05/2013 00:30:00,   56.74,   61.26,   45.87,   59.67,   64.04,   49.78
03/05/2013 00:35:00,   52.37,   56.19,   46.45,   55.04,   58.66,   49.85
03/05/2013 00:40:00,   52.01,   57.19,   45.92,   54.54,   59.19,   49.09
03/05/2013 00:45:00,   51.05,   56.32,   44.95,   53.52,   58.27,   48.15
03/05/2013 00:50:00,   53.28,   58.41,   45.39,   55.81,   60.11,   49.10
03/05/2013 00:55:00,   48.77,   53.68,   43.44,   51.34,   55.18,   47.15
03/05/2013 01:00:00,   51.46,   56.68,   44.75,   53.93,   58.52,   47.72
03/05/2013 01:05:00,   51.72,   56.54,   44.90,   54.27,   59.06,   48.18
03/05/2013 01:10:00,   49.63,   54.67,   43.33,   52.26,   56.79,   47.24
03/05/2013 01:15:00,   51.12,   56.30,   41.70,   53.37,   58.01,   45.39
03/05/2013 01:20:00,   50.12,   56.39,   41.34,   53.82,   58.86,   45.18
03/05/2013 01:25:00,   50.07,   55.70,   41.35,   52.51,   57.62,   45.36
03/05/2013 01:30:00,   50.62,   56.39,   42.12,   55.42,   60.23,   46.04
03/05/2013 01:35:00,   50.29,   55.60,   42.92,   54.07,   59.18,   47.38
03/05/2013 01:40:00,   48.36,   54.46,   41.07,   51.36,   56.65,   45.75
03/05/2013 01:45:00,   49.40,   55.72,   42.01,   51.85,   56.97,   45.96
03/05/2013 01:50:00,   48.94,   54.83,   42.19,   51.81,   57.46,   46.34
03/05/2013 01:55:00,   50.18,   56.30,   42.78,   52.61,   58.19,   46.84
03/05/2013 02:00:00,   50.08,   54.20,   45.76,   52.53,   56.43,   47.92
03/05/2013 02:05:00,   49.90,   54.71,   45.21,   52.40,   56.75,   47.83
03/05/2013 02:10:00,   48.75,   53.51,   43.67,   51.53,   55.95,   47.04
03/05/2013 02:15:00,   47.78,   50.81,   43.45,   50.67,   53.78,   46.72
03/05/2013 02:20:00,   44.85,   49.07,   40.99,   49.50,   53.24,   45.58
03/05/2013 02:25:00,   49.68,   55.71,   42.69,   52.91,   57.55,   47.69
03/05/2013 02:30:00,   48.70,   55.87,   41.93,   51.81,   57.11,   46.87
03/05/2013 02:35:00,   48.51,   54.08,   41.84,   52.31,   57.60,   46.62
03/05/2013 02:40:00,   47.38,   53.22,   40.06,   50.94,   55.91,   45.51
03/05/2013 02:45:00,   49.62,   54.58,   44.24,   51.78,   56.97,   46.93
03/05/2013 02:50:00,   48.99,   53.25,   43.61,   52.19,   55.73,   46.96
03/05/2013 02:55:00,   48.38,   52.82,   43.47,   51.60,   56.09,   47.13
03/05/2013 03:00:00,   49.92,   55.45,   43.87,   52.87,   57.94,   47.71
03/05/2013 03:05:00,   49.26,   52.16,   43.72,   51.81,   54.82,   47.67
03/05/2013 03:10:00,   50.66,   54.94,   44.66,   53.35,   57.56,   48.00
03/05/2013 03:15:00,   48.28,   52.18,   43.22,   52.30,   56.91,   46.84
03/05/2013 03:20:00,   49.47,   56.08,   43.71,   52.21,   57.50,   47.22
03/05/2013 03:25:00,   47.11,   50.23,   43.68,   50.59,   53.94,   47.12
03/05/2013 03:30:00,   49.50,   54.95,   44.51,   52.42,   57.84,   47.86
03/05/2013 03:35:00,   51.11,   56.47,   44.49,   54.20,   59.05,   48.10
03/05/2013 03:40:00,   50.94,   55.78,   45.49,   53.99,   59.22,   48.93
03/05/2013 03:45:00,   49.10,   54.71,   43.96,   52.79,   57.94,   47.49
03/05/2013 03:50:00,   49.40,   53.08,   45.08,   53.41,   57.06,   48.97
03/05/2013 03:55:00,   49.94,   53.93,   46.87,   53.09,   57.68,   48.53
03/05/2013 04:00:00,   50.86,   55.85,   46.81,   52.98,   57.18,   48.75
03/05/2013 04:05:00,   48.98,   53.51,   44.23,   53.42,   58.22,   48.76
03/05/2013 04:10:00,   48.34,   52.81,   44.28,   52.02,   55.71,   48.43
03/05/2013 04:15:00,   48.18,   53.40,   43.92,   52.73,   57.67,   47.97
03/05/2013 04:20:00,   48.14,   51.71,   43.70,   52.28,   56.64,   47.94
03/05/2013 04:25:00,   50.50,   53.75,   44.53,   53.58,   57.87,   48.44
03/05/2013 04:30:00,   51.48,   53.69,   48.47,   54.94,   59.29,   50.25
03/05/2013 04:35:00,   51.03,   53.58,   47.89,   52.88,   55.83,   50.05
03/05/2013 04:40:00,   53.27,   56.71,   49.18,   55.22,   59.41,   50.92
03/05/2013 04:45:00,   50.52,   55.14,   44.66,   53.86,   59.11,   48.63
03/05/2013 04:50:00,   49.51,   53.17,   45.67,   52.92,   56.19,   49.54
03/05/2013 04:55:00,   51.87,   56.27,   46.86,   55.12,   59.56,   50.53
03/05/2013 05:00:00,   52.73,   57.09,   48.05,   54.80,   58.57,   51.28
03/05/2013 05:05:00,   49.86,   53.03,   46.14,   54.24,   57.03,   49.22
03/05/2013 05:10:00,   49.99,   52.35,   46.00,   53.90,   57.43,   49.27
03/05/2013 05:15:00,   51.57,   55.57,   46.10,   54.74,   58.71,   49.20
03/05/2013 05:20:00,   51.53,   55.19,   46.25,   53.47,   56.35,   49.48
03/05/2013 05:25:00,   52.30,   56.93,   46.68,   55.12,   59.53,   50.49
03/05/2013 05:30:00,   53.06,   56.69,   48.08,   55.23,   58.77,   51.19
03/05/2013 05:35:00,   54.00,   58.03,   46.73,   56.76,   59.75,   51.30
03/05/2013 05:40:00,   52.63,   57.24,   47.82,   55.55,   59.27,   51.54
03/05/2013 05:45:00,   53.83,   57.06,   49.07,   56.52,   59.77,   52.49
03/05/2013 05:50:00,   54.62,   58.15,   49.14,   57.02,   60.90,   52.04
03/05/2013 05:55:00,   54.22,   57.76,   47.56,   57.47,   61.84,   51.56
03/05/2013 06:00:00,   52.41,   57.40,   47.32,   55.53,   60.26,   51.46
03/05/2013 06:05:00,   53.26,   57.69,   49.05,   57.04,   60.93,   52.73
03/05/2013 06:10:00,   53.15,   57.45,   48.15,   56.52,   60.51,   52.18
03/05/2013 06:15:00,   55.27,   59.22,   50.22,   58.09,   61.76,   54.07
03/05/2013 06:20:00,   55.31,   58.99,   50.66,   58.39,   61.62,   54.14
03/05/2013 06:25:00,   55.39,   59.05,   50.98,   58.71,   61.49,   54.38
03/05/2013 06:30:00,   55.63,   59.05,   51.87,   60.12,   63.71,   55.89
03/05/2013 06:35:00,   56.51,   59.96,   51.75,   60.34,   64.13,   55.47
03/05/2013 06:40:00,   57.03,   60.72,   52.26,   61.78,   66.62,   55.88
03/05/2013 06:45:00,   57.43,   61.19,   52.50,   61.77,   66.32,   56.29
03/05/2013 06:50:00,   56.22,   58.68,   52.43,   59.69,   61.84,   56.16
03/05/2013 06:55:00,   58.40,   62.53,   53.31,   63.21,   67.41,   58.16
03/05/2013 07:00:00,   60.63,   62.67,   53.74,   64.07,   67.17,   58.70
03/05/2013 07:05:00,   58.20,   62.32,   52.74,   62.28,   66.37,   56.87
03/05/2013 07:10:00,   58.51,   61.42,   54.11,   61.27,   64.37,   57.44
03/05/2013 07:15:00,   58.67,   61.81,   54.23,   61.26,   63.81,   57.64
03/05/2013 07:20:00,   57.79,   60.64,   55.09,   61.59,   64.74,   58.49
03/05/2013 07:25:00,   58.70,   61.01,   55.28,   63.00,   66.03,   59.00
03/05/2013 07:30:00,   60.61,   64.18,   55.46,   64.41,   68.67,   58.70
03/05/2013 07:35:00,   59.06,   61.24,   55.63,   63.06,   65.59,   59.34
03/05/2013 07:40:00,   59.21,   61.40,   55.75,   63.24,   65.89,   59.71
03/05/2013 07:45:00,   59.50,   62.24,   55.43,   62.43,   64.85,   59.11
03/05/2013 07:50:00,   58.52,   60.72,   55.53,   62.24,   64.16,   59.69
03/05/2013 07:55:00,   58.08,   60.76,   54.81,   62.15,   65.08,   58.62
03/05/2013 08:00:00,   58.74,   61.16,   55.87,   62.87,   65.34,   59.92
03/05/2013 08:05:00,   58.38,   60.58,   54.74,   62.26,   64.12,   59.04
03/05/2013 08:10:00,   59.78,   62.90,   55.51,   64.34,   68.26,   59.53
03/05/2013 08:15:00,   59.13,   61.15,   56.14,   63.35,   64.91,   59.86
03/05/2013 08:20:00,   59.45,   62.99,   54.84,   63.95,   68.19,   58.63
03/05/2013 08:25:00,   58.53,   61.00,   54.73,   64.56,   67.92,   59.84
03/05/2013 08:30:00,   60.26,   62.39,   54.76,   64.65,   67.86,   58.78
03/05/2013 08:35:00,   58.11,   60.56,   55.55,   62.43,   65.59,   59.10
03/05/2013 08:40:00,   58.55,   61.03,   55.01,   62.59,   64.96,   58.51
03/05/2013 08:45:00,   58.58,   61.37,   54.63,   62.43,   65.17,   58.41
03/05/2013 08:50:00,   58.00,   59.93,   55.42,   62.62,   64.64,   59.76
03/05/2013 08:55:00,   58.39,   60.97,   55.06,   63.17,   66.19,   59.49
03/05/2013 09:00:00,   59.19,   61.89,   55.85,   62.52,   64.77,   59.53
03/05/2013 09:05:00,   59.55,   61.83,   55.74,   62.72,   64.54,   59.54
03/05/2013 09:10:00,   59.22,   61.86,   55.80,   62.78,   65.28,   59.41
03/05/2013 09:15:00,   60.08,   61.68,   55.72,   63.68,   66.20,   59.59
03/05/2013 09:20:00,   72.27,   74.01,   69.71,   71.30,   72.97,   68.81
03/05/2013 09:25:00,   72.15,   73.97,   69.33,   71.08,   72.71,   68.58
03/05/2013 09:30:00,   71.93,   73.93,   69.15,   71.07,   72.87,   68.61
03/05/2013 09:35:00,   71.15,   74.03,   56.61,   70.47,   72.97,   61.21
03/05/2013 09:40:00,   58.76,   60.50,   54.58,   62.77,   64.86,   58.89
03/05/2013 09:45:00,   58.74,   60.89,   54.99,   62.14,   64.42,   58.62
03/05/2013 09:50:00,   61.44,   64.17,   55.38,   65.25,   68.03,   59.66
03/05/2013 09:55:00,   58.58,   61.09,   54.56,   63.34,   66.16,   58.94
03/05/2013 10:00:00,   59.18,   61.35,   55.27,   63.52,   66.03,   60.13
03/05/2013 10:05:00,   58.98,   60.27,   54.68,   63.13,   65.17,   58.52
03/05/2013 10:10:00,   58.58,   61.18,   54.25,   62.58,   65.07,   58.69
03/05/2013 10:15:00,   58.67,   61.39,   54.82,   62.83,   65.87,   59.20
03/05/2013 10:20:00,   57.82,   60.23,   53.41,   62.35,   65.29,   57.75
03/05/2013 10:25:00,   58.94,   60.85,   55.48,   63.38,   65.48,   59.59
03/05/2013 10:30:00,   58.41,   60.77,   54.60,   62.09,   64.16,   58.57
03/05/2013 10:35:00,   57.63,   61.00,   52.77,   62.14,   65.76,   57.30
03/05/2013 10:40:00,   58.22,   60.88,   53.15,   62.99,   65.74,   58.02
03/05/2013 10:45:00,   65.60,   70.18,   52.69,   67.21,   70.94,   57.29
03/05/2013 10:50:00,   58.66,   61.59,   53.86,   63.20,   66.37,   58.96
03/05/2013 10:55:00,   57.28,   59.63,   52.32,   61.71,   64.82,   56.83
03/05/2013 11:00:00,   58.39,   60.79,   53.33,   62.62,   65.24,   57.59
03/05/2013 11:05:00,   57.84,   60.30,   54.59,   62.99,   66.03,   59.09
03/05/2013 11:10:00,   57.77,   60.26,   54.07,   62.80,   65.69,   58.77
03/05/2013 11:15:00,   59.51,   61.87,   56.20,   65.03,   67.50,   60.28
03/05/2013 11:20:00,   57.19,   59.44,   53.50,   62.69,   65.97,   58.51
03/05/2013 11:25:00,   57.66,   60.11,   53.35,   62.23,   64.77,   58.29
03/05/2013 11:30:00,   57.76,   59.78,   53.70,   61.95,   64.09,   58.13
03/05/2013 11:35:00,   57.54,   59.56,   52.87,   62.73,   65.68,   58.26
03/05/2013 11:40:00,   58.37,   60.77,   54.53,   62.75,   64.98,   59.05
03/05/2013 11:45:00,   58.72,   61.21,   54.01,   63.17,   65.05,   57.61
03/05/2013 11:50:00,   58.09,   60.27,   54.46,   62.38,   64.79,   59.11
03/05/2013 11:55:00,   57.23,   60.00,   53.44,   61.92,   64.51,   57.87
03/05/2013 12:00:00,   58.38,   61.11,   54.41,   63.40,   66.19,   59.35
03/05/2013 12:05:00,   57.68,   60.57,   54.14,   62.13,   64.85,   58.24
03/05/2013 12:10:00,   58.35,   60.87,   53.57,   62.87,   65.43,   58.69
03/05/2013 12:15:00,   57.74,   59.69,   54.87,   62.77,   64.99,   59.05
03/05/2013 12:20:00,   58.96,   62.07,   54.18,   64.32,   68.51,   58.32
03/05/2013 12:25:00,   57.99,   60.16,   54.20,   62.86,   66.53,   58.75
03/05/2013 12:30:00,   57.75,   59.50,   54.37,   62.37,   64.50,   58.69
03/05/2013 12:35:00,   57.73,   59.65,   54.71,   62.06,   63.85,   59.09
03/05/2013 12:40:00,   57.77,   60.21,   54.29,   62.38,   64.38,   58.74
03/05/2013 12:45:00,   57.87,   60.13,   53.98,   63.84,   66.58,   59.45
03/05/2013 12:50:00,   57.79,   60.16,   53.85,   62.51,   65.09,   58.70
03/05/2013 12:55:00,   58.95,   60.89,   55.42,   63.42,   65.88,   59.79
03/05/2013 13:00:00,   58.99,   60.87,   55.41,   63.02,   64.67,   60.18
03/05/2013 13:05:00,   57.99,   60.85,   53.58,   62.24,   64.64,   58.08
03/05/2013 13:10:00,   58.28,   60.47,   54.91,   62.48,   64.92,   58.90
03/05/2013 13:15:00,   58.56,   61.06,   54.47,   62.38,   64.84,   58.71
03/05/2013 13:20:00,   58.03,   60.08,   54.47,   63.10,   65.89,   58.81
03/05/2013 13:25:00,   57.07,   59.54,   53.64,   61.69,   63.70,   58.38
03/05/2013 13:30:00,   58.33,   60.35,   54.31,   63.59,   66.08,   58.67
03/05/2013 13:35:00,   57.93,   60.59,   54.42,   62.75,   65.84,   58.71
03/05/2013 13:40:00,   58.96,   60.64,   56.21,   63.89,   66.24,   60.09
03/05/2013 13:45:00,   59.40,   60.99,   55.99,   65.85,   69.55,   60.86
03/05/2013 13:50:00,   59.57,   61.29,   56.35,   64.95,   67.95,   60.60
03/05/2013 13:55:00,   59.89,   61.89,   56.75,   64.29,   67.29,   60.19
03/05/2013 14:00:00,   59.44,   62.00,   55.75,   62.90,   65.49,   59.43
03/05/2013 14:05:00,   58.89,   60.53,   55.49,   62.88,   65.13,   59.31
03/05/2013 14:10:00,   58.99,   61.40,   55.32,   62.87,   65.24,   59.14
03/05/2013 14:15:00,   57.86,   59.78,   54.17,   61.97,   64.24,   58.63
03/05/2013 14:20:00,   58.22,   60.56,   54.12,   61.62,   63.78,   57.83
03/05/2013 14:25:00,   59.09,   61.86,   55.43,   63.90,   67.24,   59.11
03/05/2013 14:30:00,   59.45,   62.11,   55.41,   63.13,   66.39,   59.81
03/05/2013 14:35:00,   58.85,   61.26,   55.45,   63.09,   65.39,   59.37
03/05/2013 14:40:00,   59.54,   61.81,   56.41,   63.30,   65.49,   59.46
03/05/2013 14:45:00,   59.88,   62.06,   55.95,   63.78,   66.81,   60.37
03/05/2013 14:50:00,   58.03,   60.70,   53.77,   62.60,   65.30,   57.96
03/05/2013 14:55:00,   57.49,   59.78,   54.45,   63.11,   65.81,   58.61
03/05/2013 15:00:00,   60.25,   62.33,   56.58,   64.38,   67.55,   60.16
03/05/2013 15:05:00,   60.18,   62.06,   56.42,   63.07,   64.99,   59.59
03/05/2013 15:10:00,   58.20,   60.75,   54.32,   62.44,   64.43,   58.67
03/05/2013 15:15:00,   59.13,   61.30,   54.88,   64.10,   67.00,   59.90
03/05/2013 15:20:00,   59.33,   61.34,   55.56,   65.29,   69.22,   59.58
03/05/2013 15:25:00,   58.44,   60.50,   55.34,   63.18,   65.50,   59.17
03/05/2013 15:30:00,   59.22,   61.61,   55.31,   64.57,   68.44,   60.03
03/05/2013 15:35:00,   59.30,   61.91,   55.16,   63.81,   66.13,   59.66
03/05/2013 15:40:00,   58.39,   60.83,   55.41,   63.08,   65.32,   59.00
03/05/2013 15:45:00,   58.03,   60.37,   54.06,   62.01,   63.99,   58.62
03/05/2013 15:50:00,   58.49,   60.60,   54.46,   63.11,   66.45,   58.50
03/05/2013 15:55:00,   57.68,   60.35,   54.51,   62.04,   65.01,   57.67
03/05/2013 16:00:00,   60.55,   62.45,   57.21,   63.53,   65.83,   59.86
03/05/2013 16:05:00,   58.92,   61.20,   53.93,   62.86,   65.32,   58.17
03/05/2013 16:10:00,   58.29,   60.29,   55.27,   62.67,   65.80,   58.65
03/05/2013 16:15:00,   59.61,   61.89,   56.17,   64.02,   67.04,   59.54
03/05/2013 16:20:00,   57.98,   60.01,   54.73,   62.57,   65.19,   58.71
03/05/2013 16:25:00,   58.32,   60.40,   54.56,   63.04,   65.77,   58.49
03/05/2013 16:30:00,   57.58,   59.62,   54.26,   61.80,   63.53,   59.08
03/05/2013 16:35:00,   58.17,   60.87,   54.43,   62.47,   64.95,   58.29
03/05/2013 16:40:00,   58.42,   60.60,   53.78,   62.43,   65.00,   56.94
03/05/2013 16:45:00,   58.28,   59.94,   55.11,   63.20,   65.54,   59.93
03/05/2013 16:50:00,   57.75,   60.24,   53.80,   62.94,   65.50,   58.79
