# noise_analysis run from DCC-NOISE-001003 at Sat May  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/05/2013 00:05:00,   55.75,   59.36,   49.95,   58.07,   61.66,   53.03
04/05/2013 00:10:00,   54.57,   59.68,   48.21,   58.83,   62.44,   52.24
04/05/2013 00:15:00,   53.61,   58.94,   46.91,   55.81,   60.36,   50.63
04/05/2013 00:20:00,   54.95,   59.11,   49.28,   56.77,   60.38,   51.88
04/05/2013 00:25:00,   54.20,   59.13,   47.27,   56.21,   60.33,   50.95
04/05/2013 00:30:00,   53.78,   59.15,   46.73,   56.42,   61.16,   50.61
04/05/2013 00:35:00,   53.14,   56.81,   47.47,   55.13,   58.04,   50.72
04/05/2013 00:40:00,   55.29,   59.78,   47.33,   56.97,   61.45,   50.32
04/05/2013 00:45:00,   54.99,   60.88,   46.33,   58.97,   64.62,   49.96
04/05/2013 00:50:00,   53.96,   58.07,   46.91,   55.72,   59.84,   49.60
04/05/2013 00:55:00,   55.04,   60.39,   48.33,   58.11,   62.74,   51.35
04/05/2013 01:00:00,   52.81,   57.55,   46.23,   54.96,   59.08,   49.21
04/05/2013 01:05:00,   53.56,   57.97,   47.23,   55.88,   60.09,   50.60
04/05/2013 01:10:00,   56.26,   60.86,   47.61,   59.14,   64.09,   50.37
04/05/2013 01:15:00,   56.99,   61.44,   50.10,   58.23,   62.34,   52.48
04/05/2013 01:20:00,   56.04,   61.06,   48.29,   57.78,   62.29,   50.93
04/05/2013 01:25:00,   55.87,   60.95,   47.43,   57.25,   61.91,   50.12
04/05/2013 01:30:00,   55.34,   60.43,   47.27,   56.80,   61.00,   49.91
04/05/2013 01:35:00,   56.45,   60.87,   49.31,   58.03,   62.15,   51.05
04/05/2013 01:40:00,   56.05,   61.09,   46.84,   57.37,   62.13,   49.49
04/05/2013 01:45:00,   54.68,   59.45,   47.44,   56.61,   60.64,   49.63
04/05/2013 01:50:00,   56.05,   59.75,   48.79,   59.55,   62.38,   52.49
04/05/2013 01:55:00,   53.79,   58.83,   46.75,   55.67,   60.08,   50.11
04/05/2013 02:00:00,   56.47,   61.36,   49.28,   58.77,   62.92,   52.41
04/05/2013 02:05:00,   55.99,   60.17,   49.14,   58.18,   61.84,   52.16
04/05/2013 02:10:00,   54.87,   59.55,   46.05,   57.15,   61.24,   50.04
04/05/2013 02:15:00,   53.59,   58.30,   46.69,   56.10,   60.34,   50.33
04/05/2013 02:20:00,   54.32,   59.60,   45.72,   56.53,   61.31,   49.76
04/05/2013 02:25:00,   53.72,   59.32,   47.23,   55.53,   60.21,   50.49
04/05/2013 02:30:00,   54.56,   59.88,   46.57,   56.24,   60.52,   50.58
04/05/2013 02:35:00,   53.64,   58.25,   47.21,   55.67,   59.90,   50.89
04/05/2013 02:40:00,   53.15,   58.60,   45.80,   54.83,   59.49,   49.14
04/05/2013 02:45:00,   52.14,   57.37,   46.02,   54.27,   58.96,   49.91
04/05/2013 02:50:00,   54.47,   60.66,   45.34,   56.14,   61.31,   49.55
04/05/2013 02:55:00,   52.55,   58.04,   46.24,   55.85,   60.79,   49.90
04/05/2013 03:00:00,   53.78,   58.17,   46.04,   55.92,   59.94,   49.39
04/05/2013 03:05:00,   52.30,   57.07,   44.84,   54.56,   59.09,   48.90
04/05/2013 03:10:00,   51.76,   56.61,   44.99,   54.15,   58.38,   48.51
04/05/2013 03:15:00,   53.76,   59.50,   45.81,   55.74,   60.86,   49.20
04/05/2013 03:20:00,   53.34,   58.58,   45.36,   55.59,   60.56,   49.09
04/05/2013 03:25:00,   54.50,   59.34,   47.60,   56.86,   61.93,   50.74
04/05/2013 03:30:00,   52.56,   57.78,   46.43,   54.58,   58.80,   50.03
04/05/2013 03:35:00,   51.89,   57.29,   45.15,   54.61,   59.65,   48.10
04/05/2013 03:40:00,   52.48,   58.88,   44.99,   54.35,   60.13,   48.16
04/05/2013 03:45:00,   52.84,   59.26,   43.82,   54.93,   60.28,   47.10
04/05/2013 03:50:00,   50.22,   56.57,   43.52,   52.53,   57.92,   46.89
04/05/2013 03:55:00,   53.94,   60.05,   43.67,   55.31,   60.55,   47.45
04/05/2013 04:00:00,   51.94,   56.74,   45.13,   55.68,   60.89,   48.67
04/05/2013 04:05:00,   51.75,   56.59,   45.05,   54.16,   58.68,   49.06
04/05/2013 04:10:00,   51.54,   56.07,   45.95,   54.02,   58.21,   48.77
04/05/2013 04:15:00,   52.55,   57.82,   45.54,   54.99,   59.70,   49.16
04/05/2013 04:20:00,   54.48,   60.21,   46.10,   56.95,   62.13,   48.70
04/05/2013 04:25:00,   51.91,   56.85,   43.31,   54.47,   59.26,   47.10
