# noise_analysis run from DCC-NOISE-001003 at Sun May  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/05/2013 00:05:00,   55.74,   59.59,   49.81,   58.62,   62.48,   53.00
05/05/2013 00:10:00,   55.61,   59.73,   49.46,   59.64,   64.48,   52.74
05/05/2013 00:15:00,   55.20,   58.87,   48.74,   59.37,   63.03,   51.61
05/05/2013 00:20:00,   54.96,   58.15,   50.42,   58.43,   62.72,   53.09
05/05/2013 00:25:00,   54.56,   58.07,   49.98,   58.17,   61.98,   52.60
05/05/2013 00:30:00,   54.93,   57.90,   49.74,   57.50,   60.38,   52.72
05/05/2013 00:35:00,   53.84,   58.29,   47.77,   57.41,   60.76,   51.80
05/05/2013 00:40:00,   54.41,   59.10,   46.71,   57.95,   62.47,   49.80
05/05/2013 00:45:00,   53.33,   58.29,   47.04,   55.88,   60.44,   49.74
05/05/2013 00:50:00,   53.90,   58.41,   48.11,   56.51,   60.78,   50.97
05/05/2013 00:55:00,   54.07,   58.53,   47.85,   57.03,   60.84,   51.17
05/05/2013 01:00:00,   54.04,   58.25,   48.44,   56.52,   60.78,   51.23
05/05/2013 01:05:00,   55.50,   59.09,   49.27,   57.27,   60.53,   52.17
05/05/2013 01:10:00,   52.71,   56.89,   45.97,   55.58,   59.36,   49.50
05/05/2013 01:15:00,   55.18,   59.40,   48.78,   56.83,   60.70,   51.09
05/05/2013 01:20:00,   53.26,   57.62,   46.62,   56.00,   60.71,   49.68
05/05/2013 01:25:00,   55.03,   59.35,   48.77,   56.78,   60.65,   51.45
05/05/2013 01:30:00,   53.85,   58.63,   46.44,   56.00,   60.28,   49.67
05/05/2013 01:35:00,   52.69,   57.42,   44.65,   55.09,   59.78,   47.70
05/05/2013 01:40:00,   51.48,   56.48,   45.40,   53.94,   58.48,   48.70
