# noise_analysis run from DCC-NOISE-001003 at Mon May  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/05/2013 00:05:00,   53.33,   58.15,   46.76,   56.62,   61.05,   50.06
06/05/2013 00:10:00,   55.77,   60.39,   46.18,   58.74,   63.15,   52.20
06/05/2013 00:15:00,   54.33,   58.70,   46.42,   56.35,   60.09,   49.14
06/05/2013 00:20:00,   52.65,   56.85,   45.67,   54.72,   58.15,   49.00
06/05/2013 00:25:00,   53.92,   58.83,   45.42,   56.62,   60.70,   48.75
06/05/2013 00:30:00,   54.19,   58.43,   45.91,   56.59,   60.61,   49.57
06/05/2013 00:35:00,   54.34,   58.33,   46.01,   56.21,   59.97,   49.00
06/05/2013 00:40:00,   54.51,   59.11,   47.03,   57.60,   61.28,   50.04
06/05/2013 00:45:00,   52.76,   57.51,   45.45,   54.93,   59.16,   48.24
06/05/2013 00:50:00,   52.20,   58.17,   41.81,   54.25,   60.18,   45.34
06/05/2013 00:55:00,   54.16,   58.29,   47.63,   55.87,   59.85,   49.91
06/05/2013 01:00:00,   51.02,   57.92,   42.91,   53.27,   59.49,   46.48
06/05/2013 01:05:00,   53.20,   57.63,   44.57,   54.99,   59.17,   47.57
06/05/2013 01:10:00,   53.40,   58.50,   43.90,   56.54,   61.79,   46.74
06/05/2013 01:15:00,   53.05,   58.47,   43.61,   55.22,   60.14,   47.25
06/05/2013 01:20:00,   53.58,   59.07,   44.20,   55.39,   60.34,   47.06
06/05/2013 01:25:00,   52.82,   57.79,   44.12,   54.73,   59.38,   47.79
06/05/2013 01:30:00,   54.16,   58.81,   45.09,   56.79,   61.10,   49.07
06/05/2013 01:35:00,   53.27,   58.83,   42.19,   57.17,   62.27,   46.20
06/05/2013 01:40:00,   53.63,   58.19,   44.95,   55.89,   59.60,   48.13
06/05/2013 01:45:00,   53.37,   57.88,   45.04,   55.38,   59.40,   48.37
06/05/2013 01:50:00,   51.68,   56.70,   42.36,   54.23,   59.40,   45.49
06/05/2013 01:55:00,   54.98,   59.34,   46.40,   56.56,   60.67,   48.38
06/05/2013 02:00:00,   52.37,   57.86,   40.85,   54.84,   59.69,   45.69
06/05/2013 02:05:00,   52.85,   57.14,   46.13,   55.03,   59.23,   48.96
06/05/2013 02:10:00,   52.61,   57.95,   42.60,   54.43,   59.40,   46.02
06/05/2013 02:15:00,   53.95,   58.36,   43.85,   56.03,   60.03,   48.16
06/05/2013 02:20:00,   54.26,   59.24,   44.96,   56.43,   61.03,   48.21
06/05/2013 02:25:00,   52.11,   56.44,   44.08,   55.11,   59.86,   49.19
06/05/2013 02:30:00,   50.36,   55.63,   40.97,   54.19,   59.01,   44.75
06/05/2013 02:35:00,   52.81,   58.66,   43.94,   54.83,   59.84,   46.55
06/05/2013 02:40:00,   50.41,   56.52,   41.78,   52.57,   57.90,   44.70
06/05/2013 02:45:00,   53.21,   58.20,   42.91,   56.00,   60.72,   46.61
06/05/2013 02:50:00,   53.14,   58.83,   44.43,   55.97,   61.46,   47.47
06/05/2013 02:55:00,   50.19,   54.36,   42.45,   52.97,   57.17,   45.98
06/05/2013 03:00:00,   50.69,   55.90,   42.90,   53.02,   57.29,   46.71
06/05/2013 03:05:00,   48.78,   56.59,   40.36,   51.50,   58.40,   44.47
06/05/2013 03:10:00,   51.37,   57.51,   40.55,   52.90,   58.89,   43.63
06/05/2013 03:15:00,   52.30,   57.00,   43.51,   54.29,   58.95,   46.37
06/05/2013 03:20:00,   48.89,   54.27,   40.62,   51.06,   56.04,   44.17
06/05/2013 03:25:00,   52.07,   57.88,   40.75,   54.16,   59.94,   43.87
06/05/2013 03:30:00,   52.60,   58.96,   42.29,   54.60,   61.15,   45.40
06/05/2013 03:35:00,   51.59,   57.40,   41.63,   54.00,   59.31,   44.75
06/05/2013 03:40:00,   51.60,   55.96,   42.23,   53.22,   57.50,   44.80
06/05/2013 03:45:00,   53.13,   58.13,   42.68,   54.42,   59.03,   45.54
06/05/2013 03:50:00,   51.18,   58.02,   44.06,   52.69,   59.63,   45.82
06/05/2013 03:55:00,   52.14,   58.27,   43.44,   53.59,   59.05,   46.14
06/05/2013 04:00:00,   51.49,   57.27,   42.63,   53.30,   58.80,   45.28
06/05/2013 04:05:00,   52.08,   57.61,   42.41,   53.37,   58.36,   44.67
06/05/2013 04:10:00,   50.71,   59.07,   41.58,   53.52,   61.39,   44.63
06/05/2013 04:15:00,   51.63,   57.38,   41.75,   54.65,   60.08,   46.81
06/05/2013 04:20:00,   49.65,   56.11,   42.29,   51.87,   57.30,   44.65
06/05/2013 04:25:00,   49.11,   55.19,   41.68,   51.23,   56.77,   44.44
06/05/2013 04:30:00,   50.13,   56.72,   40.81,   51.04,   57.06,   43.64
06/05/2013 04:35:00,   52.62,   57.57,   43.62,   53.82,   58.72,   45.79
06/05/2013 04:40:00,   51.62,   56.42,   42.51,   52.50,   57.28,   45.63
06/05/2013 04:45:00,   51.80,   56.46,   42.82,   53.07,   58.02,   44.96
06/05/2013 04:50:00,   51.55,   56.13,   43.42,   52.47,   57.18,   45.66
06/05/2013 04:55:00,   53.11,   58.16,   44.64,   53.65,   59.07,   46.21
06/05/2013 05:00:00,   55.14,   59.86,   46.51,   55.20,   59.52,   47.52
06/05/2013 05:05:00,   53.29,   58.34,   45.32,   52.99,   57.73,   46.60
06/05/2013 05:10:00,   52.33,   57.39,   44.36,   52.89,   57.73,   47.01
06/05/2013 05:15:00,   48.85,   54.02,   41.68,   49.59,   53.82,   44.22
06/05/2013 05:20:00,   52.37,   58.27,   42.56,   53.34,   58.68,   45.47
06/05/2013 05:25:00,   53.43,   60.31,   43.98,   53.81,   59.90,   46.39
06/05/2013 05:30:00,   50.46,   55.55,   43.52,   51.95,   56.83,   46.18
06/05/2013 05:35:00,   49.92,   56.16,   42.04,   51.14,   57.16,   45.05
06/05/2013 05:40:00,   51.33,   56.86,   42.19,   52.80,   58.06,   45.08
06/05/2013 05:45:00,   48.94,   55.17,   41.73,   50.75,   56.29,   44.94
06/05/2013 05:50:00,   50.11,   54.88,   43.70,   52.50,   58.41,   46.57
06/05/2013 05:55:00,   50.41,   55.56,   42.44,   51.84,   56.60,   45.22
06/05/2013 06:00:00,   54.63,   60.87,   44.99,   55.52,   61.42,   47.03
06/05/2013 06:05:00,   48.51,   53.38,   42.24,   50.73,   54.80,   46.01
06/05/2013 06:10:00,   52.50,   58.22,   43.73,   54.32,   60.33,   46.57
06/05/2013 06:15:00,   49.96,   55.67,   42.42,   52.27,   57.27,   46.04
06/05/2013 06:20:00,   51.36,   56.24,   44.36,   53.11,   58.22,   47.63
06/05/2013 06:25:00,   50.63,   55.52,   43.70,   52.31,   56.61,   46.44
06/05/2013 06:30:00,   51.57,   57.58,   43.48,   54.61,   59.93,   46.87
06/05/2013 06:35:00,   50.49,   54.71,   42.87,   53.98,   57.72,   47.20
06/05/2013 06:40:00,   52.78,   58.35,   44.55,   58.30,   63.42,   49.21
06/05/2013 06:45:00,   51.12,   57.56,   44.01,   53.54,   58.57,   47.35
06/05/2013 06:50:00,   53.04,   57.95,   44.84,   57.83,   62.42,   50.02
06/05/2013 06:55:00,   56.92,   62.15,   44.01,   59.65,   65.19,   47.24
06/05/2013 07:00:00,   53.35,   58.56,   45.37,   55.98,   61.07,   48.95
06/05/2013 07:05:00,   52.21,   58.27,   43.81,   55.74,   61.09,   49.24
06/05/2013 07:10:00,   53.42,   58.25,   44.60,   54.93,   59.02,   47.74
06/05/2013 07:15:00,   51.89,   57.51,   43.24,   53.97,   58.66,   47.02
06/05/2013 07:20:00,   56.62,   63.70,   43.93,   61.23,   68.58,   48.67
06/05/2013 07:25:00,   51.62,   57.20,   43.60,   54.56,   59.15,   47.63
06/05/2013 07:30:00,   53.23,   58.01,   45.78,   55.77,   59.67,   50.16
06/05/2013 07:35:00,   49.12,   53.78,   43.63,   52.35,   55.94,   47.15
06/05/2013 07:40:00,   51.92,   57.98,   45.29,   54.07,   59.59,   48.27
06/05/2013 07:45:00,   52.91,   56.95,   45.96,   55.64,   60.44,   48.64
06/05/2013 07:50:00,   54.99,   59.73,   46.39,   58.22,   62.48,   52.33
06/05/2013 07:55:00,   51.73,   56.03,   45.71,   55.82,   59.82,   49.62
06/05/2013 08:00:00,   52.44,   56.93,   46.34,   56.26,   60.32,   50.40
06/05/2013 08:05:00,   53.17,   57.73,   45.22,   56.21,   61.08,   49.08
06/05/2013 08:10:00,   51.60,   57.47,   44.20,   54.04,   58.43,   48.33
06/05/2013 08:15:00,   51.56,   57.40,   43.46,   54.36,   58.71,   46.47
06/05/2013 08:20:00,   54.48,   60.48,   44.21,   57.86,   63.19,   47.36
06/05/2013 08:25:00,   48.40,   54.45,   42.75,   50.51,   55.53,   45.99
06/05/2013 08:30:00,   51.24,   57.26,   42.28,   52.80,   57.89,   45.07
06/05/2013 08:35:00,   50.58,   57.15,   42.50,   52.84,   58.57,   45.57
06/05/2013 08:40:00,   49.62,   54.27,   43.13,   52.95,   57.71,   46.75
06/05/2013 08:45:00,   50.70,   56.37,   44.25,   53.19,   58.40,   47.42
06/05/2013 08:50:00,   52.10,   57.06,   43.47,   56.77,   61.88,   47.16
06/05/2013 08:55:00,   52.09,   56.24,   44.59,   56.15,   61.07,   48.09
06/05/2013 09:00:00,   52.34,   58.12,   43.72,   55.82,   60.35,   46.81
06/05/2013 09:05:00,   53.37,   57.78,   44.86,   56.36,   61.44,   49.11
06/05/2013 09:10:00,   53.18,   58.67,   45.39,   55.03,   59.54,   48.70
06/05/2013 09:15:00,   51.31,   56.43,   43.13,   54.54,   60.76,   46.33
06/05/2013 09:20:00,   51.40,   56.66,   44.35,   53.87,   58.88,   47.53
06/05/2013 09:25:00,   51.11,   55.16,   43.66,   54.13,   58.40,   47.73
06/05/2013 09:30:00,   53.75,   59.02,   45.84,   56.89,   61.70,   48.96
06/05/2013 09:35:00,   54.51,   58.68,   48.17,   59.38,   64.68,   51.85
06/05/2013 09:40:00,   54.13,   58.35,   46.52,   56.72,   60.46,   49.94
06/05/2013 09:45:00,   56.30,   61.33,   48.24,   60.72,   66.40,   51.14
