# noise_analysis run from DCC-NOISE-001003 at Tue May  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/05/2013 00:05:00,   47.32,   54.08,   37.59,   50.05,   55.48,   41.40
07/05/2013 00:10:00,   47.63,   54.54,   39.38,   50.15,   56.27,   42.53
07/05/2013 00:15:00,   51.72,   57.05,   40.76,   53.71,   58.68,   43.78
07/05/2013 00:20:00,   51.84,   58.11,   40.25,   53.71,   59.20,   43.70
07/05/2013 00:25:00,   48.84,   54.89,   38.98,   51.54,   57.53,   42.52
07/05/2013 00:30:00,   48.89,   55.22,   39.22,   51.10,   57.00,   42.90
07/05/2013 00:35:00,   51.38,   57.62,   39.06,   53.42,   59.35,   42.70
07/05/2013 00:40:00,   49.28,   55.11,   39.78,   52.29,   57.07,   44.17
07/05/2013 00:45:00,   47.74,   53.40,   39.91,   50.33,   55.64,   43.61
07/05/2013 00:50:00,   49.23,   56.67,   39.89,   51.32,   57.74,   44.15
07/05/2013 00:55:00,   54.46,   56.60,   40.89,   55.63,   58.11,   45.22
07/05/2013 01:00:00,   49.42,   56.17,   40.92,   51.72,   57.63,   44.62
07/05/2013 01:05:00,   50.46,   56.29,   41.50,   52.72,   57.94,   44.86
07/05/2013 01:10:00,   51.40,   58.06,   40.94,   53.33,   59.11,   45.33
07/05/2013 01:15:00,   48.95,   55.94,   41.23,   51.76,   57.65,   46.64
07/05/2013 01:20:00,   47.25,   53.45,   37.78,   50.03,   55.69,   42.22
07/05/2013 01:25:00,   50.63,   56.32,   41.71,   52.66,   58.14,   45.91
07/05/2013 01:30:00,   46.82,   53.45,   39.19,   49.77,   55.35,   44.02
07/05/2013 01:35:00,   49.51,   56.14,   39.97,   52.79,   58.67,   44.85
07/05/2013 01:40:00,   49.91,   55.63,   41.96,   53.14,   58.24,   46.15
07/05/2013 01:45:00,   46.87,   54.00,   38.62,   49.09,   55.10,   42.71
07/05/2013 01:50:00,   46.34,   52.79,   38.09,   48.87,   54.83,   42.36
07/05/2013 01:55:00,   47.63,   54.44,   38.63,   51.33,   56.75,   44.26
07/05/2013 02:00:00,   48.66,   57.05,   37.78,   50.82,   58.72,   42.21
07/05/2013 02:05:00,   43.82,   50.99,   37.45,   46.92,   52.46,   42.57
07/05/2013 02:10:00,   44.91,   50.73,   37.49,   48.74,   54.86,   42.86
07/05/2013 02:15:00,   47.74,   55.36,   36.42,   49.61,   56.74,   41.13
07/05/2013 02:20:00,   46.24,   54.75,   37.48,   48.57,   55.89,   42.45
07/05/2013 02:25:00,   43.77,   48.37,   37.48,   47.04,   51.40,   42.28
07/05/2013 02:30:00,   44.19,   49.00,   38.03,   47.55,   51.14,   43.13
07/05/2013 02:35:00,   45.50,   53.68,   37.23,   48.31,   55.48,   42.31
07/05/2013 02:40:00,   42.48,   48.07,   36.58,   46.07,   50.95,   41.95
07/05/2013 02:45:00,   45.95,   52.81,   36.61,   48.07,   54.67,   41.54
07/05/2013 02:50:00,   40.31,   43.83,   36.39,   44.20,   46.75,   41.48
07/05/2013 02:55:00,   42.08,   47.66,   35.91,   45.27,   50.39,   40.76
07/05/2013 03:00:00,   45.45,   52.45,   36.68,   47.50,   53.59,   41.48
07/05/2013 03:05:00,   46.54,   55.75,   37.44,   48.95,   56.75,   42.67
07/05/2013 03:10:00,   43.56,   49.79,   35.00,   45.87,   51.12,   39.89
07/05/2013 03:15:00,   43.81,   47.38,   36.32,   47.09,   50.35,   40.73
07/05/2013 03:20:00,   41.81,   43.74,   35.34,   45.56,   47.98,   39.63
07/05/2013 03:25:00,   41.49,   44.45,   35.74,   44.36,   45.89,   40.57
07/05/2013 03:30:00,   47.56,   55.85,   37.16,   49.39,   56.96,   41.46
07/05/2013 03:35:00,   44.87,   49.65,   36.63,   47.43,   51.69,   40.31
07/05/2013 03:40:00,   43.54,   45.75,   39.57,   47.55,   49.59,   42.99
07/05/2013 03:45:00,   42.09,   44.28,   36.62,   44.90,   47.25,   41.22
07/05/2013 03:50:00,   46.38,   52.60,   36.64,   49.75,   56.76,   42.17
07/05/2013 03:55:00,   43.27,   47.44,   36.69,   46.40,   49.55,   41.83
07/05/2013 04:00:00,   42.38,   47.96,   36.84,   45.79,   51.09,   41.31
07/05/2013 04:05:00,   46.27,   54.51,   35.90,   48.37,   55.39,   40.30
07/05/2013 04:10:00,   45.81,   53.76,   36.89,   48.25,   56.01,   41.01
07/05/2013 04:15:00,   45.61,   52.75,   37.40,   48.50,   55.16,   41.78
07/05/2013 04:20:00,   43.81,   47.04,   37.20,   45.93,   48.78,   41.29
07/05/2013 04:25:00,   44.23,   49.81,   37.18,   46.23,   50.60,   41.15
07/05/2013 04:30:00,   47.65,   54.74,   39.89,   49.29,   55.61,   43.24
07/05/2013 04:35:00,   49.49,   53.76,   41.91,   51.96,   57.48,   44.74
07/05/2013 04:40:00,   49.50,   53.68,   42.82,   50.06,   53.87,   44.81
07/05/2013 04:45:00,   50.92,   54.41,   44.88,   51.82,   55.39,   46.77
07/05/2013 04:50:00,   50.25,   53.86,   44.85,   51.67,   56.05,   46.12
07/05/2013 04:55:00,   50.91,   55.54,   45.02,   52.19,   56.23,   47.35
07/05/2013 05:00:00,   51.00,   55.09,   44.76,   51.14,   54.82,   46.50
07/05/2013 05:05:00,   51.00,   56.76,   43.84,   52.06,   57.68,   46.21
07/05/2013 05:10:00,   48.99,   53.09,   44.32,   50.92,   55.15,   46.73
07/05/2013 05:15:00,   48.70,   55.15,   42.94,   50.33,   55.69,   45.73
07/05/2013 05:20:00,   49.73,   55.06,   44.34,   52.29,   57.55,   47.26
07/05/2013 05:25:00,   52.16,   59.14,   42.70,   54.40,   60.64,   45.98
07/05/2013 05:30:00,   52.85,   58.93,   44.48,   53.52,   58.56,   47.33
07/05/2013 05:35:00,   52.15,   57.61,   45.16,   53.95,   59.00,   47.71
07/05/2013 05:40:00,   50.36,   55.75,   42.84,   52.12,   57.26,   45.92
07/05/2013 05:45:00,   52.11,   57.59,   44.73,   54.09,   59.14,   47.24
07/05/2013 05:50:00,   52.51,   57.23,   44.62,   54.27,   58.80,   47.53
07/05/2013 05:55:00,   53.53,   58.90,   44.26,   55.85,   61.53,   48.55
07/05/2013 06:00:00,   51.63,   58.66,   43.07,   53.46,   60.05,   46.51
07/05/2013 06:05:00,   50.29,   55.72,   43.14,   53.54,   57.92,   46.68
07/05/2013 06:10:00,   52.46,   58.05,   43.57,   54.13,   58.79,   48.08
07/05/2013 06:15:00,   51.62,   59.27,   42.80,   54.65,   60.20,   47.01
07/05/2013 06:20:00,   54.08,   59.41,   44.97,   56.01,   61.01,   48.64
07/05/2013 06:25:00,   51.39,   57.02,   44.35,   55.03,   60.08,   48.61
07/05/2013 06:30:00,   53.39,   59.34,   44.65,   56.55,   61.67,   49.38
07/05/2013 06:35:00,   54.24,   59.34,   45.74,   57.43,   61.77,   50.42
07/05/2013 06:40:00,   54.07,   59.55,   45.24,   56.66,   61.23,   50.21
07/05/2013 06:45:00,   55.01,   59.44,   47.59,   57.90,   61.89,   52.10
07/05/2013 06:50:00,   56.72,   62.68,   47.03,   59.26,   64.65,   51.94
07/05/2013 06:55:00,   55.59,   59.58,   48.92,   58.08,   61.73,   52.56
07/05/2013 07:00:00,   56.24,   60.67,   49.73,   59.42,   63.42,   53.31
07/05/2013 07:05:00,   54.89,   58.34,   49.74,   57.92,   61.19,   53.29
07/05/2013 07:10:00,   57.69,   61.67,   52.50,   61.13,   64.85,   55.88
07/05/2013 07:15:00,   55.98,   60.48,   50.06,   59.41,   62.99,   54.15
07/05/2013 07:20:00,   55.51,   59.54,   50.50,   58.58,   62.25,   54.26
07/05/2013 07:25:00,   56.00,   59.76,   51.40,   59.70,   63.14,   55.45
07/05/2013 07:30:00,   56.35,   60.55,   49.86,   59.14,   63.36,   53.84
07/05/2013 07:35:00,   56.81,   60.70,   51.57,   61.28,   64.22,   55.59
07/05/2013 07:40:00,   56.41,   59.61,   51.72,   59.84,   62.64,   55.46
07/05/2013 07:45:00,   57.14,   60.33,   52.56,   60.34,   62.97,   56.85
07/05/2013 07:50:00,   56.71,   60.49,   51.47,   61.16,   64.99,   56.50
07/05/2013 07:55:00,   57.58,   61.67,   52.06,   61.56,   65.44,   55.93
07/05/2013 08:00:00,   58.44,   62.60,   51.77,   61.39,   64.45,   56.24
07/05/2013 08:05:00,   56.90,   60.54,   51.41,   60.15,   62.89,   56.03
07/05/2013 08:10:00,   57.39,   61.09,   51.00,   61.91,   65.58,   55.45
07/05/2013 08:15:00,   56.78,   60.45,   50.24,   60.64,   63.75,   55.54
07/05/2013 08:20:00,   55.76,   60.17,   49.92,   60.06,   63.51,   55.45
07/05/2013 08:25:00,   55.06,   58.88,   49.28,   59.04,   62.74,   53.95
07/05/2013 08:30:00,   54.69,   57.91,   48.35,   60.21,   63.40,   54.16
07/05/2013 08:35:00,   54.89,   58.73,   49.06,   60.52,   63.22,   55.79
07/05/2013 08:40:00,   56.15,   59.99,   50.65,   61.66,   64.81,   57.17
