# noise_analysis run from DCC-NOISE-001003 at Thu May  9 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/05/2013 00:05:00,   54.06,   58.48,   48.14,   58.55,   63.01,   51.52
09/05/2013 00:10:00,   54.77,   59.48,   48.70,   57.85,   61.64,   52.05
09/05/2013 00:15:00,   54.36,   58.54,   48.14,   58.18,   62.53,   51.20
09/05/2013 00:20:00,   54.52,   59.14,   47.61,   58.99,   63.34,   51.14
09/05/2013 00:25:00,   53.73,   57.84,   47.25,   56.02,   59.62,   50.72
09/05/2013 00:30:00,   54.39,   58.37,   48.08,   59.00,   63.23,   52.27
09/05/2013 00:35:00,   53.37,   57.71,   46.49,   56.27,   59.87,   50.31
09/05/2013 00:40:00,   54.10,   59.54,   46.14,   59.02,   63.17,   49.72
09/05/2013 00:45:00,   53.35,   57.17,   47.34,   56.51,   60.20,   50.59
09/05/2013 00:50:00,   53.87,   58.04,   48.15,   58.24,   63.09,   50.98
09/05/2013 00:55:00,   52.64,   58.13,   44.24,   56.86,   62.51,   48.32
09/05/2013 01:00:00,   51.41,   57.46,   44.64,   54.34,   59.24,   48.43
09/05/2013 01:05:00,   51.86,   57.10,   45.13,   56.80,   61.05,   49.96
09/05/2013 01:10:00,   50.88,   57.27,   43.91,   55.19,   61.12,   48.40
09/05/2013 01:15:00,   50.87,   55.57,   45.40,   55.53,   60.21,   49.31
09/05/2013 01:20:00,   53.01,   57.73,   45.95,   56.64,   60.84,   49.63
09/05/2013 01:25:00,   52.09,   57.82,   44.30,   55.30,   60.39,   48.68
09/05/2013 01:30:00,   50.05,   54.56,   43.84,   53.40,   58.39,   47.62
09/05/2013 01:35:00,   50.17,   54.33,   43.58,   54.45,   58.57,   47.78
09/05/2013 01:40:00,   51.71,   56.89,   44.05,   58.42,   63.32,   47.91
09/05/2013 01:45:00,   53.40,   58.78,   45.71,   59.06,   64.45,   49.22
09/05/2013 01:50:00,   50.87,   55.03,   44.66,   56.33,   62.50,   48.43
09/05/2013 01:55:00,   48.59,   53.16,   42.21,   52.96,   58.69,   46.59
