# noise_analysis run from DCC-NOISE-001003 at Sat May 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/05/2013 00:05:00,   54.35,   58.90,   48.24,   57.50,   60.86,   51.51
11/05/2013 00:10:00,   54.03,   58.06,   48.88,   56.24,   59.49,   51.74
11/05/2013 00:15:00,   56.37,   61.18,   50.17,   58.99,   63.54,   53.09
11/05/2013 00:20:00,   54.71,   59.22,   49.00,   56.42,   60.42,   51.69
11/05/2013 00:25:00,   55.59,   60.17,   48.81,   57.12,   61.35,   51.54
11/05/2013 00:30:00,   53.37,   57.16,   47.79,   55.10,   58.24,   50.63
11/05/2013 00:35:00,   55.20,   58.48,   50.49,   56.16,   59.51,   51.96
11/05/2013 00:40:00,   55.82,   59.13,   51.97,   56.99,   60.43,   53.47
11/05/2013 00:45:00,   56.62,   60.41,   52.42,   57.76,   61.07,   53.88
11/05/2013 00:50:00,   53.24,   57.93,   47.36,   55.24,   59.28,   50.44
11/05/2013 00:55:00,   53.99,   58.34,   47.30,   56.43,   59.94,   50.52
11/05/2013 01:00:00,   54.74,   59.58,   47.45,   56.47,   60.93,   50.21
11/05/2013 01:05:00,   53.89,   58.30,   47.56,   55.57,   59.36,   50.36
11/05/2013 01:10:00,   53.33,   57.65,   46.92,   55.43,   59.32,   49.91
11/05/2013 01:15:00,   55.11,   59.41,   49.53,   57.14,   61.64,   51.80
11/05/2013 01:20:00,   53.85,   58.57,   47.37,   56.67,   60.72,   51.38
11/05/2013 01:25:00,   53.14,   57.99,   47.02,   55.17,   59.24,   50.15
11/05/2013 01:30:00,   53.35,   58.11,   47.37,   55.55,   60.15,   50.48
11/05/2013 01:35:00,   55.26,   59.99,   47.72,   57.55,   61.66,   51.07
11/05/2013 01:40:00,   53.30,   58.23,   46.06,   55.44,   60.21,   49.46
11/05/2013 01:45:00,   50.84,   55.36,   45.22,   53.82,   57.57,   48.79
11/05/2013 01:50:00,   53.68,   58.90,   46.91,   55.62,   60.15,   49.96
11/05/2013 01:55:00,   54.45,   59.50,   47.07,   56.55,   61.09,   50.04
11/05/2013 02:00:00,   56.30,   60.40,   48.67,   57.87,   62.15,   51.05
11/05/2013 02:05:00,   55.16,   60.24,   48.95,   57.40,   61.65,   52.04
11/05/2013 02:10:00,   54.63,   58.44,   47.12,   57.26,   60.93,   50.43
11/05/2013 02:15:00,   55.02,   59.11,   49.15,   57.00,   60.43,   51.70
11/05/2013 02:20:00,   55.15,   59.81,   46.88,   56.97,   61.20,   50.51
11/05/2013 02:25:00,   55.14,   59.81,   47.87,   57.06,   61.50,   50.40
11/05/2013 02:30:00,   52.21,   57.40,   45.25,   54.67,   59.25,   48.77
11/05/2013 02:35:00,   53.84,   58.11,   45.75,   55.75,   59.90,   49.11
11/05/2013 02:40:00,   51.11,   56.39,   43.83,   53.50,   58.43,   47.29
