# noise_analysis run from DCC-NOISE-001003 at Sun May 12 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/05/2013 00:05:00,   54.38,   58.09,   50.74,   56.75,   59.87,   53.47
12/05/2013 00:10:00,   56.12,   59.01,   51.49,   59.29,   62.31,   54.25
12/05/2013 00:15:00,   54.70,   57.85,   50.25,   57.15,   59.72,   53.50
12/05/2013 00:20:00,   55.33,   59.36,   50.42,   57.84,   61.25,   53.24
12/05/2013 00:25:00,   55.53,   58.70,   51.21,   57.82,   60.68,   54.03
12/05/2013 00:30:00,   53.72,   56.95,   49.73,   56.59,   59.48,   52.79
12/05/2013 00:35:00,   55.50,   58.76,   51.05,   58.61,   61.87,   54.15
12/05/2013 00:40:00,   56.57,   60.20,   51.16,   59.30,   62.63,   53.86
12/05/2013 00:45:00,   55.07,   58.49,   49.66,   57.89,   61.57,   52.56
12/05/2013 00:50:00,   55.46,   58.63,   50.22,   57.45,   61.30,   52.91
12/05/2013 00:55:00,   53.77,   58.36,   47.92,   55.91,   60.03,   50.64
12/05/2013 01:00:00,   55.96,   59.74,   50.34,   58.65,   62.16,   52.93
12/05/2013 01:05:00,   55.40,   59.44,   50.98,   58.86,   62.61,   53.53
12/05/2013 01:10:00,   54.37,   59.23,   49.55,   57.03,   61.12,   52.18
12/05/2013 01:15:00,   55.92,   59.50,   50.39,   58.42,   62.25,   53.21
12/05/2013 01:20:00,   55.70,   59.57,   50.96,   58.33,   61.98,   53.45
12/05/2013 01:25:00,   54.21,   57.79,   49.44,   57.53,   60.46,   52.45
12/05/2013 01:30:00,   53.17,   56.79,   49.04,   55.54,   58.97,   51.81
12/05/2013 01:35:00,   53.60,   58.00,   48.61,   55.82,   59.48,   51.25
12/05/2013 01:40:00,   54.17,   57.42,   48.03,   57.78,   61.21,   51.80
12/05/2013 01:45:00,   57.21,   60.42,   52.08,   58.91,   61.71,   54.95
12/05/2013 01:50:00,   56.47,   59.55,   53.15,   57.90,   60.95,   53.90
12/05/2013 01:55:00,   56.67,   60.17,   52.60,   57.55,   61.11,   52.85
12/05/2013 02:00:00,   55.61,   59.92,   48.62,   57.14,   60.95,   51.68
12/05/2013 02:05:00,   55.55,   59.10,   48.91,   57.65,   61.03,   52.14
12/05/2013 02:10:00,   54.74,   59.21,   48.92,   57.08,   61.31,   51.70
12/05/2013 02:15:00,   54.65,   59.32,   47.85,   57.14,   61.44,   50.95
12/05/2013 02:20:00,   55.55,   59.32,   49.38,   57.68,   61.30,   51.62
12/05/2013 02:25:00,   54.37,   59.14,   46.34,   56.33,   60.48,   49.07
12/05/2013 02:30:00,   54.76,   58.87,   48.74,   56.66,   60.36,   51.55
12/05/2013 02:35:00,   54.10,   58.93,   45.50,   56.36,   60.57,   49.73
12/05/2013 02:40:00,   54.42,   59.13,   49.35,   56.91,   60.73,   52.11
12/05/2013 02:45:00,   54.05,   57.82,   47.23,   56.17,   59.45,   50.54
12/05/2013 02:50:00,   52.61,   57.19,   46.11,   55.23,   59.35,   49.13
12/05/2013 02:55:00,   52.89,   58.17,   45.28,   56.47,   61.27,   48.84
12/05/2013 03:00:00,   54.57,   59.07,   46.83,   57.46,   61.80,   50.20
12/05/2013 03:05:00,   55.14,   59.84,   46.72,   57.40,   61.69,   49.51
12/05/2013 03:10:00,   56.08,   60.48,   48.76,   58.63,   62.38,   51.49
12/05/2013 03:15:00,   53.33,   57.80,   47.25,   56.76,   60.27,   50.17
12/05/2013 03:20:00,   54.72,   59.47,   46.44,   57.45,   61.06,   49.56
12/05/2013 03:25:00,   51.97,   56.70,   45.60,   54.80,   59.08,   48.74
12/05/2013 03:30:00,   54.47,   58.95,   45.18,   56.52,   60.37,   48.07
12/05/2013 03:35:00,   54.76,   59.10,   47.93,   56.66,   61.01,   50.50
12/05/2013 03:40:00,   51.85,   56.57,   44.80,   53.68,   57.91,   47.83
12/05/2013 03:45:00,   51.11,   56.26,   45.01,   53.04,   57.42,   48.23
12/05/2013 03:50:00,   51.60,   55.57,   45.42,   53.88,   57.33,   48.86
12/05/2013 03:55:00,   53.46,   58.69,   46.28,   55.44,   60.63,   48.89
12/05/2013 04:00:00,   51.44,   56.65,   44.17,   53.48,   58.03,   47.42
12/05/2013 04:05:00,   51.84,   57.02,   44.42,   53.63,   58.20,   47.55
12/05/2013 04:10:00,   51.86,   56.20,   45.64,   54.24,   58.55,   48.39
12/05/2013 04:15:00,   53.24,   59.02,   44.81,   55.15,   60.27,   47.98
12/05/2013 04:20:00,   52.15,   56.54,   45.16,   54.58,   59.19,   48.05
12/05/2013 04:25:00,   50.99,   55.25,   44.92,   52.76,   56.55,   48.31
12/05/2013 04:30:00,   53.98,   58.99,   46.93,   55.49,   59.79,   49.83
12/05/2013 04:35:00,   55.80,   60.95,   46.78,   56.55,   61.22,   49.40
12/05/2013 04:40:00,   55.45,   60.68,   47.30,   56.47,   60.99,   49.42
12/05/2013 04:45:00,   55.48,   60.78,   47.38,   55.78,   60.63,   49.48
12/05/2013 04:50:00,   56.21,   60.73,   48.22,   56.93,   61.43,   50.22
12/05/2013 04:55:00,   56.13,   61.18,   48.32,   57.36,   61.32,   50.60
12/05/2013 05:00:00,   56.42,   60.58,   48.57,   57.26,   60.86,   51.27
12/05/2013 05:05:00,   56.00,   60.56,   48.40,   56.68,   60.48,   50.14
12/05/2013 05:10:00,   52.94,   57.36,   45.85,   53.80,   58.05,   48.01
12/05/2013 05:15:00,   51.64,   57.06,   45.18,   53.27,   58.15,   47.80
12/05/2013 05:20:00,   53.38,   59.02,   46.19,   54.97,   59.93,   48.73
12/05/2013 05:25:00,   48.92,   54.32,   44.38,   51.06,   56.33,   46.92
12/05/2013 05:30:00,   52.77,   57.75,   45.06,   54.44,   58.92,   47.92
12/05/2013 05:35:00,   53.97,   59.83,   44.42,   54.79,   59.96,   47.24
12/05/2013 05:40:00,   52.68,   58.72,   44.85,   54.40,   59.40,   47.66
12/05/2013 05:45:00,   54.70,   60.62,   45.47,   56.60,   61.83,   48.17
12/05/2013 05:50:00,   52.21,   57.21,   44.48,   54.17,   58.86,   47.10
12/05/2013 05:55:00,   51.68,   55.78,   45.93,   53.17,   57.15,   48.11
12/05/2013 06:00:00,   52.00,   56.81,   46.27,   53.89,   58.22,   48.64
12/05/2013 06:05:00,   51.45,   56.43,   45.54,   53.05,   57.46,   48.04
12/05/2013 06:10:00,   51.77,   57.35,   44.99,   53.19,   58.14,   47.39
12/05/2013 06:15:00,   52.36,   56.92,   45.28,   53.87,   58.02,   48.45
12/05/2013 06:20:00,   53.43,   58.55,   45.52,   55.18,   60.37,   47.91
12/05/2013 06:25:00,   51.03,   56.37,   44.10,   52.97,   57.30,   47.24
12/05/2013 06:30:00,   55.59,   60.02,   45.45,   55.96,   59.39,   49.36
12/05/2013 06:35:00,   54.70,   59.27,   46.32,   57.80,   62.89,   49.91
12/05/2013 06:40:00,   51.75,   57.76,   44.79,   54.19,   59.12,   48.10
12/05/2013 06:45:00,   53.52,   60.49,   46.07,   56.70,   62.64,   50.01
12/05/2013 06:50:00,   52.51,   57.15,   46.13,   56.04,   61.13,   50.12
12/05/2013 06:55:00,   55.35,   61.68,   46.59,   58.33,   64.08,   49.69
12/05/2013 07:00:00,   56.16,   60.44,   48.09,   59.29,   64.03,   51.99
12/05/2013 07:05:00,   53.48,   58.95,   46.11,   57.99,   61.95,   49.50
12/05/2013 07:10:00,   52.85,   57.66,   46.97,   56.48,   61.35,   49.96
12/05/2013 07:15:00,   54.54,   58.93,   48.23,   58.52,   64.38,   50.97
12/05/2013 07:20:00,   57.47,   62.96,   46.25,   61.62,   68.78,   49.84
12/05/2013 07:25:00,   55.83,   59.58,   48.94,   58.65,   62.16,   52.57
12/05/2013 07:30:00,   57.08,   60.71,   50.85,   59.77,   64.61,   53.36
12/05/2013 07:35:00,   56.09,   60.84,   47.80,   58.35,   63.80,   51.13
12/05/2013 07:40:00,   57.32,   61.89,   48.65,   60.26,   65.05,   52.93
12/05/2013 07:45:00,   54.28,   58.53,   47.70,   56.85,   61.08,   50.71
12/05/2013 07:50:00,   55.36,   60.01,   47.57,   58.66,   63.41,   50.92
12/05/2013 07:55:00,   55.32,   60.23,   47.53,   58.91,   63.63,   50.63
12/05/2013 08:00:00,   56.17,   61.89,   47.45,   60.58,   66.14,   51.88
12/05/2013 08:05:00,   54.45,   59.64,   46.99,   58.24,   64.70,   50.11
12/05/2013 08:10:00,   53.72,   58.31,   46.90,   55.66,   60.15,   50.21
12/05/2013 08:15:00,   54.97,   59.17,   48.48,   57.27,   61.59,   51.14
12/05/2013 08:20:00,   55.45,   59.24,   50.52,   58.10,   61.73,   53.00
12/05/2013 08:25:00,   52.87,   57.17,   47.63,   54.92,   58.44,   50.54
12/05/2013 08:30:00,   54.57,   60.32,   47.34,   57.74,   62.96,   50.65
12/05/2013 08:35:00,   52.71,   56.94,   47.35,   56.77,   60.82,   50.60
12/05/2013 08:40:00,   55.06,   59.32,   47.90,   55.86,   59.75,   50.64
12/05/2013 08:45:00,   57.30,   62.01,   50.71,   57.99,   62.64,   53.05
12/05/2013 08:50:00,   57.04,   61.15,   49.33,   58.97,   63.10,   53.13
12/05/2013 08:55:00,   55.04,   58.98,   49.40,   56.58,   59.92,   52.15
12/05/2013 09:00:00,   55.82,   59.86,   49.80,   57.76,   61.34,   52.26
12/05/2013 09:05:00,   55.01,   58.85,   49.79,   57.29,   60.31,   52.52
12/05/2013 09:10:00,   56.55,   60.27,   51.60,   57.98,   61.40,   53.64
12/05/2013 09:15:00,   54.43,   58.59,   49.53,   56.53,   59.88,   52.64
12/05/2013 09:20:00,   58.18,   61.62,   52.44,   59.05,   61.85,   54.24
12/05/2013 09:25:00,   57.22,   60.28,   52.77,   57.95,   60.73,   54.49
12/05/2013 09:30:00,   56.89,   62.18,   52.16,   58.48,   62.62,   54.14
12/05/2013 09:35:00,   59.33,   62.66,   53.54,   61.22,   64.47,   56.52
12/05/2013 09:40:00,   57.62,   62.44,   51.34,   59.69,   63.91,   54.32
12/05/2013 09:45:00,   55.41,   58.75,   50.37,   57.83,   60.78,   53.59
12/05/2013 09:50:00,   58.92,   62.12,   53.28,   61.30,   64.45,   56.54
12/05/2013 09:55:00,   58.78,   62.41,   52.49,   60.11,   62.94,   54.94
12/05/2013 10:00:00,   58.28,   61.41,   53.26,   60.98,   63.54,   56.15
12/05/2013 10:05:00,   58.01,   61.32,   53.60,   60.61,   63.73,   56.43
12/05/2013 10:10:00,   58.07,   60.88,   53.50,   60.23,   62.60,   56.27
12/05/2013 10:15:00,   58.75,   61.71,   53.62,   61.39,   64.02,   55.99
12/05/2013 10:20:00,   58.12,   61.16,   53.91,   60.23,   62.82,   56.31
12/05/2013 10:25:00,   57.52,   60.44,   53.97,   60.14,   62.93,   56.28
12/05/2013 10:30:00,   57.62,   60.80,   53.24,   61.07,   64.09,   55.98
12/05/2013 10:35:00,   57.96,   61.38,   52.53,   60.49,   63.85,   54.59
12/05/2013 10:40:00,   57.93,   60.62,   53.84,   60.05,   62.41,   55.93
12/05/2013 10:45:00,   58.91,   62.40,   54.14,   61.71,   65.38,   56.35
12/05/2013 10:50:00,   58.32,   61.39,   54.26,   60.59,   63.49,   56.44
12/05/2013 10:55:00,   57.02,   60.28,   52.88,   59.16,   62.25,   55.25
12/05/2013 11:00:00,   57.50,   61.14,   51.97,   59.89,   63.08,   54.63
12/05/2013 11:05:00,   58.65,   61.11,   54.31,   61.35,   63.80,   57.13
12/05/2013 11:10:00,   57.71,   61.17,   52.54,   60.05,   62.94,   55.47
12/05/2013 11:15:00,   58.20,   61.08,   53.76,   61.56,   64.23,   56.20
12/05/2013 11:20:00,   58.43,   61.50,   53.66,   61.90,   64.72,   56.72
12/05/2013 11:25:00,   58.85,   61.42,   54.76,   62.89,   66.47,   57.59
12/05/2013 11:30:00,   58.88,   61.38,   54.31,   61.44,   63.86,   57.34
12/05/2013 11:35:00,   58.98,   61.81,   53.07,   62.27,   65.90,   55.47
12/05/2013 11:40:00,   58.70,   61.97,   54.13,   60.97,   64.28,   56.97
12/05/2013 11:45:00,   59.72,   62.24,   53.87,   62.71,   65.22,   58.01
12/05/2013 11:50:00,   59.44,   62.62,   54.08,   61.70,   64.13,   57.88
12/05/2013 11:55:00,   59.89,   62.34,   55.42,   61.65,   63.94,   57.89
12/05/2013 12:00:00,   59.63,   62.17,   55.18,   63.32,   66.49,   58.70
12/05/2013 12:05:00,   60.23,   62.12,   55.72,   64.85,   66.91,   58.73
12/05/2013 12:10:00,   59.21,   61.61,   54.90,   63.26,   66.55,   58.13
12/05/2013 12:15:00,   60.28,   62.29,   55.71,   64.40,   67.61,   58.68
12/05/2013 12:20:00,   60.54,   63.94,   56.09,   63.34,   66.12,   58.44
12/05/2013 12:25:00,   61.52,   64.44,   57.34,   66.54,   71.76,   60.34
12/05/2013 12:30:00,   61.14,   63.58,   56.45,   67.78,   73.51,   59.63
12/05/2013 12:35:00,   60.22,   62.58,   55.90,   64.05,   66.86,   58.66
12/05/2013 12:40:00,   60.85,   63.08,   57.38,   66.11,   71.43,   60.19
12/05/2013 12:45:00,   60.38,   63.15,   56.35,   65.73,   70.14,   59.64
12/05/2013 12:50:00,   60.62,   62.90,   56.61,   65.04,   68.36,   59.26
12/05/2013 12:55:00,   60.73,   62.78,   56.96,   66.04,   69.06,   60.50
12/05/2013 13:00:00,   60.41,   62.25,   57.09,   66.26,   71.17,   60.07
12/05/2013 13:05:00,   62.89,   65.12,   56.21,   67.50,   73.41,   59.59
12/05/2013 13:10:00,   58.71,   61.14,   55.04,   62.62,   65.43,   58.22
12/05/2013 13:15:00,   60.63,   63.28,   56.07,   64.85,   68.32,   58.65
12/05/2013 13:20:00,   58.75,   60.81,   55.15,   61.83,   63.37,   58.39
12/05/2013 13:25:00,   59.89,   61.77,   56.58,   63.52,   65.24,   59.40
12/05/2013 13:30:00,   60.34,   62.36,   57.20,   65.18,   68.78,   60.22
12/05/2013 13:35:00,   60.40,   62.47,   56.28,   65.46,   68.30,   59.13
12/05/2013 13:40:00,   60.77,   62.43,   57.64,   66.17,   70.12,   60.25
12/05/2013 13:45:00,   60.35,   62.53,   56.82,   64.52,   68.29,   59.78
