# noise_analysis run from DCC-NOISE-001003 at Tue May 14 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/05/2013 00:05:00,   53.94,   59.47,   47.03,   55.88,   60.41,   50.91
14/05/2013 00:10:00,   55.11,   59.97,   49.53,   57.32,   61.43,   52.88
14/05/2013 00:15:00,   55.10,   58.04,   46.48,   57.14,   60.32,   50.16
14/05/2013 00:20:00,   54.56,   59.08,   48.76,   56.79,   60.73,   52.16
14/05/2013 00:25:00,   54.14,   58.58,   48.41,   56.75,   60.74,   51.88
14/05/2013 00:30:00,   54.48,   58.18,   48.71,   56.75,   59.92,   51.93
14/05/2013 00:35:00,   53.52,   58.90,   48.23,   56.27,   60.71,   51.79
14/05/2013 00:40:00,   54.55,   59.59,   47.51,   57.15,   61.63,   51.32
14/05/2013 00:45:00,   52.15,   56.17,   47.28,   55.39,   58.91,   51.19
14/05/2013 00:50:00,   52.46,   56.19,   47.44,   55.21,   58.39,   51.25
14/05/2013 00:55:00,   50.46,   54.76,   46.43,   53.54,   56.80,   50.52
14/05/2013 01:00:00,   52.77,   57.15,   46.72,   55.89,   60.45,   50.22
14/05/2013 01:05:00,   54.78,   59.56,   48.17,   57.74,   61.62,   52.04
14/05/2013 01:10:00,   52.39,   58.63,   46.42,   55.11,   60.42,   50.04
14/05/2013 01:15:00,   53.71,   58.55,   45.34,   56.49,   61.32,   49.55
14/05/2013 01:20:00,   52.10,   57.09,   46.88,   54.89,   58.96,   50.67
14/05/2013 01:25:00,   53.22,   56.97,   47.85,   55.37,   58.55,   51.29
14/05/2013 01:30:00,   53.54,   58.79,   46.70,   55.71,   59.95,   50.74
14/05/2013 01:35:00,   52.87,   58.04,   46.62,   55.86,   59.87,   50.31
14/05/2013 01:40:00,   51.86,   57.40,   46.26,   54.58,   59.20,   50.36
14/05/2013 01:45:00,   52.30,   57.22,   47.03,   54.97,   59.60,   50.43
14/05/2013 01:50:00,   49.94,   54.50,   45.07,   53.89,   57.23,   49.48
14/05/2013 01:55:00,   51.21,   55.73,   45.22,   53.86,   57.75,   49.29
