# noise_analysis run from DCC-NOISE-001003 at Thu May 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/05/2013 00:05:00,   53.02,   57.20,   46.12,   55.69,   59.76,   50.19
16/05/2013 00:10:00,   51.49,   55.95,   46.45,   54.09,   58.05,   50.29
16/05/2013 00:15:00,   52.00,   56.44,   47.31,   54.20,   57.76,   50.41
16/05/2013 00:20:00,   50.58,   54.67,   46.46,   52.94,   57.13,   49.64
16/05/2013 00:25:00,   52.37,   57.64,   46.05,   54.76,   58.78,   49.81
16/05/2013 00:30:00,   51.70,   56.17,   45.28,   54.26,   57.85,   49.17
16/05/2013 00:35:00,   52.40,   57.15,   46.16,   54.64,   58.28,   50.32
16/05/2013 00:40:00,   51.47,   57.09,   44.27,   54.09,   59.05,   49.12
16/05/2013 00:45:00,   51.78,   58.22,   46.05,   55.03,   60.05,   50.21
16/05/2013 00:50:00,   52.58,   58.07,   46.38,   55.25,   60.03,   50.31
16/05/2013 00:55:00,   52.58,   57.39,   45.92,   54.85,   58.80,   49.48
16/05/2013 01:00:00,   50.51,   53.85,   46.38,   53.56,   55.95,   50.53
16/05/2013 01:05:00,   50.39,   53.78,   45.03,   53.35,   56.76,   49.03
16/05/2013 01:10:00,   52.64,   57.42,   45.19,   54.72,   58.69,   48.44
16/05/2013 01:15:00,   48.95,   54.50,   43.82,   51.74,   55.84,   48.50
16/05/2013 01:20:00,   50.60,   55.32,   44.97,   53.22,   56.87,   49.41
16/05/2013 01:25:00,   50.33,   54.87,   45.69,   53.22,   56.83,   49.73
16/05/2013 01:30:00,   50.38,   56.22,   44.52,   53.39,   57.62,   49.03
16/05/2013 01:35:00,   51.35,   56.39,   44.86,   54.01,   58.08,   49.37
16/05/2013 01:40:00,   47.90,   51.44,   43.81,   51.55,   54.39,   48.60
16/05/2013 01:45:00,   51.36,   57.58,   43.29,   53.44,   58.48,   47.55
16/05/2013 01:50:00,   47.46,   51.83,   42.42,   51.09,   54.18,   47.41
16/05/2013 01:55:00,   48.16,   52.83,   42.92,   51.48,   54.47,   47.34
16/05/2013 02:00:00,   48.95,   54.21,   43.87,   52.20,   56.35,   48.37
16/05/2013 02:05:00,   48.12,   52.61,   43.54,   51.53,   55.00,   48.07
16/05/2013 02:10:00,   49.07,   54.82,   42.85,   52.07,   56.77,   47.36
16/05/2013 02:15:00,   46.68,   50.22,   41.55,   50.71,   53.92,   46.22
