# noise_analysis run from DCC-NOISE-001003 at Fri May 17 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/05/2013 00:05:00,   52.20,   57.28,   43.44,   54.02,   58.47,   46.83
17/05/2013 00:10:00,   51.80,   57.51,   44.63,   52.97,   58.34,   46.38
17/05/2013 00:15:00,   53.03,   58.63,   45.04,   54.76,   59.80,   47.83
17/05/2013 00:20:00,   52.82,   58.73,   42.69,   55.02,   59.85,   45.55
17/05/2013 00:25:00,   53.16,   59.63,   42.36,   55.22,   61.33,   45.35
17/05/2013 00:30:00,   52.30,   57.74,   43.61,   54.22,   59.44,   45.98
17/05/2013 00:35:00,   51.85,   56.77,   43.73,   53.70,   58.27,   46.22
17/05/2013 00:40:00,   52.83,   57.93,   43.12,   53.99,   58.59,   45.42
17/05/2013 00:45:00,   52.11,   58.49,   42.29,   54.09,   59.57,   44.77
17/05/2013 00:50:00,   53.28,   59.01,   41.66,   54.61,   60.03,   44.21
17/05/2013 00:55:00,   53.46,   58.32,   45.49,   54.86,   59.62,   47.60
17/05/2013 01:00:00,   51.93,   58.59,   42.65,   53.14,   59.12,   45.21
17/05/2013 01:05:00,   50.76,   57.05,   42.83,   52.55,   58.13,   45.39
17/05/2013 01:10:00,   53.37,   58.58,   44.29,   55.05,   60.14,   46.66
17/05/2013 01:15:00,   52.28,   57.77,   44.50,   53.70,   59.23,   46.52
17/05/2013 01:20:00,   52.78,   58.28,   43.16,   54.45,   60.33,   45.35
17/05/2013 01:25:00,   50.88,   57.37,   43.20,   52.48,   58.47,   45.53
17/05/2013 01:30:00,   53.47,   59.38,   43.95,   54.65,   60.95,   46.42
17/05/2013 01:35:00,   52.38,   57.41,   44.67,   53.84,   58.53,   46.86
17/05/2013 01:40:00,   50.05,   55.82,   41.20,   51.71,   56.90,   43.86
17/05/2013 01:45:00,   48.86,   55.35,   41.01,   50.68,   56.68,   43.69
17/05/2013 01:50:00,   50.32,   56.94,   39.66,   51.87,   57.56,   42.66
17/05/2013 01:55:00,   50.66,   56.97,   40.87,   51.78,   58.15,   43.41
17/05/2013 02:00:00,   51.19,   58.16,   41.03,   52.45,   58.99,   43.42
17/05/2013 02:05:00,   46.07,   49.73,   38.49,   48.16,   51.27,   41.98
17/05/2013 02:10:00,   49.23,   56.44,   38.68,   51.00,   58.55,   42.26
17/05/2013 02:15:00,   49.01,   56.76,   38.56,   50.43,   57.75,   41.83
17/05/2013 02:20:00,   48.32,   55.58,   38.19,   49.78,   56.50,   41.59
17/05/2013 02:25:00,   49.16,   55.06,   39.40,   50.92,   56.44,   42.65
17/05/2013 02:30:00,   48.38,   54.38,   39.75,   49.87,   55.54,   42.37
17/05/2013 02:35:00,   50.25,   57.64,   39.28,   51.83,   58.65,   42.51
17/05/2013 02:40:00,   45.76,   51.29,   37.46,   47.89,   52.54,   41.31
17/05/2013 02:45:00,   45.47,   52.45,   38.29,   47.65,   53.77,   41.67
17/05/2013 02:50:00,   47.70,   54.31,   39.74,   49.75,   55.67,   43.13
17/05/2013 02:55:00,   46.91,   52.49,   39.98,   49.22,   54.42,   43.33
17/05/2013 03:00:00,   47.62,   53.67,   38.81,   49.57,   54.51,   43.19
17/05/2013 03:05:00,   50.41,   54.85,   44.58,   52.20,   56.76,   46.87
17/05/2013 03:10:00,   48.47,   54.56,   41.70,   50.61,   56.60,   44.04
17/05/2013 03:15:00,   46.89,   49.17,   42.62,   49.21,   51.66,   45.04
17/05/2013 03:20:00,   47.39,   51.27,   40.15,   50.46,   54.05,   43.96
17/05/2013 03:25:00,   50.31,   56.96,   43.60,   52.41,   58.36,   47.71
17/05/2013 03:30:00,   50.85,   57.52,   43.02,   52.82,   58.37,   46.87
17/05/2013 03:35:00,   46.93,   50.75,   42.47,   50.01,   54.72,   45.76
17/05/2013 03:40:00,   49.09,   54.33,   43.65,   51.55,   55.39,   47.22
17/05/2013 03:45:00,   48.81,   55.72,   43.01,   50.96,   57.08,   46.08
17/05/2013 03:50:00,   51.48,   57.61,   43.49,   53.17,   58.55,   46.51
17/05/2013 03:55:00,   50.74,   57.36,   44.11,   52.61,   58.68,   46.96
17/05/2013 04:00:00,   51.63,   58.52,   42.77,   53.52,   59.50,   46.23
17/05/2013 04:05:00,   50.03,   55.66,   43.74,   52.11,   57.52,   47.12
17/05/2013 04:10:00,   48.63,   51.94,   43.55,   51.35,   56.24,   46.84
17/05/2013 04:15:00,   50.57,   53.89,   45.31,   52.73,   56.52,   47.65
17/05/2013 04:20:00,   50.76,   53.83,   46.05,   52.56,   55.57,   48.63
17/05/2013 04:25:00,   50.44,   53.68,   46.26,   52.64,   55.38,   48.45
17/05/2013 04:30:00,   53.32,   58.12,   47.73,   54.36,   58.73,   49.67
17/05/2013 04:35:00,   51.98,   57.24,   46.12,   53.58,   58.66,   48.28
17/05/2013 04:40:00,   51.62,   57.26,   45.11,   53.20,   58.57,   48.32
