# noise_analysis run from DCC-NOISE-001003 at Mon May 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/05/2013 00:05:00,   52.98,   58.29,   36.72,   55.89,   61.20,   41.36
20/05/2013 00:10:00,   51.27,   57.62,   40.46,   53.60,   59.48,   43.92
20/05/2013 00:15:00,   51.88,   57.24,   40.78,   53.53,   58.95,   44.04
20/05/2013 00:20:00,   54.17,   58.62,   45.39,   57.12,   61.47,   48.10
20/05/2013 00:25:00,   51.36,   57.49,   36.98,   53.81,   59.10,   40.66
20/05/2013 00:30:00,   51.33,   56.73,   40.45,   53.65,   58.84,   44.54
20/05/2013 00:35:00,   49.40,   55.13,   36.47,   51.73,   57.06,   39.72
20/05/2013 00:40:00,   51.35,   56.26,   38.69,   53.20,   57.71,   41.29
20/05/2013 00:45:00,   49.67,   56.50,   38.14,   53.17,   59.71,   41.82
20/05/2013 00:50:00,   51.53,   56.84,   39.96,   53.35,   57.98,   42.48
20/05/2013 00:55:00,   51.74,   57.30,   41.38,   54.31,   59.40,   45.33
20/05/2013 01:00:00,   51.34,   57.90,   37.37,   54.18,   59.94,   41.37
20/05/2013 01:05:00,   51.69,   56.85,   42.23,   53.38,   58.37,   45.29
20/05/2013 01:10:00,   49.71,   56.22,   39.04,   52.46,   58.45,   43.39
20/05/2013 01:15:00,   50.83,   56.71,   41.14,   53.23,   58.72,   43.52
20/05/2013 01:20:00,   50.73,   56.80,   40.00,   52.58,   58.44,   43.16
20/05/2013 01:25:00,   48.11,   53.87,   37.99,   50.39,   55.76,   42.87
20/05/2013 01:30:00,   49.92,   55.26,   40.86,   53.53,   58.43,   44.47
20/05/2013 01:35:00,   43.57,   48.01,   37.69,   47.04,   51.49,   41.97
20/05/2013 01:40:00,   51.33,   58.38,   39.06,   56.62,   64.31,   44.01
20/05/2013 01:45:00,   48.87,   55.47,   40.81,   52.93,   58.16,   45.57
20/05/2013 01:50:00,   50.34,   56.27,   42.08,   53.05,   57.66,   45.71
20/05/2013 01:55:00,   45.21,   51.22,   38.20,   48.89,   53.89,   42.58
20/05/2013 02:00:00,   48.52,   53.65,   41.20,   50.98,   55.85,   44.66
20/05/2013 02:05:00,   45.61,   53.91,   37.37,   48.17,   55.17,   41.79
20/05/2013 02:10:00,   46.21,   53.15,   38.38,   49.37,   55.14,   43.50
20/05/2013 02:15:00,   46.87,   53.73,   38.43,   49.56,   56.44,   43.08
20/05/2013 02:20:00,   43.95,   51.15,   36.84,   47.14,   53.71,   41.81
20/05/2013 02:25:00,   46.63,   53.34,   37.61,   49.31,   56.26,   42.85
20/05/2013 02:30:00,   43.24,   46.66,   37.44,   47.48,   49.93,   43.58
20/05/2013 02:35:00,   46.50,   52.68,   38.10,   50.87,   56.20,   44.42
20/05/2013 02:40:00,   44.75,   50.31,   37.38,   48.09,   52.32,   42.92
20/05/2013 02:45:00,   45.99,   51.34,   38.80,   51.80,   56.77,   43.65
20/05/2013 02:50:00,   43.10,   44.22,   38.18,   47.64,   49.87,   42.75
20/05/2013 02:55:00,   46.16,   52.59,   39.09,   49.60,   55.07,   44.05
20/05/2013 03:00:00,   47.17,   52.59,   40.54,   50.28,   55.38,   44.79
20/05/2013 03:05:00,   46.79,   52.01,   39.71,   50.10,   54.87,   43.95
20/05/2013 03:10:00,   46.89,   52.78,   40.43,   50.22,   55.42,   44.84
20/05/2013 03:15:00,   46.78,   52.28,   40.27,   50.16,   54.69,   45.06
20/05/2013 03:20:00,   47.72,   55.17,   39.27,   51.28,   57.09,   43.75
20/05/2013 03:25:00,   46.24,   51.36,   40.07,   49.36,   53.70,   44.29
20/05/2013 03:30:00,   44.68,   49.26,   38.40,   50.38,   55.92,   43.69
20/05/2013 03:35:00,   47.74,   55.23,   38.87,   50.41,   56.77,   42.80
20/05/2013 03:40:00,   45.40,   51.60,   37.56,   48.11,   54.04,   41.83
20/05/2013 03:45:00,   44.60,   48.64,   37.81,   47.68,   51.66,   42.66
20/05/2013 03:50:00,   47.16,   53.48,   38.84,   50.03,   55.80,   43.02
20/05/2013 03:55:00,   45.91,   50.87,   38.63,   47.70,   51.74,   42.85
20/05/2013 04:00:00,   48.84,   54.04,   39.88,   50.85,   57.32,   43.82
20/05/2013 04:05:00,   48.46,   54.07,   39.82,   49.80,   55.60,   43.47
20/05/2013 04:10:00,   48.24,   53.55,   40.89,   49.51,   54.61,   44.20
20/05/2013 04:15:00,   47.47,   52.63,   40.32,   48.93,   54.80,   43.36
20/05/2013 04:20:00,   47.42,   51.96,   40.47,   49.36,   54.75,   43.35
20/05/2013 04:25:00,   49.40,   53.53,   42.74,   50.87,   55.60,   45.44
20/05/2013 04:30:00,   50.86,   55.89,   44.25,   54.69,   60.00,   47.22
20/05/2013 04:35:00,   50.71,   55.26,   44.09,   52.20,   56.66,   46.82
20/05/2013 04:40:00,   48.75,   52.91,   43.32,   50.40,   54.28,   46.30
20/05/2013 04:45:00,   49.11,   51.96,   43.85,   51.21,   54.33,   47.14
20/05/2013 04:50:00,   49.20,   52.96,   43.33,   50.98,   55.46,   46.19
