# noise_analysis run from DCC-NOISE-001003 at Wed May 29 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/05/2013 00:05:00,   55.26,   59.92,   48.63,   56.12,   60.37,   50.22
29/05/2013 00:10:00,   52.24,   57.69,   46.38,   53.83,   58.58,   48.71
29/05/2013 00:15:00,   51.45,   57.30,   45.42,   52.95,   58.33,   47.85
29/05/2013 00:20:00,   51.10,   57.27,   45.56,   52.64,   58.30,   47.81
29/05/2013 00:25:00,   52.61,   59.30,   46.25,   53.84,   59.73,   47.99
29/05/2013 00:30:00,   53.36,   57.84,   49.77,   54.02,   58.44,   50.22
29/05/2013 00:35:00,   55.38,   61.08,   49.21,   58.08,   64.46,   49.52
29/05/2013 00:40:00,   53.50,   59.03,   48.70,   53.95,   59.17,   49.26
29/05/2013 00:45:00,   54.23,   58.68,   48.81,   54.63,   58.96,   49.87
29/05/2013 00:50:00,   56.87,   60.56,   51.19,   57.06,   60.48,   52.16
29/05/2013 00:55:00,   55.50,   60.11,   50.06,   55.81,   60.28,   50.41
29/05/2013 01:00:00,   55.15,   59.75,   50.60,   55.54,   60.03,   51.09
29/05/2013 01:05:00,   52.73,   59.44,   45.87,   53.74,   59.74,   47.83
29/05/2013 01:10:00,   53.14,   58.75,   47.28,   55.04,   60.66,   48.30
29/05/2013 01:15:00,   53.83,   60.14,   44.57,   54.60,   60.37,   47.01
29/05/2013 01:20:00,   49.33,   55.54,   43.61,   51.34,   57.02,   46.26
29/05/2013 01:25:00,   52.08,   56.48,   45.98,   52.87,   57.15,   48.16
29/05/2013 01:30:00,   48.69,   52.14,   44.43,   50.12,   53.03,   46.41
29/05/2013 01:35:00,   50.65,   57.33,   43.52,   51.58,   57.89,   45.41
29/05/2013 01:40:00,   49.93,   55.19,   43.85,   51.56,   57.35,   45.66
29/05/2013 01:45:00,   48.24,   54.88,   39.60,   49.75,   56.40,   43.04
29/05/2013 01:50:00,   49.45,   54.43,   43.33,   51.22,   55.74,   45.94
29/05/2013 01:55:00,   49.17,   56.23,   42.23,   51.11,   57.48,   45.43
29/05/2013 02:00:00,   49.53,   57.94,   41.74,   51.33,   58.32,   45.38
29/05/2013 02:05:00,   47.68,   53.08,   40.64,   50.13,   54.97,   44.48
29/05/2013 02:10:00,   49.66,   56.58,   41.07,   51.48,   57.67,   44.65
29/05/2013 02:15:00,   45.61,   48.87,   39.43,   47.53,   50.15,   43.36
29/05/2013 02:20:00,   47.29,   50.83,   41.84,   48.85,   52.33,   44.27
29/05/2013 02:25:00,   49.72,   53.13,   42.37,   50.86,   55.13,   44.74
29/05/2013 02:30:00,   48.70,   50.62,   43.27,   49.74,   51.86,   45.10
29/05/2013 02:35:00,   48.59,   51.58,   44.04,   49.51,   52.10,   45.37
29/05/2013 02:40:00,   48.23,   52.78,   42.29,   49.82,   53.95,   44.22
29/05/2013 02:45:00,   49.07,   54.04,   42.20,   49.90,   54.54,   44.38
29/05/2013 02:50:00,   49.47,   50.75,   44.08,   50.09,   51.79,   45.22
29/05/2013 02:55:00,   49.25,   54.72,   43.34,   51.15,   57.47,   44.78
29/05/2013 03:00:00,   48.86,   51.91,   44.88,   50.05,   53.92,   45.88
