# noise_analysis run from DCC-NOISE-001003 at Sat Jun  1 00:20:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/06/2013 00:25:00,   53.01,   57.47,   47.62,   56.23,   60.08,   51.59
01/06/2013 00:30:00,   52.81,   57.03,   47.59,   55.02,   58.73,   50.69
01/06/2013 00:35:00,   52.58,   56.80,   47.81,   55.39,   58.68,   50.79
01/06/2013 00:40:00,   52.93,   56.48,   48.40,   55.72,   59.11,   51.38
01/06/2013 00:45:00,   54.03,   57.83,   48.83,   56.71,   59.74,   52.09
01/06/2013 00:50:00,   52.72,   56.76,   47.62,   54.90,   58.67,   50.47
01/06/2013 00:55:00,   52.62,   56.52,   47.22,   55.04,   58.45,   50.37
01/06/2013 01:00:00,   53.17,   57.12,   48.68,   55.64,   59.15,   51.65
01/06/2013 01:05:00,   53.48,   57.77,   46.09,   55.99,   60.16,   49.31
01/06/2013 01:10:00,   53.58,   57.85,   47.53,   55.82,   59.45,   50.92
01/06/2013 01:15:00,   53.32,   58.14,   48.11,   55.44,   59.14,   51.26
01/06/2013 01:20:00,   54.40,   58.59,   48.73,   57.37,   61.70,   52.22
01/06/2013 01:25:00,   53.27,   57.60,   47.48,   55.49,   59.04,   50.78
01/06/2013 01:30:00,   52.57,   57.73,   46.97,   55.25,   60.08,   50.06
01/06/2013 01:35:00,   51.80,   56.04,   47.07,   54.51,   58.06,   50.48
01/06/2013 01:40:00,   51.27,   54.92,   47.00,   53.87,   57.05,   50.24
01/06/2013 01:45:00,   52.46,   56.58,   46.62,   55.58,   59.64,   50.52
01/06/2013 01:50:00,   52.04,   56.51,   47.12,   54.50,   58.55,   50.41
01/06/2013 01:55:00,   53.38,   57.84,   46.40,   55.35,   59.17,   49.66
01/06/2013 02:00:00,   51.96,   56.97,   45.81,   54.83,   58.73,   49.20
01/06/2013 02:05:00,   53.98,   58.30,   48.33,   57.97,   62.19,   51.46
01/06/2013 02:10:00,   53.19,   57.66,   46.93,   55.43,   59.34,   51.14
01/06/2013 02:15:00,   53.61,   58.02,   46.57,   56.03,   60.20,   50.00
01/06/2013 02:20:00,   52.26,   55.86,   46.19,   54.34,   57.69,   48.96
01/06/2013 02:25:00,   52.74,   57.69,   47.09,   55.08,   59.32,   50.02
01/06/2013 02:30:00,   49.76,   54.75,   44.18,   52.14,   56.24,   47.39
01/06/2013 02:35:00,   52.76,   57.11,   46.90,   54.94,   59.43,   49.94
01/06/2013 02:40:00,   51.85,   57.20,   45.57,   54.45,   59.46,   48.87
01/06/2013 02:45:00,   53.02,   57.77,   45.57,   55.48,   59.81,   48.73
01/06/2013 02:50:00,   49.60,   54.28,   45.43,   52.37,   56.49,   48.71
01/06/2013 02:55:00,   51.51,   56.07,   45.05,   53.66,   57.79,   48.53
01/06/2013 03:00:00,   49.32,   54.45,   45.46,   52.07,   56.19,   49.05
01/06/2013 03:05:00,   51.34,   55.63,   47.10,   53.98,   57.26,   50.40
01/06/2013 03:10:00,   50.82,   54.90,   46.54,   53.81,   57.72,   50.02
01/06/2013 03:15:00,   52.58,   57.24,   46.48,   55.49,   60.22,   49.55
01/06/2013 03:20:00,   49.81,   55.48,   44.75,   52.11,   56.93,   48.17
01/06/2013 03:25:00,   47.77,   49.68,   44.56,   50.82,   53.74,   47.82
01/06/2013 03:30:00,   51.45,   56.08,   45.97,   55.03,   60.02,   49.29
01/06/2013 03:35:00,   50.86,   54.89,   45.23,   53.19,   56.99,   48.36
01/06/2013 03:40:00,   52.52,   56.36,   47.33,   54.70,   58.33,   49.99
01/06/2013 03:45:00,   53.58,   58.50,   47.35,   55.46,   59.49,   50.64
01/06/2013 03:50:00,   50.39,   54.26,   45.57,   52.36,   55.60,   48.85
01/06/2013 03:55:00,   53.47,   58.42,   46.71,   55.22,   59.29,   49.39
01/06/2013 04:00:00,   52.28,   56.63,   46.79,   54.44,   59.07,   49.59
01/06/2013 04:05:00,   52.06,   56.48,   46.58,   53.92,   57.83,   49.45
01/06/2013 04:10:00,   51.60,   55.38,   46.07,   53.44,   57.11,   49.35
01/06/2013 04:15:00,   50.98,   54.63,   46.91,   53.19,   56.55,   49.92
01/06/2013 04:20:00,   50.80,   54.46,   45.82,   52.85,   56.48,   48.58
01/06/2013 04:25:00,   51.80,   56.10,   46.03,   53.31,   57.46,   47.84
01/06/2013 04:30:00,   54.12,   59.19,   47.10,   55.33,   59.69,   49.33
01/06/2013 04:35:00,   54.14,   58.76,   46.65,   56.05,   60.53,   49.38
01/06/2013 04:40:00,   52.79,   56.47,   45.73,   54.62,   58.66,   49.09
01/06/2013 04:45:00,   49.52,   54.17,   44.43,   51.55,   55.54,   47.40
01/06/2013 04:50:00,   49.30,   53.86,   44.57,   51.47,   56.03,   47.70
01/06/2013 04:55:00,   49.97,   55.60,   44.44,   51.91,   57.07,   47.08
01/06/2013 05:00:00,   50.53,   55.64,   44.54,   52.91,   57.69,   47.46
01/06/2013 05:05:00,   49.96,   53.81,   45.70,   52.29,   55.73,   48.64
01/06/2013 05:10:00,   54.89,   59.74,   46.53,   55.93,   60.38,   48.95
01/06/2013 05:15:00,   53.08,   58.39,   44.96,   54.01,   58.91,   48.13
01/06/2013 05:20:00,   54.56,   59.49,   46.27,   55.30,   59.87,   48.25
01/06/2013 05:25:00,   51.77,   57.74,   45.00,   52.81,   57.70,   48.22
01/06/2013 05:30:00,   49.18,   54.34,   44.34,   51.15,   54.99,   47.34
01/06/2013 05:35:00,   51.27,   56.68,   43.80,   52.88,   57.96,   47.03
01/06/2013 05:40:00,   51.04,   57.60,   43.54,   52.70,   58.68,   46.83
01/06/2013 05:45:00,   52.58,   57.71,   43.41,   54.70,   59.84,   46.66
01/06/2013 05:50:00,   51.00,   56.76,   44.01,   52.66,   57.88,   47.46
01/06/2013 05:55:00,   50.12,   55.11,   43.03,   51.53,   56.01,   46.61
01/06/2013 06:00:00,   50.22,   54.47,   45.12,   53.90,   58.30,   48.50
01/06/2013 06:05:00,   48.07,   52.24,   42.51,   51.03,   54.91,   45.79
01/06/2013 06:10:00,   52.58,   57.44,   45.31,   54.23,   58.57,   48.41
01/06/2013 06:15:00,   52.75,   59.30,   45.30,   57.12,   64.33,   49.50
01/06/2013 06:20:00,   53.11,   57.64,   46.35,   56.91,   62.07,   49.92
01/06/2013 06:25:00,   51.13,   56.79,   44.84,   53.43,   57.98,   48.51
01/06/2013 06:30:00,   49.76,   54.77,   43.86,   52.70,   57.04,   47.43
01/06/2013 06:35:00,   51.35,   56.57,   45.34,   54.98,   60.89,   49.18
01/06/2013 06:40:00,   52.78,   58.70,   45.60,   59.12,   65.51,   49.94
01/06/2013 06:45:00,   51.34,   56.45,   46.24,   54.63,   59.55,   50.30
01/06/2013 06:50:00,   52.89,   58.06,   46.94,   56.59,   61.97,   50.84
01/06/2013 06:55:00,   55.51,   62.22,   46.73,   58.66,   65.52,   50.06
01/06/2013 07:00:00,   51.81,   55.65,   46.65,   55.10,   59.12,   50.76
01/06/2013 07:05:00,   54.18,   58.58,   46.27,   58.51,   62.70,   49.97
01/06/2013 07:10:00,   54.76,   60.20,   48.44,   60.94,   66.92,   53.28
01/06/2013 07:15:00,   52.78,   57.40,   47.21,   56.16,   60.47,   51.41
01/06/2013 07:20:00,   55.34,   58.60,   48.24,   59.60,   63.91,   52.36
01/06/2013 07:25:00,   52.42,   56.53,   46.77,   57.32,   62.29,   50.86
01/06/2013 07:30:00,   52.62,   57.44,   47.59,   56.61,   60.63,   51.87
01/06/2013 07:35:00,   54.37,   59.26,   47.54,   57.77,   61.70,   52.19
01/06/2013 07:40:00,   51.34,   56.38,   45.26,   54.76,   59.82,   49.07
01/06/2013 07:45:00,   54.52,   58.62,   48.80,   58.20,   61.52,   52.01
01/06/2013 07:50:00,   54.77,   59.95,   48.74,   58.80,   63.02,   52.81
01/06/2013 07:55:00,   55.19,   60.00,   48.18,   58.44,   64.01,   50.67
01/06/2013 08:00:00,   54.58,   59.20,   48.75,   58.65,   63.45,   52.43
01/06/2013 08:05:00,   55.23,   59.66,   49.18,   59.11,   63.38,   52.11
01/06/2013 08:10:00,   52.79,   56.69,   47.60,   55.19,   59.00,   50.17
01/06/2013 08:15:00,   53.50,   58.52,   47.69,   56.27,   62.33,   50.11
01/06/2013 08:20:00,   54.27,   57.61,   49.11,   56.56,   60.59,   51.14
01/06/2013 08:25:00,   54.58,   58.66,   48.92,   57.07,   60.74,   51.31
01/06/2013 08:30:00,   55.85,   58.72,   51.80,   57.94,   61.08,   53.96
01/06/2013 08:35:00,   56.16,   58.88,   52.65,   59.34,   62.24,   53.59
01/06/2013 08:40:00,   56.47,   59.68,   52.14,   59.07,   62.35,   54.13
01/06/2013 08:45:00,   54.82,   58.55,   49.87,   57.71,   61.36,   52.53
01/06/2013 08:50:00,   55.19,   58.59,   49.97,   59.10,   63.04,   52.82
01/06/2013 08:55:00,   55.05,   59.13,   47.24,   57.77,   61.85,   50.27
01/06/2013 09:00:00,   55.22,   59.89,   49.10,   59.42,   64.61,   51.98
01/06/2013 09:05:00,   54.94,   58.79,   49.37,   58.45,   61.83,   52.30
01/06/2013 09:10:00,   54.51,   58.33,   48.98,   57.39,   60.55,   51.52
01/06/2013 09:15:00,   54.71,   58.56,   48.77,   56.70,   60.48,   51.49
01/06/2013 09:20:00,   57.70,   60.64,   51.34,   61.63,   65.68,   54.95
01/06/2013 09:25:00,   56.12,   59.76,   50.28,   59.86,   63.05,   54.27
01/06/2013 09:30:00,   55.71,   59.70,   49.11,   60.13,   65.16,   52.58
01/06/2013 09:35:00,   57.39,   60.26,   51.17,   60.74,   65.17,   54.43
01/06/2013 09:40:00,   56.59,   59.42,   52.27,   60.63,   64.19,   55.43
01/06/2013 09:45:00,   56.93,   60.61,   50.23,   60.10,   63.39,   53.97
01/06/2013 09:50:00,   55.61,   59.55,   49.67,   58.82,   61.71,   53.25
01/06/2013 09:55:00,   56.43,   59.66,   50.99,   60.15,   63.02,   54.21
01/06/2013 10:00:00,   58.75,   61.08,   53.03,   60.93,   63.61,   56.01
01/06/2013 10:05:00,   61.12,   65.09,   53.12,   63.53,   66.41,   55.88
01/06/2013 10:10:00,   56.55,   59.91,   51.62,   59.28,   62.07,   55.21
01/06/2013 10:15:00,   57.25,   59.86,   51.58,   60.54,   63.22,   55.39
01/06/2013 10:20:00,   56.89,   59.43,   51.36,   60.03,   63.05,   53.81
01/06/2013 10:25:00,   57.51,   60.27,   53.50,   62.27,   66.25,   56.96
01/06/2013 10:30:00,   57.00,   59.62,   52.73,   60.52,   63.03,   56.27
01/06/2013 10:35:00,   56.69,   59.77,   51.70,   60.52,   63.74,   55.29
01/06/2013 10:40:00,   56.65,   59.50,   52.01,   59.35,   62.00,   54.83
01/06/2013 10:45:00,   56.57,   59.74,   51.68,   59.65,   62.34,   55.24
01/06/2013 10:50:00,   56.13,   59.29,   50.89,   59.52,   62.56,   54.44
01/06/2013 10:55:00,   56.73,   59.42,   51.80,   60.26,   63.14,   55.21
01/06/2013 11:00:00,   57.35,   60.40,   52.59,   60.55,   62.67,   55.87
01/06/2013 11:05:00,   57.10,   59.95,   52.89,   60.97,   63.77,   57.15
01/06/2013 11:10:00,   56.96,   59.63,   52.51,   60.14,   62.38,   55.81
01/06/2013 11:15:00,   57.31,   59.66,   53.37,   61.22,   64.19,   57.16
01/06/2013 11:20:00,   57.27,   60.11,   52.66,   62.30,   65.00,   58.13
01/06/2013 11:25:00,   56.67,   59.20,   52.37,   61.11,   63.68,   56.60
01/06/2013 11:30:00,   57.33,   59.73,   52.08,   61.90,   64.37,   57.70
01/06/2013 11:35:00,   56.57,   59.05,   52.41,   60.86,   62.67,   57.50
01/06/2013 11:40:00,   56.55,   59.10,   52.99,   60.21,   62.42,   56.52
01/06/2013 11:45:00,   57.87,   60.19,   53.69,   61.43,   63.69,   57.13
