# noise_analysis run from DCC-NOISE-001003 at Mon Jun  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/06/2013 00:05:00,   51.53,   56.76,   43.20,   54.52,   59.54,   47.47
03/06/2013 00:10:00,   49.83,   54.25,   43.63,   52.05,   56.43,   46.14
03/06/2013 00:15:00,   52.32,   57.46,   44.07,   54.91,   59.51,   46.72
03/06/2013 00:20:00,   53.84,   58.34,   47.40,   56.75,   60.99,   51.12
03/06/2013 00:25:00,   51.94,   57.77,   43.31,   54.11,   59.16,   46.33
03/06/2013 00:30:00,   52.46,   57.93,   42.94,   54.82,   59.96,   46.33
03/06/2013 00:35:00,   52.58,   57.61,   44.15,   54.90,   59.47,   47.27
03/06/2013 00:40:00,   51.63,   56.76,   44.61,   54.46,   58.90,   47.52
03/06/2013 00:45:00,   49.67,   55.33,   40.50,   52.54,   57.12,   44.05
03/06/2013 00:50:00,   52.82,   58.65,   42.53,   56.38,   61.62,   47.42
03/06/2013 00:55:00,   51.23,   56.50,   42.53,   53.35,   58.15,   45.55
03/06/2013 01:00:00,   50.67,   56.30,   41.13,   52.52,   57.82,   44.34
03/06/2013 01:05:00,   50.44,   56.61,   41.97,   52.38,   58.33,   44.35
03/06/2013 01:10:00,   52.26,   56.87,   44.43,   54.78,   59.30,   47.30
03/06/2013 01:15:00,   51.59,   57.35,   41.17,   53.64,   58.73,   45.32
03/06/2013 01:20:00,   51.19,   57.78,   40.69,   53.81,   59.20,   43.10
03/06/2013 01:25:00,   51.22,   55.77,   42.95,   53.63,   58.36,   45.84
03/06/2013 01:30:00,   51.88,   56.41,   44.56,   54.54,   59.13,   46.67
03/06/2013 01:35:00,   52.58,   57.46,   42.56,   54.30,   58.91,   44.83
03/06/2013 01:40:00,   52.34,   57.74,   43.26,   54.70,   59.66,   46.18
03/06/2013 01:45:00,   52.08,   57.60,   42.13,   54.07,   59.39,   44.73
03/06/2013 01:50:00,   51.04,   56.39,   42.26,   53.70,   58.55,   45.53
03/06/2013 01:55:00,   52.37,   57.62,   43.72,   54.74,   59.75,   46.64
03/06/2013 02:00:00,   51.59,   55.82,   43.75,   55.05,   59.11,   46.80
03/06/2013 02:05:00,   50.93,   56.93,   42.35,   53.34,   59.15,   44.68
03/06/2013 02:10:00,   50.21,   54.45,   39.17,   52.88,   56.98,   41.74
03/06/2013 02:15:00,   51.92,   57.80,   41.04,   53.88,   59.90,   42.88
03/06/2013 02:20:00,   52.42,   58.07,   42.94,   54.57,   59.58,   45.18
03/06/2013 02:25:00,   50.46,   55.80,   41.14,   52.33,   57.38,   43.55
03/06/2013 02:30:00,   51.79,   58.15,   41.85,   53.96,   59.45,   44.09
03/06/2013 02:35:00,   52.76,   58.67,   42.25,   56.88,   62.76,   44.25
03/06/2013 02:40:00,   51.00,   56.80,   42.37,   53.40,   58.94,   44.81
03/06/2013 02:45:00,   51.86,   56.68,   41.88,   54.09,   58.80,   44.38
03/06/2013 02:50:00,   46.79,   52.39,   36.34,   48.73,   54.09,   39.59
03/06/2013 02:55:00,   49.47,   56.31,   37.50,   51.51,   57.65,   40.62
03/06/2013 03:00:00,   47.39,   54.84,   35.97,   49.79,   57.46,   39.30
03/06/2013 03:05:00,   47.55,   54.47,   37.22,   50.46,   56.18,   40.71
03/06/2013 03:10:00,   48.50,   55.02,   37.96,   51.02,   57.23,   40.81
03/06/2013 03:15:00,   48.94,   55.12,   39.05,   50.85,   57.05,   41.74
03/06/2013 03:20:00,   47.28,   53.98,   37.08,   49.88,   56.14,   40.87
03/06/2013 03:25:00,   48.51,   55.50,   36.97,   50.95,   57.73,   39.79
03/06/2013 03:30:00,   47.25,   54.78,   36.17,   49.30,   56.66,   40.07
03/06/2013 03:35:00,   51.06,   56.51,   40.89,   53.26,   58.81,   43.59
03/06/2013 03:40:00,   51.52,   57.04,   40.68,   53.58,   58.58,   44.64
03/06/2013 03:45:00,   51.98,   58.27,   40.45,   53.27,   59.00,   43.32
03/06/2013 03:50:00,   51.96,   57.55,   40.91,   52.66,   57.63,   43.60
03/06/2013 03:55:00,   53.35,   58.77,   43.62,   54.32,   60.21,   45.91
03/06/2013 04:00:00,   51.20,   57.05,   43.65,   52.74,   58.61,   45.29
03/06/2013 04:05:00,   54.25,   59.38,   44.36,   54.67,   59.27,   45.86
03/06/2013 04:10:00,   53.93,   59.42,   43.47,   54.19,   59.33,   45.28
03/06/2013 04:15:00,   54.51,   60.46,   44.13,   54.75,   60.16,   45.75
03/06/2013 04:20:00,   53.25,   59.31,   42.99,   53.14,   58.44,   44.42
03/06/2013 04:25:00,   54.69,   59.64,   45.89,   54.98,   59.62,   46.89
03/06/2013 04:30:00,   52.75,   59.06,   41.57,   52.80,   58.61,   44.14
03/06/2013 04:35:00,   54.57,   60.42,   43.20,   54.63,   59.89,   45.16
03/06/2013 04:40:00,   48.98,   55.08,   41.35,   50.37,   56.56,   43.82
03/06/2013 04:45:00,   50.36,   56.62,   42.73,   51.85,   58.33,   44.53
03/06/2013 04:50:00,   50.81,   59.13,   41.17,   52.96,   60.71,   43.75
03/06/2013 04:55:00,   49.83,   56.16,   41.41,   50.70,   57.51,   43.22
03/06/2013 05:00:00,   48.68,   53.25,   41.73,   50.59,   56.10,   43.80
03/06/2013 05:05:00,   47.23,   50.31,   42.14,   51.59,   57.73,   44.24
03/06/2013 05:10:00,   51.38,   57.24,   42.29,   52.15,   58.10,   44.27
03/06/2013 05:15:00,   52.44,   58.50,   40.92,   52.54,   58.69,   43.10
03/06/2013 05:20:00,   49.51,   55.06,   41.19,   50.31,   55.97,   42.59
03/06/2013 05:25:00,   49.56,   55.08,   39.75,   50.71,   56.56,   42.98
03/06/2013 05:30:00,   50.65,   56.99,   38.66,   51.16,   57.43,   41.08
03/06/2013 05:35:00,   48.91,   55.03,   41.06,   50.99,   56.80,   42.22
03/06/2013 05:40:00,   49.80,   55.90,   40.90,   51.16,   57.08,   42.83
03/06/2013 05:45:00,   49.64,   56.01,   38.97,   51.59,   57.43,   42.07
03/06/2013 05:50:00,   46.20,   51.67,   37.86,   47.40,   52.01,   40.66
03/06/2013 05:55:00,   49.48,   55.41,   39.93,   50.48,   56.30,   42.05
03/06/2013 06:00:00,   49.02,   55.69,   40.04,   51.15,   58.44,   42.64
03/06/2013 06:05:00,   47.76,   54.93,   37.75,   49.93,   57.22,   41.92
03/06/2013 06:10:00,   46.81,   52.45,   37.73,   49.30,   55.11,   41.79
03/06/2013 06:15:00,   49.39,   57.07,   37.93,   50.94,   58.09,   41.13
