# noise_analysis run from DCC-NOISE-001003 at Tue Jun  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/06/2013 00:05:00,   51.28,   56.39,   43.44,   53.87,   58.89,   47.00
04/06/2013 00:10:00,   51.88,   58.17,   40.50,   54.01,   59.42,   45.24
04/06/2013 00:15:00,   50.88,   56.22,   40.83,   53.53,   58.34,   43.75
04/06/2013 00:20:00,   51.80,   57.64,   41.75,   54.15,   59.07,   45.47
04/06/2013 00:25:00,   50.43,   57.36,   39.49,   52.35,   59.48,   42.83
04/06/2013 00:30:00,   52.05,   58.84,   41.05,   53.66,   59.88,   44.06
04/06/2013 00:35:00,   50.36,   56.98,   39.35,   52.57,   58.64,   43.48
04/06/2013 00:40:00,   50.63,   57.05,   41.01,   52.74,   58.49,   44.48
04/06/2013 00:45:00,   51.77,   57.14,   40.93,   54.13,   58.73,   44.27
04/06/2013 00:50:00,   50.07,   55.98,   39.52,   52.24,   57.62,   43.06
04/06/2013 00:55:00,   50.51,   55.94,   40.71,   52.69,   57.28,   44.18
04/06/2013 01:00:00,   48.96,   56.42,   38.43,   51.95,   58.49,   41.81
04/06/2013 01:05:00,   47.20,   54.89,   37.13,   49.69,   56.88,   41.09
04/06/2013 01:10:00,   51.22,   56.77,   38.85,   53.34,   58.21,   42.99
04/06/2013 01:15:00,   52.82,   58.47,   42.05,   55.24,   60.11,   45.20
04/06/2013 01:20:00,   50.42,   55.95,   40.66,   52.84,   58.59,   43.95
04/06/2013 01:25:00,   51.73,   58.40,   41.60,   53.56,   59.73,   44.83
04/06/2013 01:30:00,   47.49,   54.09,   38.67,   50.06,   56.03,   42.36
04/06/2013 01:35:00,   48.47,   55.54,   38.63,   50.99,   57.35,   42.64
04/06/2013 01:40:00,   49.41,   57.30,   37.91,   51.27,   58.44,   41.94
04/06/2013 01:45:00,   49.80,   56.12,   39.89,   52.40,   57.54,   43.97
04/06/2013 01:50:00,   47.46,   54.82,   37.17,   49.71,   56.20,   40.49
04/06/2013 01:55:00,   47.12,   55.35,   37.03,   49.30,   56.33,   41.28
04/06/2013 02:00:00,   48.26,   55.51,   37.07,   50.18,   56.78,   40.74
04/06/2013 02:05:00,   47.18,   55.29,   36.40,   49.16,   56.72,   40.80
04/06/2013 02:10:00,   44.89,   52.73,   35.24,   47.16,   54.30,   40.30
04/06/2013 02:15:00,   46.17,   53.74,   35.87,   48.45,   55.16,   40.28
04/06/2013 02:20:00,   46.32,   55.10,   35.59,   48.35,   56.13,   40.55
04/06/2013 02:25:00,   46.32,   54.01,   37.17,   48.61,   55.65,   41.49
04/06/2013 02:30:00,   45.35,   53.07,   36.01,   47.62,   53.79,   40.87
04/06/2013 02:35:00,   43.44,   49.00,   35.05,   46.51,   52.39,   40.64
04/06/2013 02:40:00,   47.28,   56.66,   36.91,   49.00,   56.94,   41.12
04/06/2013 02:45:00,   45.73,   52.19,   36.07,   48.53,   54.48,   40.66
04/06/2013 02:50:00,   42.75,   48.02,   35.75,   45.81,   50.40,   40.20
04/06/2013 02:55:00,   44.91,   53.06,   37.01,   47.47,   54.59,   40.96
04/06/2013 03:00:00,   45.46,   52.80,   35.83,   48.51,   56.16,   40.56
04/06/2013 03:05:00,   45.82,   53.54,   37.43,   48.38,   56.36,   41.04
04/06/2013 03:10:00,   43.50,   50.01,   36.04,   46.66,   52.32,   40.87
04/06/2013 03:15:00,   40.00,   43.93,   35.37,   43.99,   46.84,   39.97
04/06/2013 03:20:00,   41.87,   45.55,   35.13,   44.60,   47.76,   39.52
04/06/2013 03:25:00,   43.32,   48.76,   34.05,   45.60,   50.34,   38.74
04/06/2013 03:30:00,   41.90,   48.85,   35.23,   44.97,   51.16,   39.14
04/06/2013 03:35:00,   44.65,   52.33,   34.95,   48.06,   54.95,   39.17
04/06/2013 03:40:00,   43.29,   51.18,   33.90,   45.43,   52.39,   38.10
04/06/2013 03:45:00,   46.61,   54.88,   35.50,   48.90,   56.65,   39.58
04/06/2013 03:50:00,   46.03,   52.40,   36.56,   48.00,   53.58,   40.44
04/06/2013 03:55:00,   51.14,   56.04,   40.25,   51.66,   56.73,   42.92
04/06/2013 04:00:00,   51.82,   57.99,   40.41,   51.78,   57.97,   42.98
04/06/2013 04:05:00,   52.82,   59.58,   40.29,   52.39,   58.37,   42.36
04/06/2013 04:10:00,   53.58,   59.57,   41.09,   53.49,   59.49,   43.30
04/06/2013 04:15:00,   52.47,   59.45,   39.82,   51.97,   58.13,   43.01
04/06/2013 04:20:00,   49.14,   56.12,   40.21,   49.25,   55.36,   43.50
04/06/2013 04:25:00,   52.35,   58.60,   41.19,   52.01,   57.59,   43.67
04/06/2013 04:30:00,   51.63,   59.21,   40.57,   52.91,   60.20,   43.13
04/06/2013 04:35:00,   49.61,   54.55,   41.12,   51.95,   58.07,   44.51
04/06/2013 04:40:00,   51.33,   58.03,   41.32,   51.76,   57.55,   44.02
04/06/2013 04:45:00,   49.58,   57.79,   40.36,   50.29,   57.22,   43.48
04/06/2013 04:50:00,   47.54,   52.61,   40.66,   48.94,   53.34,   43.54
04/06/2013 04:55:00,   48.77,   55.43,   40.43,   50.99,   57.41,   43.81
04/06/2013 05:00:00,   52.43,   57.20,   43.80,   52.60,   57.48,   46.53
04/06/2013 05:05:00,   50.48,   54.12,   42.49,   52.30,   56.69,   45.15
04/06/2013 05:10:00,   49.35,   54.92,   42.48,   50.43,   55.29,   45.22
04/06/2013 05:15:00,   49.10,   53.99,   43.23,   51.12,   55.70,   46.63
04/06/2013 05:20:00,   49.69,   54.96,   42.40,   51.42,   56.49,   45.85
04/06/2013 05:25:00,   50.52,   55.30,   43.60,   52.99,   58.11,   46.64
04/06/2013 05:30:00,   50.77,   55.15,   44.44,   52.67,   56.34,   47.77
04/06/2013 05:35:00,   51.41,   55.46,   43.71,   54.18,   57.86,   47.89
04/06/2013 05:40:00,   53.75,   60.73,   44.40,   55.40,   61.29,   48.00
04/06/2013 05:45:00,   52.66,   58.31,   44.49,   54.56,   59.41,   48.25
04/06/2013 05:50:00,   52.49,   58.23,   44.67,   54.74,   60.05,   48.41
04/06/2013 05:55:00,   51.53,   57.59,   43.48,   53.65,   58.94,   47.36
04/06/2013 06:00:00,   50.14,   56.28,   42.32,   52.47,   57.09,   46.97
04/06/2013 06:05:00,   49.14,   54.64,   42.46,   52.90,   58.00,   47.13
04/06/2013 06:10:00,   50.45,   57.18,   43.73,   53.41,   58.80,   48.20
04/06/2013 06:15:00,   51.76,   57.64,   43.60,   54.26,   59.83,   47.08
