# noise_analysis run from DCC-NOISE-001003 at Wed Jun  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/06/2013 00:05:00,   50.60,   56.48,   39.49,   53.40,   58.86,   43.16
05/06/2013 00:10:00,   52.08,   57.44,   40.49,   55.06,   60.61,   44.59
05/06/2013 00:15:00,   51.73,   57.58,   40.60,   53.86,   58.86,   44.50
05/06/2013 00:20:00,   48.36,   54.86,   39.92,   51.00,   56.45,   43.99
05/06/2013 00:25:00,   47.79,   52.70,   38.46,   51.80,   56.93,   44.03
05/06/2013 00:30:00,   51.19,   57.50,   40.16,   53.41,   59.14,   44.80
05/06/2013 00:35:00,   48.68,   55.15,   39.65,   51.10,   56.66,   43.67
05/06/2013 00:40:00,   49.72,   56.09,   39.05,   52.67,   58.80,   44.15
05/06/2013 00:45:00,   50.92,   58.08,   39.77,   52.42,   58.64,   43.37
05/06/2013 00:50:00,   49.65,   55.81,   37.97,   51.43,   57.18,   42.96
05/06/2013 00:55:00,   47.21,   53.36,   38.91,   49.65,   54.83,   43.12
05/06/2013 01:00:00,   48.83,   55.64,   38.28,   51.26,   58.46,   42.76
05/06/2013 01:05:00,   44.20,   51.19,   36.06,   48.19,   55.05,   41.71
05/06/2013 01:10:00,   46.24,   53.92,   37.36,   49.19,   56.05,   42.23
05/06/2013 01:15:00,   45.98,   52.81,   36.16,   48.88,   54.81,   42.20
05/06/2013 01:20:00,   46.54,   52.44,   37.70,   49.30,   54.90,   42.58
05/06/2013 01:25:00,   47.81,   53.70,   38.42,   50.81,   56.41,   43.48
05/06/2013 01:30:00,   45.52,   53.24,   37.36,   48.56,   55.37,   42.61
05/06/2013 01:35:00,   47.57,   54.88,   37.66,   50.18,   56.48,   43.02
05/06/2013 01:40:00,   44.46,   50.83,   35.66,   47.50,   52.60,   41.86
05/06/2013 01:45:00,   44.25,   51.80,   35.75,   47.36,   54.02,   41.65
05/06/2013 01:50:00,   47.06,   54.96,   35.88,   49.18,   55.94,   41.76
05/06/2013 01:55:00,   44.00,   48.62,   36.55,   46.68,   50.07,   41.69
05/06/2013 02:00:00,   44.68,   50.68,   36.86,   47.33,   52.65,   42.04
05/06/2013 02:05:00,   45.16,   51.24,   37.90,   47.75,   53.00,   42.76
05/06/2013 02:10:00,   47.10,   53.63,   37.06,   49.09,   54.52,   41.81
05/06/2013 02:15:00,   43.81,   48.52,   34.89,   46.60,   51.43,   40.28
05/06/2013 02:20:00,   42.55,   49.12,   35.19,   45.71,   51.37,   40.84
