# noise_analysis run from DCC-NOISE-001003 at Thu Jun  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/06/2013 00:05:00,   49.87,   56.02,   39.70,   52.64,   58.37,   43.32
06/06/2013 00:10:00,   47.56,   54.17,   38.91,   49.73,   55.29,   41.85
06/06/2013 00:15:00,   50.30,   57.23,   38.07,   53.34,   59.87,   41.84
06/06/2013 00:20:00,   49.24,   55.33,   38.27,   51.36,   57.18,   41.05
06/06/2013 00:25:00,   46.74,   53.91,   36.50,   48.81,   54.74,   40.57
06/06/2013 00:30:00,   49.38,   56.49,   37.45,   51.29,   58.64,   41.08
06/06/2013 00:35:00,   47.25,   55.18,   37.20,   49.14,   56.50,   40.24
06/06/2013 00:40:00,   49.58,   55.80,   38.19,   52.05,   58.07,   40.79
06/06/2013 00:45:00,   49.78,   56.74,   38.02,   51.54,   58.00,   41.55
06/06/2013 00:50:00,   50.44,   57.11,   38.55,   52.60,   58.76,   41.15
06/06/2013 00:55:00,   47.45,   55.74,   35.55,   48.76,   56.71,   38.39
06/06/2013 01:00:00,   46.53,   54.22,   35.45,   51.86,   57.34,   38.87
06/06/2013 01:05:00,   48.78,   55.60,   38.75,   50.84,   56.83,   41.71
06/06/2013 01:10:00,   47.40,   54.97,   34.78,   49.39,   56.33,   38.75
06/06/2013 01:15:00,   48.63,   54.78,   37.11,   50.30,   55.80,   40.13
06/06/2013 01:20:00,   44.44,   51.08,   34.79,   46.60,   53.30,   37.68
06/06/2013 01:25:00,   48.22,   56.93,   35.38,   49.74,   57.46,   38.93
06/06/2013 01:30:00,   47.73,   55.80,   34.72,   49.63,   57.16,   37.76
06/06/2013 01:35:00,   47.19,   55.25,   36.49,   49.15,   56.33,   40.77
06/06/2013 01:40:00,   46.35,   52.90,   37.10,   48.46,   54.11,   40.58
06/06/2013 01:45:00,   47.72,   55.04,   35.24,   49.17,   55.84,   39.33
06/06/2013 01:50:00,   46.14,   54.48,   33.43,   48.11,   55.85,   38.96
06/06/2013 01:55:00,   45.93,   54.26,   35.20,   48.35,   56.51,   39.37
06/06/2013 02:00:00,   44.89,   51.81,   34.02,   47.58,   54.23,   39.26
06/06/2013 02:05:00,   44.95,   52.09,   34.48,   47.42,   54.07,   39.78
06/06/2013 02:10:00,   43.03,   52.00,   34.05,   45.81,   53.29,   39.31
06/06/2013 02:15:00,   44.70,   51.91,   34.48,   47.19,   53.54,   39.07
06/06/2013 02:20:00,   43.38,   51.11,   33.57,   45.85,   52.72,   39.38
06/06/2013 02:25:00,   43.01,   51.76,   33.14,   45.57,   53.01,   38.44
06/06/2013 02:30:00,   41.86,   49.95,   32.80,   44.88,   51.92,   38.04
06/06/2013 02:35:00,   41.15,   47.23,   34.87,   44.95,   50.39,   39.97
06/06/2013 02:40:00,   40.75,   47.08,   34.10,   43.51,   49.13,   38.45
06/06/2013 02:45:00,   45.69,   54.38,   35.20,   47.86,   55.73,   39.89
06/06/2013 02:50:00,   40.26,   43.80,   34.61,   43.91,   46.84,   39.17
06/06/2013 02:55:00,   41.91,   47.62,   35.43,   44.35,   48.82,   39.47
06/06/2013 03:00:00,   43.52,   47.94,   35.67,   46.40,   51.22,   39.70
06/06/2013 03:05:00,   45.65,   53.75,   35.14,   48.22,   55.53,   39.96
06/06/2013 03:10:00,   45.93,   52.52,   34.92,   48.67,   55.11,   39.42
06/06/2013 03:15:00,   45.01,   53.89,   33.91,   48.15,   55.10,   38.80
06/06/2013 03:20:00,   38.46,   40.23,   34.53,   42.22,   43.90,   39.22
06/06/2013 03:25:00,   45.25,   53.50,   34.43,   47.92,   55.50,   39.22
06/06/2013 03:30:00,   43.55,   50.76,   34.45,   45.71,   52.36,   38.69
06/06/2013 03:35:00,   44.62,   52.63,   36.02,   46.90,   53.91,   40.06
06/06/2013 03:40:00,   46.15,   53.87,   36.34,   49.52,   56.40,   40.33
06/06/2013 03:45:00,   46.62,   53.99,   36.77,   48.68,   56.15,   41.13
06/06/2013 03:50:00,   45.19,   50.21,   36.88,   47.05,   50.19,   41.50
06/06/2013 03:55:00,   45.89,   50.87,   38.12,   47.46,   50.73,   41.54
06/06/2013 04:00:00,   46.29,   52.87,   37.16,   47.52,   53.85,   41.10
06/06/2013 04:05:00,   47.50,   51.77,   39.05,   48.41,   51.52,   42.13
06/06/2013 04:10:00,   47.98,   52.56,   39.90,   49.06,   52.84,   43.12
06/06/2013 04:15:00,   47.72,   52.36,   40.70,   49.85,   53.97,   43.44
06/06/2013 04:20:00,   47.61,   51.76,   40.69,   48.31,   51.93,   43.60
06/06/2013 04:25:00,   48.29,   52.62,   39.70,   49.25,   53.01,   43.61
06/06/2013 04:30:00,   47.89,   52.72,   39.46,   49.02,   53.17,   43.23
06/06/2013 04:35:00,   49.14,   52.91,   40.68,   50.30,   54.44,   44.25
06/06/2013 04:40:00,   49.95,   55.34,   42.02,   52.33,   58.94,   44.43
06/06/2013 04:45:00,   51.65,   55.70,   39.74,   52.51,   56.31,   43.37
06/06/2013 04:50:00,   49.81,   56.66,   39.91,   51.61,   56.61,   44.11
06/06/2013 04:55:00,   52.19,   61.04,   40.86,   52.65,   60.56,   44.70
06/06/2013 05:00:00,   51.81,   58.35,   41.25,   52.70,   58.51,   45.32
06/06/2013 05:05:00,   46.81,   52.73,   39.73,   49.26,   54.56,   43.73
06/06/2013 05:10:00,   47.59,   54.51,   40.22,   50.75,   57.02,   44.65
06/06/2013 05:15:00,   49.39,   55.85,   41.67,   51.34,   57.59,   45.32
06/06/2013 05:20:00,   50.67,   56.54,   41.72,   53.76,   59.64,   45.60
06/06/2013 05:25:00,   50.42,   55.34,   43.08,   52.54,   57.17,   46.55
06/06/2013 05:30:00,   46.24,   50.08,   41.06,   48.90,   51.90,   45.00
06/06/2013 05:35:00,   50.66,   56.72,   42.88,   54.12,   60.16,   46.22
06/06/2013 05:40:00,   50.29,   55.07,   44.81,   52.92,   57.22,   48.55
06/06/2013 05:45:00,   51.25,   56.35,   45.02,   53.79,   57.74,   48.84
06/06/2013 05:50:00,   52.95,   57.58,   45.71,   55.19,   59.54,   48.98
06/06/2013 05:55:00,   51.25,   56.81,   44.38,   53.20,   58.05,   47.80
06/06/2013 06:00:00,   51.38,   57.02,   44.32,   53.97,   58.68,   47.48
06/06/2013 06:05:00,   49.80,   54.51,   44.47,   52.89,   57.18,   47.97
06/06/2013 06:10:00,   50.36,   55.56,   44.02,   53.75,   58.47,   48.13
06/06/2013 06:15:00,   51.36,   55.92,   45.53,   54.67,   58.92,   48.65
06/06/2013 06:20:00,   50.75,   55.51,   44.22,   53.99,   59.13,   48.05
06/06/2013 06:25:00,   51.59,   56.46,   45.40,   55.01,   59.83,   48.96
06/06/2013 06:30:00,   52.19,   57.01,   45.59,   55.83,   59.92,   48.97
06/06/2013 06:35:00,   52.57,   57.54,   45.26,   56.26,   61.23,   48.59
06/06/2013 06:40:00,   51.35,   56.92,   44.25,   53.64,   58.35,   48.18
06/06/2013 06:45:00,   53.24,   57.79,   46.65,   56.76,   60.89,   49.97
06/06/2013 06:50:00,   52.28,   57.38,   45.17,   54.84,   58.71,   48.74
06/06/2013 06:55:00,   52.15,   55.54,   45.94,   55.39,   58.51,   50.73
06/06/2013 07:00:00,   53.24,   57.40,   46.39,   57.62,   61.01,   51.90
06/06/2013 07:05:00,   54.10,   58.05,   46.07,   58.16,   61.63,   50.89
06/06/2013 07:10:00,   52.22,   57.03,   45.05,   55.86,   60.46,   49.39
06/06/2013 07:15:00,   52.73,   56.91,   45.18,   56.46,   59.62,   50.34
06/06/2013 07:20:00,   54.24,   58.93,   46.60,   58.78,   63.33,   52.06
06/06/2013 07:25:00,   54.08,   58.53,   45.60,   58.53,   62.45,   51.41
06/06/2013 07:30:00,   53.35,   57.11,   45.43,   57.26,   61.18,   50.35
06/06/2013 07:35:00,   54.04,   59.25,   43.42,   59.16,   62.68,   50.22
06/06/2013 07:40:00,   54.30,   57.94,   46.54,   58.02,   60.91,   51.19
06/06/2013 07:45:00,   55.53,   58.89,   48.62,   59.45,   62.43,   54.66
06/06/2013 07:50:00,   56.28,   59.54,   49.36,   60.10,   63.19,   54.60
06/06/2013 07:55:00,   56.23,   59.74,   49.92,   61.11,   63.44,   57.24
06/06/2013 08:00:00,   54.82,   58.85,   48.64,   60.11,   64.00,   53.53
06/06/2013 08:05:00,   55.91,   59.55,   50.35,   59.74,   63.01,   54.35
06/06/2013 08:10:00,   55.67,   59.67,   48.65,   59.78,   62.99,   53.09
06/06/2013 08:15:00,   55.81,   59.31,   49.78,   59.45,   63.26,   54.33
06/06/2013 08:20:00,   53.95,   57.99,   47.45,   58.39,   61.91,   52.48
06/06/2013 08:25:00,   55.18,   58.91,   49.24,   60.57,   64.31,   55.61
06/06/2013 08:30:00,   55.73,   59.26,   49.45,   60.45,   64.13,   54.68
06/06/2013 08:35:00,   54.76,   58.65,   48.33,   59.60,   63.47,   53.77
06/06/2013 08:40:00,   54.35,   58.61,   47.93,   59.88,   63.49,   54.96
06/06/2013 08:45:00,   54.19,   57.70,   49.50,   60.72,   63.76,   55.85
06/06/2013 08:50:00,   55.29,   58.37,   50.65,   60.48,   63.35,   56.31
06/06/2013 08:55:00,   55.37,   58.63,   49.03,   59.35,   61.62,   54.95
06/06/2013 09:00:00,   58.39,   63.78,   50.44,   62.88,   68.60,   55.59
06/06/2013 09:05:00,   64.92,   69.42,   57.74,   70.53,   75.59,   64.53
06/06/2013 09:10:00,   67.99,   71.17,   64.12,   74.03,   77.95,   68.39
06/06/2013 09:15:00,   69.81,   76.59,   50.21,   75.92,   82.35,   55.45
06/06/2013 09:20:00,   70.99,   78.63,   61.07,   76.96,   84.56,   67.68
06/06/2013 09:25:00,   72.68,   79.57,   59.05,   78.57,   85.39,   63.75
06/06/2013 09:30:00,   60.12,   63.64,   54.11,   66.48,   70.25,   61.93
06/06/2013 09:35:00,   58.48,   60.88,   54.60,   65.03,   68.03,   60.94
06/06/2013 09:40:00,   58.95,   61.67,   54.91,   65.52,   68.40,   60.42
06/06/2013 09:45:00,   59.46,   61.42,   55.89,   66.99,   69.41,   61.82
06/06/2013 09:50:00,   58.80,   60.99,   54.94,   65.84,   68.26,   62.05
06/06/2013 09:55:00,   57.42,   59.73,   51.50,   63.98,   67.16,   55.89
06/06/2013 10:00:00,   55.03,   58.18,   48.19,   60.37,   63.37,   53.55
06/06/2013 10:05:00,   54.61,   58.82,   49.30,   60.21,   63.30,   55.13
06/06/2013 10:10:00,   56.29,   59.63,   50.46,   61.08,   64.79,   55.01
