# noise_analysis run from DCC-NOISE-001003 at Fri Jun  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/06/2013 00:05:00,   50.32,   56.94,   39.45,   54.77,   60.56,   44.68
07/06/2013 00:10:00,   53.34,   58.22,   40.36,   55.42,   61.32,   44.80
07/06/2013 00:15:00,   50.24,   55.77,   42.86,   53.20,   57.31,   46.94
07/06/2013 00:20:00,   50.57,   55.29,   43.64,   53.78,   57.47,   47.56
07/06/2013 00:25:00,   52.83,   58.05,   45.03,   55.20,   59.72,   49.26
07/06/2013 00:30:00,   50.17,   56.21,   41.34,   53.33,   58.58,   45.63
07/06/2013 00:35:00,   49.69,   55.20,   40.76,   52.77,   58.19,   45.26
07/06/2013 00:40:00,   50.30,   56.52,   39.48,   52.75,   57.92,   44.61
07/06/2013 00:45:00,   51.70,   56.42,   42.06,   54.37,   58.50,   46.54
07/06/2013 00:50:00,   49.28,   54.84,   39.25,   51.94,   56.54,   43.76
07/06/2013 00:55:00,   49.37,   55.91,   38.60,   51.83,   57.58,   43.24
07/06/2013 01:00:00,   47.56,   53.46,   37.48,   49.99,   54.98,   42.44
07/06/2013 01:05:00,   50.46,   56.51,   40.73,   52.49,   57.59,   44.57
07/06/2013 01:10:00,   49.06,   56.95,   37.80,   51.59,   58.61,   42.61
07/06/2013 01:15:00,   49.72,   56.19,   40.26,   53.53,   59.62,   44.10
07/06/2013 01:20:00,   48.97,   54.24,   42.19,   51.62,   56.75,   45.78
07/06/2013 01:25:00,   48.62,   53.31,   40.28,   51.33,   55.35,   44.71
07/06/2013 01:30:00,   47.86,   54.36,   39.41,   50.54,   56.26,   43.29
07/06/2013 01:35:00,   47.91,   54.81,   38.49,   50.28,   56.02,   43.35
07/06/2013 01:40:00,   48.61,   53.88,   37.28,   51.44,   56.61,   41.68
07/06/2013 01:45:00,   49.58,   56.72,   37.95,   52.04,   58.28,   43.13
07/06/2013 01:50:00,   48.79,   55.35,   36.48,   50.78,   56.97,   41.64
07/06/2013 01:55:00,   47.85,   55.19,   36.51,   50.69,   56.94,   41.74
07/06/2013 02:00:00,   46.46,   53.98,   36.40,   48.92,   55.53,   41.49
07/06/2013 02:05:00,   47.36,   54.54,   37.26,   49.59,   55.57,   42.44
07/06/2013 02:10:00,   47.68,   55.57,   36.51,   50.15,   57.35,   41.53
07/06/2013 02:15:00,   45.70,   53.83,   35.96,   48.25,   55.01,   41.63
07/06/2013 02:20:00,   47.19,   54.21,   36.54,   49.60,   55.77,   41.91
07/06/2013 02:25:00,   44.61,   51.65,   35.92,   48.04,   54.49,   41.22
07/06/2013 02:30:00,   42.40,   44.98,   35.05,   45.50,   48.14,   40.96
07/06/2013 02:35:00,   46.70,   54.05,   36.82,   48.86,   55.16,   42.17
07/06/2013 02:40:00,   45.63,   51.75,   35.90,   47.71,   52.45,   41.41
07/06/2013 02:45:00,   45.41,   54.54,   34.84,   48.05,   56.03,   41.11
07/06/2013 02:50:00,   44.80,   50.94,   37.37,   47.43,   52.94,   42.15
07/06/2013 02:55:00,   45.16,   51.36,   37.78,   48.82,   54.42,   43.16
07/06/2013 03:00:00,   43.39,   50.40,   36.16,   47.18,   53.52,   41.33
07/06/2013 03:05:00,   45.77,   52.57,   36.43,   48.99,   55.68,   41.85
07/06/2013 03:10:00,   44.58,   52.95,   36.60,   47.66,   54.51,   41.79
07/06/2013 03:15:00,   44.49,   52.34,   35.95,   47.17,   52.83,   41.29
