# noise_analysis run from DCC-NOISE-001003 at Sun Jun  9 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/06/2013 00:05:00,   52.61,   57.60,   43.64,   54.50,   58.99,   46.11
09/06/2013 00:10:00,   52.45,   57.04,   43.38,   56.42,   61.09,   47.24
09/06/2013 00:15:00,   54.77,   60.06,   46.14,   58.15,   64.55,   49.17
09/06/2013 00:20:00,   53.71,   57.76,   43.82,   57.68,   62.77,   48.05
09/06/2013 00:25:00,   53.66,   59.85,   45.23,   57.22,   64.02,   48.04
09/06/2013 00:30:00,   55.42,   58.54,   44.39,   59.01,   62.08,   47.55
09/06/2013 00:35:00,   51.72,   57.40,   40.08,   55.67,   60.43,   43.66
09/06/2013 00:40:00,   51.51,   56.43,   42.37,   53.79,   58.07,   46.41
09/06/2013 00:45:00,   51.85,   57.57,   44.10,   54.24,   59.70,   46.95
09/06/2013 00:50:00,   52.04,   57.97,   41.93,   53.95,   59.26,   45.51
09/06/2013 00:55:00,   50.26,   55.90,   42.01,   53.48,   59.47,   45.62
09/06/2013 01:00:00,   51.87,   57.72,   41.98,   54.59,   59.96,   45.60
09/06/2013 01:05:00,   52.69,   57.75,   42.67,   56.42,   61.43,   46.01
09/06/2013 01:10:00,   52.72,   57.23,   42.35,   55.95,   60.16,   45.48
09/06/2013 01:15:00,   51.06,   57.59,   41.38,   53.93,   60.04,   44.96
09/06/2013 01:20:00,   52.36,   57.34,   42.88,   54.77,   59.25,   46.58
09/06/2013 01:25:00,   50.03,   56.45,   41.33,   52.42,   58.08,   45.43
09/06/2013 01:30:00,   51.16,   57.22,   41.11,   53.36,   58.96,   44.93
09/06/2013 01:35:00,   50.48,   57.14,   41.55,   53.50,   59.57,   44.59
09/06/2013 01:40:00,   50.12,   55.75,   42.40,   52.68,   57.81,   45.54
09/06/2013 01:45:00,   53.52,   57.48,   43.14,   57.44,   61.83,   47.34
