# noise_analysis run from DCC-NOISE-001003 at Mon Jun 10 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/06/2013 00:05:00,   52.06,   56.98,   44.86,   55.72,   59.78,   47.88
10/06/2013 00:10:00,   51.82,   57.28,   42.15,   54.33,   59.70,   45.64
10/06/2013 00:15:00,   51.76,   57.61,   41.27,   54.35,   59.06,   44.87
10/06/2013 00:20:00,   48.39,   55.49,   40.50,   51.24,   56.84,   44.12
10/06/2013 00:25:00,   50.43,   55.05,   42.54,   53.22,   57.33,   46.44
10/06/2013 00:30:00,   51.12,   55.97,   42.15,   54.06,   58.22,   46.27
10/06/2013 00:35:00,   49.36,   54.79,   40.99,   51.91,   56.97,   44.79
10/06/2013 00:40:00,   49.14,   54.69,   41.45,   51.60,   56.25,   45.55
10/06/2013 00:45:00,   49.73,   55.89,   42.50,   52.85,   57.92,   46.81
10/06/2013 00:50:00,   48.56,   56.11,   39.94,   51.16,   56.77,   44.62
10/06/2013 00:55:00,   50.49,   55.23,   41.16,   53.11,   57.07,   45.70
10/06/2013 01:00:00,   49.97,   55.06,   40.97,   52.91,   57.35,   45.83
10/06/2013 01:05:00,   47.46,   54.31,   39.48,   50.31,   56.63,   44.21
10/06/2013 01:10:00,   48.41,   54.48,   40.26,   51.02,   56.82,   44.61
10/06/2013 01:15:00,   49.09,   54.53,   42.00,   51.65,   56.36,   46.12
10/06/2013 01:20:00,   47.56,   53.91,   39.77,   50.76,   56.38,   44.77
10/06/2013 01:25:00,   51.19,   57.66,   39.07,   54.45,   60.25,   45.46
10/06/2013 01:30:00,   49.72,   56.22,   40.48,   52.71,   58.37,   46.18
10/06/2013 01:35:00,   48.91,   54.85,   40.05,   51.94,   57.00,   45.03
10/06/2013 01:40:00,   47.72,   54.27,   38.25,   50.32,   56.20,   43.17
10/06/2013 01:45:00,   46.93,   53.87,   37.36,   50.15,   56.01,   43.11
10/06/2013 01:50:00,   44.80,   50.82,   36.79,   48.96,   55.23,   42.08
10/06/2013 01:55:00,   45.29,   51.34,   37.14,   48.33,   53.59,   41.41
10/06/2013 02:00:00,   44.81,   52.58,   36.20,   47.29,   53.99,   40.67
10/06/2013 02:05:00,   46.77,   54.71,   38.28,   49.22,   56.04,   42.97
10/06/2013 02:10:00,   43.71,   52.35,   35.66,   47.18,   54.10,   42.46
10/06/2013 02:15:00,   45.84,   51.80,   38.66,   48.98,   53.88,   44.29
10/06/2013 02:20:00,   44.48,   51.49,   38.26,   47.73,   52.53,   43.93
10/06/2013 02:25:00,   44.69,   50.21,   36.42,   47.20,   52.12,   41.15
10/06/2013 02:30:00,   42.49,   49.47,   37.26,   45.69,   51.14,   41.89
10/06/2013 02:35:00,   45.52,   52.85,   36.64,   48.03,   53.88,   41.23
10/06/2013 02:40:00,   40.92,   43.54,   36.59,   45.11,   47.56,   41.81
10/06/2013 02:45:00,   45.23,   53.20,   38.25,   47.97,   54.35,   42.50
10/06/2013 02:50:00,   42.38,   47.21,   36.62,   46.16,   49.33,   41.82
10/06/2013 02:55:00,   41.14,   45.86,   36.26,   44.79,   47.82,   41.47
10/06/2013 03:00:00,   46.33,   53.84,   36.33,   49.27,   55.61,   41.36
10/06/2013 03:05:00,   46.91,   54.47,   36.29,   49.07,   55.31,   41.09
10/06/2013 03:10:00,   43.98,   49.56,   35.61,   46.50,   51.55,   40.13
10/06/2013 03:15:00,   44.03,   50.48,   38.01,   46.98,   52.88,   42.68
10/06/2013 03:20:00,   44.95,   51.62,   37.70,   48.49,   54.19,   43.03
10/06/2013 03:25:00,   43.35,   47.33,   38.09,   46.65,   49.40,   43.17
10/06/2013 03:30:00,   47.11,   53.41,   39.73,   49.66,   54.82,   44.41
10/06/2013 03:35:00,   45.88,   52.35,   38.36,   48.84,   54.25,   42.99
10/06/2013 03:40:00,   45.12,   50.94,   37.60,   47.81,   53.26,   42.89
10/06/2013 03:45:00,   46.88,   53.46,   39.03,   50.00,   56.37,   43.60
10/06/2013 03:50:00,   48.88,   53.79,   41.12,   50.65,   55.42,   44.38
10/06/2013 03:55:00,   44.97,   49.60,   40.33,   48.66,   51.79,   44.81
10/06/2013 04:00:00,   46.71,   51.62,   40.53,   49.36,   54.07,   44.63
10/06/2013 04:05:00,   47.54,   53.18,   41.01,   49.64,   54.38,   45.15
10/06/2013 04:10:00,   46.31,   50.21,   41.76,   48.27,   50.82,   45.19
10/06/2013 04:15:00,   46.56,   50.99,   41.64,   49.19,   52.55,   45.93
10/06/2013 04:20:00,   45.78,   49.56,   40.73,   48.14,   49.91,   45.19
10/06/2013 04:25:00,   47.19,   51.78,   41.88,   49.02,   51.93,   45.06
10/06/2013 04:30:00,   47.11,   52.26,   40.15,   48.90,   53.20,   44.67
10/06/2013 04:35:00,   47.33,   52.14,   40.98,   48.97,   52.50,   44.90
10/06/2013 04:40:00,   47.06,   53.49,   39.25,   49.99,   55.99,   43.80
10/06/2013 04:45:00,   48.56,   54.45,   40.86,   51.21,   56.20,   45.02
10/06/2013 04:50:00,   46.34,   50.58,   39.32,   50.25,   56.37,   43.79
10/06/2013 04:55:00,   52.29,   60.32,   40.80,   53.55,   59.72,   45.22
10/06/2013 05:00:00,   45.22,   48.42,   41.57,   47.83,   49.57,   45.08
10/06/2013 05:05:00,   45.67,   51.00,   41.41,   48.54,   51.93,   45.20
10/06/2013 05:10:00,   47.64,   52.91,   42.52,   50.37,   54.66,   46.62
10/06/2013 05:15:00,   50.86,   55.77,   45.57,   53.91,   57.81,   49.00
10/06/2013 05:20:00,   49.92,   55.47,   44.67,   52.51,   56.90,   47.62
10/06/2013 05:25:00,   52.94,   57.43,   46.92,   54.28,   57.96,   50.02
10/06/2013 05:30:00,   52.99,   56.88,   45.53,   54.32,   57.22,   49.29
10/06/2013 05:35:00,   50.37,   54.55,   45.93,   53.48,   57.33,   49.61
10/06/2013 05:40:00,   53.07,   57.30,   47.16,   55.48,   58.92,   50.77
10/06/2013 05:45:00,   52.66,   56.84,   48.57,   55.66,   59.21,   51.83
10/06/2013 05:50:00,   51.97,   56.23,   46.76,   54.76,   58.46,   50.51
10/06/2013 05:55:00,   53.20,   56.94,   48.07,   56.03,   59.98,   51.72
10/06/2013 06:00:00,   51.72,   56.27,   46.73,   54.92,   59.10,   50.48
10/06/2013 06:05:00,   51.75,   55.99,   46.08,   55.14,   59.70,   50.61
10/06/2013 06:10:00,   51.18,   57.21,   45.56,   53.73,   58.25,   49.59
10/06/2013 06:15:00,   50.87,   56.40,   46.08,   54.41,   59.59,   50.15
