# noise_analysis run from DCC-NOISE-001003 at Tue Jun 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/06/2013 00:05:00,   54.45,   58.49,   47.43,   56.15,   60.31,   49.42
11/06/2013 00:10:00,   53.04,   58.85,   45.28,   54.20,   59.62,   46.88
11/06/2013 00:15:00,   52.65,   58.43,   41.75,   54.30,   59.57,   44.41
11/06/2013 00:20:00,   51.01,   56.56,   42.48,   52.52,   57.72,   44.85
11/06/2013 00:25:00,   49.21,   55.27,   40.65,   50.84,   56.32,   43.53
11/06/2013 00:30:00,   51.66,   57.57,   41.67,   53.26,   58.24,   44.41
11/06/2013 00:35:00,   56.49,   60.26,   43.76,   57.74,   61.88,   46.72
11/06/2013 00:40:00,   56.74,   60.24,   51.24,   57.34,   60.83,   51.75
11/06/2013 00:45:00,   52.90,   58.82,   43.65,   54.78,   60.25,   45.91
11/06/2013 00:50:00,   51.27,   56.93,   43.81,   53.12,   58.72,   46.33
11/06/2013 00:55:00,   51.91,   58.80,   39.74,   53.91,   60.28,   43.35
11/06/2013 01:00:00,   47.88,   54.50,   39.98,   50.15,   55.18,   43.77
11/06/2013 01:05:00,   48.91,   54.31,   41.76,   51.13,   56.54,   44.63
11/06/2013 01:10:00,   49.84,   54.97,   42.32,   52.08,   57.23,   45.56
11/06/2013 01:15:00,   49.32,   57.70,   39.76,   51.41,   58.73,   43.57
11/06/2013 01:20:00,   47.46,   53.43,   40.13,   50.09,   55.56,   43.97
11/06/2013 01:25:00,   46.52,   51.32,   39.59,   50.24,   56.72,   43.94
11/06/2013 01:30:00,   50.33,   56.30,   41.58,   52.08,   57.45,   44.93
11/06/2013 01:35:00,   48.82,   55.61,   39.51,   51.36,   57.51,   43.55
11/06/2013 01:40:00,   50.55,   57.24,   39.97,   52.68,   58.58,   43.35
11/06/2013 01:45:00,   48.30,   56.14,   37.89,   50.08,   57.16,   42.32
11/06/2013 01:50:00,   47.50,   54.97,   39.38,   49.74,   56.42,   43.70
11/06/2013 01:55:00,   47.42,   53.95,   38.56,   49.36,   55.21,   42.74
11/06/2013 02:00:00,   46.88,   54.05,   38.19,   49.21,   55.81,   42.73
11/06/2013 02:05:00,   47.08,   54.87,   37.88,   49.17,   56.24,   41.69
11/06/2013 02:10:00,   44.34,   51.16,   37.69,   46.91,   52.84,   42.00
11/06/2013 02:15:00,   44.38,   48.33,   37.86,   46.63,   49.58,   41.72
11/06/2013 02:20:00,   44.58,   52.70,   37.32,   47.15,   54.57,   41.82
11/06/2013 02:25:00,   46.79,   54.89,   36.51,   49.67,   56.46,   40.79
11/06/2013 02:30:00,   43.00,   45.66,   36.63,   46.97,   50.72,   41.22
11/06/2013 02:35:00,   42.36,   47.19,   36.57,   44.81,   48.27,   40.35
11/06/2013 02:40:00,   44.87,   47.86,   36.91,   47.37,   51.89,   41.74
11/06/2013 02:45:00,   45.24,   51.21,   37.85,   49.23,   56.23,   42.10
11/06/2013 02:50:00,   45.33,   50.28,   38.85,   47.87,   51.96,   42.71
11/06/2013 02:55:00,   43.08,   46.14,   37.53,   46.34,   49.47,   42.18
11/06/2013 03:00:00,   44.41,   49.28,   36.84,   47.26,   51.85,   41.64
11/06/2013 03:05:00,   45.59,   51.72,   37.97,   48.24,   53.59,   41.69
11/06/2013 03:10:00,   47.69,   53.41,   41.27,   49.45,   55.39,   43.66
11/06/2013 03:15:00,   46.03,   48.19,   39.29,   47.96,   51.24,   41.88
11/06/2013 03:20:00,   44.98,   49.78,   38.79,   47.74,   52.65,   42.55
11/06/2013 03:25:00,   46.34,   52.01,   40.52,   48.33,   53.78,   43.68
11/06/2013 03:30:00,   46.11,   51.02,   39.27,   48.48,   53.51,   42.95
11/06/2013 03:35:00,   47.83,   52.98,   42.19,   49.95,   55.50,   44.61
11/06/2013 03:40:00,   49.07,   54.16,   42.45,   51.17,   56.28,   44.60
11/06/2013 03:45:00,   47.96,   55.06,   41.11,   49.96,   56.48,   44.53
11/06/2013 03:50:00,   47.09,   49.34,   41.64,   48.87,   52.07,   44.41
11/06/2013 03:55:00,   44.58,   48.40,   38.57,   47.40,   51.55,   42.09
11/06/2013 04:00:00,   49.93,   55.61,   43.03,   51.78,   56.91,   45.07
11/06/2013 04:05:00,   48.84,   53.91,   41.56,   50.92,   56.91,   44.26
11/06/2013 04:10:00,   49.69,   53.72,   43.92,   51.09,   55.55,   45.84
11/06/2013 04:15:00,   49.11,   53.42,   43.96,   50.67,   54.86,   45.90
11/06/2013 04:20:00,   50.15,   55.57,   42.65,   52.33,   57.57,   44.93
11/06/2013 04:25:00,   50.00,   54.24,   43.26,   51.32,   55.09,   45.18
11/06/2013 04:30:00,   51.31,   53.85,   44.97,   51.71,   54.54,   46.20
11/06/2013 04:35:00,   46.71,   50.71,   40.37,   48.08,   51.59,   43.30
11/06/2013 04:40:00,   46.82,   51.69,   41.05,   49.19,   54.35,   43.87
11/06/2013 04:45:00,   49.21,   54.82,   41.25,   51.54,   58.03,   44.03
11/06/2013 04:50:00,   46.29,   49.96,   40.76,   47.49,   50.16,   43.68
11/06/2013 04:55:00,   47.69,   52.84,   41.16,   49.39,   54.04,   44.30
11/06/2013 05:00:00,   48.25,   54.58,   42.06,   49.92,   55.54,   44.92
11/06/2013 05:05:00,   46.28,   51.42,   39.59,   48.12,   53.52,   42.82
11/06/2013 05:10:00,   50.07,   55.33,   42.60,   52.02,   57.75,   45.12
11/06/2013 05:15:00,   50.54,   55.69,   44.45,   52.83,   58.27,   46.28
11/06/2013 05:20:00,   50.82,   55.03,   45.01,   52.76,   57.19,   46.59
11/06/2013 05:25:00,   46.94,   50.28,   42.48,   48.85,   52.58,   44.76
11/06/2013 05:30:00,   50.64,   55.98,   43.88,   52.19,   57.36,   45.94
11/06/2013 05:35:00,   51.60,   56.18,   46.39,   53.60,   58.16,   47.82
11/06/2013 05:40:00,   51.78,   56.86,   45.49,   53.34,   58.09,   47.42
11/06/2013 05:45:00,   50.91,   56.02,   45.04,   52.83,   58.06,   47.29
11/06/2013 05:50:00,   54.27,   59.65,   46.22,   55.95,   60.81,   49.47
11/06/2013 05:55:00,   52.66,   58.20,   45.29,   54.28,   59.74,   47.11
11/06/2013 06:00:00,   53.84,   60.07,   45.87,   55.96,   61.25,   48.60
11/06/2013 06:05:00,   51.74,   56.16,   47.15,   54.26,   58.44,   49.83
11/06/2013 06:10:00,   52.29,   56.99,   45.14,   54.24,   58.49,   47.99
11/06/2013 06:15:00,   53.32,   57.94,   47.09,   55.32,   59.44,   49.56
11/06/2013 06:20:00,   51.55,   55.93,   46.03,   53.36,   57.30,   48.96
11/06/2013 06:25:00,   53.64,   58.88,   48.05,   56.39,   61.29,   50.86
11/06/2013 06:30:00,   54.04,   57.87,   48.52,   57.30,   62.05,   51.38
11/06/2013 06:35:00,   54.94,   59.97,   48.29,   56.89,   61.15,   51.14
11/06/2013 06:40:00,   51.68,   55.76,   46.77,   53.81,   57.07,   49.77
11/06/2013 06:45:00,   54.49,   59.69,   46.19,   57.04,   62.49,   49.35
11/06/2013 06:50:00,   52.83,   57.88,   45.91,   55.58,   60.56,   49.18
11/06/2013 06:55:00,   55.99,   60.45,   49.13,   58.19,   62.16,   52.39
11/06/2013 07:00:00,   55.22,   58.84,   48.89,   58.32,   62.44,   52.24
11/06/2013 07:05:00,   55.49,   59.64,   48.71,   58.18,   62.20,   52.07
11/06/2013 07:10:00,   55.25,   59.42,   48.91,   57.91,   61.30,   52.26
11/06/2013 07:15:00,   56.67,   60.83,   49.63,   58.92,   62.56,   53.12
11/06/2013 07:20:00,   58.17,   62.37,   51.17,   61.04,   65.11,   54.33
11/06/2013 07:25:00,   59.58,   62.74,   54.41,   62.36,   65.69,   57.10
11/06/2013 07:30:00,   58.67,   62.02,   53.56,   60.51,   63.27,   56.02
11/06/2013 07:35:00,   57.58,   60.98,   51.34,   59.73,   62.95,   54.54
11/06/2013 07:40:00,   58.54,   62.33,   53.03,   61.36,   64.70,   55.66
11/06/2013 07:45:00,   58.33,   61.64,   53.26,   60.93,   64.17,   56.68
11/06/2013 07:50:00,   58.85,   62.38,   53.17,   60.80,   63.92,   56.06
11/06/2013 07:55:00,   58.88,   62.61,   53.39,   61.23,   64.79,   56.44
11/06/2013 08:00:00,   58.22,   61.84,   52.81,   60.55,   63.70,   55.77
11/06/2013 08:05:00,   57.99,   62.30,   51.61,   60.84,   64.29,   55.82
11/06/2013 08:10:00,   59.08,   62.25,   53.09,   61.92,   64.44,   57.06
11/06/2013 08:15:00,   61.15,   67.35,   54.97,   64.30,   70.43,   57.61
11/06/2013 08:20:00,   58.49,   62.42,   53.46,   61.75,   65.02,   57.59
11/06/2013 08:25:00,   60.63,   66.82,   53.13,   64.04,   70.31,   57.56
11/06/2013 08:30:00,   60.12,   63.17,   53.77,   63.54,   67.17,   57.75
11/06/2013 08:35:00,   58.48,   61.70,   53.39,   61.91,   64.98,   57.52
11/06/2013 08:40:00,   60.16,   64.18,   55.07,   64.90,   68.74,   59.92
