# noise_analysis run from DCC-NOISE-001003 at Sat Jun 15 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/06/2013 00:05:00,   56.03,   59.65,   51.45,   58.28,   61.44,   53.83
15/06/2013 00:10:00,   55.57,   59.04,   50.80,   57.87,   61.03,   52.91
15/06/2013 00:15:00,   55.19,   59.14,   49.98,   57.95,   61.85,   52.57
15/06/2013 00:20:00,   56.80,   59.62,   52.79,   59.21,   61.87,   55.33
15/06/2013 00:25:00,   55.53,   59.21,   50.99,   58.29,   61.75,   53.28
15/06/2013 00:30:00,   55.43,   58.84,   49.82,   57.81,   60.86,   52.63
15/06/2013 00:35:00,   55.12,   59.22,   50.14,   57.45,   60.97,   53.20
15/06/2013 00:40:00,   55.73,   59.79,   48.29,   58.61,   63.02,   51.07
15/06/2013 00:45:00,   55.63,   59.38,   49.98,   57.67,   60.94,   52.74
15/06/2013 00:50:00,   55.69,   59.14,   51.29,   57.70,   60.77,   54.06
15/06/2013 00:55:00,   54.90,   58.86,   49.53,   57.19,   60.81,   51.87
15/06/2013 01:00:00,   53.84,   57.97,   48.92,   55.95,   59.45,   51.95
15/06/2013 01:05:00,   53.99,   58.74,   47.47,   55.77,   59.85,   50.19
15/06/2013 01:10:00,   54.39,   58.25,   49.08,   56.25,   59.69,   51.98
15/06/2013 01:15:00,   55.34,   59.86,   49.21,   57.09,   61.18,   51.24
15/06/2013 01:20:00,   54.03,   57.86,   48.18,   56.43,   60.19,   51.17
15/06/2013 01:25:00,   54.34,   58.15,   49.44,   55.90,   59.40,   51.55
15/06/2013 01:30:00,   53.97,   57.74,   47.79,   56.70,   60.68,   50.25
15/06/2013 01:35:00,   53.69,   58.60,   47.64,   56.10,   61.02,   50.23
15/06/2013 01:40:00,   53.29,   57.99,   46.68,   55.08,   59.00,   49.60
15/06/2013 01:45:00,   54.82,   58.22,   49.03,   56.31,   59.80,   51.36
15/06/2013 01:50:00,   53.14,   58.07,   46.48,   54.66,   59.16,   49.00
15/06/2013 01:55:00,   52.73,   56.55,   47.82,   54.80,   58.04,   50.52
15/06/2013 02:00:00,   53.28,   57.20,   47.28,   55.27,   59.51,   49.76
15/06/2013 02:05:00,   55.47,   59.31,   50.71,   57.12,   60.40,   52.92
15/06/2013 02:10:00,   55.40,   59.21,   49.77,   57.01,   60.51,   51.88
15/06/2013 02:15:00,   53.77,   58.80,   47.20,   56.08,   60.82,   50.72
15/06/2013 02:20:00,   52.84,   56.88,   48.27,   54.94,   58.62,   50.65
15/06/2013 02:25:00,   52.85,   57.21,   46.65,   54.53,   58.40,   48.90
15/06/2013 02:30:00,   53.94,   58.54,   47.73,   55.30,   59.44,   50.10
15/06/2013 02:35:00,   52.13,   56.65,   44.53,   54.06,   58.12,   47.67
15/06/2013 02:40:00,   53.77,   57.88,   47.22,   55.56,   59.27,   50.15
15/06/2013 02:45:00,   52.52,   58.24,   45.02,   54.09,   59.26,   47.88
15/06/2013 02:50:00,   51.31,   55.61,   46.46,   53.36,   57.52,   49.20
15/06/2013 02:55:00,   53.25,   58.58,   46.56,   55.44,   60.25,   49.24
15/06/2013 03:00:00,   51.91,   56.80,   45.25,   53.69,   58.11,   48.05
15/06/2013 03:05:00,   51.51,   56.69,   44.87,   53.18,   57.73,   47.75
