# noise_analysis run from DCC-NOISE-001003 at Sun Jun 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/06/2013 00:05:00,   54.26,   58.24,   48.86,   57.17,   60.73,   51.54
16/06/2013 00:10:00,   53.77,   58.35,   48.06,   55.81,   59.97,   50.90
16/06/2013 00:15:00,   53.93,   57.46,   49.12,   56.24,   59.24,   51.46
16/06/2013 00:20:00,   54.89,   59.22,   48.74,   57.53,   61.21,   51.51
16/06/2013 00:25:00,   55.23,   59.93,   48.29,   57.81,   63.34,   50.81
16/06/2013 00:30:00,   54.00,   59.15,   47.92,   55.51,   59.84,   50.10
16/06/2013 00:35:00,   55.36,   59.64,   47.39,   57.01,   61.25,   49.56
16/06/2013 00:40:00,   54.33,   58.57,   46.93,   55.56,   59.31,   49.14
16/06/2013 00:45:00,   56.10,   61.42,   48.49,   57.32,   61.92,   50.50
16/06/2013 00:50:00,   56.06,   60.44,   50.09,   57.37,   60.97,   51.79
16/06/2013 00:55:00,   54.83,   58.96,   47.31,   58.26,   63.00,   50.40
16/06/2013 01:00:00,   55.72,   60.28,   48.24,   60.47,   65.21,   52.71
16/06/2013 01:05:00,   55.91,   60.00,   50.08,   57.38,   61.32,   51.91
16/06/2013 01:10:00,   55.86,   60.18,   49.06,   57.60,   61.53,   51.31
16/06/2013 01:15:00,   54.94,   59.14,   48.99,   57.11,   60.98,   50.84
16/06/2013 01:20:00,   53.89,   58.24,   48.11,   55.58,   59.75,   50.44
16/06/2013 01:25:00,   54.71,   59.35,   47.90,   56.84,   61.71,   50.29
16/06/2013 01:30:00,   55.11,   59.43,   48.33,   56.50,   60.56,   50.31
16/06/2013 01:35:00,   55.49,   59.74,   49.83,   57.13,   60.95,   51.49
16/06/2013 01:40:00,   54.26,   58.01,   47.51,   56.40,   59.85,   49.87
16/06/2013 01:45:00,   54.98,   59.62,   48.42,   56.92,   60.96,   50.96
16/06/2013 01:50:00,   54.76,   58.72,   48.73,   57.05,   60.94,   50.94
16/06/2013 01:55:00,   54.34,   58.47,   48.55,   56.62,   60.57,   50.68
16/06/2013 02:00:00,   55.82,   59.15,   49.03,   57.83,   60.89,   51.24
16/06/2013 02:05:00,   55.32,   59.43,   48.95,   57.34,   61.06,   51.90
16/06/2013 02:10:00,   55.26,   59.07,   49.69,   57.23,   60.73,   51.94
16/06/2013 02:15:00,   55.27,   60.05,   48.13,   57.53,   62.02,   50.62
16/06/2013 02:20:00,   53.76,   58.21,   46.99,   56.11,   60.23,   49.31
16/06/2013 02:25:00,   53.21,   58.37,   45.46,   55.32,   60.69,   48.35
16/06/2013 02:30:00,   51.79,   57.17,   45.26,   54.10,   59.01,   47.85
16/06/2013 02:35:00,   55.18,   59.62,   46.77,   57.30,   61.53,   49.95
16/06/2013 02:40:00,   56.73,   60.83,   49.88,   58.31,   62.31,   52.12
16/06/2013 02:45:00,   55.17,   58.55,   48.64,   57.94,   62.24,   50.87
16/06/2013 02:50:00,   55.74,   60.26,   48.99,   57.78,   61.88,   50.91
16/06/2013 02:55:00,   54.35,   59.69,   47.20,   56.59,   61.20,   49.26
16/06/2013 03:00:00,   55.39,   59.46,   48.66,   58.22,   62.79,   51.09
16/06/2013 03:05:00,   54.24,   58.44,   48.04,   56.16,   59.95,   50.61
16/06/2013 03:10:00,   53.97,   58.73,   47.56,   55.91,   61.38,   49.33
16/06/2013 03:15:00,   54.01,   57.65,   47.14,   56.45,   60.33,   50.12
16/06/2013 03:20:00,   55.04,   59.50,   46.43,   56.30,   60.72,   48.70
16/06/2013 03:25:00,   52.34,   56.93,   46.54,   53.75,   57.77,   48.42
16/06/2013 03:30:00,   54.40,   58.87,   45.89,   56.28,   60.39,   48.13
16/06/2013 03:35:00,   53.88,   58.64,   47.07,   54.94,   59.54,   48.82
16/06/2013 03:40:00,   53.28,   57.67,   45.90,   54.94,   58.97,   48.65
16/06/2013 03:45:00,   54.52,   58.94,   45.73,   55.91,   59.91,   48.57
16/06/2013 03:50:00,   52.60,   57.71,   45.58,   53.81,   58.22,   47.37
16/06/2013 03:55:00,   52.92,   57.54,   45.64,   54.41,   59.02,   47.56
16/06/2013 04:00:00,   51.58,   56.29,   44.62,   53.44,   57.72,   46.60
16/06/2013 04:05:00,   54.40,   59.19,   48.27,   56.98,   61.40,   50.46
16/06/2013 04:10:00,   52.74,   57.50,   45.28,   54.99,   59.92,   47.87
16/06/2013 04:15:00,   54.54,   58.57,   46.31,   56.07,   59.65,   49.01
16/06/2013 04:20:00,   52.99,   58.27,   45.71,   53.73,   58.05,   47.70
16/06/2013 04:25:00,   54.58,   59.68,   45.70,   55.73,   60.47,   48.49
16/06/2013 04:30:00,   56.04,   61.37,   46.61,   56.89,   62.05,   48.25
16/06/2013 04:35:00,   59.46,   65.84,   45.67,   58.95,   64.95,   48.07
16/06/2013 04:40:00,   57.77,   66.04,   44.35,   57.63,   65.24,   46.31
16/06/2013 04:45:00,   52.30,   57.35,   43.38,   53.31,   57.91,   45.66
16/06/2013 04:50:00,   53.21,   58.13,   44.90,   54.70,   60.11,   47.26
16/06/2013 04:55:00,   54.37,   59.80,   43.09,   55.26,   60.82,   45.08
16/06/2013 05:00:00,   57.61,   62.96,   45.50,   57.11,   61.68,   47.60
16/06/2013 05:05:00,   55.33,   63.06,   44.45,   55.62,   61.67,   47.28
16/06/2013 05:10:00,   50.08,   56.53,   42.64,   51.59,   57.54,   44.50
16/06/2013 05:15:00,   52.67,   57.46,   45.84,   53.86,   58.20,   47.29
16/06/2013 05:20:00,   50.14,   55.08,   42.73,   52.30,   56.39,   45.68
16/06/2013 05:25:00,   50.81,   57.60,   43.77,   52.27,   58.64,   45.70
16/06/2013 05:30:00,   51.38,   56.59,   44.46,   52.86,   57.95,   47.10
16/06/2013 05:35:00,   52.29,   56.72,   45.02,   53.48,   57.49,   47.02
16/06/2013 05:40:00,   50.71,   56.77,   44.21,   52.00,   57.71,   45.96
16/06/2013 05:45:00,   50.96,   57.58,   44.01,   53.15,   59.38,   46.19
16/06/2013 05:50:00,   50.31,   56.65,   43.23,   52.36,   58.26,   46.53
16/06/2013 05:55:00,   51.42,   57.58,   42.46,   53.54,   59.17,   45.17
16/06/2013 06:00:00,   51.55,   57.12,   41.91,   52.61,   57.81,   44.17
16/06/2013 06:05:00,   51.82,   56.84,   44.61,   53.02,   57.98,   46.30
16/06/2013 06:10:00,   52.69,   57.22,   45.41,   54.36,   58.56,   46.88
16/06/2013 06:15:00,   52.65,   57.56,   46.99,   54.44,   59.24,   48.78
16/06/2013 06:20:00,   51.34,   58.21,   43.49,   52.68,   58.52,   46.62
16/06/2013 06:25:00,   51.85,   57.91,   44.12,   53.33,   59.11,   46.36
16/06/2013 06:30:00,   49.50,   55.37,   43.68,   51.41,   56.92,   46.52
16/06/2013 06:35:00,   50.51,   55.32,   44.22,   53.47,   58.19,   46.96
16/06/2013 06:40:00,   53.82,   61.03,   45.40,   58.23,   64.28,   49.11
16/06/2013 06:45:00,   50.33,   56.04,   44.03,   53.02,   57.46,   46.96
16/06/2013 06:50:00,   51.69,   56.30,   45.06,   54.35,   58.41,   48.46
16/06/2013 06:55:00,   52.36,   58.81,   44.45,   55.97,   62.22,   47.33
16/06/2013 07:00:00,   54.88,   60.49,   44.11,   59.08,   64.65,   48.27
16/06/2013 07:05:00,   52.47,   58.11,   44.65,   54.22,   59.12,   47.98
16/06/2013 07:10:00,   51.77,   56.52,   43.57,   56.17,   61.15,   48.82
16/06/2013 07:15:00,   50.88,   56.78,   43.48,   52.86,   58.03,   46.61
16/06/2013 07:20:00,   51.26,   56.41,   43.24,   55.42,   60.32,   47.24
16/06/2013 07:25:00,   52.71,   57.64,   44.98,   55.45,   60.26,   47.66
