# noise_analysis run from DCC-NOISE-001003 at Wed Jun 19 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/06/2013 00:05:00,   50.10,   54.94,   43.15,   53.12,   57.23,   46.97
19/06/2013 00:10:00,   49.11,   54.58,   41.25,   51.59,   56.37,   45.43
19/06/2013 00:15:00,   49.24,   55.39,   40.94,   51.40,   56.36,   45.22
19/06/2013 00:20:00,   51.03,   56.78,   42.88,   54.09,   59.32,   47.11
19/06/2013 00:25:00,   48.27,   52.64,   42.54,   51.37,   55.54,   45.87
19/06/2013 00:30:00,   48.80,   53.13,   41.80,   52.63,   57.69,   45.66
19/06/2013 00:35:00,   50.29,   55.85,   42.81,   52.96,   57.99,   46.64
19/06/2013 00:40:00,   49.85,   55.60,   41.34,   51.66,   56.38,   45.24
19/06/2013 00:45:00,   49.16,   54.67,   40.75,   51.16,   55.81,   44.30
19/06/2013 00:50:00,   49.34,   54.63,   40.75,   51.75,   56.55,   44.72
19/06/2013 00:55:00,   47.73,   54.06,   40.40,   50.29,   56.31,   44.41
19/06/2013 01:00:00,   48.06,   55.23,   38.35,   51.29,   57.46,   42.76
19/06/2013 01:05:00,   49.38,   56.20,   40.48,   51.68,   58.26,   44.06
19/06/2013 01:10:00,   49.15,   56.30,   39.62,   51.16,   57.66,   43.30
19/06/2013 01:15:00,   49.30,   55.02,   41.97,   52.82,   57.83,   46.08
19/06/2013 01:20:00,   47.59,   52.96,   40.74,   50.20,   55.10,   44.54
19/06/2013 01:25:00,   50.93,   56.86,   43.81,   53.26,   57.81,   47.16
19/06/2013 01:30:00,   47.28,   54.83,   40.73,   49.44,   55.95,   44.67
19/06/2013 01:35:00,   47.83,   54.24,   41.19,   50.58,   56.61,   44.95
19/06/2013 01:40:00,   48.74,   54.75,   41.60,   51.42,   57.07,   45.86
19/06/2013 01:45:00,   46.15,   52.50,   39.85,   49.49,   55.22,   43.77
19/06/2013 01:50:00,   43.17,   44.45,   39.98,   46.81,   48.50,   44.14
19/06/2013 01:55:00,   46.17,   54.18,   39.50,   48.66,   55.93,   43.12
19/06/2013 02:00:00,   44.20,   47.59,   39.14,   47.26,   49.96,   43.08
19/06/2013 02:05:00,   45.79,   52.44,   39.02,   49.01,   55.44,   42.93
19/06/2013 02:10:00,   47.75,   54.12,   40.12,   50.01,   55.45,   43.78
19/06/2013 02:15:00,   44.95,   50.92,   38.23,   47.77,   52.52,   42.24
19/06/2013 02:20:00,   41.80,   44.13,   38.00,   45.09,   47.84,   42.02
19/06/2013 02:25:00,   43.07,   48.41,   37.37,   46.79,   51.97,   41.73
19/06/2013 02:30:00,   43.78,   49.26,   36.28,   46.40,   50.78,   40.50
19/06/2013 02:35:00,   44.01,   50.33,   35.69,   46.49,   52.43,   40.03
19/06/2013 02:40:00,   44.26,   52.27,   35.00,   47.80,   54.96,   39.84
19/06/2013 02:45:00,   44.19,   52.11,   34.25,   47.00,   53.77,   39.79
19/06/2013 02:50:00,   40.76,   46.41,   34.28,   44.48,   49.69,   40.03
19/06/2013 02:55:00,   43.65,   49.90,   35.79,   46.53,   53.18,   40.95
19/06/2013 03:00:00,   40.16,   44.97,   35.67,   43.65,   47.33,   39.98
19/06/2013 03:05:00,   42.13,   50.31,   35.39,   45.50,   53.26,   39.84
19/06/2013 03:10:00,   43.31,   48.52,   35.33,   45.89,   50.15,   39.98
19/06/2013 03:15:00,   45.79,   51.94,   35.72,   48.25,   54.18,   39.64
19/06/2013 03:20:00,   42.68,   47.13,   36.29,   47.26,   52.42,   40.52
19/06/2013 03:25:00,   38.06,   39.71,   35.73,   42.54,   44.49,   39.91
19/06/2013 03:30:00,   44.64,   51.95,   35.97,   46.93,   53.62,   40.29
19/06/2013 03:35:00,   42.05,   46.17,   36.64,   45.03,   47.95,   41.07
19/06/2013 03:40:00,   40.34,   42.66,   35.53,   43.62,   46.19,   39.58
19/06/2013 03:45:00,   45.44,   52.70,   36.83,   48.32,   55.69,   41.01
19/06/2013 03:50:00,   46.07,   53.23,   37.30,   48.12,   54.49,   41.56
19/06/2013 03:55:00,   46.86,   53.88,   37.78,   49.39,   56.29,   41.58
19/06/2013 04:00:00,   45.13,   50.57,   37.29,   48.04,   52.61,   41.54
19/06/2013 04:05:00,   45.65,   49.86,   37.31,   46.96,   50.34,   40.91
19/06/2013 04:10:00,   49.46,   53.63,   41.12,   50.63,   55.94,   43.74
19/06/2013 04:15:00,   57.06,   64.05,   42.36,   56.32,   62.50,   44.62
19/06/2013 04:20:00,   46.80,   51.82,   39.57,   48.17,   52.62,   42.57
19/06/2013 04:25:00,   57.56,   68.33,   39.35,   56.56,   66.60,   42.74
19/06/2013 04:30:00,   58.32,   67.84,   39.58,   57.53,   66.05,   42.87
19/06/2013 04:35:00,   62.90,   69.18,   41.52,   61.47,   67.53,   44.71
19/06/2013 04:40:00,   65.69,   72.70,   42.14,   64.00,   70.90,   45.50
19/06/2013 04:45:00,   66.61,   73.35,   41.54,   65.01,   71.63,   44.71
19/06/2013 04:50:00,   61.19,   67.02,   44.01,   60.25,   65.82,   50.39
19/06/2013 04:55:00,   54.00,   58.75,   44.06,   53.76,   58.19,   46.26
19/06/2013 05:00:00,   48.38,   53.95,   40.99,   49.76,   53.47,   44.66
19/06/2013 05:05:00,   56.54,   61.57,   42.15,   55.45,   59.84,   45.28
19/06/2013 05:10:00,   53.71,   58.69,   43.33,   53.95,   59.02,   45.61
19/06/2013 05:15:00,   60.27,   64.02,   54.74,   58.78,   62.29,   53.57
19/06/2013 05:20:00,   56.23,   61.21,   45.74,   56.47,   60.87,   49.25
19/06/2013 05:25:00,   57.00,   60.72,   49.74,   56.83,   60.28,   50.81
19/06/2013 05:30:00,   54.31,   58.65,   46.25,   55.22,   59.49,   49.47
19/06/2013 05:35:00,   55.66,   59.74,   46.64,   57.03,   60.58,   50.15
19/06/2013 05:40:00,   57.44,   60.80,   48.37,   57.01,   60.03,   50.75
19/06/2013 05:45:00,   55.57,   63.55,   46.79,   56.93,   62.35,   50.92
19/06/2013 05:50:00,   56.07,   61.07,   46.54,   56.44,   60.47,   50.49
19/06/2013 05:55:00,   57.75,   61.81,   47.50,   58.20,   61.93,   51.38
19/06/2013 06:00:00,   56.40,   62.30,   46.02,   58.08,   63.08,   49.36
19/06/2013 06:05:00,   52.20,   56.99,   45.59,   54.55,   59.36,   49.48
19/06/2013 06:10:00,   57.44,   62.67,   47.21,   58.15,   63.36,   50.56
19/06/2013 06:15:00,   60.68,   63.67,   52.02,   60.69,   63.37,   54.26
19/06/2013 06:20:00,   63.92,   66.73,   59.61,   62.73,   65.19,   58.64
19/06/2013 06:25:00,   65.83,   68.64,   57.57,   64.52,   67.08,   58.08
19/06/2013 06:30:00,   62.93,   66.15,   52.44,   62.59,   66.22,   54.87
19/06/2013 06:35:00,   62.36,   64.85,   58.49,   61.52,   64.02,   57.63
19/06/2013 06:40:00,   62.22,   65.30,   56.18,   61.78,   64.77,   56.00
19/06/2013 06:45:00,   60.12,   63.92,   51.31,   60.53,   63.37,   56.46
19/06/2013 06:50:00,   63.61,   67.68,   56.51,   63.53,   67.48,   56.98
19/06/2013 06:55:00,   60.24,   64.83,   49.66,   62.12,   66.01,   53.64
19/06/2013 07:00:00,   57.10,   61.11,   50.61,   59.06,   62.10,   53.84
19/06/2013 07:05:00,   57.59,   60.21,   52.39,   58.32,   60.97,   53.50
19/06/2013 07:10:00,   60.03,   64.81,   48.34,   60.98,   64.83,   52.67
19/06/2013 07:15:00,   61.09,   64.76,   54.17,   61.97,   64.74,   56.22
19/06/2013 07:20:00,   60.11,   64.17,   52.63,   61.98,   65.08,   55.32
19/06/2013 07:25:00,   64.21,   67.12,   59.82,   63.79,   66.31,   60.12
19/06/2013 07:30:00,   60.39,   64.87,   49.61,   61.34,   65.14,   53.18
19/06/2013 07:35:00,   59.14,   63.35,   50.84,   61.05,   64.24,   54.48
19/06/2013 07:40:00,   57.56,   62.31,   50.53,   60.17,   63.49,   54.54
19/06/2013 07:45:00,   56.27,   59.21,   48.71,   60.29,   63.46,   54.85
19/06/2013 07:50:00,   57.24,   60.08,   52.51,   60.94,   64.29,   57.28
19/06/2013 07:55:00,   56.16,   59.71,   49.83,   59.67,   63.60,   53.53
19/06/2013 08:00:00,   54.62,   58.63,   48.93,   58.56,   62.30,   53.76
19/06/2013 08:05:00,   57.17,   60.06,   51.98,   62.24,   65.32,   56.69
19/06/2013 08:10:00,   56.77,   60.86,   49.57,   62.19,   66.31,   55.10
19/06/2013 08:15:00,   55.38,   58.95,   50.60,   60.95,   63.81,   57.32
19/06/2013 08:20:00,   54.51,   58.45,   48.87,   59.37,   62.43,   54.50
19/06/2013 08:25:00,   55.42,   59.30,   48.59,   59.19,   62.65,   53.09
19/06/2013 08:30:00,   55.82,   59.05,   50.42,   60.44,   63.67,   54.46
19/06/2013 08:35:00,   56.14,   59.34,   51.25,   60.05,   62.95,   55.39
19/06/2013 08:40:00,   54.67,   57.88,   49.38,   59.01,   62.33,   54.93
