# noise_analysis run from DCC-NOISE-001003 at Thu Jun 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/06/2013 00:05:00,   51.54,   55.63,   44.78,   54.45,   57.88,   48.49
20/06/2013 00:10:00,   50.16,   55.07,   43.57,   53.59,   58.38,   47.51
20/06/2013 00:15:00,   52.34,   56.19,   45.86,   54.56,   57.86,   49.22
20/06/2013 00:20:00,   51.09,   55.14,   45.60,   54.05,   58.17,   49.50
20/06/2013 00:25:00,   52.63,   57.83,   44.90,   54.91,   59.51,   48.53
20/06/2013 00:30:00,   50.70,   56.29,   43.30,   54.02,   58.23,   47.16
20/06/2013 00:35:00,   50.79,   55.38,   44.54,   53.07,   56.89,   48.03
20/06/2013 00:40:00,   50.74,   56.08,   44.20,   53.42,   57.32,   47.97
20/06/2013 00:45:00,   50.58,   55.98,   42.98,   53.76,   58.60,   47.39
20/06/2013 00:50:00,   50.25,   56.04,   42.60,   52.57,   57.22,   46.89
20/06/2013 00:55:00,   51.34,   56.74,   43.80,   54.11,   59.26,   47.86
20/06/2013 01:00:00,   48.36,   54.83,   41.49,   51.28,   56.79,   46.37
20/06/2013 01:05:00,   49.58,   55.28,   43.95,   52.87,   58.37,   48.22
20/06/2013 01:10:00,   50.42,   56.39,   43.47,   53.14,   57.75,   48.53
20/06/2013 01:15:00,   50.19,   54.38,   45.01,   53.12,   56.97,   48.93
20/06/2013 01:20:00,   49.79,   56.69,   41.44,   52.48,   58.32,   46.37
20/06/2013 01:25:00,   51.48,   55.99,   43.80,   53.64,   57.51,   47.45
20/06/2013 01:30:00,   49.62,   54.80,   43.63,   52.37,   56.84,   47.73
20/06/2013 01:35:00,   49.71,   55.44,   43.24,   52.13,   56.91,   46.86
20/06/2013 01:40:00,   48.13,   52.81,   42.28,   50.85,   54.83,   46.63
20/06/2013 01:45:00,   48.71,   54.49,   41.53,   51.24,   56.39,   45.70
20/06/2013 01:50:00,   48.55,   54.47,   42.04,   51.06,   55.95,   45.75
20/06/2013 01:55:00,   47.10,   51.76,   41.77,   49.77,   53.56,   45.54
20/06/2013 02:00:00,   47.35,   51.76,   40.88,   50.51,   55.89,   45.30
20/06/2013 02:05:00,   47.58,   53.07,   41.30,   50.55,   55.33,   45.12
20/06/2013 02:10:00,   46.28,   52.07,   40.08,   49.20,   54.05,   44.58
20/06/2013 02:15:00,   43.97,   49.77,   38.47,   48.30,   53.43,   43.24
20/06/2013 02:20:00,   43.72,   49.91,   37.08,   47.24,   52.12,   42.62
20/06/2013 02:25:00,   44.40,   51.13,   38.19,   47.44,   53.62,   42.60
20/06/2013 02:30:00,   45.40,   52.04,   36.49,   47.81,   53.28,   41.60
20/06/2013 02:35:00,   38.96,   40.49,   36.71,   43.44,   44.57,   41.99
20/06/2013 02:40:00,   45.00,   49.79,   39.36,   47.83,   51.05,   43.72
20/06/2013 02:45:00,   45.24,   51.27,   39.17,   48.14,   53.87,   43.63
20/06/2013 02:50:00,   42.05,   44.23,   37.02,   45.93,   47.99,   42.32
20/06/2013 02:55:00,   45.59,   49.37,   39.75,   49.06,   52.85,   44.12
20/06/2013 03:00:00,   47.81,   53.84,   40.90,   51.26,   56.59,   43.91
20/06/2013 03:05:00,   46.79,   53.81,   38.26,   49.55,   56.08,   42.21
20/06/2013 03:10:00,   46.05,   51.78,   39.03,   48.85,   54.34,   43.47
20/06/2013 03:15:00,   48.45,   55.33,   40.11,   52.68,   59.25,   44.73
20/06/2013 03:20:00,   49.46,   55.82,   39.30,   52.99,   58.33,   43.55
20/06/2013 03:25:00,   44.49,   48.94,   38.36,   47.38,   51.47,   43.07
20/06/2013 03:30:00,   45.59,   51.73,   35.73,   49.68,   54.73,   43.56
20/06/2013 03:35:00,   43.92,   50.29,   37.00,   47.14,   51.95,   41.05
20/06/2013 03:40:00,   48.06,   55.57,   38.97,   51.47,   58.81,   42.52
20/06/2013 03:45:00,   46.55,   53.40,   40.14,   49.69,   55.88,   44.43
20/06/2013 03:50:00,   46.53,   53.11,   40.16,   49.87,   56.31,   43.91
20/06/2013 03:55:00,   47.89,   54.24,   43.18,   50.60,   56.34,   46.79
20/06/2013 04:00:00,   45.08,   50.80,   39.03,   47.56,   51.72,   43.04
20/06/2013 04:05:00,   48.50,   55.15,   40.11,   50.44,   55.79,   43.78
20/06/2013 04:10:00,   48.91,   54.08,   41.53,   50.97,   55.44,   45.16
20/06/2013 04:15:00,   44.31,   49.78,   38.53,   47.10,   50.82,   42.80
20/06/2013 04:20:00,   45.33,   52.42,   39.23,   47.89,   54.86,   43.38
20/06/2013 04:25:00,   44.63,   46.67,   39.94,   47.03,   48.57,   43.35
20/06/2013 04:30:00,   46.76,   53.09,   40.02,   49.07,   54.31,   44.17
