# noise_analysis run from DCC-NOISE-001003 at Fri Jun 28 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/06/2013 00:05:00,   53.39,   57.42,   46.64,   56.17,   59.93,   49.79
28/06/2013 00:10:00,   50.59,   55.42,   45.13,   52.73,   56.89,   48.68
28/06/2013 00:15:00,   53.08,   56.91,   48.41,   55.55,   58.79,   51.29
28/06/2013 00:20:00,   51.25,   55.26,   45.87,   54.17,   58.09,   48.86
28/06/2013 00:25:00,   53.48,   56.83,   48.38,   56.20,   59.78,   51.89
28/06/2013 00:30:00,   51.83,   55.93,   44.69,   54.22,   58.25,   48.12
28/06/2013 00:35:00,   52.30,   57.46,   44.56,   54.51,   59.23,   47.30
28/06/2013 00:40:00,   52.14,   56.28,   46.32,   54.39,   57.69,   48.85
28/06/2013 00:45:00,   52.86,   57.39,   46.47,   55.17,   59.52,   48.96
28/06/2013 00:50:00,   51.00,   55.62,   45.28,   53.10,   57.20,   48.39
28/06/2013 00:55:00,   52.81,   57.88,   47.15,   55.16,   60.12,   49.75
28/06/2013 01:00:00,   51.72,   56.48,   45.84,   55.80,   60.30,   49.93
28/06/2013 01:05:00,   51.29,   56.63,   44.58,   54.04,   58.64,   48.31
28/06/2013 01:10:00,   51.58,   55.85,   45.60,   54.02,   58.79,   48.76
28/06/2013 01:15:00,   52.08,   58.04,   45.47,   54.37,   59.70,   48.70
28/06/2013 01:20:00,   50.48,   54.99,   45.31,   53.29,   57.72,   48.99
28/06/2013 01:25:00,   50.90,   55.63,   44.80,   53.81,   57.48,   48.02
28/06/2013 01:30:00,   48.56,   54.26,   43.05,   50.93,   55.51,   46.19
28/06/2013 01:35:00,   51.72,   56.54,   46.31,   53.89,   57.97,   48.86
28/06/2013 01:40:00,   48.33,   53.18,   43.19,   50.92,   55.25,   46.51
28/06/2013 01:45:00,   49.77,   54.86,   44.09,   52.14,   56.83,   46.90
28/06/2013 01:50:00,   48.78,   53.60,   42.81,   51.16,   55.41,   46.28
