# noise_analysis run from DCC-NOISE-001003 at Mon Jul  1 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/07/2013 00:05:00,   53.24,   57.12,   46.35,   55.39,   58.80,   49.46
01/07/2013 00:10:00,   54.26,   58.49,   46.74,   56.17,   59.95,   49.74
01/07/2013 00:15:00,   52.36,   55.92,   47.38,   54.60,   57.27,   50.37
01/07/2013 00:20:00,   53.10,   57.83,   46.41,   55.32,   59.47,   49.08
01/07/2013 00:25:00,   52.32,   56.77,   46.41,   54.77,   58.69,   49.17
01/07/2013 00:30:00,   52.42,   57.01,   45.59,   54.81,   59.10,   48.07
01/07/2013 00:35:00,   52.93,   57.18,   46.53,   55.25,   59.43,   49.09
01/07/2013 00:40:00,   54.33,   58.59,   48.46,   56.52,   60.23,   51.60
01/07/2013 00:45:00,   51.62,   56.59,   45.42,   53.45,   57.96,   48.69
01/07/2013 00:50:00,   52.18,   58.26,   43.11,   55.32,   61.16,   46.45
01/07/2013 00:55:00,   51.03,   55.85,   42.62,   53.63,   57.20,   46.21
01/07/2013 01:00:00,   50.92,   55.10,   42.82,   52.81,   56.22,   46.51
01/07/2013 01:05:00,   51.37,   56.29,   44.63,   53.99,   58.21,   47.41
01/07/2013 01:10:00,   51.99,   56.82,   44.82,   55.08,   60.25,   47.34
01/07/2013 01:15:00,   50.61,   55.71,   44.37,   52.83,   57.62,   47.60
01/07/2013 01:20:00,   50.53,   55.57,   45.17,   53.12,   57.53,   48.00
01/07/2013 01:25:00,   50.99,   56.06,   43.41,   53.09,   57.80,   46.19
01/07/2013 01:30:00,   50.92,   55.88,   42.81,   53.64,   58.76,   46.35
01/07/2013 01:35:00,   50.55,   56.66,   43.30,   53.31,   58.31,   46.62
01/07/2013 01:40:00,   48.36,   53.25,   43.41,   51.08,   55.53,   46.86
01/07/2013 01:45:00,   49.36,   55.58,   42.53,   51.82,   57.09,   46.28
01/07/2013 01:50:00,   49.69,   54.69,   43.52,   52.21,   56.43,   46.98
01/07/2013 01:55:00,   49.12,   55.15,   43.86,   51.41,   56.72,   47.03
01/07/2013 02:00:00,   48.32,   53.36,   42.36,   51.26,   55.36,   45.94
01/07/2013 02:05:00,   49.27,   54.67,   43.11,   51.47,   56.36,   46.28
01/07/2013 02:10:00,   47.85,   53.00,   43.16,   51.07,   55.84,   46.36
01/07/2013 02:15:00,   48.44,   53.39,   42.59,   51.50,   56.23,   45.81
01/07/2013 02:20:00,   51.40,   56.85,   42.11,   55.79,   62.83,   45.48
01/07/2013 02:25:00,   45.28,   47.90,   41.74,   48.01,   50.84,   45.09
01/07/2013 02:30:00,   45.23,   49.95,   40.64,   48.53,   52.69,   44.57
01/07/2013 02:35:00,   48.02,   54.24,   41.64,   50.46,   56.21,   45.38
01/07/2013 02:40:00,   47.81,   52.59,   42.41,   50.45,   54.11,   46.10
01/07/2013 02:45:00,   51.26,   56.87,   43.73,   53.72,   59.04,   47.35
01/07/2013 02:50:00,   49.12,   55.30,   41.91,   51.84,   57.39,   45.98
01/07/2013 02:55:00,   47.31,   51.67,   42.00,   50.47,   54.09,   46.36
01/07/2013 03:00:00,   47.53,   52.21,   41.90,   51.29,   55.66,   45.50
01/07/2013 03:05:00,   47.27,   51.27,   41.82,   50.57,   54.47,   45.26
01/07/2013 03:10:00,   47.36,   53.21,   39.88,   50.61,   55.64,   44.19
01/07/2013 03:15:00,   47.20,   51.81,   41.95,   50.30,   54.97,   45.34
01/07/2013 03:20:00,   46.48,   52.03,   41.17,   48.92,   54.02,   44.42
01/07/2013 03:25:00,   46.94,   51.78,   42.30,   51.91,   56.36,   46.16
01/07/2013 03:30:00,   45.69,   48.33,   41.10,   48.22,   51.29,   44.50
01/07/2013 03:35:00,   47.90,   52.38,   42.41,   50.56,   54.43,   46.04
01/07/2013 03:40:00,   46.64,   50.52,   42.23,   49.42,   52.97,   45.36
01/07/2013 03:45:00,   49.78,   55.58,   42.39,   51.70,   56.77,   45.28
01/07/2013 03:50:00,   48.50,   53.07,   43.10,   51.33,   55.94,   46.22
01/07/2013 03:55:00,   49.42,   54.86,   43.54,   51.88,   56.71,   46.38
01/07/2013 04:00:00,   47.30,   53.19,   41.36,   49.93,   55.08,   44.47
01/07/2013 04:05:00,   49.53,   54.89,   44.29,   51.71,   56.49,   46.77
01/07/2013 04:10:00,   50.00,   55.43,   44.16,   52.42,   57.15,   47.30
01/07/2013 04:15:00,   48.92,   53.09,   43.65,   51.56,   56.47,   46.23
01/07/2013 04:20:00,   48.85,   55.05,   43.60,   51.85,   57.78,   46.64
01/07/2013 04:25:00,   49.99,   53.77,   44.72,   52.84,   56.10,   47.18
