# noise_analysis run from DCC-NOISE-001003 at Tue Jul  2 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/07/2013 00:05:00,   46.96,   53.82,   40.16,   50.34,   55.99,   44.91
02/07/2013 00:10:00,   51.22,   56.55,   43.53,   53.44,   58.07,   46.87
02/07/2013 00:15:00,   50.16,   55.92,   41.73,   52.75,   58.16,   45.84
02/07/2013 00:20:00,   46.79,   52.40,   39.75,   50.21,   54.93,   44.07
02/07/2013 00:25:00,   49.87,   56.69,   39.91,   52.00,   57.96,   43.80
02/07/2013 00:30:00,   49.43,   55.23,   39.34,   53.14,   58.17,   43.95
02/07/2013 00:35:00,   49.37,   55.78,   40.75,   51.82,   57.14,   44.91
02/07/2013 00:40:00,   47.71,   53.79,   41.18,   50.23,   55.26,   45.26
02/07/2013 00:45:00,   47.84,   53.81,   40.43,   51.19,   56.29,   44.80
02/07/2013 00:50:00,   50.16,   55.98,   41.78,   52.78,   57.65,   46.10
02/07/2013 00:55:00,   47.47,   54.13,   39.21,   49.94,   55.33,   43.90
02/07/2013 01:00:00,   48.00,   54.44,   40.05,   50.50,   56.62,   44.53
02/07/2013 01:05:00,   46.42,   51.98,   39.24,   49.56,   54.24,   44.09
02/07/2013 01:10:00,   48.57,   55.14,   39.74,   51.31,   56.90,   44.45
02/07/2013 01:15:00,   50.30,   56.33,   40.32,   52.60,   58.21,   44.90
02/07/2013 01:20:00,   48.49,   55.54,   39.93,   51.15,   57.38,   45.01
02/07/2013 01:25:00,   48.84,   55.58,   39.47,   51.37,   57.20,   44.60
02/07/2013 01:30:00,   50.61,   55.81,   41.86,   53.03,   57.44,   46.01
02/07/2013 01:35:00,   47.62,   53.96,   39.74,   50.10,   55.22,   44.00
02/07/2013 01:40:00,   47.36,   54.54,   40.27,   50.26,   56.34,   44.71
02/07/2013 01:45:00,   46.46,   53.51,   38.77,   48.73,   54.41,   43.30
02/07/2013 01:50:00,   42.36,   46.71,   38.74,   46.41,   48.96,   44.05
02/07/2013 01:55:00,   48.24,   54.79,   40.22,   50.80,   56.47,   44.70
02/07/2013 02:00:00,   44.74,   49.79,   39.41,   47.88,   52.19,   43.50
02/07/2013 02:05:00,   45.38,   50.77,   40.82,   48.15,   52.58,   44.41
02/07/2013 02:10:00,   46.90,   52.41,   42.24,   48.54,   53.04,   44.36
02/07/2013 02:15:00,   45.86,   50.72,   40.91,   48.43,   52.34,   44.04
02/07/2013 02:20:00,   47.08,   53.02,   39.94,   50.30,   55.69,   44.08
02/07/2013 02:25:00,   44.84,   48.03,   40.83,   47.99,   49.96,   44.26
02/07/2013 02:30:00,   45.82,   51.51,   40.62,   48.09,   52.90,   43.88
02/07/2013 02:35:00,   47.27,   51.46,   41.92,   49.15,   53.36,   44.67
02/07/2013 02:40:00,   44.40,   44.64,   41.64,   46.94,   47.47,   44.40
02/07/2013 02:45:00,   45.40,   51.21,   39.90,   47.86,   52.17,   44.15
