# noise_analysis run from DCC-NOISE-001003 at Wed Jul  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/07/2013 00:05:00,   54.12,   59.05,   48.12,   55.93,   60.64,   50.65
03/07/2013 00:10:00,   53.19,   56.92,   48.38,   55.00,   58.59,   50.72
03/07/2013 00:15:00,   53.36,   56.82,   48.27,   55.87,   58.85,   51.22
03/07/2013 00:20:00,   53.69,   57.60,   48.38,   55.89,   59.62,   50.77
03/07/2013 00:25:00,   51.75,   56.27,   46.34,   54.17,   58.47,   49.34
03/07/2013 00:30:00,   51.82,   55.82,   46.56,   54.17,   58.07,   49.69
03/07/2013 00:35:00,   52.59,   56.70,   47.72,   56.54,   60.04,   50.53
03/07/2013 00:40:00,   50.15,   53.01,   46.59,   52.48,   55.06,   49.31
03/07/2013 00:45:00,   50.67,   54.69,   45.46,   53.17,   57.06,   48.89
03/07/2013 00:50:00,   51.58,   56.47,   45.38,   54.26,   59.05,   48.63
03/07/2013 00:55:00,   49.19,   52.93,   45.32,   52.08,   56.26,   48.40
03/07/2013 01:00:00,   51.88,   56.00,   46.20,   54.83,   58.61,   49.09
03/07/2013 01:05:00,   50.60,   54.67,   45.59,   52.70,   56.07,   48.72
03/07/2013 01:10:00,   51.68,   56.39,   45.77,   53.86,   58.25,   48.90
03/07/2013 01:15:00,   49.95,   54.13,   43.71,   53.05,   56.52,   47.82
03/07/2013 01:20:00,   51.20,   56.53,   45.05,   53.40,   58.51,   47.73
03/07/2013 01:25:00,   53.00,   57.11,   46.91,   55.71,   59.57,   49.20
03/07/2013 01:30:00,   52.21,   57.36,   45.91,   53.97,   58.33,   48.68
03/07/2013 01:35:00,   49.40,   55.07,   41.78,   52.03,   57.25,   46.17
03/07/2013 01:40:00,   48.95,   54.11,   43.85,   51.78,   56.66,   47.32
03/07/2013 01:45:00,   47.84,   51.76,   44.28,   51.06,   54.47,   47.86
03/07/2013 01:50:00,   47.43,   49.82,   42.93,   50.10,   52.12,   46.64
03/07/2013 01:55:00,   46.73,   51.93,   41.76,   49.93,   54.66,   46.07
03/07/2013 02:00:00,   45.99,   50.84,   40.90,   48.85,   52.43,   44.90
03/07/2013 02:05:00,   44.71,   48.49,   40.44,   48.10,   51.94,   44.61
03/07/2013 02:10:00,   47.28,   53.39,   41.22,   49.68,   54.81,   44.86
03/07/2013 02:15:00,   48.67,   54.08,   42.05,   51.01,   55.85,   45.76
03/07/2013 02:20:00,   49.51,   55.91,   40.74,   51.86,   57.42,   45.37
03/07/2013 02:25:00,   45.11,   47.74,   41.38,   48.32,   50.88,   45.17
03/07/2013 02:30:00,   48.03,   54.17,   41.29,   50.13,   55.44,   44.72
03/07/2013 02:35:00,   45.66,   50.26,   40.57,   49.53,   54.03,   44.89
03/07/2013 02:40:00,   45.98,   49.77,   42.17,   49.39,   54.04,   46.04
03/07/2013 02:45:00,   45.55,   49.38,   40.83,   49.18,   52.53,   45.40
03/07/2013 02:50:00,   56.59,   63.05,   43.50,   60.52,   65.46,   47.31
03/07/2013 02:55:00,   48.99,   56.12,   41.32,   52.04,   58.52,   45.11
03/07/2013 03:00:00,   46.66,   51.33,   40.89,   50.40,   57.91,   44.14
03/07/2013 03:05:00,   49.20,   54.84,   42.08,   51.55,   56.30,   45.86
03/07/2013 03:10:00,   47.74,   54.80,   40.17,   50.42,   56.33,   45.24
03/07/2013 03:15:00,   46.66,   51.65,   40.05,   49.11,   53.41,   44.50
03/07/2013 03:20:00,   44.37,   47.29,   41.09,   48.11,   50.13,   44.94
03/07/2013 03:25:00,   46.06,   49.58,   41.06,   49.49,   53.20,   45.18
03/07/2013 03:30:00,   45.88,   50.90,   41.09,   49.48,   53.71,   45.64
03/07/2013 03:35:00,   42.98,   45.78,   39.39,   46.87,   48.67,   44.06
03/07/2013 03:40:00,   46.47,   51.96,   41.16,   49.32,   53.14,   45.44
03/07/2013 03:45:00,   49.29,   55.93,   43.04,   51.77,   57.00,   46.50
03/07/2013 03:50:00,   47.39,   52.55,   40.87,   50.33,   55.00,   45.39
03/07/2013 03:55:00,   46.51,   53.43,   39.73,   49.31,   55.25,   44.54
03/07/2013 04:00:00,   44.96,   51.39,   39.48,   48.09,   53.83,   43.70
03/07/2013 04:05:00,   49.18,   55.69,   42.03,   51.61,   56.97,   45.93
03/07/2013 04:10:00,   45.57,   51.21,   40.45,   48.44,   52.80,   44.18
03/07/2013 04:15:00,   47.08,   52.68,   41.68,   49.63,   54.01,   45.66
03/07/2013 04:20:00,   45.24,   49.41,   41.74,   48.31,   51.54,   45.61
03/07/2013 04:25:00,   47.32,   53.01,   42.23,   49.83,   54.63,   45.91
03/07/2013 04:30:00,   45.04,   46.47,   42.34,   48.28,   49.72,   46.20
03/07/2013 04:35:00,   45.58,   49.36,   42.39,   48.99,   51.63,   46.06
03/07/2013 04:40:00,   47.37,   50.43,   42.91,   50.54,   53.53,   46.50
03/07/2013 04:45:00,   46.76,   49.66,   43.05,   50.79,   54.64,   47.24
03/07/2013 04:50:00,   46.41,   48.83,   42.89,   49.20,   50.87,   46.31
