# noise_analysis run from DCC-NOISE-001003 at Thu Jul  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/07/2013 00:05:00,   51.54,   56.89,   44.54,   54.09,   58.71,   48.54
04/07/2013 00:10:00,   50.70,   56.46,   43.21,   53.36,   58.52,   47.38
04/07/2013 00:15:00,   51.74,   55.55,   46.54,   54.12,   57.71,   49.48
04/07/2013 00:20:00,   52.56,   56.94,   47.69,   54.64,   58.61,   50.35
04/07/2013 00:25:00,   52.94,   57.38,   46.26,   55.37,   59.49,   49.37
04/07/2013 00:30:00,   51.92,   54.48,   47.50,   54.49,   57.78,   50.07
04/07/2013 00:35:00,   52.15,   56.06,   46.39,   54.90,   58.38,   49.65
04/07/2013 00:40:00,   52.27,   55.51,   47.64,   54.86,   57.70,   50.53
04/07/2013 00:45:00,   52.00,   55.80,   47.29,   54.30,   57.55,   50.49
04/07/2013 00:50:00,   52.67,   56.28,   47.13,   55.20,   58.86,   50.66
04/07/2013 00:55:00,   52.33,   57.23,   46.56,   54.70,   59.09,   50.05
04/07/2013 01:00:00,   51.99,   56.27,   45.84,   55.32,   59.94,   48.96
04/07/2013 01:05:00,   52.14,   56.68,   46.53,   53.93,   58.07,   49.35
04/07/2013 01:10:00,   52.32,   56.94,   44.89,   54.37,   58.49,   48.32
04/07/2013 01:15:00,   49.62,   54.30,   41.90,   52.35,   56.68,   45.83
04/07/2013 01:20:00,   51.03,   54.62,   45.43,   53.32,   56.37,   48.40
04/07/2013 01:25:00,   49.09,   55.42,   41.64,   51.71,   57.14,   46.10
04/07/2013 01:30:00,   49.43,   56.01,   40.10,   51.69,   57.36,   44.65
04/07/2013 01:35:00,   48.54,   54.51,   41.82,   50.85,   55.86,   46.08
04/07/2013 01:40:00,   50.62,   55.86,   43.13,   52.72,   57.49,   46.76
04/07/2013 01:45:00,   48.09,   54.56,   41.68,   50.54,   55.68,   45.89
04/07/2013 01:50:00,   47.81,   53.04,   42.26,   50.27,   54.30,   46.00
04/07/2013 01:55:00,   48.76,   54.03,   42.98,   50.99,   56.03,   46.59
04/07/2013 02:00:00,   48.29,   52.82,   43.20,   51.34,   55.43,   46.73
04/07/2013 02:05:00,   49.39,   53.50,   43.79,   51.55,   55.22,   47.37
04/07/2013 02:10:00,   52.21,   55.63,   47.35,   54.41,   58.03,   49.76
04/07/2013 02:15:00,   49.97,   53.68,   42.73,   52.53,   56.93,   46.53
04/07/2013 02:20:00,   48.28,   52.63,   41.98,   50.66,   54.96,   45.40
04/07/2013 02:25:00,   49.53,   54.44,   42.09,   53.21,   57.34,   45.54
04/07/2013 02:30:00,   45.76,   48.30,   40.27,   48.19,   50.27,   44.17
04/07/2013 02:35:00,   46.89,   51.47,   39.10,   49.61,   53.64,   43.54
04/07/2013 02:40:00,   46.17,   52.26,   40.66,   49.73,   53.73,   45.14
04/07/2013 02:45:00,   45.74,   49.76,   39.77,   48.84,   52.88,   44.42
04/07/2013 02:50:00,   43.97,   48.20,   39.16,   47.79,   51.04,   44.69
04/07/2013 02:55:00,   46.20,   52.71,   39.71,   49.36,   54.84,   44.55
04/07/2013 03:00:00,   46.27,   51.72,   39.09,   50.32,   55.92,   44.40
04/07/2013 03:05:00,   48.12,   52.16,   41.95,   50.67,   54.98,   45.85
04/07/2013 03:10:00,   48.24,   52.30,   41.04,   50.53,   54.33,   45.23
