# noise_analysis run from DCC-NOISE-001003 at Fri Jul  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/07/2013 00:05:00,   53.14,   57.01,   48.60,   56.06,   59.37,   51.56
05/07/2013 00:10:00,   52.31,   56.35,   47.87,   55.30,   59.10,   50.83
05/07/2013 00:15:00,   52.12,   56.35,   46.64,   54.45,   58.27,   49.82
05/07/2013 00:20:00,   52.81,   56.73,   47.55,   55.44,   58.99,   51.02
05/07/2013 00:25:00,   53.70,   57.89,   48.35,   57.25,   61.63,   51.60
05/07/2013 00:30:00,   54.94,   59.94,   48.97,   57.75,   62.98,   52.01
05/07/2013 00:35:00,   52.36,   56.63,   47.52,   54.92,   58.86,   50.65
05/07/2013 00:40:00,   52.63,   56.98,   48.29,   55.04,   58.70,   51.52
05/07/2013 00:45:00,   53.29,   56.83,   48.09,   56.17,   59.41,   51.55
05/07/2013 00:50:00,   52.39,   56.19,   47.95,   55.33,   58.55,   51.18
05/07/2013 00:55:00,   52.00,   56.84,   46.79,   54.36,   58.81,   50.03
05/07/2013 01:00:00,   51.84,   56.18,   45.97,   54.37,   57.67,   49.72
05/07/2013 01:05:00,   51.11,   55.04,   46.26,   53.58,   56.99,   49.66
05/07/2013 01:10:00,   50.25,   54.43,   45.33,   53.35,   57.04,   49.00
05/07/2013 01:15:00,   50.69,   55.53,   45.75,   53.55,   57.71,   49.14
05/07/2013 01:20:00,   52.46,   57.50,   46.53,   54.75,   59.12,   50.04
05/07/2013 01:25:00,   50.80,   55.98,   45.11,   53.35,   57.66,   48.39
05/07/2013 01:30:00,   49.40,   53.52,   45.13,   51.87,   55.08,   48.51
05/07/2013 01:35:00,   50.83,   55.34,   45.02,   53.28,   57.28,   48.95
05/07/2013 01:40:00,   50.53,   55.27,   44.59,   54.30,   58.17,   48.94
05/07/2013 01:45:00,   49.81,   54.63,   44.94,   52.84,   56.81,   48.82
05/07/2013 01:50:00,   48.50,   52.39,   44.55,   51.77,   55.04,   48.30
05/07/2013 01:55:00,   49.69,   54.05,   44.42,   52.55,   56.05,   48.97
05/07/2013 02:00:00,   49.56,   54.43,   43.47,   52.18,   56.34,   47.69
05/07/2013 02:05:00,   48.93,   53.79,   42.59,   51.92,   55.84,   47.45
05/07/2013 02:10:00,   47.08,   51.60,   43.22,   50.61,   54.12,   47.46
05/07/2013 02:15:00,   49.21,   54.69,   43.59,   52.12,   56.89,   47.87
05/07/2013 02:20:00,   46.40,   50.51,   41.79,   51.55,   55.58,   47.33
05/07/2013 02:25:00,   47.24,   51.14,   42.48,   50.48,   53.90,   47.02
05/07/2013 02:30:00,   49.26,   54.29,   42.78,   52.13,   57.28,   46.68
05/07/2013 02:35:00,   47.86,   53.17,   43.68,   51.17,   55.17,   47.65
05/07/2013 02:40:00,   45.91,   51.49,   40.69,   49.40,   53.64,   45.78
05/07/2013 02:45:00,   47.32,   53.07,   41.14,   50.85,   55.26,   46.08
05/07/2013 02:50:00,   47.38,   52.58,   42.52,   50.65,   54.17,   47.28
05/07/2013 02:55:00,   47.76,   52.49,   42.88,   51.65,   55.75,   47.75
05/07/2013 03:00:00,   45.77,   48.45,   42.18,   49.67,   51.56,   46.79
05/07/2013 03:05:00,   47.80,   52.97,   42.26,   50.77,   54.86,   46.74
05/07/2013 03:10:00,   49.81,   55.14,   44.71,   52.98,   57.64,   48.75
05/07/2013 03:15:00,   48.69,   54.41,   42.97,   51.39,   56.27,   47.21
05/07/2013 03:20:00,   49.91,   55.21,   43.47,   53.21,   58.24,   47.60
05/07/2013 03:25:00,   48.22,   53.13,   43.38,   51.43,   55.44,   47.51
05/07/2013 03:30:00,   46.94,   51.21,   40.47,   50.80,   54.59,   45.71
05/07/2013 03:35:00,   45.85,   49.08,   41.87,   50.41,   52.38,   47.35
05/07/2013 03:40:00,   48.61,   54.58,   43.18,   51.90,   56.51,   47.95
05/07/2013 03:45:00,   47.37,   50.68,   44.22,   51.44,   54.74,   48.40
05/07/2013 03:50:00,   49.48,   53.85,   43.44,   52.79,   57.85,   47.64
05/07/2013 03:55:00,   47.44,   52.73,   42.87,   50.57,   54.34,   47.21
05/07/2013 04:00:00,   47.90,   52.50,   42.84,   50.92,   54.81,   47.30
05/07/2013 04:05:00,   50.99,   56.60,   45.01,   53.35,   58.27,   48.68
05/07/2013 04:10:00,   49.36,   54.67,   44.17,   51.97,   56.70,   48.21
05/07/2013 04:15:00,   49.35,   55.08,   45.00,   52.58,   56.81,   49.62
05/07/2013 04:20:00,   48.07,   51.35,   44.37,   51.34,   54.20,   48.21
05/07/2013 04:25:00,   48.57,   53.36,   44.74,   51.70,   54.85,   48.86
05/07/2013 04:30:00,   49.62,   54.91,   44.68,   52.50,   56.91,   48.81
05/07/2013 04:35:00,   48.86,   53.53,   44.34,   52.12,   55.48,   48.45
05/07/2013 04:40:00,   48.62,   53.39,   45.08,   52.01,   55.44,   49.27
05/07/2013 04:45:00,   48.76,   53.62,   44.80,   52.24,   55.94,   49.34
05/07/2013 04:50:00,   49.02,   52.11,   45.31,   52.08,   54.47,   48.93
05/07/2013 04:55:00,   49.21,   53.47,   44.11,   51.58,   55.04,   47.97
05/07/2013 05:00:00,   49.80,   53.80,   45.44,   53.12,   56.99,   49.39
05/07/2013 05:05:00,   48.87,   52.87,   45.61,   51.98,   54.99,   49.81
05/07/2013 05:10:00,   50.03,   54.84,   45.77,   53.36,   57.21,   49.58
05/07/2013 05:15:00,   49.54,   52.61,   46.31,   52.49,   54.83,   49.87
05/07/2013 05:20:00,   51.92,   55.88,   47.17,   54.52,   57.71,   51.13
05/07/2013 05:25:00,   49.87,   53.71,   46.43,   52.55,   55.63,   49.78
05/07/2013 05:30:00,   52.90,   57.12,   46.97,   55.20,   59.20,   50.06
05/07/2013 05:35:00,   54.28,   60.29,   46.28,   57.77,   64.02,   49.75
05/07/2013 05:40:00,   51.97,   57.08,   46.54,   54.72,   58.77,   49.78
05/07/2013 05:45:00,   51.55,   55.36,   46.60,   54.09,   57.75,   50.47
05/07/2013 05:50:00,   52.63,   57.54,   46.49,   56.86,   60.40,   50.29
05/07/2013 05:55:00,   51.46,   56.05,   47.10,   55.14,   59.53,   50.88
05/07/2013 06:00:00,   52.60,   58.45,   47.08,   57.27,   64.13,   50.78
05/07/2013 06:05:00,   52.02,   56.20,   47.56,   54.83,   58.43,   51.06
05/07/2013 06:10:00,   52.10,   56.04,   47.00,   55.75,   59.87,   50.53
05/07/2013 06:15:00,   56.27,   60.87,   47.76,   61.32,   66.52,   51.96
05/07/2013 06:20:00,   53.70,   57.98,   47.89,   57.97,   63.09,   51.35
05/07/2013 06:25:00,   53.11,   56.70,   48.15,   56.48,   59.73,   52.15
05/07/2013 06:30:00,   53.81,   58.49,   48.58,   58.45,   63.40,   52.45
05/07/2013 06:35:00,   54.07,   58.10,   47.37,   58.09,   61.75,   51.07
05/07/2013 06:40:00,   53.13,   57.15,   47.98,   56.31,   60.33,   51.47
05/07/2013 06:45:00,   56.50,   60.22,   50.40,   60.31,   63.81,   54.63
05/07/2013 06:50:00,   56.14,   60.23,   49.41,   60.51,   64.83,   52.91
05/07/2013 06:55:00,   55.11,   59.01,   49.75,   59.90,   63.05,   54.78
05/07/2013 07:00:00,   56.71,   59.45,   51.02,   60.64,   63.36,   53.92
05/07/2013 07:05:00,   55.76,   58.80,   50.87,   59.31,   62.70,   54.53
05/07/2013 07:10:00,   55.53,   59.27,   51.31,   58.58,   62.51,   54.25
05/07/2013 07:15:00,   55.60,   58.73,   51.30,   59.21,   63.21,   54.56
05/07/2013 07:20:00,   58.14,   61.82,   50.96,   63.26,   68.67,   54.28
05/07/2013 07:25:00,   55.45,   58.97,   50.88,   59.48,   63.53,   54.02
05/07/2013 07:30:00,   56.63,   59.71,   52.61,   60.70,   64.10,   56.32
