# noise_analysis run from DCC-NOISE-001003 at Sat Jul  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/07/2013 00:05:00,   50.62,   55.64,   41.52,   53.21,   57.98,   46.07
06/07/2013 00:10:00,   50.64,   55.41,   42.84,   54.59,   59.29,   46.79
06/07/2013 00:15:00,   51.34,   56.66,   43.39,   53.61,   58.10,   47.15
06/07/2013 00:20:00,   53.61,   57.73,   46.33,   57.30,   61.26,   49.78
06/07/2013 00:25:00,   51.50,   56.70,   43.39,   54.09,   58.41,   48.22
06/07/2013 00:30:00,   50.03,   54.90,   43.36,   53.14,   57.60,   47.01
06/07/2013 00:35:00,   51.45,   56.64,   44.42,   54.65,   59.13,   48.31
06/07/2013 00:40:00,   51.69,   57.26,   45.04,   54.13,   59.37,   48.59
06/07/2013 00:45:00,   51.83,   56.20,   46.23,   54.62,   58.39,   49.22
06/07/2013 00:50:00,   51.73,   55.91,   46.23,   54.96,   58.80,   49.51
06/07/2013 00:55:00,   52.33,   56.37,   46.28,   54.72,   58.19,   49.58
06/07/2013 01:00:00,   52.29,   55.99,   47.53,   54.91,   58.22,   50.92
06/07/2013 01:05:00,   53.15,   57.65,   46.72,   55.50,   59.05,   50.03
06/07/2013 01:10:00,   51.74,   56.01,   45.93,   54.03,   58.38,   49.21
06/07/2013 01:15:00,   52.72,   58.11,   45.49,   55.04,   59.69,   48.85
06/07/2013 01:20:00,   52.60,   56.44,   45.64,   55.21,   58.67,   49.23
06/07/2013 01:25:00,   52.05,   57.71,   44.42,   54.69,   59.50,   48.52
06/07/2013 01:30:00,   52.09,   55.95,   45.99,   55.01,   58.87,   49.31
06/07/2013 01:35:00,   51.81,   55.34,   45.94,   54.16,   57.70,   49.38
06/07/2013 01:40:00,   51.11,   55.80,   45.77,   53.45,   57.81,   49.01
06/07/2013 01:45:00,   53.24,   57.41,   46.28,   55.99,   60.21,   49.64
06/07/2013 01:50:00,   52.04,   56.79,   46.18,   54.42,   58.51,   49.38
06/07/2013 01:55:00,   52.49,   57.13,   45.84,   54.83,   58.93,   49.15
06/07/2013 02:00:00,   52.12,   56.97,   45.40,   54.44,   59.27,   48.47
06/07/2013 02:05:00,   51.58,   56.83,   44.48,   53.64,   58.17,   48.02
06/07/2013 02:10:00,   52.31,   56.44,   44.97,   54.94,   59.55,   48.22
06/07/2013 02:15:00,   51.49,   56.74,   45.18,   54.45,   59.57,   48.68
06/07/2013 02:20:00,   50.93,   55.26,   45.46,   53.62,   57.73,   49.10
